,Word
0,내 그새 사고 줄 야망 야망로봇 로봇 좌충우돌 성장 성장드라마 
1,드라마 데이 데이빗 빗 본격 히드라 이것 15 15세 세 
2,ㄷ ㄷㄷ 15 15세 세 수위 작품 최근 라이프 영화 
3,교훈 인공 인공지능 지능 개발 말자 기존 에이 에이리언 리 
4,언 프로 테 잡고 그 에이 에이리언 리 언 데이 
5,데이빗 빗 무 ㄷㄷ 건 1 여주인공 에일 에일리언 리 
6,언 2 2번 번 시체 시체전시 전시 영화 배 등 
7,한동안 집 길 플러그 프로 프로메테우스 메 테 우스 보신 
8,분 내용 이해 탈 저 완전 사람 일리 일리언 언 
9,보여 영화 시사회 15 15세 세 말 본격 에이 에이아이 
10,아이 사이코 사이코패스 패스 공포 다스 다스베이 베이 애 장난 
11,장난수준일정도 수준 일 정도 최고 악역 탄생 창조론 순수 공포 
12,데이 데이빗 빗 프로 메테우스때 개 스콧 횽 횽님 님 
13,연세 정도 수작 마이클 패스 패스벤더 벤더 영화 지구 박테리아 
14,바이러스 조 조차 차 미개 미개부족 부족 문명인 문명인과의 과의 
15,문 문남 남 전염병 창궐 태반 판국 극장 뒤 팝콘 
16,깨 깨짝 짝 앞자리 중학생 남자애 단체 똥 똥방귀 방귀 
17,대 2 2시간 시간 고문 데이 데이빗 빗 마음 이해 
18,수 사랑과 의무 데이 데이빗 빗 일격 월 월터 터 
19,빡침 혼자 혼자남 남 탈모 행성 생명 생명공학 공학 자료 
20,이용 긴장감 역 리 리스 리스콧 콧 영화 자체 수 
21,이것 15 15세 세 관람 인지 이해 안감 생각 꼬맹이 
22,사람 청 청불 불 등급 에이 에이리언 리 언 특유 
23,폐쇄적 공포 잔인 옆 친구 중간 중간중간 경련 놀람 프로메테우스 
24,이유 기존 일리 일리언 언 신선 때문 가지 떡밥 상상력 
25,이번 커버 트에 엔지니어 관련 해결 1 1편 편 3 
26,3편 예상 반전 프로 프로메테우스 메 테 우스 재미 에일리언보다 
27,데이 데이빗 빗 지배 수 악마 창조 창조주가 주가 에이 
28,에이리언 리 언 얘기 굿 굿굿 프로메테우스 동강 마이클 패스 
29,패스벤더 벤더 바디 패스벤더형님 형님 간지 자체 우주 우주탐사선 탐사선 
30,승무원 세발 세발자전거 자전거 애 일 우왕좌왕 비명 어이 예상 
31,결말 ㅜ 반전 저 노모 노모프 프 네오모프 프로메테우스 고어 
32,무서움 전작 반전 예상 프로 프로메테우스 메 테 우스 세계관 
33,실종 에일리언의 기원 순간 엘리자베스 쇼 일 을 당한 당한거지 
34,거지 3 3편 편 거 15 15세 세 청 청불 
35,불 초 초딩 딩 빡 빡대가리 대가리 불고 집 15 
36,15세 세 나 체 잔인 데 이것 15 15세 세 
37,물론 내용 사전 사전심의 심의 각종 규제 완화 노력 여기 
38,15 15세 세 관람 관람가 피 예전 시대 요즘 인터넷 
39,세상 마세 애 정 분별력 프로 프로메테우스 메 테 우스 
40,1 절대 15 15세 세 19 19세 애 가지 2 
41,이리 이리언 언 2편 편 나 3 스캇 스캇옹님 옹 
42,님 만수무 만수무강 강 1 1편때문 편 때문 기대 분 
43,실망 영화 머리 눈물 사랑 사랑타령 타령 어처구니 애초 인류 
44,기원 프로 프로메태우스의 메 태우 스의 대명제 하늘 일리 일리언 
45,언 등장 실소 외계인 전멸 병 병0 0 짓 초반 
46,개 별 평점 인류 기원 프로메테우스 떡밥 일리 일리언 언 
47,시리즈 편승 반전 예측 가능 프로 프로메테우스 메 테 우스 
48,잔인 프로메테우스 외계 신이 인간 창조 행적 무엇 묘사 후속 
49,후속작 작 기대 상업성 인지 전작 연결 연결고리 고리 우주 
50,터 터미 미 이터 영화 인간 창조물 창조주 영화 시나리오 
51,시나리오작가 작가 기대 재미 허무 하달 사람 데 일리 일리언 
52,언 거 여 아무것 별 개 영화 엘리자베스 쇼 숙주 
53,끝 프로 프로메테우스 메 테 우스 인류 기원 기대감 어디 
54,개인적 별 인간 창조 창조주 엔지니어 영화 철학적 가치 상실 
55,느낌 프로메테우스 기대 한순간 영화인 영화인건 건 프로메테우스 기대 영화 
56,실망 수도 있음 프로 프로메테우스 메 테 우스 기존 일리 
57,일리언시리즈 언 시리즈 느낌 일 영화 영화중 중 젤 잼 
58,자 알 알바 넘 프로 메 메테우스에 테 우 스에 
59,비 줄거리 줄거리하나 하나 행성 다가 일리 일리언 언 숙주 
60,끝 아침 조조 다음 편도 기대 진정 창조주 누구 이리 
61,이리언 언 시리즈 정 정주행 주행 영화 처음 행성 피크닉 
62,차림 감염 설정 니 노 노답ㅉㅉ 답 ㅉㅉ 10 10년 
63,년 행성 행성탐험 탐험 장비 100 100년 퇴보 하이바 산 
64,산소통 소통 하나 말 2 2천명 천 명 목숨 신경 
65,위험 위험비행 비행 어이 착륙 착륙선 선 운전 ㅡ 기대 
66,실망 내용 진지 스토리 기억 등장인물 등장인물1 1 프로 프로메테우스 
67,메 테 우스 수술 수술신 신 명 명장면 장면 쓸데 
68,길 길기만 기만 실패작 프로 프로메테우스 메 테 우스 세계관 
69,떡밥 잼 잼남개꿀잼 남 개꿀 프로메테우스 잼 기대 짜임새 실패작 
70,실패작느낌 느낌 전문적 개척자 프로메테우스 라 어제 어제부 부 명작 
71,임무 망각 찌 승무원 2000 2000명 명 생명 숙주 영화 
72,과학 과학기술 기술 체력 정신 프로메테우스 충격적 이번 휴 실망 
73,스토리 우주 얘기 분위기 인공 인공지능 지능 역 리 리스 
74,리스콧 콧 흠 15 15세라기 세라 기 잔인 데 프로 
75,프로메테스 메 테스 후편 대실 대실망 망 설득력 감독 영생 
76,인공 인공지능 지능 인간 일리 일리언 언 혈투 스토리 스토리상 
77,상 초기 초기단계 단계 이해 부분 예상 대로 데이 데이빗 
78,빗 싸이코 싸이코패스임 패스 임 에이 에이리언1 리 언 1 
79,프로메테우스 5 5년만 년 만 ㅠ 감동 평점 10 10점 
80,점 사람 이해 영화 일리 일리언2 언 2 최고 지금 
81,에일 에일리언시리즈 리 언 시리즈 중 수준 수준이하내용 이하 내용 
82,메세지 건 건지원 지원 간 비추 비추중 인간 창조 프로메테우스 
83,에이 에이리언 리 언 시리즈 건 전 전작의 작의 퀄리티 
84,단박 나락 상상력 부족 유혈 유혈낭자 낭자 참사 프로메테우스 우주 
85,우주탐사 탐사 인간 인간기원 기원 과학적 사명감 어디 엘리자베스 쇼 
86,박사 단순 생체 생체실험 실험 마루 마루타 타 전락 진 
87,워 십오세 십오세노노 노 약 약40년전 40 년 전 에어리 
88,에어리언 언 혼자 에일 에일리언 리언 스리즈 본건 스토리 똥 
89,똥임 임 아무것 정보 행성 지구 행동 어이 실수 의도적 
90,보임 마지막 로봇 세대 2 2세대 에일 에일리언 리언 팬 
91,프로 프로메테우스 메 테 우스 실망 떡밥 공중 공중분해 분해 
92,일리 일리언 언 영화 극장 진가 발휘 수 전 편 
93,프로메테우스 상영 전편 지식 조금 난해 수 줄거리 고어 장면 
94,프로 프로메테우스 메 테 우스 떡밥 회수 부족 종합 19 
95,19세 세 등급 영화 엘리자베스 쇼 박사 캐스팅 배우 정 
96,정작 작 영화 15 15세라 세라 보호자 초딩 수 거 
97,진짜 초 초딩 딩 덜 시체 시체영화 영화 첨보 비명 
98,패 오랫동안 프로 프로메테우스 메 테 우스 2 실망 세계관 
99,실종 이야기 벙떠 일리 일리언 언 이 저 노 노잼영화 
100,잼 영화 저 기존 일리 일리언 언 생각 긴장감 장면 
101,시간 기승 기승전결 전결 기 결의 느낌 영화 마라 배우 
102,승 예고 예고편도 편도 평점 너희 상상 건 최신 미래형 
103,우주선 요즘 거 총 배우 승무원 책임감 규칙 윈 무시 
104,애인 마인드 인공 인공지능 지능 마 가짜 구분 태아 태아칸 
105,칸 이상 해 말씀 말 일리 일리언 언 밀 밀당 
106,당 기대 분 실망 영화 끼 혈투 음모 배신 작금 
107,시대 에일 에일리언 리언 본 본편인 편인 원래 감독 감독판 
108,판 복귀 스콧 스콧감독 감독 일리 일리언시리즈 언 시리즈 감동 
109,감동ㅇ ㅇ 최초 감염자 수송선 오리지널 집착 프로메테우스 한참 아래 
110,아래임 임 프로메테우스 떡밥 무시 일리 일리언 언 시리즈 영화 
111,평점 8 8점 점 에일리언의 활약 프로 프로메테우스 메 테 
112,우스 알바 주탱 프로 프로메테우스 메 테 우스 보고 욕 
113,이거 프로메테우스 명작 린 로프 존경 에일 에일리언 리언 이 
114,저 기대 컷 영화 개 개실망 실망 기본도 제작 재미 
115,기술 기술발전 발전 비상시 메뉴 메뉴얼 얼 거 흥분 최상 
116,선택 훈련 머 개 소 우주 억지 개연성 별 별짓 
117,짓 느낌 마이클 패스 패스벤더 벤더 1 1인2 인 2 
118,연기 짱 일리 일리언 언 2 퀸 썅 누 지가 
119,앞 관 관심사군 심사 군 승무원 훈련 일반인 저 우주선 
120,요 응 내용 이해 우주여행 우주 신대륙 개척 금물 동안 
121,영화 소재 현실 있음 때 장래 수 외 외계인 계인 
122,유전자 조작 등 자연적 에어리 에어리언 언 전 전시리즈 시리즈 
123,사랑 영화 스탭 스탭롤 롤 나 자리 어이 화 이리 
124,이리언 타이틀 중 감동 기대 지구형 행성 세균 바이러스 맨몸 
125,멍청이 80 80년대 년대 영화 초반 설정 몰입 최악 에이 
126,에이리언 리 언 영화 행성 마스크 2 2천명 천 명 
127,목숨 지 마누라 위험 감수 당나라 당나라군대 군대 엔지니어 인간 
128,창조 인조 인조인간 인간 외계인 행성 우주선 일리 일리언 언 
129,알 전멸 프로 프로메테우스 메 테 우스 2 실패 듯 
130,식상 앞 영화 이야기 리 리 스콧 스콧감독 감독 이번 
131,영화 대박 6 6편 편 야죠 하 이리 이리언 언 
132,시리즈 중 최악 정 나중 다운 극장 마라 프로메테우스 이야기 
133,영화 기대 이유 개 전개 당황 거인 대학살 엘리자베스 어미 
134,데이 데이빗 빗 개 개싸이코 싸이코 전편 논 논이야기 대충 
135,컷 얼버 일리 일리언 언 뭐 프로 프로메테우스 메 테 
136,우스 에어리 에어리언도 언도 타임 타임용도 링 용도 주 주구장창 
137,구장 창 설명 듯 강의 수업 줄 줄암 암 한 
138,10 10분 분 전개 예측 예측가능 가능 반전 인물 개성 
139,느낌 상식 상식밖 밖 행동 억지 스토리 기대 실망 컷 
140,로봇 쇼 쇼박사 박사 뭐 줄 에일 전 전작과 작과 
141,개연성 반전 예상 예상가능 가능 연출 나름 스타일 스타일리쉬 리 
142,쉬 전부 거 프로메테우스 만듬 대 잔인 이야기 전개 에이 
