"","word","freq"
"1","사람",110
"2","타인",45
"3","근거",26
"4","능력",25
"5","순위",24
"6","자신",24
"7","상대방",22
"8","생각",22
"9","8순위근거1",21
"10","문제",21
"11","유형",20
"12","감정",19
"13","성장",19
"14","본인",17
"15","사회",17
"16","표현",17
"17","계획",16
"18","잠재력",16
"19","가치",15
"20","경우",13
"21","경향",13
"22","관심",13
"23","마음",13
"24","성격",13
"25","미래",12
"26","자기",12
"27","적극적",12
"28","운동가",11
"29","의견",11
"30","있음",11
"31","추구",11
"32","필요",11
"33","결과",10
"34","동정심",10
"35","분야",10
"36","이상화",10
"37","인정",10
"38","지도자",10
"39","현실적",10
"40","과정",9
"41","긍정적",9
"42","때문",9
"43","모든",9
"44","언변",9
"45","주의",9
"46","개발",8
"47","맹목적",8
"48","스스로",8
"49","신뢰",8
"50","환경",8
"51","100",7
"52","가능성",7
"53","결국",7
"54","관점",7
"55","기질",7
"56","노력",7
"57","발휘",7
"58","비판",7
"59","사회운동가형",7
"60","상처",7
"61","세상",7
"62","의미",7
"63","이상",7
"64","인간관계",7
"65","인화",7
"66","정도",7
"67","정의",7
"68","중요시",7
"69","직업",7
"70","집단",7
"71","행동",7
"72","행복",7
"73","객관적",6
"74","교사",6
"75","눈치",6
"76","독려",6
"77","동의",6
"78","발견",6
"79","상황",6
"80","어려움",6
"81","열정",6
"82","이타",6
"83","적인",6
"84","제시",6
"85","조직",6
"86","참을성",6
"87","칭찬",6
"88","현실",6
"89","호기심",6
"90","16",5
"91","갈등",5
"92","감독",5
"93","공동선",5
"94","공동체",5
"95","나라",5
"96","단순",5
"97","대한",5
"98","마찬가지",5
"99","발전",5
"100","백락",5
"101","부족",5
"102","사항",5
"103","선수",5
"104","소금",5
"105","시간",5
"106","실적",5
"107","언어",5
"108","영향",5
"109","요소",5
"110","우리",5
"111","이상적",5
"112","인간",5
"113","인구",5
"114","지적",5
"115","책임감",5
"116","추진력",5
"117","카리스마",5
"118","편안",5
"119","편이",5
"120","하다",5
"121","가능",4
"122","강점",4
"123","개인적",4
"124","고려",4
"125","공감",4
"126","관여",4
"127","느낌",4
"128","대체",4
"129","동기",4
"130","동참",4
"131","딩크",4
"132","목표",4
"133","반응",4
"134","변화",4
"135","사교적",4
"136","사회운동가",4
"137","서서",4
"138","성향",4
"139","세계",4
"140","아이디어",4
"141","앞장",4
"142","앞장서서",4
"143","요구",4
"144","우리나라",4
"145","이유",4
"146","자부심",4
"147","자체",4
"148","재치",4
"149","접근",4
"150","조화",4
"151","좌절",4
"152","중심",4
"153","직관적",4
"154","진정",4
"155","집중",4
"156","체계적",4
"157","최고",4
"158","충성",4
"159","코치",4
"160","파악",4
"161","한계",4
"162","현재",4
"163","3순위근거1",3
"164","가슴",3
"165","강압적",3
"166","강한",3
"167","경청",3
"168","경험",3
"169","과의",3
"170","관리",3
"171","구현",3
"172","그것",3
"173","기대",3
"174","기복",3
"175","나아",3
"176","남성",3
"177","남의",3
"178","내가",3
"179","대략",3
"180","도움",3
"181","동료애",3
"182","리더",3
"183","리더형",3
"184","만약",3
"185","만족",3
"186","만큼",3
"187","말로",3
"188","모임",3
"189","무리",3
"190","반복",3
"191","방법",3
"192","배려",3
"193","번째",3
"194","복지",3
"195","봉사",3
"196","분석",3
"197","분위기",3
"198","불급",3
"199","사고",3
"200","사교성",3
"201","사실",3
"202","사전",3
"203","상담",3
"204","생활",3
"205","성실",3
"206","세부",3
"207","센스",3
"208","신념",3
"209","안목",3
"210","얼굴",3
"211","에너지",3
"212","연예인",3
"213","열중",3
"214","영향력",3
"215","외향",3
"216","요청",3
"217","원인",3
"218","웨이",3
"219","유지",3
"220","의사소통",3
"221","이야기",3
"222","이해",3
"223","자질",3
"224","작용",3
"225","장점",3
"226","재능",3
"227","정서",3
"228","정치",3
"229","제약",3
"230","조직적",3
"231","존중",3
"232","주변",3
"233","중요",3
"234","지도",3
"235","직관",3
"236","직군",3
"237","직원",3
"238","진심",3
"239","처리",3
"240","천리마",3
"241","추진",3
"242","축구",3
"243","충만",3
"244","측면",3
"245","친절",3
"246","통솔력",3
"247","특유",3
"248","학생",3
"249","헌신",3
"250","활동적",3
"251","희생",3
"252","히딩크",3
"253","2.5",2
