"","word","freq"
"1","사람",42
"2","관심",12
"3","유형",12
"4","경우",11
"5","능력",11
"6","성격",11
"7","열성",11
"8","활동가",11
"9","창의",10
"10","통찰력",10
"11","가능성",9
"12","경향",9
"13","생각",9
"14","감정",8
"15","문제",8
"16","자신",8
"17","자유",8
"18","하나",8
"19","해결",8
"20","반복",7
"21","상상력",7
"22","열정",7
"23","요구",7
"24","창의력",7
"25","필요",7
"26","흥미",7
"27","가지",6
"28","때문",6
"29","마음",6
"30","무엇",6
"31","열정적",6
"32","일상적",6
"33","행복",6
"34","활동가형",6
"35","관계",5
"36","교육",5
"37","독립적",5
"38","만약",5
"39","본인",5
"40","상황",5
"41","시도",5
"42","재능",5
"43","적인",5
"44","파트너",5
"45","16",4
"46","끝내기",4
"47","도움",4
"48","상담",4
"49","성공",4
"50","성적",4
"51","수행",4
"52","아이디어",4
"53","연결",4
"54","온정적",4
"55","외향",4
"56","인생",4
"57","인정",4
"58","있음",4
"59","정리",4
"60","정열적",4
"61","주변",4
"62","친구",4
"63","활기",4
"64","감동",3
"65","계획",3
"66","과정",3
"67","관리",3
"68","기복",3
"69","내용",3
"70","다양",3
"71","단점",3
"72","동반자",3
"73","모습",3
"74","몰입",3
"75","분야",3
"76","분위기",3
"77","상처",3
"78","성향",3
"79","시간",3
"80","실적",3
"81","얘기",3
"82","어두움",3
"83","업무",3
"84","열성적",3
"85","영감",3
"86","영혼",3
"87","이분",3
"88","이유",3
"89","인간",3
"90","인간관계",3
"91","자체",3
"92","작가",3
"93","정도",3
"94","정돈",3
"95","정신",3
"96","제시",3
"97","중요",3
"98","직관",3
"99","진정",3
"100","진행",3
"101","창의적인",3
"102","출처",3
"103","타인",3
"104","평균",3
"105","표현",3
"106","프로젝트",3
"107","현실적",3
"108","호기심",3
"109","11",2
"110","12",2
"111","16위",2
"112","가능",2
"113","가치",2
"114","감정기복",2
"115","개인적",2
"116","고려",2
"117","고리",2
"118","과학",2
"119","관련",2
"120","광고",2
"121","구들",2
"122","그것",2
"123","그때",2
"124","그때그때",2
"125","그룹",2
"126","그분",2
"127","긍정적",2
"128","기분",2
"129","나열",2
"130","내가",2
"131","눈치",2
"132","단순",2
"133","대기업",2
"134","대화",2
"135","동료",2
"136","만일",2
"137","만족",2
"138","발견",2
"139","배신",2
"140","보완",2
"141","부족",2
"142","사고",2
"143","사이",2
"144","사항",2
"145","사회",2
"146","사회적",2
"147","상상",2
"148","선호",2
"149","성격유형",2
"150","성직",2
"151","성취도",2
"152","세상",2
"153","소유자",2
"154","수학",2
"155","순간",2
"156","스타일",2
"157","스트레스",2
"158","스파크",2
"159","싸력",2
"160","애정",2
"161","얼굴",2
"162","에너지",2
"163","역할",2
"164","연결고리",2
"165","오조오억",2
"166","의미",2
"167","이해",2
"168","인구",2
"169","인문계",2
"170","자연계",2
"171","재기",2
"172","재산",2
"173","저널리스트",2
"174","조언",2
"175","중인",2
"176","즉흥적",2
"177","즐거움",2
"178","지능",2
"179","친절",2
"180","투자",2
"181","특성",2
"182","특징",2
"183","판매",2
"184","필요하다",2
"185","하다",2
"186","학업",2
"187","한가지",2
"188","한쪽",2
"189","혁신적",2
