"","word","freq"
"1","사람",62
"2","감정",23
"3","계획",23
"4","자신",23
"5","타인",21
"6","유형",19
"7","생각",17
"8","조직",16
"9","성격",15
"10","지적",15
"11","통솔력",15
"12","때문",14
"13","아이디어",14
"14","지도자",13
"15","표현",13
"16","경우",12
"17","관심",12
"18","문제",12
"19","필요",12
"20","거시적",11
"21","논리",11
"22","능력",11
"23","목표",11
"24","체계적",11
"25","추진",11
"26","하나",11
"27","마음",10
"28","안목",10
"29","의견",10
"30","인정",10
"31","자극",10
"32","적인",10
"33","통솔자",10
"34","활동적",10
"35","노력",9
"36","논리적",9
"37","상황",9
"38","세상",9
"39","자기",9
"40","경향",8
"41","선호",8
"42","우리",8
"43","지식",8
"44","처리",8
"45","판단",8
"46","행동",8
"47","현실적",8
"48","결정력",7
"49","본인",7
"50","분석적",7
"51","사고",7
"52","사전",7
"53","성공",7
"54","성향",7
"55","욕구",7
"56","있음",7
"57","장기적",7
"58","준비",7
"59","통솔자형",7
"60","호기심",7
"61","혼자",7
"62","결과",6
"63","관련",6
"64","달성",6
"65","도전",6
"66","미래",6
"67","비효율",6
"68","상대방",6
"69","자형",6
"70","중요",6
"71","통솔",6
"72","현실",6
"73","결단력",5
"74","경청",5
"75","고집",5
"76","관계",5
"77","리더",5
"78","사회",5
"79","실행",5
"80","장기",5
"81","주장",5
"82","중시",5
"83","지도력",5
"84","특징",5
"85","가능성",4
"86","가지",4
"87","공감",4
"88","국회",4
"89","권위",4
"90","그것",4
"91","나라",4
"92","느낌",4
"93","대담",4
"94","모습",4
"95","반복",4
"96","발휘",4
"97","배려",4
"98","변화",4
"99","불합리",4
"100","비전",4
"101","사업가",4
"102","사항",4
"103","상처",4
"104","생활",4
"105","성격유형",4
"106","시간",4
"107","실적",4
"108","열성",4
"109","완벽",4
"110","우리나라",4
"111","이분",4
"112","이상적",4
"113","인구",4
"114","일과",4
"115","전략",4
"116","조직적",4
"117","주의",4
"118","지향",4
"119","집단",4
"120","집중",4
"121","추구",4
"122","충실",4
"123","포기",4
"124","해결",4
"125","해결책",4
"126","행정적",4
"127","혁신적",4
"128","가치",3
"129","갈등",3
"130","감각",3
"131","강하",3
"132","개선",3
"133","개인",3
"134","계획적",3
"135","고려",3
"136","관념",3
"137","교육",3
"138","국회의원",3
"139","그분",3
"140","기준",3
"141","나도",3
"142","다행",3
"143","무모",3
"144","반면",3
"145","발전",3
"146","방법",3
"147","방해",3
"148","불도저",3
"149","불평",3
"150","사전준비",3
"151","상상",3
"152","성취",3
"153","실수",3
"154","실현",3
"155","얘기",3
"156","열등감",3
"157","외향",3
"158","유능",3
"159","이성적",3
"160","이유",3
"161","일은",3
"162","자체",3
"163","재능",3
"164","접근",3
"165","정책",3
"166","정치인",3
"167","제시",3
"168","지도",3
"169","직관",3
"170","진정",3
"171","진행",3
"172","책임감",3
"173","카리스마",3
"174","특성",3
"175","팀원",3
"176","판단력",3
"177","평균",3
"178","하다",3
"179","하리",3
"180","핵심",3
"181","향상",3
"182","협력",3
"183","형성",3
"184","감사",2
"185","감이",2
"186","감정표현",2
"187","강압적",2
"188","개발",2
"189","객관적",2
"190","결국",2
"191","결론",2
"192","결정",2
"193","경험",2
"194","공무원",2
"195","공통",2
"196","과정",2
"197","관리",2
"198","관리자",2
"199","교류",2
"200","기관",2
"201","기능",2
"202","기능인",2
"203","기반",2
"204","기사",2
"205","기업",2
"206","기질",2
"207","기획실",2
"208","꼰대",2
"209","남성",2
"210","내가",2
"211","내용",2
"212","내향",2
"213","누군가",2
"214","누적",2
"215","능률적",2
"216","다소",2
"217","다양",2
"218","대다수",2
"219","대박",2
"220","대의",2
"221","대의명분",2
"222","대처",2
"223","대한",2
"224","도움",2
"225","도전적",2
"226","독립",2
"227","독립적",2
"228","돌파",2
"229","따위",2
"230","루트",2
"231","만약",2
"232","만족",2
"233","명분",2
"234","목적",2
"235","무능",2
"236","무모하리",2
"237","무엇",2
"238","무장",2
"239","미래지향",2
"240","방식",2
"241","벤처",2
"242","변호사",2
"243","분명",2
"244","분석",2
"245","불만",2
"246","사교적",2
"247","사사",2
"248","사업",2
"249","사회운동가형",2
"250","살기",2
"251","상대",2
"252","상사",2
"253","설득",2
"254","성과",2
"255","소득",2
"256","소심",2
"257","속결",2
"258","속단",2
"259","수용",2
"260","신경",2
"261","신문",2
"262","심리적",2
"263","아랫사람",2
"264","안주",2
"265","야망",2
"266","여건",2
"267","여성",2
"268","역할",2
"269","열정적",2
"270","오해",2
"271","외향형",2
"272","운동가",2
"273","위대",2
"274","윤택",2
"275","이면",2
"276","이해",2
"277","인간관계",2
"278","인내심",2
"279","일대",2
"280","일반적",2
"281","일상적",2
"282","일처리",2
"283","자신감",2
"284","자아실현",2
"285","자질",2
"286","장기계획",2
"287","장애",2
"288","장점",2
"289","저항",2
"290","적극적",2
"291","적도",2
"292","전달",2
"293","전략기획실",2
"294","전략적",2
"295","전문가",2
"296","전문직",2
"297","전체",2
"298","정신",2
"299","존중",2
"300","주눅",2
"301","주변",2
"302","지능",2
"303","지휘관",2
"304","직업",2
"305","직원",2
"306","진두지휘",2
"307","진취적",2
"308","차지",2
"309","참여",2
"310","천성",2
"311","체제",2
"312","추진력",2
"313","칭찬",2
"314","패러다임",2
"315","평소",2
"316","폭발",2
"317","하면",2
"318","한마디",2
"319","함정",2
"320","합리적",2
"321","행복",2
"322","헌신적",2
"323","혁신",2
"324","활동가",2
"325","회사",2
"326","효율적",2
