"","word","freq"
"1","사람",145
"2","타인",54
"3","자신",38
"4","경우",36
"5","생각",34
"6","유형",34
"7","마음",30
"8","감정",28
"9","때문",28
"10","관심",25
"11","경향",24
"12","노력",22
"13","성격",21
"14","이분",21
"15","관계",20
"16","표현",20
"17","자기",19
"18","필요",19
"19","능력",18
"20","상대방",18
"21","이해",18
"22","문제",17
"23","상처",17
"24","행동",17
"25","인정",16
"26","친절",16
"27","동정심",15
"28","역할",15
"29","이야기",15
"30","추구",15
"31","분위기",14
"32","인화",14
"33","반대",13
"34","조화",13
"35","감정적",12
"36","상황",12
"37","의견",12
"38","조직",12
"39","중시",12
"40","참을성",12
"41","계획",11
"42","분야",11
"43","사회적",11
"44","선호",11
"45","소리",11
"46","스트레스",11
"47","요구",11
"48","주의",11
"49","활동",11
"50","가능성",10
"51","가족",10
"52","감사",10
"53","모임",10
"54","사교적",10
"55","생활",10
"56","정도",10
"57","주변",10
"58","칭찬",10
"59","편이",10
"60","현실적",10
"61","가치",9
"62","거절",9
"63","공감",9
"64","동료애",9
"65","모습",9
"66","배려",9
"67","사교",9
"68","사회",9
"69","중요",9
"70","태도",9
"71","누구",8
"72","부족",8
"73","사교형",8
"74","애정",8
"75","인간관계",8
"76","적응",8
"77","적인",8
"78","지적",8
"79","진심",8
"80","집단",8
"81","책임감",8
"82","친구",8
"83","하다",8
"84","가식",7
"85","갈등",7
"86","객관적",7
"87","결정",7
"88","과의",7
"89","관리",7
"90","구성원",7
"91","기능",7
"92","리더",7
"93","만큼",7
"94","무엇",7
"95","미래",7
"96","변화",7
"97","부정적",7
"98","비판",7
"99","실적",7
"100","유지",7
"101","이상",7
"102","정돈",7
"103","정리",7
"104","주장",7
"105","직업",7
"106","친선",7
"107","행복",7
"108","간호",6
"109","걱정",6
"110","관련",6
"111","긍정적",6
"112","기억",6
"113","냉정",6
"114","능동적",6
"115","도움",6
"116","만약",6
"117","모형",6
"118","목표",6
"119","봉사",6
"120","상대",6
"121","성실",6
"122","업무",6
"123","의료",6
"124","이상화",6
"125","인간",6
"126","입장",6
"127","재치",6
"128","정리정돈",6
"129","정보",6
"130","존경",6
"131","주위",6
"132","중요시",6
"133","철저",6
"134","판매",6
"135","개인",5
