"","word","freq"
"1","사람",47
"2","이분",20
"3","능력",15
"4","유형",13
"5","감정",12
"6","성격",11
"7","상황",10
"8","연예인",10
"9","자신",10
"10","사교적",9
"11","관심",8
"12","때문",8
"13","마음",8
"14","모습",8
"15","경우",7
"16","어두움",7
"17","역할",7
"18","생각",6
"19","주위",6
"20","친절",6
"21","분위기",5
"22","상식",5
"23","선호",5
"24","세상",5
"25","수용",5
"26","시간",5
"27","실제적",5
"28","자유",5
"29","적응",5
"30","주변",5
"31","주의",5
"32","친구",5
"33","필요",5
"34","가지",4
"35","가치",4
"36","경향",4
"37","계획",4
"38","관리",4
"39","낙천적",4
"40","만족",4
"41","본인",4
"42","사물",4
"43","사실적",4
"44","성향",4
"45","수다",4
"46","순간",4
"47","실생활",4
"48","실적",4
"49","어디",4
"50","연예인형",4
"51","영혼",4
"52","즐거움",4
"53","체계적",4
"54","하나",4
"55","현실적",4
"56","갈등",3
"57","개방적",3
"58","결여",3
"59","경험",3
"60","공동체",3
"61","관용적",3
"62","노력",3
"63","등한시",3
"64","마무리",3
"65","만큼",3
"66","바람",3
"67","반복",3
"68","발견",3
"69","발휘",3
"70","분석",3
"71","상처",3
"72","상태",3
"73","수용력",3
"74","스트레스",3
"75","열성",3
"76","외향",3
"77","위로",3
"78","이해",3
"79","인생",3
"80","인지",3
"81","있음",3
"82","자체",3
"83","조성",3
"84","조직체",3
"85","해결",3
"86","행동",3
"87","행복",3
"88","호기심",3
"89","혼자",3
"90","활동",3
"91","활동적",3
"92","가기",2
"93","가능성",2
"94","간호",2
"95","간호직",2
"96","감각",2
"97","감당",2
"98","감독직",2
"99","감사",2
"100","감정관리",2
"101","고민",2
"102","과정",2
"103","관련",2
"104","교통",2
"105","균형",2
"106","그룹",2
"107","기계",2
"108","기능",2
"109","기준",2
"110","기회",2
"111","깊이",2
"112","나무",2
"113","내면",2
"114","논리적",2
"115","다양",2
"116","다크",2
"117","단순",2
"118","단점",2
"119","당신",2
"120","도움",2
"121","만일",2
"122","매력",2
"123","모두",2
"124","모형",2
"125","목표",2
"126","무엇",2
"127","문제",2
"128","물건",2
"129","물질적",2
"130","미래",2
"131","반면",2
"132","배우기",2
"133","보통",2
"134","부분",2
"135","부정적",2
"136","분야",2
"137","블랙",2
"138","비교",2
"139","비서",2
"140","비서직",2
"141","사건",2
"142","사교성",2
"143","사무직",2
"144","사이",2
"145","사항",2
"146","선입견",2
"147","설계",2
"148","성격유형",2
"149","성적",2
"150","소리",2
"151","수학",2
"152","시작",2
"153","안목",2
"154","연결",2
"155","열정적",2
"156","영위",2
"157","우리",2
"158","위주",2
"159","유머",2
"160","유흥업",2
"161","의료",2
"162","이론",2
"163","이야기",2
"164","인간",2
"165","일상적",2
"166","장기",2
"167","장점",2
"168","정작",2
"169","조언",2
"170","중심",2
"171","중요",2
"172","진행",2
"173","집단",2
"174","참견",2
"175","처리",2
"176","천성",2
"177","취약",2
"178","쿼드",2
"179","쿼드라",2
"180","타인",2
"181","타협적",2
"182","통찰력",2
"183","판매",2
"184","평상시",2
"185","표현",2
"186","피드백",2
"187","하라",2
"188","학습",2
"189","화려",2
"190","회피",2
"191","효과적",2
