"","word","freq"
"1","사람",90
"2","자신",57
"3","능력",39
"4","현실적",32
"5","감정",30
"6","때문",29
"7","유형",29
"8","관리자",28
"9","상황",28
"10","조직",28
"11","타인",28
"12","성격",27
"13","행동",26
"14","논리적",24
"15","사실",24
"16","실적",24
"17","체계적",24
"18","경향",23
"19","판단",23
"20","경우",22
"21","계획",22
"22","결정",21
"23","당신",21
"24","분야",21
"25","생각",21
"26","시간",21
"27","필요",21
"28","가능성",20
"29","사회",20
"30","직업",20
"31","결과",19
"32","목표",19
"33","규칙",18
"34","문제",18
"35","분명",18
"36","원칙",18
"37","관계",17
"38","관리",17
"39","이해",17
"40","있음",17
"41","표현",17
"42","고려",16
"43","조직화",16
"44","구체적",15
"45","리더",15
"46","업무",15
"47","설정",14
"48","실용적",14
"49","추진",14
"50","객관적",13
"51","경험",13
"52","질서",13
"53","행정",13
"54","관심",12
"55","기준",12
"56","사실적",12
"57","역할",12
"58","요구",12
"59","이행",12
"60","인정",12
"61","중요",12
"62","하나",12
"63","활동",12
"64","가치",11
"65","노력",11
"66","무엇",11
"67","방식",11
"68","적인",11
"69","책임",11
"70","가능",10
"71","감각",10
"72","결론",10
"73","내가",10
"74","발휘",10
"75","부족",10
"76","사랑",10
"77","신뢰",10
"78","실질적",10
"79","의견",10
"80","인간",10
"81","일의",10
"82","자기",10
"83","재능",10
"84","조직체",10
"85","중심",10
"86","지시",10
"87","하다",10
"88","효율적",10
"89","고집",9
"90","공감",9
"91","나의",9
"92","다양",9
"93","대부분",9
"94","모습",9
"95","상대방",9
"96","성향",9
"97","접근",9
"98","주의",9
"99","중시",9
"100","지도력",9
"101","지도자",9
"102","직설적",9
"103","처리",9
"104","특성",9
"105","평가",9
"106","환경",9
"107","가족",8
"108","근거",8
"109","기술",8
"110","만족",8
"111","방법",8
"112","사업",8
"113","사업가",8
"114","사항",8
"115","사회적",8
"116","생산",8
"117","선호",8
"118","실제적",8
"119","약속",8
"120","얘기",8
"121","의지",8
"122","절차",8
"123","정보",8
"124","중요시",8
"125","지향",8
"126","추구",8
"127","현실",8
"128","현재",8
"129","개인적",7
"130","건축",7
"131","경영",7
"132","기계",7
"133","기대",7
"134","내용",7
"135","대한",7
"136","모든",7
"137","미래",7
"138","분석",7
"139","상대",7
"140","성공",7
"141","속결",7
"142","속단",7
"143","예측",7
"144","위주",7
"145","의사",7
"146","정도",7
"147","주도",7
"148","책임감",7
"149","철저",7
"150","추상적",7
"151","과정",6
"152","교사",6
"153","모임",6
"154","반대",6
"155","변화",6
"156","분석가",6
"157","사업체",6
"158","서비스",6
"159","선택",6
"160","세상",6
"161","수행",6
"162","안정적",6
"163","의무",6
"164","이것",6
"165","일관성",6
"166","일처리",6
"167","작업",6
"168","적용",6
"169","전통",6
"170","전형적",6
"171","조직적",6
"172","존중",6
"173","종사",6
"174","프로젝트",6
"175","헌신",6
"176","혼자",6
"177","회사",6
"178","효과적",6
"179","흥미",6
"180","가지",5
"181","공정",5
"182","관련",5
"183","교육",5
"184","그분",5
"185","기대치",5
"186","본인",5
"187","상처",5
"188","상태",5
"189","세부",5
"190","스타일",5
"191","엄격",5
"192","완성",5
"193","이상",5
"194","일반적",5
"195","자연",5
"196","정부",5
"197","조언",5
"198","종교",5
"199","주변",5
"200","중심적",5
"201","지배",5
"202","지역",5
"203","진정",5
"204","친구",5
"205","컨설턴트",5
"206","하면",5
"207","현실감각",5
"208","호불호",5
"209","효율성",5
"210","11",4
"211","13",4
"212","감정적",4
"213","개발",4
"214","경찰",4
"215","경청",4
"216","고수",4
"217","공감능력",4
"218","관리자형",4
"219","관점",4
"220","그것",4
"221","긍정적",4
"222","기계분야",4
"223","기사",4
"224","도달",4
"225","만큼",4
"226","머릿속",4
"227","무시",4
"228","미술",4
"229","믿음",4
"230","발견",4
"231","배려",4
"232","변호사",4
"233","보안",4
"234","보험",4
"235","상업",4
"236","생산건축",4
"237","성실",4
"238","세부사항",4
"239","신속",4
"240","안정",4
"241","안정성",4
"242","양심적",4
"243","엔지니어",4
"244","완벽",4
"245","외로움",4
"246","외향",4
"247","우물",4
"248","융통성",4
"249","은행",4
"250","이성적",4
"251","인간관계",4
"252","일하",4
"253","장교",4
"254","장점",4
"255","전략",4
"256","정직",4
"257","정책",4
"258","제자리",4
"259","조건",4
"260","준수",4
"261","지원",4
"262","지적",4
"263","직급",4
"264","직접적",4
"265","집단",4
"266","집중",4
"267","최고",4
"268","타고",4
"269","타고난",4
"270","파악",4
"271","판사",4
"272","패턴",4
"273","한번",4
"274","행사",4
"275","행정가",4
"276","행정관리",4
"277","헌신적",4
"278","회계",4
"279","10",3
"280","12",3
"281","15",3
"282","가치관",3
"283","간과",3
"284","감독",3
"285","감사",3
"286","강점",3
"287","강한",3
"288","개인",3
"289","건강",3
"290","건설",3
"291","경찰관",3
"292","계획적",3
"293","공공",3
"294","공무원",3
"295","공장",3
"296","과업",3
"297","과제",3
"298","교류",3
"299","구조화",3
"300","군대",3
"301","규정",3
"302","기존",3
"303","기회",3
"304","나한",3
"305","나한테",3
"306","논리",3
"307","농부",3
"308","느낌",3
"309","다음",3
"310","대화",3
"311","도전",3
"312","도출",3
"313","동료",3
"314","두고",3
"315","뒤끝",3
"316","리더십",3
"317","만약",3
"318","만일",3
"319","목적",3
"320","무언가",3
"321","바탕",3
"322","발전",3
"323","방해",3
"324","번개",3
"325","보수",3
"326","부모",3
"327","분노",3
"328","분석적",3
"329","분위기",3
"330","불안",3
"331","불편",3
"332","비난",3
"333","비즈니스",3
"334","사고",3
"335","사업가형",3
"336","사용",3
"337","상담",3
"338","상사",3
"339","상황분석",3
"340","생활",3
"341","선배",3
"342","성격유형",3
"343","성과",3
"344","성적",3
"345","성취",3
"346","세계",3
"347","소매",3
"348","수도",3
"349","수학",3
"350","순간",3
"351","스스로",3
"352","시스템",3
"353","시험",3
"354","신념",3
"355","신뢰감",3
"356","실용성",3
"357","실행",3
"358","아이디어",3
"359","약사",3
"360","양보",3
"361","여기",3
"362","여유",3
"363","연애",3
"364","열정",3
"365","예절",3
"366","오억가지",3
"367","요리사",3
"368","우리",3
"369","운동",3
"370","원재료",3
"371","유리",3
"372","유용",3
"373","은근",3
"374","음식점",3
"375","응용",3
"376","의료",3
"377","의미",3
"378","이것저것",3
"379","이유",3
"380","이전",3
"381","인격",3
"382","일과",3
"383","임원",3
"384","입장",3
"385","자리",3
"386","자신감",3
"387","자원",3
"388","자질",3
"389","작업환경",3
"390","작용",3
"391","장기적",3
"392","재정",3
"393","전문가",3
"394","전부",3
"395","접근방식",3
"396","정치인",3
"397","제가",3
"398","조심",3
"399","조화",3
"400","종사자",3
"401","주도적",3
"402","중개인",3
"403","즉흥적",3
"404","지위",3
"405","직종",3
"406","차지",3
"407","참여",3
"408","창의력",3
"409","처음",3
"410","청소",3
"411","충성",3
"412","취약",3
"413","치료사",3
"414","컴퓨터",3
"415","타입",3
"416","태도",3
"417","통제",3
"418","투입",3
"419","판매",3
"420","편안",3
"421","평균",3
"422","피곤",3
"423","피곤하다",3
"424","학교",3
"425","학습",3
"426","확인",3
"427","활용",3
"428","회계사",3
"429","14",2
"430","16",2
"431","17",2
"432","18",2
"433","19",2
"434","20",2
"435","3년",2
"436","3위",2
"437","4위",2
"438","가게",2
"439","가부장",2
"440","가부장적인",2
"441","가시밭길",2
"442","가정",2
"443","갈등",2
"444","감독자",2
"445","감동",2
"446","감사원",2
"447","감시인",2
"448","강요",2
"449","개념",2
"450","개방적",2
"451","개입",2
"452","걸음",2
"453","검사",2
"454","검토",2
