"","word","freq"
"1","사람",29
"2","상황",18
"3","때문",17
"4","유형",16
"5","이분",14
"6","능력",13
"7","본인",12
"8","행동",12
"9","경우",11
"10","다양",11
"11","문제",11
"12","근거",10
"13","사업가",10
"14","성격",10
"15","해결",10
"16","임기응변",9
"17","자신",9
"18","적응",9
"19","활동",9
"20","감각",8
"21","개방적",8
"22","생각",8
"23","하나",8
"24","현실",8
"25","현실적",8
"26","사업가형",7
"27","스스로",7
"28","실적",7
"29","친구",7
"30","타인",7
"31","필요",7
"32","흥미",7
"33","경향",6
"34","관계",6
"35","관대",6
"36","내적",6
"37","마음",6
"38","모색",6
"39","모습",6
"40","사실",6
"41","상담",6
"42","선호",6
"43","운동",6
"44","타협",6
"45","감정",5
"46","관용적",5
"47","기억",5
"48","변화",5
"49","사고",5
"50","성향",5
"51","예술적",5
"52","음식",5
"53","재미",5
"54","주변",5
"55","즐거움",5
"56","처리",5
"57","판단력",5
"58","표현",5
"59","개념",4
"60","경험",4
"61","과정",4
"62","관심",4
"63","다중",4
"64","모험",4
"65","분석적",4
"66","사실적",4
"67","사회",4
"68","생활",4
"69","선입견",4
"70","선입관",4
"71","설명",4
"72","순발력",4
"73","아이디어",4
"74","연장",4
"75","오관",4
"76","요구",4
"77","인생",4
"78","있음",4
"79","재료",4
"80","주의",4
"81","추상적",4
"82","타협책",4
"83","현실감각",4
"84","가지",3
"85","갈등",3
"86","강한",3
"87","결정",3
"88","긍정적",3
"89","논리",3
"90","만족",3
"91","만큼",3
"92","명상",3
"93","분위기",3
"94","사물",3
"95","사용",3
"96","솔루션",3
"97","스트레스",3
"98","실제",3
"99","야기",3
"100","에너지",3
"101","외로움",3
"102","요가",3
"103","요소",3
"104","의미",3
"105","인격",3
"106","작용",3
"107","적응력",3
"108","정의",3
"109","중심",3
"110","지속적",3
"111","지향",3
"112","측면",3
"113","파악",3
"114","패턴",3
"115","평균",3
"116","학교",3
"117","현재",3
"118","활동가",3
"119","10",2
"120","16",2
"121","가능성",2
"122","가족",2
"123","가치",2
"124","감정적",2
"125","감지",2
"126","거리",2
"127","결과",2
"128","결국",2
"129","계획",2
"130","공감",2
"131","공부",2
"132","공사",2
"133","공사다망",2
"134","공허감",2
"135","관련",2
"136","관찰",2
"137","관찰력",2
"138","교사",2
"139","규범",2
"140","기능",2
"141","기도",2
"142","기준",2
"143","긴장",2
"144","끈기",2
"145","내향",2
"146","누구",2
"147","다망",2
"148","다음",2
"149","다중인격",2
"150","다행",2
"151","대처",2
"152","대화",2
"153","도덕적",2
"154","말로",2
"155","무대",2
"156","무리",2
"157","무마",2
"158","문제해결",2
"159","발산",2
"160","방법",2
"161","분석",2
"162","불허",2
"163","비교",2
"164","비율",2
"165","사건",2
"166","상대방",2
"167","상처",2
"168","상태",2
"169","성격유형",2
"170","세계",2
"171","수습",2
"172","수완",2
"173","수학",2
"174","순간",2
"175","실용적",2
"176","역할",2
"177","열정",2
"178","열정적",2
"179","영역",2
"180","예리",2
"181","오감",2
"182","의도",2
"183","이론",2
"184","이성적",2
"185","이전",2
"186","입장",2
"187","자기",2
"188","자발적",2
"189","잣대",2
"190","재주",2
"191","적용",2
"192","적인",2
"193","적합",2
"194","접근",2
"195","정도",2
"196","제한",2
"197","조금",2
"198","조장",2
"199","주도",2
"200","중요",2
"201","중인",2
"202","중인격",2
"203","즉흥적",2
"204","질서",2
"205","집중",2
"206","체험",2
"207","초래",2
"208","추구",2
"209","추종",2
"210","치료",2
"211","타의",2
"212","평가",2
"213","포착",2
"214","표정",2
"215","하다",2
"216","하면",2
"217","학생",2
"218","해결책",2
"219","핵심적",2
"220","화가",2
"221","활동가형",2
"222","활동적",2
"223","효과",2
