"","word","freq"
"1","사람",45
"2","경우",31
"3","자신",30
"4","타인",29
"5","생각",26
"6","때문",18
"7","유형",17
"8","이분",15
"9","필요",14
"10","헌신",13
"11","마음",12
"12","본인",12
"13","행동",12
"14","상처",11
"15","정도",11
"16","통찰력",11
"17","표현",11
"18","관심",10
"19","성격",10
"20","성향",10
"21","신념",10
"22","자기",10
"23","감정",9
"24","경향",9
"25","목적",9
"26","상대방",9
"27","이해",9
"28","주변",9
"29","가치",8
"30","영감",8
"31","추구",8
"32","혼자",8
"33","가지",7
"34","갈등",7
"35","관계",7
"36","내적",7
"37","독창성",7
"38","선의",7
"39","시간",7
"40","열정",7
"41","주의",7
"42","직관력",7
"43","창의력",7
"44","행복",7
"45","배려",6
"46","세상",6
"47","에너지",6
"48","옹호자",6
"49","의미",6
"50","적인",6
"51","헌신적",6
"52","건강",5
"53","관념",5
"54","구현",5
"55","노력",5
"56","독립심",5
"57","반복",5
"58","분야",5
"59","사실",5
"60","상상력",5
"61","생활",5
"62","선호",5
"63","아이",5
"64","어머니",5
"65","영향력",5
"66","완벽",5
"67","인간",5
"68","정신적",5
"69","존재",5
"70","지도자",5
"71","친구",5
"72","화가",5
"73","가능성",4
"74","가치관",4
"75","기본적",4
"76","내면",4
"77","누구",4
"78","능력",4
"79","달성",4
"80","동시",4
"81","무엇",4
"82","보답",4
"83","불편",4
"84","비유",4
"85","사랑",4
"86","사용",4
"87","순수",4
"88","스트레스",4
"89","심리학",4
"90","열정적",4
"91","옹호자형",4
"92","요구",4
"93","의견",4
"94","이익",4
"95","인간관계",4
"96","인내심",4
"97","일반적",4
"98","있음",4
"99","정리",4
"100","중시",4
"101","중심",4
"102","진실",4
"103","화합",4
"104","감각",3
"105","강요",3
"106","거짓말",3
"107","결단력",3
"108","경시",3
"109","고민",3
"110","권리",3
"111","그동안",3
"112","기능",3
"113","기쁨",3
"114","내향",3
"115","대상",3
"116","동기",3
"117","마찬가지",3
"118","만큼",3
"119","몰두",3
"120","문학",3
"121","부분",3
"122","불만",3
"123","상대",3
"124","상황",3
"125","소나",3
"126","스스로",3
"127","심리",3
"128","언어",3
"129","완벽주의적인",3
"130","유지",3
"131","이상",3
"132","이야기",3
"133","조건",3
"134","주기",3
"135","중요",3
"136","중요시",3
"137","지식",3
"138","최소한",3
"139","태도",3
"140","투쟁",3
"141","판단",3
"142","페르",3
"143","페르소나",3
"144","하나",3
"145","하다",3
"146","호기심",3
"147","흡수",3
"148","10",2
"149","100",2
"150","16",2
"151","20",2
"152","가능",2
"153","가족",2
"154","간파",2
"155","감수성",2
"156","개발",2
"157","개발분야",2
"158","개인적",2
"159","객관적",2
"160","거절",2
"161","검사",2
"162","결과",2
"163","경험",2
"164","계획",2
"165","고려",2
"166","고유",2
"167","고집",2
"168","고통",2
"169","공감",2
"170","공격적",2
"171","공식적",2
"172","공유",2
"173","과목",2
"174","과정",2
"175","과학",2
"176","관련",2
"177","교과서",2
"178","구조",2
"179","궁극적",2
"180","권유",2
"181","근거",2
"182","기대",2
"183","기술",2
"184","기준점",2
"185","나름",2
"186","남과",2
"187","내가",2
"188","내성적",2
"189","논리",2
"190","눈치",2
"191","느낌",2
"192","대부분",2
"193","대상자",2
"194","대화",2
"195","도달",2
"196","도덕",2
"197","도움",2
"198","동료",2
"199","동료애",2
"200","만약",2
"201","만족",2
"202","목적달성",2
"203","목표",2
"204","문제",2
"205","문학분야",2
"206","미래",2
"207","믿음",2
"208","반대",2
"209","반응",2
"210","발동",2
"211","발전",2
"212","방식",2
"213","배신",2
"214","변화",2
"215","보수적",2
"216","분위기",2
"217","비공식",2
"218","사교성",2
"219","사람중심",2
"220","사회적",2
"221","상담",2
"222","상당",2
"223","섬세",2
"224","성숙",2
"225","성직",2
"226","소유",2
"227","소통",2
"228","수록",2
"229","수준",2
"230","순수과학",2
"231","시도",2
"232","시작",2
"233","신뢰",2
"234","실망",2
"235","심리적",2
"236","심리치료",2
"237","애정",2
"238","약자",2
"239","양심",2
"240","여유",2
"241","연구",2
"242","열망",2
"243","열성",2
"244","예술",2
"245","예술과",2
"246","예의",2
"247","예측",2
"248","오랫동안",2
"249","오해",2
"250","외향",2
"251","우리",2
"252","원리",2
"253","원리원칙",2
"254","원칙",2
"255","은유",2
"256","이기주의",2
"257","이상은",2
"258","이상적",2
"259","이유",2
"260","인생",2
"261","자리",2
"262","자유",2
"263","적응",2
"264","정성",2
"265","정식",2
"266","정확",2
"267","제한",2
"268","조성",2
"269","조직적",2
"270","존경",2
"271","존재가치",2
"272","즐거움",2
"273","지도력",2
"274","직관",2
"275","진정",2
"276","책임감",2
"277","철학",2
"278","추상적",2
"279","치료",2
"280","친절",2
"281","특성",2
"282","특유",2
"283","특징",2
"284","평소",2
"285","포함",2
"286","한계점",2
"287","해결",2
"288","현실",2
"289","호소",2
"290","환경",2
