"","word","freq"
"1","사람",19
"2","마음",15
"3","자신",15
"4","관심",13
"5","신념",12
"6","이해",12
"7","이상",11
"8","관계",10
"9","완벽",10
"10","주의",10
"11","감정",9
"12","경우",9
"13","내적",9
"14","생각",9
"15","의미",9
"16","지향",9
"17","가치",8
"18","경향",8
"19","상대방",8
"20","생활",8
"21","성실",8
"22","열정",8
"23","이해심",8
"24","인간",8
"25","정열적",8
"26","책임감",8
"27","표현",8
"28","능력",7
"29","상황",7
"30","유형",7
"31","필요",7
"32","관대",6
"33","노동",6
"34","대가",6
"35","목가",6
"36","성격",6
"37","시간",6
"38","실제",6
"39","완벽주의",6
"40","지배",6
"41","현실",6
"42","개방적",5
"43","공감",5
"44","기여",5
"45","낭만적",5
"46","반응",5
"47","방법",5
"48","복지",5
"49","분위기",5
"50","융통성",5
"51","의지",5
"52","인간이해",5
"53","인상",5
"54","중요",5
"55","행동",5
"56","환경",5
"57","흥미",5
"58","개인적",4
"59","고려",4
"60","기복",4
"61","기질",4
"62","나름",4
"63","내면",4
"64","노력",4
"65","도움",4
"66","무엇",4
"67","반복",4
"68","발휘",4
"69","사랑",4
"70","사회",4
"71","세계",4
"72","스스로",4
"73","시작",4
"74","아이디어",4
"75","언어",4
"76","이상주의",4
"77","인간관계",4
"78","인간복지",4
"79","있음",4
"80","자체",4
"81","적응력",4
"82","존재",4
"83","주의자",4
"84","창의",4
"85","타인",4
"86","헌신",4
"87","가치관",3
"88","간섭",3
"89","갈구",3
"90","갈등",3
"91","감정적",3
"92","과학",3
"93","관점",3
"94","규칙",3
"95","그것",3
"96","내향",3
"97","논리",3
"98","동기",3
"99","때문",3
"100","모습",3
"101","몽상가",3
"102","문학",3
"103","믿음",3
"104","방식",3
"105","벼락",3
"106","본인",3
"107","부분",3
"108","부여",3
"109","분야",3
"110","비도덕",3
"111","상담",3
"112","선호",3
"113","성취",3
"114","성향",3
"115","수줍음",3
"116","신경",3
"117","심리학",3
"118","애정",3
"119","에너지",3
"120","연락",3
"121","영화",3
"122","예술",3
"123","예술분야",3
"124","완벽주의자",3
"125","원칙",3
"126","위협",3
"127","은유",3
"128","이야기",3
"129","일상적",3
"130","자기",3
"131","작가",3
"132","정도",3
"133","조직",3
"134","조직생활",3
"135","진정",3
"136","집중",3
"137","처음",3
"138","추구",3
"139","파악",3
"140","포기",3
"141","학교",3
"142","혼자",3
"143","희생",3
"144","가계부",2
"145","가능성",2
"146","가식",2
"147","가족",2
"148","가족포함",2
"149","감각",2
"150","개념",2
"151","거리",2
"152","걸음",2
"153","결과",2
"154","경험",2
"155","계절",2
"156","계획적",2
"157","고찰",2
"158","과묵",2
"159","과정",2
"160","관련",2
"161","관종",2
"162","기능",2
"163","기대치",2
"164","기함",2
"165","끈기",2
"166","나한",2
"167","나한테",2
"168","논리적",2
"169","다수",2
"170","도덕적",2
"171","독립적",2
"172","돈개념",2
"173","듯이",2
"174","딴생각",2
"175","망상",2
"176","멀티",2
"177","명이",2
"178","모두",2
"179","모든",2
"180","모름",2
"181","목숨",2
"182","목적",2
"183","목표",2
"184","무언가",2
"185","민충",2
"186","배려",2
"187","백번",2
"188","변화",2
"189","보상",2
"190","보임",2
"191","부기능",2
"192","부적응",2
"193","부적응자로",2
"194","분쟁",2
"195","불꽃",2
"196","불만이",2
"197","비판",2
"198","사이",2
"199","상상력",2
"200","생명",2
"201","서리",2
"202","성장",2
"203","성적",2
"204","세상",2
"205","소설",2
"206","소수",2
"207","수행",2
"208","순간",2
"209","순수",2
"210","스타일",2
"211","시인",2
"212","식음",2
"213","신비",2
"214","실천",2
"215","실행",2
"216","심취",2
"217","안됨",2
"218","애기",2
"219","약속",2
"220","양보",2
"221","얘기",2
"222","어색",2
"223","여김",2
"224","여행",2
"225","열정적",2
"226","영역",2
"227","예민충",2
"228","오해",2
"229","완전",2
"230","외향",2
"231","우울",2
"232","유명",2
"233","음악",2
"234","의도",2
"235","의미부여",2
"236","의사",2
"237","의식",2
"238","의심",2
"239","이상적",2
"240","이상주의자",2
"241","이용",2
"242","이타",2
"243","인물",2
"244","인정",2
"245","일반적",2
"246","일상",2
"247","자기애",2
"248","자로",2
"249","자존",2
"250","잘못",2
"251","잡생각",2
"252","재능",2
"253","정보",2
"254","정신",2
"255","정신세계",2
"256","정작",2
"257","조금",2
"258","조절",2
"259","조화",2
"260","종교",2
"261","주기능",2
"262","주위",2
"263","주장",2
"264","줄모름",2
"265","중재자",2
"266","즉흥적",2
"267","직관",2
"268","직관력",2
"269","직접적",2
"270","집순",2
"271","창대",2
"272","창의력",2
"273","초기",2
"274","충만",2
"275","치의",2
"276","친구",2
"277","침착",2
"278","탐구",2
"279","태도",2
"280","통찰력",2
"281","특별",2
"282","티비",2
"283","판단",2
"284","평균",2
"285","포함",2
"286","표출",2
"287","피상적",2
"288","하나",2
"289","하면",2
"290","하질",2
"291","학습",2
"292","한국",2
"293","한번",2
"294","합리화",2
"295","해결",2
"296","행위",2
"297","헌신적",2
"298","현실감각",2
"299","호기심",2
"300","호불호",2
