"","word","freq"
"1","16",151
"2","사람",61
"3","있음",59
"4","자신",41
"5","생각",23
"6","자기",22
"7","행동",19
"8","사고",18
"9","문제",17
"10","시간",17
"11","신념",17
"12","필요",16
"13","감정",15
"14","타인",15
"15","경향",14
"16","노력",13
"17","고집",12
"18","능력",12
"19","상대방",12
"20","이해",12
"21","지식",12
"22","친구",12
"23","관계",11
"24","때문",11
"25","경우",10
"26","관심",10
"27","달성",10
"28","상황",10
"29","실현",10
"30","의지",10
"31","해결",10
"32","감정적",9
"33","고려",9
"34","독창적",9
"35","성격",9
"36","실적",9
"37","계획",8
"38","면모",8
"39","모습",8
"40","발휘",8
"41","방법",8
"42","본인",8
"43","분야",8
"44","연인",8
"45","유형",8
"46","자녀",8
"47","중요시",8
"48","지적",8
"49","현실적",8
"50","건축가",7
"51","건축가형",7
"52","결단력",7
"53","과정",7
"54","내용",7
"55","만큼",7
"56","목적",7
"57","사회적",7
"58","성향",7
"59","업무",7
"60","연애",7
"61","자체",7
"62","전략",7
"63","추구",7
"64","통찰력",7
"65","표현",7
"66","하다",7
"67","합리적",7
"68","현실",7
"69","가치",6
"70","경험",6
"71","공감",6
"72","내적",6
"73","논리",6
"74","논리적",6
"75","목표",6
"76","발견",6
"77","분석력",6
"78","소리",6
"79","수도",6
"80","원칙",6
"81","이성적",6
"82","인내심",6
"83","자신감",6
"84","직관력",6
"85","관점",5
"86","규칙",5
"87","누구",5
"88","비판",5
"89","사실",5
"90","사항",5
"91","세상",5
"92","아이디어",5
"93","어려움",5
"94","역할",5
"95","완벽",5
"96","의미",5
"97","이분",5
"98","이상",5
"99","주변",5
"100","중시",5
"101","중요",5
"102","탐구",5
"103","헌신",5
"104","가능성",4
"105","간주",4
"106","개인적",4
"107","결과",4
"108","공유",4
"109","기대",4
"110","대개",4
"111","독립",4
"112","독립적",4
"113","동료",4
"114","방식",4
"115","부족",4
"116","분위기",4
"117","사실적",4
"118","사회",4
"119","선호",4
"120","수용",4
"121","스스로",4
"122","실수",4
"123","영감",4
"124","요구",4
"125","의견",4
"126","인식",4
"127","인정",4
"128","일과",4
"129","정보",4
"130","제공",4
"131","존경",4
"132","주의자",4
"133","지향",4
"134","태도",4
"135","파악",4
"136","평가",4
"137","합리성",4
"138","혼자",4
"139","가능",3
"140","가족",3
"141","간과",3
"142","감각",3
"143","강점",3
"144","객관적",3
"145","거리",3
"146","결국",3
"147","고민",3
"148","공상",3
"149","과제",3
"150","관리",3
"151","광범위",3
"152","교류",3
"153","권위",3
"154","그것",3
"155","그동안",3
"156","기반",3
"157","기술",3
"158","기존",3
"159","누군가",3
"160","느낌",3
"161","대다수",3
"162","대상",3
"163","도움",3
"164","독립성",3
"165","독립투사",3
"166","목적달성",3
"167","무신경",3
"168","무언가",3
"169","무엇",3
"170","무의미",3
"171","물리적",3
"172","발상",3
"173","법칙",3
"174","변화",3
"175","부분",3
"176","분석",3
"177","불가능",3
"178","비전",3
"179","비판적",3
"180","비현",3
"181","비현실적",3
"182","사과나무",3
"183","사랑",3
"184","사사",3
"185","상사",3
"186","생활",3
"187","선생님",3
"188","설계",3
"189","세계",3
"190","세부",3
"191","수록",3
"192","영향",3
"193","예측",3
"194","오해",3
"195","이성",3
"196","이야기",3
"197","이유",3
"198","인간",3
"199","인기",3
"200","인상",3
"201","임원",3
"202","자아",3
"203","자연",3
"204","자유",3
"205","작용",3
"206","잠재력",3
"207","잡담",3
"208","재치",3
"209","적용",3
"210","적인",3
"211","정도",3
"212","정의",3
"213","정치",3
"214","조직",3
"215","주의",3
"216","증거",3
"217","증명",3
"218","지위",3
"219","지인",3
"220","직업",3
"221","진실",3
"222","집착",3
"223","창의",3
"224","창의력",3
"225","체계",3
"226","체스",3
"227","초점",3
"228","탐색",3
"229","투사",3
"230","판단",3
"231","합의",3
"232","행위",3
"233","혁신",3
"234","현상",3
"235","확신",3
"236","활동",3
"237","활용",3
"238","효과적",3
"239","흥미",3
"240","가정",2
"241","가지",2
"242","감독",2
"243","감성",2
"244","감수성",2
"245","감염",2
"246","감염의학",2
"247","감이",2
"248","개념",2
"249","개인",2
"250","거부",2
"251","거짓말",2
"252","결정",2
"253","계산",2
"254","고통",2
"255","과목",2
"256","과학",2
"257","관련",2
"258","관습",2
"259","관심사",2
"260","그대",2
"261","긍정적",2
"262","기교",2
"263","기본적",2
"264","기준",2
"265","기질",2
"266","기회",2
"267","깊이",2
"268","나라",2
"269","나름",2
"270","난관",2
"271","낭만",2
"272","내면",2
"273","내부",2
"274","내성적",2
"275","냉소",2
"276","다각도",2
"277","다툼",2
"278","단순",2
"279","단어",2
"280","대부분",2
"281","대비",2
"282","대화",2
"283","데이트",2
"284","도로",2
"285","도전",2
"286","독창성",2
"287","만약",2
"288","만유인력",2
"289","만족",2
"290","맹목적",2
"291","머리",2
"292","모든",2
"293","모순적",2
"294","모욕적",2
"295","무기",2
"296","무능",2
"297","무시",2
"298","무신경하다",2
"299","믿음",2
"300","반면",2
"301","발명",2
"302","발생",2
"303","배려",2
"304","보통",2
"305","복종",2
"306","본질",2
"307","부담",2
"308","부하",2
"309","불문율",2
"310","불일치",2
"311","비판분석력",2
"312","사고력",2
"313","사소",2
"314","사안",2
"315","사용",2
"316","사원",2
"317","상담",2
"318","상상력",2
"319","설명",2
"320","성공",2
"321","성과",2
"322","성취",2
"323","소통",2
"324","수다",2
"325","수립",2
"326","수준",2
"327","수행",2
"328","순간",2
"329","순위",2
"330","시각",2
"331","신경",2
"332","신입",2
"333","신중",2
"334","아무",2
"335","애정",2
"336","약점",2
"337","양심",2
"338","얘기",2
"339","얼굴",2
"340","에너지",2
"341","엔지니어링",2
"342","역량",2
"343","연구",2
"344","열정적",2
"345","예절",2
"346","완벽주의",2
"347","요소",2
"348","욕구",2
"349","욕심",2
"350","우둔",2
"351","우선",2
"352","우선순위",2
"353","원리",2
"354","유용",2
"355","육아",2
"356","융통성",2
"357","응징",2
"358","의식",2
"359","의학",2
"360","이론",2
"361","이면",2
"362","이슈",2
"363","이익",2
"364","인간관계",2
"365","인구",2
