"","word","freq"
"1","사람",14
"2","논리적",10
"3","관심",9
"4","지적",8
"5","논리",7
"6","때문",7
"7","생각",7
"8","이해",7
"9","감정",6
"10","분야",6
"11","자신",6
"12","잡담",6
"13","사색가",5
"14","사색가형",5
"15","이론",5
"16","자기",5
"17","호기심",5
"18","경향",4
"19","과묵",4
"20","능력",4
"21","문제",4
"22","성격",4
"23","아이디어",4
"24","유형",4
"25","인간관계",4
"26","직관력",4
"27","가능성",3
"28","개인적",3
"29","객관적",3
"30","결론",3
"31","관계",3
"32","모임",3
"33","분석",3
"34","분석적",3
"35","상대방",3
"36","설명",3
"37","소리",3
"38","실질적",3
"39","이론적",3
"40","재능",3
"41","지식",3
"42","추상적",3
"43","표현",3
"44","해결",3
"45","가능",2
"46","가지",2
"47","가치",2
"48","공상",2
"49","과학적",2
"50","관점",2
"51","구라",2
"52","기분",2
"53","끝판",2
"54","끝판왕",2
"55","농담",2
"56","대화",2
"57","독창성",2
"58","등에",2
"59","머릿속",2
"60","모습",2
"61","몰입",2
"62","몽상",2
"63","미루기",2
"64","발휘",2
"65","부분",2
"66","비교",2
"67","비평",2
"68","비현",2
"69","비현실적",2
"70","사실",2
"71","사회적",2
"72","상상",2
"73","상처",2
"74","성향",2
"75","시간",2
"76","신경",2
"77","실적",2
"78","실체",2
"79","안받음",2
"80","얘기",2
"81","연락",2
"82","원리",2
"83","이야기",2
"84","인간",2
"85","일련",2
"86","일의",2
"87","잠재력",2
"88","정도",2
"89","주관",2
"90","주위",2
"91","중요",2
"92","창의",2
"93","창의력",2
"94","천재",2
"95","추리",2
"96","타인",2
"97","통찰",2
"98","파티",2
"99","팩폭",2
"100","하나",2
"101","해결책",2
"102","흥미",2
