"","word","freq"
"1","사람",52
"2","자신",27
"3","유형",22
"4","성격",20
"5","상황",19
"6","경험",18
"7","본인",14
"8","때문",13
"9","타인",13
"10","16",12
"11","경향",12
"12","관계",12
"13","개인적",11
"14","경우",11
"15","책임감",11
"16","필요",11
"17","행동",11
"18","생각",10
"19","사항",9
"20","사회",9
"21","역할",9
"22","프레임",9
"23","가족",8
"24","감정",8
"25","기억",8
"26","성향",8
"27","수호자",8
"28","인내력",8
"29","조직",8
"30","가치",7
"31","고려",7
"32","안정적",7
"33","이해",7
"34","인정",7
"35","주의",7
"36","패턴",7
"37","가정",6
"38","노력",6
"39","대처",6
"40","변화",6
"41","사실",6
"42","세부",6
"43","실제",6
"44","완벽",6
"45","주의자",6
"46","처리",6
"47","친구",6
"48","표현",6
"49","헌신적",6
"50","가능",5
"51","가지",5
"52","감각",5
"53","관심",5
"54","다양",5
"55","도움",5
"56","문제",5
"57","상대방",5
"58","성실",5
"59","수호자형",5
"60","스트레스",5
"61","시간",5
"62","실제적",5
"63","어려움",5
"64","업무",5
"65","요구",5
"66","정보",5
"67","조직적",5
"68","특성",5
"69","헌신",5
"70","현실",5
"71","가능성",4
"72","관련",4
"73","기억력",4
"74","기준",4
"75","난관",4
"76","내성적",4
"77","내적",4
"78","능력",4
"79","보호",4
"80","분별력",4
"81","사랑",4
"82","사정",4
"83","선호",4
"84","성취",4
"85","세부적",4
"86","신중",4
"87","온정적",4
"88","우리",4
"89","유지",4
"90","의료",4
"91","이유",4
"92","이타",4
"93","인간관계",4
"94","일반적",4
"95","자체",4
"96","존경",4
"97","지향",4
"98","칭찬",4
"99","현실감각",4
"100","확립",4
"101","환경",4
"102","회사",4
"103","갈등",3
"104","결과",3
"105","겸손",3
"106","계획",3
"107","공감",3
"108","교육",3
"109","기존",3
"110","내향형",3
"111","달성",3
"112","대화",3
"113","동정심",3
"114","라이트",3
"115","만족",3
"116","바탕",3
"117","반면",3
"118","반복",3
"119","방식",3
"120","번째",3
"121","분야",3
"122","사전",3
"123","사회적",3
"124","세상일",3
"125","수용",3
"126","스포트",3
"127","스포트라이트",3
"128","신뢰",3
"129","애기",3
"130","열정",3
"131","예측",3
"132","원칙",3
"133","의무",3
"134","이것",3
"135","이용",3
"136","자기",3
"137","자신감",3
"138","자애",3
"139","장점",3
"140","전통",3
"141","정의",3
"142","정확",3
"143","제공",3
"144","존중",3
"145","주변",3
"146","주춧돌",3
"147","중요",3
"148","중요시",3
"149","직면",3
"150","집단",3
"151","창의",3
"152","책임",3
"153","침착",3
"154","하다",3
"155","해석",3
"156","혼자",3
"157","3가지",2
"158","가차",2
"159","간접",2
"160","간호",2
"161","검사",2
"162","공공",2
"163","공공기관",2
"164","과거",2
"165","과도",2
"166","과소평가",2
"167","관계술",2
"168","관습",2
"169","관습적",2
"170","관찰력",2
"171","교직",2
"172","구조",2
"173","구체적",2
"174","그룹",2
"175","근거",2
"176","근면",2
"177","근무",2
"178","긍정적",2
"179","기관",2
"180","기대치",2
"181","기여",2
"182","기피",2
"183","내향",2
"184","단점",2
"185","단체",2
"186","대기업",2
"187","대응",2
"188","데이터",2
"189","독창성",2
"190","마음",2
"191","마인드",2
"192","만큼",2
"193","면모",2
"194","명예",2
"195","모습",2
"196","목표",2
"197","무엇",2
"198","문제점",2
"199","발생",2
"200","방법",2
"201","방어",2
"202","보수적",2
"203","보호자",2
"204","부담",2
"205","부족",2
"206","불편",2
"207","사고",2
"208","사무직",2
"209","사업",2
"210","사용",2
"211","사회사업",2
"212","상대",2
"213","상상",2
"214","상처",2
"215","선제",2
"216","설명",2
"217","성과",2
"218","세상",2
"219","세심",2
"220","소소한",2
"221","소한",2
"222","실용적",2
"223","실적",2
"224","아이디어",2
"225","안정",2
"226","애인",2
"227","애정",2
"228","어색",2
"229","언급",2
"230","업적",2
"231","연관",2
"232","연민",2
"233","열중",2
"234","완벽주의",2
"235","완벽주의자만큼",2
"236","완수",2
"237","외향",2
"238","욕구",2
"239","유능",2
"240","유연성",2
"241","의존",2
"242","이기적",2
"243","이상",2
"244","이야기",2
"245","이타주의자",2
"246","이행",2
"247","인간",2
"248","일처리",2
"249","있음",2
"250","자랑",2
"251","자원",2
"252","적합",2
"253","전념",2
"254","절차",2
"255","접근",2
"256","정답",2
"257","정도",2
"258","정식",2
"259","정진",2
"260","조화",2
"261","주위",2
"262","준비",2
"263","준수",2
"264","지역",2
"265","지연",2
"266","직업",2
"267","진행",2
"268","집중",2
"269","집중력",2
"270","참조",2
"271","창의성",2
"272","체험",2
"273","최선",2
"274","충실",2
"275","취약",2
"276","침착성",2
"277","태도",2
"278","파악",2
"279","하면",2
"280","학습",2
"281","해결",2
"282","행복",2
"283","확신",2
"284","활동",2
"285","흐름",2
