"","word","freq"
"1","사람",14
"2","자기",14
"3","감정",12
"4","자신",12
"5","타인",12
"6","겸손",11
"7","유형",11
"8","상대방",10
"9","성격",10
"10","의견",10
"11","행동",10
"12","관계",9
"13","능력",9
"14","마음",9
"15","생각",9
"16","필요",9
"17","가치",8
"18","추진력",8
"19","감각",7
"20","결정력",7
"21","속마음",7
"22","시간",7
"23","주변",7
"24","추구",7
"25","충돌",7
"26","친절",7
"27","활동",7
"28","강요",6
"29","경우",6
"30","경향",6
"31","관심",6
"32","관용",6
"33","규칙",6
"34","다정",6
"35","동정적",6
"36","때문",6
"37","반대",6
"38","상황",6
"39","이해",6
"40","인간과",6
"41","인화",6
"42","적극적",6
"43","적응력",6
"44","조화",6
"45","주의",6
"46","중시",6
"47","표현",6
"48","하다",6
"49","갈등",5
"50","거절",5
"51","목표",5
"52","무엇",5
"53","문제",5
"54","분위기",5
"55","비판",5
"56","안감",5
"57","양털",5
"58","예술가",5
"59","오버",5
"60","오버코트",5
"61","융통성",5
"62","있음",5
"63","즐거움",5
"64","코트",5
"65","특성",5
"66","현재",5
"67","가지",4
"68","개방적",4
"69","결단력",4
"70","겸손하다",4
"71","경험",4
"72","공감",4
"73","균형",4
"74","내향",4
"75","누구",4
"76","반대의견",4
"77","변화",4
"78","본인",4
"79","부탁",4
"80","사고",4
"81","선택",4
"82","성격유형",4
"83","성향",4
"84","소리",4
"85","얘기",4
"86","예술적",4
"87","요구",4
"88","인간",4
"89","자유",4
"90","적응",4
"91","존중",4
"92","칭찬",4
"93","판단",4
"94","표출",4
"95","호기심",4
"96","혼자",4
"97","16",3
"98","가능성",3
"99","개인",3
"100","개인주의",3
"101","결정",3
"102","계획",3
"103","관습",3
"104","구체적",3
"105","그것",3
"106","극도",3
"107","기능",3
"108","나무",3
"109","노력",3
"110","누군가",3
"111","눈치",3
"112","다양",3
"113","달성",3
"114","모습",3
"115","목가적",3
"116","미래",3
"117","미룸",3
"118","발휘",3
"119","방법",3
"120","배려",3
"121","보호",3
"122","부정적",3
"123","부족",3
"124","분노",3
"125","분야",3
"126","사실",3
"127","사용",3
"128","상대",3
"129","상처",3
"130","선호",3
"131","성찰",3
"132","스트레스",3
"133","신경",3
"134","신념",3
"135","실천",3
"136","양보",3
"137","연기력",3
"138","연락",3
"139","외향",3
"140","음악",3
"141","의심",3
"142","인간관계",3
"143","인정",3
"144","일반적",3
"145","일상",3
"146","일상활동",3
"147","자랑",3
"148","자아",3
"149","자연",3
"150","자연적",3
"151","자존",3
"152","전원",3
"153","전통적",3
"154","정도",3
"155","조직",3
"156","주기능",3
"157","직관",3
"158","집중",3
"159","집착",3
"160","처리",3
"161","충성",3
"162","특유",3
"163","편안",3
"164","하루",3
"165","해결",3
"166","환경",3
"167","3차",2
"168","갈구",2
"169","감수성",2
"170","감정기복",2
"171","감정적",2
"172","개인적",2
"173","거부",2
"174","건강",2
"175","게임",2
"176","결과",2
"177","경쟁",2
"178","고집",2
"179","공감능력",2
"180","과정",2
"181","과학",2
"182","관련",2
"183","관리",2
"184","관용적",2
"185","관종",2
"186","군자",2
"187","그거",2
"188","그림",2
"189","기능인",2
"190","기대",2
"191","기도",2
"192","기만",2
"193","기복",2
"194","기자",2
"195","기질",2
"196","낙천가",2
"197","낙천적",2
"198","내면",2
"199","내재",2
"200","내적",2
"201","내향형",2
"202","논리적",2
"203","느림",2
"204","다음",2
"205","다이어리",2
"206","대가",2
"207","대다수",2
"208","대답",2
"209","대부분",2
"210","대중",2
"211","데이트",2
"212","도움",2
"213","도전장",2
"214","독립적",2
"215","두절",2
"216","듯이",2
"217","디자인",2
"218","매력",2
"219","매사",2
"220","매일",2
"221","모험가",2
"222","모험가형",2
"223","무기력",2
"224","무대",2
"225","무례",2
"226","문학",2
"227","미술",2
"228","미적",2
"229","반면",2
