"","word","freq"
"1","사람",24
"2","상황",19
"3","경우",16
"4","경험",15
"5","성격",15
"6","자신",15
"7","유형",14
"8","경향",13
"9","때문",12
"10","본인",11
"11","사실",11
"12","책임감",11
"13","처리",10
"14","감각",9
"15","논리",9
"16","신중",9
"17","역할",9
"18","프레임",9
"19","필요",9
"20","행동",9
"21","기억",8
"22","문제",8
"23","선호",8
"24","조직",8
"25","노력",7
"26","능력",7
"27","목표",7
"28","생각",7
"29","실제",7
"30","정확",7
"31","중시",7
"32","집중력",7
"33","책임",7
"34","패턴",7
"35","개인적",6
"36","고려",6
"37","과거",6
"38","달성",6
"39","보수적",6
"40","안정",6
"41","이유",6
"42","자녀",6
"43","자형",6
"44","주의",6
"45","타인",6
"46","현실",6
"47","혼자",6
"48","감정",5
"49","내향",5
"50","논리주의자형",5
"51","반복",5
"52","부족",5
"53","시간",5
"54","실적",5
"55","인내력",5
"56","일상적",5
"57","적용",5
"58","조직적",5
"59","철저",5
"60","청렴",5
"61","체계적",5
"62","침착",5
"63","하다",5
"64","해결",5
"65","현실적",5
"66","회사",5
"67","가지",4
"68","결백",4
"69","근거",4
"70","기관",4
"71","기능",4
"72","기준",4
"73","내적",4
"74","발휘",4
"75","분별력",4
"76","분야",4
"77","사고",4
"78","사항",4
"79","성실",4
"80","성향",4
"81","수행",4
"82","약속",4
"83","업무",4
"84","위기",4
"85","임무",4
"86","자체",4
"87","창의",4
"88","청렴결백",4
"89","추구",4
"90","표현",4
"91","한번",4
"92","16",3
"93","가능",3
"94","계획",3
"95","공공",3
"96","공공기관",3
"97","관리",3
"98","근무",3
"99","기분",3
"100","다양",3
"101","단점",3
"102","대학",3
"103","매사",3
"104","방안",3
"105","법률",3
"106","변화",3
"107","사리",3
"108","사전",3
"109","소리",3
"110","스트레스",3
"111","시작",3
"112","완수",3
"113","이상",3
"114","이야기",3
"115","이해",3
"116","인정",3
"117","일반적",3
"118","전체적",3
"119","전통적",3
"120","정확성",3
"121","조직력",3
"122","주기능",3
"123","주춧돌",3
"124","중요",3
"125","직면",3
"126","창의성",3
"127","칭찬",3
"128","타협적",3
"129","학교",3
"130","해석",3
"131","핵심",3
"132","헌신적",3
"133","현실감각",3
"134","10",2
"135","16유형",2
"136","가정",2
"137","가치관",2
"138","간접",2
"139","건축",2
"140","견해",2
"141","결정",2
"142","관계",2
"143","관리직",2
"144","관심",2
"145","교육",2
"146","근면",2
"147","긍정적",2
"148","기도",2
"149","내가",2
"150","내향형",2
"151","노력파적",2
"152","논리주의자",2
"153","대기업",2
"154","대응",2
"155","대처",2
"156","동료",2
"157","모습",2
"158","몰두",2
"159","무엇",2
"160","문제점",2
"161","발생",2
"162","배려",2
"163","번째",2
"164","부분",2
"165","사리분별력",2
"166","사무직",2
"167","사용",2
"168","상처",2
"169","생산",2
"170","생활",2
"171","선생님",2
"172","선제",2
"173","성격유형",2
"174","성사",2
"175","성적",2
"176","세부",2
"177","세부사항",2
"178","세상",2
"179","소속",2
"180","스타일",2
"181","승진",2
"182","시험",2
"183","실용적",2
"184","안정적",2
"185","얘기",2
"186","언급",2
"187","얼굴",2
"188","예측",2
"189","외향",2
"190","요구",2
"191","우선",2
"192","원리",2
"193","원칙",2
"194","원칙적",2
"195","위기상황",2
"196","유연성",2
"197","의료",2
"198","이용",2
"199","일관성",2
"200","일은",2
"201","일처리",2
"202","있음",2
"203","자원",2
"204","장점",2
"205","정답",2
"206","정도",2
"207","정돈",2
"208","정의",2
"209","주변",2
"210","주의자",2
"211","즉흥적",2
"212","직설적",2
"213","직장",2
"214","진행",2
"215","체험",2
"216","취업",2
"217","통제",2
"218","파적",2
"219","평균",2
"220","하나",2
"221","학습",2
"222","현실성",2
"223","협동",2
"224","환경",2
"225","활용",2
"226","회계",2
"227","희생",2
