"","word","freq"
"1","관심",11
"2","사람",10
"3","자신",10
"4","객관적",8
"5","관계",8
"6","분야",8
"7","상황",8
"8","타인",8
"9","필요",8
"10","감정",7
"11","경향",7
"12","논리적",7
"13","능력",7
"14","마음",7
"15","경우",6
"16","노력",6
"17","문제",6
"18","사실",6
"19","생각",6
"20","재능",6
"21","간섭",5
"22","감각",5
"23","관찰",5
"24","기계",5
"25","때문",5
"26","사실적",5
"27","소리",5
"28","시간",5
"29","원리",5
"30","이상",5
"31","일반적",5
"32","자기",5
"33","행동",5
"34","현실",5
"35","호기심",5
"36","감정적",4
"37","규칙",4
"38","기분",4
"39","도구",4
"40","만큼",4
"41","모습",4
"42","발휘",4
"43","법률",4
"44","분석적",4
"45","생활",4
"46","성향",4
"47","융통성",4
"48","인생",4
"49","일과",4
"50","적극적",4
"51","적응력",4
"52","절약",4
"53","정도",4
"54","조직",4
"55","조직화",4
"56","파악",4
"57","표현",4
"58","흥미",4
"59","개인",3
"60","개인주의",3
"61","거리",3
"62","경제",3
"63","계획",3
"64","고집",3
"65","관심분야",3
"66","권위",3
"67","내색",3
"68","느낌",3
"69","대비",3
"70","대인",3
"71","대인관계",3
"72","마케팅",3
"73","많으므",3
"74","무관심",3
"75","미래",3
"76","반면",3
"77","벼락",3
"78","상대방",3
"79","선호",3
"80","성격",3
"81","소비",3
"82","스릴",3
"83","스타일",3
"84","스트레스",3
"85","스포츠",3
"86","실적",3
"87","얘기",3
"88","에너지",3
"89","열정적",3
"90","유형",3
"91","이론",3
"92","이분",3
"93","이해",3
"94","인간관계",3
"95","장난",3
"96","적인",3
"97","정밀",3
"98","정보",3
"99","주의",3
"100","주장",3
"101","창의",3
"102","친구",3
"103","통계",3
"104","특성",3
"105","판매",3
"106","하나",3
"107","혼자",3
"108","25",2
"109","가기",2
"110","가능",2
"111","개발",2
"112","개방",2
"113","거부",2
"114","건조",2
"115","게임",2
"116","결정",2
"117","경험",2
"118","공감",2
"119","과묵",2
"120","과학",2
"121","관리",2
"122","관심거리",2
"123","기본적",2
"124","기술",2
"125","낭비",2
"126","내가",2
"127","능률",2
"128","단순",2
"129","대화",2
"130","동시",2
"131","두각",2
"132","따위",2
"133","마찬가지",2
"134","맹목적",2
"135","멀티",2
"136","모험",2
"137","몰두",2
"138","몰입",2
"139","무미",2
"140","무미건조",2
"141","무엇",2
"142","민감성",2
"143","반항",2
"144","배려",2
"145","변화",2
"146","불허",2
"147","비율",2
"148","사교적",2
"149","사생활",2
"150","상대",2
"151","설명",2
"152","소극적",2
"153","손재주",2
"154","순간",2
"155","시험",2
"156","신경",2
"157","신중",2
"158","실용적",2
"159","실행",2
"160","안됨",2
"161","언어",2
"162","언제",2
"163","엔지니어",2
"164","여성",2
"165","연장",2
"166","열정",2
"167","외적",2
"168","요구",2
"169","원칙",2
"170","위계질서",2
"171","위기",2
"172","유머",2
"173","육성",2
"174","이것",2
"175","이것저것",2
"176","이유",2
"177","이전",2
"178","인간",2
"179","인과",2
"180","인식",2
"181","일의",2
"182","일자리",2
"183","있음",2
"184","자료",2
"185","재미",2
"186","저항",2
"187","절제",2
"188","정리",2
"189","정말",2
"190","정의감",2
"191","정확",2
"192","제일",2
"193","조립",2
"194","종목",2
"195","주변",2
"196","중요시",2
"197","즉흥적",2
"198","즐거움",2
"199","직설적",2
"200","직장",2
"201","집중력",2
"202","추구",2
"203","추상적",2
"204","충동",2
"205","취미",2
"206","친절",2
"207","침착",2
"208","평등",2
"209","하다",2
"210","합리적",2
"211","해결",2
"212","현실감각",2
"213","현실적",2
"214","호불호",2
"215","호소",2
"216","효율성",2
"217","효율적",2
