"","word","freq"
"1","사람",2267
"2","엔프제",1999
"3","생각",1484
"4","친구",1316
"5","내가",1043
"6","엔프",944
"7","자기",690
"8","마음",658
"9","남자",598
"10","여자",570
"11","연락",544
"12","성격",540
"13","정도",509
"14","얘기",474
"15","사랑",438
"16","느낌",428
"17","엔프제들",427
"18","관계",415
"19","시간",414
"20","연애",402
"21","유형",399
"22","이것",382
"23","하나",368
"24","감정",355
"25","때문",353
"26","주변",353
"27","하다",341
"28","고민",337
"29","행동",337
"30","여기",334
"31","나도",332
"32","처음",330
"33","본인",324
"34","기분",321
"35","지금",310
"36","상황",307
"37","있음",303
"38","혼자",302
"39","상대",300
"40","이거",300
"41","이상",295
"42","무엇",292
"43","인간",284
"44","호감",284
"45","대화",283
"46","관심",282
"47","너희",281
"48","이유",271
"49","이해",271
"50","오늘",268
"51","요즘",262
"52","이야기",262
"53","행복",259
"54","우리",257
"55","자신",252
"56","사실",246
"57","안녕",243
"58","원래",238
"59","남친",236
"60","한번",235
"61","상처",234
"62","특징",234
"63","상대방",233
"64","진짜",233
"65","공감",223
"66","미안",222
"67","문제",214
"68","노력",212
"69","사이",212
"70","표현",211
"71","경우",207
"72","제인",207
"73","성향",205
"74","하루",204
"75","세상",202
"76","이성",194
"77","질문",194
"78","어디",191
"79","검사",185
"80","프제",185
"81","신경",184
"82","소리",181
"83","필요",177
"84","그것",176
"85","모습",175
"86","인생",173
"87","하면",173
"88","10",164
"89","부분",161
"90","걱정",156
"91","부담",156
"92","인간관계",155
"93","누구",153
"94","눈치",153
"95","만큼",150
"96","방법",150
"97","평소",150
"98","스트레스",146
"99","최근",146
"100","거지",143
"101","이랑",141
"102","고백",139
"103","동안",139
"104","예전",139
"105","학교",137
"106","공부",134
"107","그때",134
"108","테스트",134
"109","애인",132
"110","진심",132
"111","갤러리",131
"112","나중",131
"113","나한",131
"114","결국",130
"115","배려",130
"116","자체",129
"117","경험",128
"118","시작",128
"119","아이",128
"120","계속",127
"121","분위기",127
"122","이번",127
"123","전화",127
"124","우울",125
"125","조금",124
"126","완전",123
"127","잘못",123
"128","차이",123
"129","순간",122
"130","중요",121
"131","20",120
"132","기준",120
"133","도움",120
"134","인프피",120
"135","거리",118
"136","보통",118
"137","건강",117
"138","제가",115
"139","조언",114
"140","나이",113
"141","노래",112
"142","이상형",112
"143","답장",111
"144","약속",111
"145","짝사랑",111
"146","나한테",110
"147","서로",110
"148","얼굴",110
"149","칭찬",110
"150","계획",109
"151","그거",109
"152","반응",109
"153","댓글",108
"154","선물",108
"155","스타일",108
"156","모두",107
"157","의미",107
"158","친절",107
"159","위로",106
"160","정리",106
"161","기억",105
"162","하면서",105
"163","누군가",104
"164","가능",103
"165","엔프제인데",103
"166","입장",103
"167","가족",102
"168","개인적",102
"169","ㄹㅇ",102
"170","가지",101
"171","거기",101
"172","타인",101
"173","등등",100
"174","사회",100
"175","ㅇㅇ",100
"176","참고",100
"177","상담",99
"178","엔프피",99
"179","연인",99
"180","손절",98
"181","결과",97
"182","다정",97
"183","이후",97
"184","절대",97
"185","상태",96
"186","스타",96
"187","존재",96
"188","해결",96
"189","얼마",95
"190","이제",95
"191","프피",95
"192","나름",94
"193","관련",93
"194","머리",93
"195","여자친구",93
"196","여친",93
"197","추천",93
"198","정신",91
"199","거절",90
"200","결혼",90
"201","부탁",90
"202","사친",90
"203","자존",90
"204","스스로",88
"205","회사",88
"206","내용",87
"207","생활",87
"208","영화",87
"209","능력",86
"210","무시",86
"211","이별",86
"212","한데",86
"213","새끼",85
"214","현실",85
"215","다음",84
"216","불편",84
"217","대부분",83
"218","보고",83
"219","설명",83
"220","감사",82
"221","궁합",82
"222","긍정적",82
"223","엔프제남",82
"224","예의",82
"225","게임",81
"226","제일",80
"227","심리",79
"228","지인",79
"229","인사",78
"230","집착",78
"231","30",77
"232","사진",77
"233","타입",77
"234","애정",76
"235","의견",76
"236","대답",75
"237","아무",75
"238","주고",75
"239","모임",74
"240","반대",74
"241","조심",74
"242","기대",73
"243","외모",73
"244","자리",73
"245","구들",72
"246","미안하다",72
"247","거임",71
"248","마지막",71
"249","잇팁",71
"250","주의",71
"251","호구",71
"252","이미지",70
"253","특성",70
"254","눈물",69
"255","말투",69
"256","인정",69
"257","준비",69
"258","직장",69
"259","내일",68
"260","부모님",68
"261","어제",68
"262","이성적",68
"263","후회",68
"264","만약",67
"265","쓰레기",67
"266","100",66
"267","거짓말",66
"268","부족",66
"269","불건강",66
"270","이래",66
"271","인스타",66
"272","읽씹",66
"273","오랜만",65
"274","정의",65
"275","코로나",65
"276","시절",64
"277","약간",64
"278","엄마",64
"279","여성",64
"280","오해",64
"281","완벽",64
"282","생일",63
"283","실망",63
"284","질투",63
"285","포기",63
"286","남자친구",62
"287","며칠",62
"288","오지랖",62
"289","이젠",62
"290","인프제",62
"291","취미",62
"292","엠비티아이",61
"293","의지",61
"294","가치관",60
"295","이기적",60
"296","천사",60
"297","관리",59
"298","단점",59
"299","매력",59
"300","외향",59
"301","일주일",59
"302","프젠",59
"303","피곤",59
"304","환경",59
"305","16",58
"306","만남",58
"307","불안",58
"308","실수",58
"309","바람",57
"310","수도",57
"311","장난",57
"312","결론",56
"313","소개팅",56
"314","인류애",56
"315","활동",56
"316","과거",55
"317","사과",55
"318","신기",55
"319","아침",55
"320","주라",55
"321","감정적",54
"322","데이트",54
"323","라도",54
"324","여자애",54
"325","적인",54
"326","최대한",54
"327","판단",54
"328","하자",54
"329","확신",54
"330","과정",53
"331","나의",53
"332","안해",53
"333","전여친",53
"334","주위",53
"335","공유",52
"336","수준",52
"337","여러분",52
"338","여사친",52
"339","영향",52
"340","운동",52
"341","유지",52
"342","인지",52
"343","인터넷",52
"344","적극적",52
"345","주말",52
"346","차단",52
"347","평화",52
"348","11",51
"349","개월",51
"350","개인",51
"351","마인드",51
"352","선택",51
"353","에너지",51
"354","엔프제인",51
"355","옛날",51
"356","군대",50
"357","사고",50
"358","애초",50
"359","일상",50
"360","자연",49
"361","장점",49
"362","전부",49
"363","중이",49
"364","집중",49
"365","한명",49
"366","1년",48
"367","도로",48
"368","무리",48
"369","부정적",48
"370","이용",48
"371","인기",48
"372","적도",48
"373","평생",48
"374","한마디",48
"375","고등",47
"376","내향",47
"377","댕댕이",47
"378","미래",47
"379","반복",47
"380","시험",47
"381","엔프제녀",47
"382","응원",47
"383","저녁",47
"384","통화",47
"385","편지",47
"386","가면",46
"387","남사친",46
"388","내면",46
"389","동생",46
"390","말로",46
"391","방식",46
"392","본적",46
"393","상상",46
"394","엔프제라",46
"395","재미",46
"396","주제",46
"397","최고",46
"398","학생",46
"399","20대",45
"400","가능성",45
"401","그동안",45
"402","누나",45
"403","대학",45
"404","순수",45
"405","자랑",45
"406","저번",45
"407","지가",45
"408","착각",45
"409","가식",44
"410","갈등",44
"411","극복",44
"412","대신",44
"413","미련",44
"414","발전",44
"415","사회생활",44
"416","여행",44
"417","우울증",44
"418","중간",44
"419","짝남",44
"420","취향",44
"421","나라",43
"422","니들",43
"423","당황",43
"424","선생님",43
"425","신뢰",43
"426","어장",43
"427","올해",43
"428","짜증",43
"429","초반",43
"430","최선",43
"431","파악",43
"432","12",42
"433","가정",42
"434","기회",42
"435","내서",42
"436","대로",42
"437","목표",42
"438","몰입",42
"439","새벽",42
"440","시발",42
"441","엔티",42
"442","제고",42
"443","주기",42
"444","주변사람",42
"445","직업",42
"446","태도",42
"447","특별",42
"448","가치",41
"449","경향",41
"450","고등학교",41
"451","기간",41
"452","기능",41
"453","기본적",41
"454","당장",41
"455","분석",41
"456","실제",41
"457","엔프젠데",41
"458","작년",41
"459","존중",41
"460","지도",41
"461","프로",41
"462","현실적",41
"463","회피",41
"464","사바",40
