"","word","freq"
"1","엔프피",362
"2","사람",227
"3","친구",149
"4","내가",145
"5","생각",140
"6","여자",125
"7","남자",114
"8","연락",95
"9","자기",88
"10","얘기",84
"11","시간",57
"12","연애",57
"13","이거",55
"14","있음",54
"15","혼자",53
"16","유형",52
"17","하나",50
"18","느낌",49
"19","호감",49
"20","관심",48
"21","대화",47
"22","본인",45
"23","성격",45
"24","이성",45
"25","이유",42
"26","마음",41
"27","엔프피들",41
"28","기분",40
"29","정도",38
"30","사이",36
"31","이것",36
"32","주변",36
"33","프피",34
"34","고백",33
"35","무엇",33
"36","상대",33
"37","상황",33
"38","여기",33
"39","이상",33
"40","하다",33
"41","미안",32
"42","새끼",32
"43","원래",32
"44","오늘",31
"45","ㅇㅇ",30
"46","읽씹",30
"47","질문",30
"48","처음",30
"49","상대방",29
"50","신경",28
"51","거임",27
"52","사랑",27
"53","행동",27
"54","엔프피녀",26
"55","지금",26
"56","공감",25
"57","남친",25
"58","엔프",25
"59","의미",25
"60","하면",25
"61","감정",24
"62","경우",24
"63","관계",24
"64","때문",24
"65","문제",24
"66","부담",24
"67","약속",24
"68","이야기",24
"69","인생",24
"70","10",23
"71","나도",23
"72","어디",23
"73","엔프피남",23
"74","전화",23
"75","그거",22
"76","시작",22
"77","이랑",22
"78","진짜",22
"79","플러팅",22
"80","한번",22
"81","거지",21
"82","고민",21
"83","착각",21
"84","거리",20
"85","나중",20
"86","답장",20
"87","자신",20
"88","지인",20
"89","하루",20
"90","너희",19
"91","대답",19
"92","매력",19
"93","우리",19
"94","잘못",19
"95","장난",19
"96","짝사랑",19
"97","차이",19
"98","평소",19
"99","ㄹㅇ",18
"100","시발",18
"101","아이",18
"102","검사",17
"103","그것",17
"104","눈치",17
"105","상처",17
"106","소리",17
"107","한국",17
"108","걸레",16
"109","리액션",16
"110","방법",16
"111","병신",16
"112","분위기",16
"113","상태",16
"114","여자애",16
"115","외모",16
"116","조금",16
"117","차단",16
"118","최근",16
"119","표현",16
"120","회사",16
"121","가능",15
"122","거절",15
"123","걱정",15
"124","결국",15
"125","경험",15
"126","누구",15
"127","다음",15
"128","보통",15
"129","성향",15
"130","인간",15
"131","하면서",15
"132","나름",14
"133","노력",14
"134","부분",14
"135","사친",14
"136","스킨십",14
"137","안녕",14
"138","얼굴",14
"139","엔팁",14
"140","이번",14
"141","이상형",14
"142","이제",14
"143","이해",14
"144","절대",14
"145","직장",14
"146","취향",14
"147","학교",14
"148","가지",13
"149","그때",13
"150","나한",13
"151","동안",13
"152","번호",13
"153","사과",13
"154","순간",13
"155","스타",13
"156","자체",13
"157","하자",13
"158","행복",13
"159","계속",12
"160","기억",12
"161","나이",12
"162","내용",12
"163","도움",12
"164","등등",12
"165","미안하다",12
"166","부탁",12
"167","ㅅㅂ",12
"168","상담",12
"169","시절",12
"170","오해",12
"171","완전",12
"172","주말",12
"173","중요",12
"174","통화",12
"175","계획",11
"176","나한테",11
"177","대부분",11
"178","마지막",11
"179","머리",11
"180","모습",11
"181","배려",11
"182","부여",11
"183","수도",11
"184","연인",11
"185","예전",11
"186","인프피",11
"187","입장",11
"188","진심",11
"189","참고",11
"190","친절",11
"191","결혼",10
"192","기준",10
"193","니들",10
"194","데이트",10
"195","드립",10
"196","반대",10
"197","반응",10
"198","보고",10
"199","생활",10
"200","수준",10
"201","스타일",10
"202","안해",10
"203","얼마",10
"204","엄마",10
"205","엔프피남자",10
"206","여성",10
"207","운동",10
"208","이후",10
"209","게임",9
"210","관리",9
"211","군대",9
"212","남자애",9
"213","누나",9
"214","다음날",9
"215","도태",9
"216","만큼",9
"217","며칠",9
"218","모든",9
"219","부모",9
"220","사실",9
"221","스트레스",9
"222","어색",9
"223","어장",9
"224","어제",9
"225","여사친",9
"226","요즘",9
"227","웃음",9
"228","자존",9
"229","잠수",9
"230","저녁",9
"231","정작",9
"232","주위",9
"233","철벽",9
"234","텐션",9
"235","특징",9
"236","표시",9
"237","피곤",9
"238","한데",9
"239","20",8
"240","가정",8
"241","개인적",8
"242","갤러리",8
"243","건강",8
"244","공격",8
"245","공부",8
"246","궁합",8
"247","내서",8
"248","내향",8
"249","동료",8
"250","모두",8
"251","반복",8
"252","사진",8
"253","설명",8
"254","섹스",8
"255","ㅇㅈ",8
"256","아무",8
"257","안읽씹",8
"258","애인",8
"259","엔픞",8
"260","엠비티아이",8
"261","여친",8
"262","여행",8
"263","연상",8
"264","이별",8
"265","인사",8
"266","일주일",8
"267","자연",8
"268","전남친",8
"269","제일",8
"270","조언",8
"271","지각",8
"272","코로나",8
"273","프제",8
"274","피해",8
"275","해진",8
"276","가요",7
"277","객관적",7
"278","결론",7
"279","관련",7
"280","긍정적",7
"281","남사친",7
"282","노래",7
"283","눈물",7
"284","ㄷㄷ",7
"285","다정",7
"286","마인드",7
"287","만난",7
"288","말투",7
"289","부정적",7
"290","비율",7
"291","서로",7
"292","선물",7
"293","성숙",7
"294","세상",7
"295","소개팅",7
"296","수록",7
"297","쓰레기",7
"298","애초",7
"299","약간",7
"300","여자친구",7
"301","외향",7
"302","용기",7
"303","의견",7
"304","이젠",7
"305","인기",7
"306","인스타",7
"307","인지",7
"308","일정",7
"309","재회",7
"310","정리",7
"311","조심",7
"312","종일",7
"313","주고",7
"314","지가",7
"315","짝녀",7
"316","커플",7
"317","타입",7
"318","평생",7
"319","피임",7
"320","해결",7
"321","가기",6
"322","가족",6
"323","갤에",6
"324","경향",6
"325","공통점",6
"326","관찰",6
"327","급발진",6
"328","기본",6
"329","기본적",6
"330","남녀",6
"331","네모",6
"332","능력",6
"333","단점",6
"334","대충",6
"335","디엠",6
"336","라도",6
"337","만남",6
"338","망상",6
"339","미래",6
"340","발진",6
"341","불건강",6
"342","불편",6
"343","사회",6
"344","사회생활",6
"345","상상",6
"346","선택적",6
"347","소름",6
"348","순수",6
"349","스토리",6
"350","심리",6
"351","애새끼",6
"352","어이",6
"353","여자분",6
"354","왜케",6
"355","요새",6
"356","유행",6
"357","의도",6
"358","의미부여",6
"359","이미지",6
"360","이성적",6
"361","인간관계",6
"362","적극적",6
"363","주의",6
"364","주제",6
"365","준비",6
"366","직진",6
"367","집착",6
"368","초반",6
"369","최고",6
"370","충격",6
"371","칭찬",6
"372","카톡으",6
"373","코드",6
"374","튜브",6
"375","특이",6
"376","포인트",6
"377","피인",6
"378","하루종일",6
"379","한국인",6
"380","현실적",6
"381","후배",6
"382","100",5
"383","1년",5
"384","2번",5
"385","2주",5
"386","30",5
"387","3번",5
"388","50",5
"389","가능성",5
"390","가면",5
"391","감정적",5
"392","개월",5
"393","개인",5
"394","거기",5
"395","검색",5
"396","결과",5
"397","고백공격",5
"398","구들",5
"399","권태기",5
"400","나머지",5
"401","남자친구",5
"402","내일",5
"403","누군가",5
"404","다행",5
"405","단순",5
"406","답변",5
"407","당황",5
"408","대면",5
"409","댓글",5
"410","동생",5
"411","동성",5
"412","목소리",5
"413","무시",5
"414","바람",5
"415","부류",5
"416","분석",5
"417","사고",5
"418","삭제",5
"419","세계",5
"420","술자리",5
"421","실적",5
"422","실제",5
"423","아래",5
"424","아이디어",5
"425","아침",5
"426","애가",5
"427","애정",5
"428","엔픕",5
"429","엣프피",5
"430","연기",5
"431","오빠",5
"432","우울",5
"433","유튜브",5
"434","이모",5
"435","인성",5
"436","인정",5
"437","인터넷",5
"438","잇팁",5
