"","word","freq"
"1","사람",1211
"2","생각",1015
"3","엔티",898
"4","내가",624
"5","엔티제",586
"6","자기",570
"7","친구",451
"8","유형",380
"9","여자",355
"10","남자",348
"11","있음",337
"12","성격",330
"13","시간",302
"14","정도",287
"15","느낌",284
"16","본인",284
"17","얘기",273
"18","이것",270
"19","하나",268
"20","여기",235
"21","연애",235
"22","때문",231
"23","감정",230
"24","이거",219
"25","연락",217
"26","이상",217
"27","주변",217
"28","이유",207
"29","제가",206
"30","인간",200
"31","하다",200
"32","새끼",199
"33","행동",197
"34","무엇",193
"35","관계",190
"36","계획",186
"37","지금",182
"38","우리",181
"39","능력",178
"40","상대",178
"41","특징",178
"42","엔티제가",177
"43","이해",176
"44","공부",174
"45","마음",174
"46","관심",173
"47","성향",173
"48","자신",173
"49","노력",168
"50","대화",162
"51","공감",161
"52","상황",161
"53","그것",160
"54","문제",160
"55","질문",159
"56","나도",151
"57","ㅇㅇ",150
"58","진짜",145
"59","소리",143
"60","처음",143
"61","오늘",140
"62","사랑",138
"63","인생",138
"64","경우",137
"65","남친",134
"66","너희",133
"67","병신",133
"68","거지",131
"69","사실",131
"70","원래",130
"71","필요",128
"72","혼자",127
"73","자체",126
"74","표현",125
"75","호감",124
"76","제인",123
"77","거임",122
"78","부분",122
"79","기분",121
"80","10",118
"81","사이",118
"82","성공",118
"83","검사",116
"84","고민",115
"85","사회",115
"86","니들",113
"87","인정",113
"88","한번",113
"89","ㄹㅇ",111
"90","요즘",110
"91","하루",108
"92","어디",107
"93","이성",105
"94","하면",103
"95","머리",98
"96","상대방",98
"97","모습",97
"98","중요",96
"99","회사",96
"100","결과",95
"101","기준",95
"102","누구",94
"103","이야기",94
"104","절대",94
"105","제일",94
"106","세상",93
"107","신경",93
"108","의견",92
"109","결국",91
"110","현실",91
"111","스트레스",90
"112","자존",89
"113","정신",89
"114","평소",89
"115","대부분",87
"116","아이",87
"117","경험",86
"118","지가",86
"119","가능",85
"120","개인적",85
"121","그거",85
"122","시작",85
"123","방법",84
"124","만큼",83
"125","목표",83
"126","보통",83
"127","차이",82
"128","설명",81
"129","이랑",80
"130","인프피",80
"131","결혼",79
"132","의미",79
"133","가지",78
"134","정리",78
"135","판단",78
"136","해결",78
"137","무시",77
"138","제랑",77
"139","감정적",76
"140","나이",76
"141","테스트",76
"142","거기",75
"143","나중",75
"144","보고",74
"145","칭찬",74
"146","동안",73
"147","진심",73
"148","가족",72
"149","도움",72
"150","스타일",72
"151","리더",70
"152","부족",70
"153","순간",70
"154","생활",69
"155","입장",69
"156","20",68
"157","갤러리",68
"158","미안",68
"159","이성적",68
"160","타인",68
"161","학교",68
"162","행복",68
"163","계속",67
"164","논리",67
"165","스스로",67
"166","시발",67
"167","단점",66
"168","주제",66
"169","거리",65
"170","등등",65
"171","엔티제랑",65
"172","최고",65
"173","댓글",64
"174","반대",64
"175","ㅅㅂ",64
"176","최근",64
"177","나름",63
"178","안녕",63
"179","자리",63
"180","잘못",63
"181","관련",62
"182","엔티제인데",62
"183","완벽",61
"184","그때",60
"185","나한",60
"186","내용",60
"187","운동",60
"188","주의",60
"189","참고",60
"190","토론",60
"191","하면서",60
"192","다음",59
"193","몰입",59
"194","사고",59
"195","수준",59
"196","이상형",59
"197","인간관계",59
"198","장점",59
"199","30",58
"200","눈치",58
"201","마인드",58
"202","부탁",58
"203","직업",58
"204","패스",58
"205","애초",57
"206","이미지",57
"207","걱정",56
"208","전화",56
"209","조언",56
"210","결론",55
"211","관리",55
"212","부담",55
"213","분위기",55
"214","미래",54
"215","상태",54
"216","얼굴",54
"217","예전",54
"218","직장",54
"219","반응",53
"220","완전",53
"221","이번",53
"222","조금",53
"223","주장",53
"224","가치",52
"225","과정",52
"226","대답",52
"227","발전",52
"228","프피",52
"229","논리적",51
"230","애인",51
"231","한데",51
"232","반박",50
"233","배려",50
"234","연인",50
"235","자랑",50
"236","말투",49
"237","약속",49
"238","엔팁",49
"239","외모",49
"240","지능",49
"241","타입",49
"242","가능성",48
"243","과거",48
"244","자신감",48
"245","평가",48
"246","포기",48
"247","나한테",47
"248","매력",47
"249","부모님",47
"250","상처",47
"251","자존심",47
"252","게임",46
"253","꼰대",46
"254","사진",46
"255","사회생활",46
"256","손절",46
"257","외향",46
"258","지랄",46
"259","특성",46
"260","파악",46
"261","답장",45
"262","서로",45
"263","소시",45
"264","심리",45
"265","업무",45
"266","이래",45
"267","인지",45
"268","제도",45
"269","추천",45
"270","한국",45
"271","만족",44
"272","선물",44
"273","선택",44
"274","신념",44
"275","엠비티아이",44
"276","자기애",44
"277","장난",44
"278","재미",44
"279","짝사랑",44
"280","환경",44
"281","누군가",43
"282","대로",43
"283","모두",43
"284","보임",43
"285","사업",43
"286","성적",43
"287","수도",43
"288","실제",43
"289","약간",43
"290","여친",43
"291","존재",43
"292","지인",43
"293","집착",43
"294","공감능력",42
"295","군대",42
"296","궁합",42
"297","상담",42
"298","싸움",42
"299","엄마",42
"300","위로",42
"301","인터넷",42
"302","제의",42
"303","존경",42
"304","100",41
"305","경향",41
"306","대신",41
"307","씨발",41
"308","은근",41
"309","정치",41
"310","집중",41
"311","처리",41
"312","나의",40
"313","대학",40
"314","상사",40
"315","안됨",40
"316","적인",40
"317","주위",40
"318","준비",40
"319","착각",40
"320","계산",39
"321","계획적",39
"322","방식",39
"323","시절",39
"324","영화",39
"325","의식",39
"326","이용",39
"327","중간",39
"328","현실적",39
"329","결정",38
"330","나라",38
"331","기억",37
"332","라도",37
"333","얼마",37
"334","엔티제의",37
"335","의지",37
"336","일상",37
"337","조심",37
"338","효율",37
"339","효율적",37
"340","개인",36
"341","객관적",36
"342","건강",36
"343","고백",36
"344","기대",36
"345","낭비",36
"346","만약",36
"347","분야",36
"348","아웃",36
"349","이후",36
"350","직원",36
"351","16",35
"352","가정",35
"353","가치관",35
"354","단어",35
"355","무능",35
"356","분석",35
"357","사과",35
"358","안해",35
"359","열등감",35
"360","유지",35
"361","이건",35
"362","정작",35
"363","현재",35
"364","기능",34
"365","기질",34
"366","모든",34
"367","상상",34
"368","아무",34
"369","이기적",34
"370","인성",34
"371","일과",34
"372","ㅈㄱ",34
