"","word","freq"
"1","사람",115
"2","생각",85
"3","여자",69
"4","시발",52
"5","오늘",52
"6","내가",51
"7","새끼",49
"8","이재명",46
"9","이거",42
"10","투표",42
"11","남자",39
"12","엔팁",39
"13","친구",39
"14","있음",31
"15","노래",28
"16","병신",28
"17","요즘",27
"18","이것",27
"19","이유",27
"20","자기",26
"21","진짜",26
"22","ㄹㅇ",25
"23","하나",25
"24","ㅇㅇ",24
"25","얘기",24
"26","정도",24
"27","철수",24
"28","테스트",24
"29","시간",23
"30","씨발",22
"31","우리",22
"32","거임",21
"33","사전",21
"34","소리",21
"35","하다",21
"36","공부",20
"37","ㅅㅂ",20
"38","사랑",20
"39","가슴",19
"40","나라",18
"41","느낌",18
"42","대선",18
"43","때문",18
"44","무엇",18
"45","성격",18
"46","엄마",18
"47","원래",18
"48","지금",18
"49","학교",18
"50","나도",17
"51","사실",17
"52","정치",17
"53","게이",16
"54","관심",16
"55","남친",16
"56","마음",16
"57","인생",16
"58","지랄",16
"59","추천",16
"60","코로나",16
"61","내일",15
"62","본인",15
"63","아이",15
"64","어디",15
"65","우울",15
"66","이번",15
"67","현실",15
"68","그거",14
"69","단일화",14
"70","대통령",14
"71","사전투표",14
"72","짜장",14
"73","토론",14
"74","하면",14
"75","행복",14
"76","기분",13
"77","수준",13
"78","스타",13
"79","여기",13
"80","감정",12
"81","경우",12
"82","그것",12
"83","보고",12
"84","성향",12
"85","아빠",12
"86","언니",12
"87","이해",12
"88","자신",12
"89","갤러",11
"90","검사",11
"91","러시아",11
"92","세상",11
"93","순간",11
"94","안철수",11
"95","유형",11
"96","이제",11
"97","인간",11
"98","10",10
"99","20",10
"100","가족",10
"101","누구",10
"102","다음",10
"103","대한",10
"104","대한민국",10
"105","디씨",10
"106","머리",10
"107","민국",10
"108","바지",10
"109","상태",10
"110","섹스",10
"111","안녕",10
"112","연애",10
"113","이름",10
"114","이야기",10
"115","인터넷",10
"116","정신",10
"117","지지자",10
"118","출근",10
"119","하면서",10
"120","한국",10
"121","가능",9
"122","거지",9
"123","고민",9
"124","급식",9
"125","문제",9
"126","분위기",9
"127","상대",9
"128","수업",9
"129","수저",9
"130","시작",9
"131","어제",9
"132","얼굴",9
"133","예전",9
"134","이랑",9
"135","자가",9
"136","질문",9
"137","집착",9
"138","처음",9
"139","퇴근",9
"140","하루",9
"141","한번",9
"142","할거",9
"143","50",8
"144","갤러리",8
"145","게임",8
"146","결혼",8
"147","국가",8
"148","금쪽",8
"149","바람",8
"150","사이",8
"151","사회성",8
"152","선거",8
"153","ㅇㅈ",8
"154","안됨",8
"155","애미",8
"156","없노",8
"157","여성",8
"158","이상",8
"159","중요",8
"160","지지",8
"161","찢갈",8
"162","호감",8
"163","회사",8
"164","후기",8
"165","후보",8
"166","거기",7
"167","결국",7
"168","경상도",7
"169","과학",7
"170","관리",7
"171","군대",7
"172","근황",7
"173","니들",7
"174","디시",7
"175","만원",7
"176","방법",7
"177","보스",7
"178","불편",7
"179","사건",7
"180","사회",7
"181","새벽",7
"182","생활",7
"183","아무것",7
"184","여자애",7
"185","여친",7
"186","의식",7
"187","이기",7
"188","이성",7
"189","정병",7
"190","조금",7
"191","주변",7
"192","준비",7
"193","차이",7
"194","페미",7
"195","포켓",7
"196","하나님",7
"197","하노",7
"198","가기",6
"199","가야",6
"200","결과",6
"201","국민",6
"202","극우",6
"203","기억",6
"204","꽃말",6
"205","남성",6
"206","당선",6
"207","당장",6
"208","대학",6
"209","동안",6
"210","등교",6
