"","word","freq"
"1","엣프",524
"2","엣프제",451
"3","사람",383
"4","생각",263
"5","친구",262
"6","남자",195
"7","유형",195
"8","내가",191
"9","여자",187
"10","연락",180
"11","자기",162
"12","하루",145
"13","시간",117
"14","성격",114
"15","호감",107
"16","얘기",101
"17","연애",99
"18","느낌",93
"19","마음",93
"20","여기",93
"21","노래",92
"22","엣프제들",89
"23","질문",89
"24","있음",88
"25","사랑",87
"26","관심",85
"27","하나",78
"28","본인",76
"29","정도",76
"30","관계",75
"31","원래",74
"32","이거",73
"33","남친",72
"34","안녕",72
"35","이유",70
"36","이것",65
"37","주변",62
"38","표현",62
"39","대화",61
"40","때문",61
"41","나도",58
"42","오늘",58
"43","상대",56
"44","전화",56
"45","처음",56
"46","하다",56
"47","혼자",52
"48","상황",51
"49","이성",51
"50","진짜",51
"51","기분",50
"52","지금",50
"53","한번",50
"54","갤러리",49
"55","우리",49
"56","이상",49
"57","행동",49
"58","무엇",48
"59","사이",48
"60","감정",47
"61","상대방",47
"62","어디",47
"63","특징",47
"64","하면",46
"65","공감",45
"66","ㅇㅇ",45
"67","고민",44
"68","너희",43
"69","미안",42
"70","문제",41
"71","인간",41
"72","자신",41
"73","잇팁",39
"74","스타일",38
"75","경우",37
"76","사실",37
"77","소리",37
"78","그것",36
"79","노력",36
"80","모습",36
"81","배려",36
"82","이해",36
"83","동안",35
"84","10",33
"85","답장",33
"86","이야기",33
"87","정리",33
"88","거리",32
"89","약속",31
"90","요즘",31
"91","이랑",31
"92","진심",31
"93","평소",31
"94","필요",31
"95","검사",30
"96","시작",30
"97","이상형",30
"98","친절",30
"99","가능",29
"100","상담",29
"101","새끼",29
"102","완전",29
"103","건강",28
"104","성향",28
"105","얼마",28
"106","엣프제남",28
"107","거임",27
"108","반응",27
"109","분위기",27
"110","상처",27
"111","신경",27
"112","엄마",27
"113","자체",27
"114","칭찬",27
"115","하면서",27
"116","계속",26
"117","그거",26
"118","나중",26
"119","머리",26
"120","보통",26
"121","순간",26
"122","아이",26
"123","여자친구",26
"124","인간관계",26
"125","중요",26
"126","나한",25
"127","남자친구",25
"128","눈치",25
"129","댓글",25
"130","사회",25
"131","세상",25
"132","스트레스",25
"133","애인",25
"134","회사",25
"135","결국",24
"136","도움",24
"137","불건강",24
"138","선물",24
"139","스타",24
"140","여친",24
"141","조심",24
"142","짝사랑",24
"143","최근",24
"144","나한테",23
"145","모임",23
"146","부담",23
"147","시발",23
"148","심리",23
"149","입장",23
"150","자리",23
"151","절대",23
"152","제가",23
"153","20",22
"154","거지",22
"155","뒷담",22
"156","의미",22
"157","차이",22
"158","참고",22
"159","경험",21
"160","공부",21
"161","관련",21
"162","궁합",21
"163","누구",21
"164","단점",21
"165","대부분",21
"166","리액션",21
"167","모두",21
"168","아침",21
"169","여자애",21
"170","예의",21
"171","예전",21
"172","이번",21
"173","조언",21
"174","하자",21
"175","개인",20
"176","걱정",20
"177","결혼",20
"178","기준",20
"179","내용",20
"180","능력",20
"181","ㄹㅇ",20
"182","마지막",20
"183","어장",20
"184","적극적",20
"185","테스트",20
"186","학교",20
"187","가지",19
"188","고백",19
"189","다정",19
"190","만큼",19
"191","방법",19
"192","생활",19
"193","어제",19
"194","잘못",19
"195","조금",19
"196","거절",18
"197","꼰대",18
"198","나이",18
"199","단둘",18
"200","반대",18
"201","부분",18
"202","불편",18
"203","사진",18
"204","사친",18
"205","상태",18
"206","소개팅",18
"207","얼굴",18
"208","이제",18
"209","인스타",18
"210","일주일",18
"211","주의",18
"212","주제",18
"213","지가",18
"214","플러팅",18
"215","현실",18
"216","결과",17
"217","그때",17
"218","누군가",17
"219","다음",17
"220","대답",17
"221","만남",17
"222","만약",17
"223","미안하다",17
"224","보고",17
"225","사회생활",17
"226","설명",17
"227","아무",17
"228","이래",17
"229","이미지",17
"230","이후",17
"231","인생",17
"232","읽씹",17
"233","잇프제",17
"234","자주",17
"235","제인",17
"236","제일",17
"237","종일",17
"238","통화",17
"239","ㅎㅇ",17
"240","개월",16
"241","거기",16
"242","계획",16
"243","관리",16
"244","기억",16
"245","니들",16
"246","어때",16
"247","엣프제녀",16
"248","완벽",16
"249","완장",16
"250","인정",16
"251","존재",16
"252","추천",16
"253","타인",16
"254","타입",16
"255","특성",16
"256","하루종일",16
"257","가식",15
"258","기능",15
"259","데이트",15
"260","등등",15
"261","무시",15
"262","부탁",15
"263","여러분",15
"264","여사친",15
"265","외모",15
"266","외향",15
"267","짝녀",15
"268","한데",15
"269","행복",15
"270","개인적",14
"271","계산",14
"272","답변",14
"273","동생",14
"274","병신",14
"275","소개",14
"276","에이프런",14
"277","연인",14
"278","영화",14
"279","오랜만",14
"280","우울",14
"281","이별",14
"282","이성적",14
"283","인프피",14
"284","일상",14
"285","지인",14
"286","차단",14
"287","최고",14
"288","프피",14
"289","해결",14
"290","활동",14
"291","1년",13
"292","가족",13
"293","감사",13
"294","기본적",13
"295","나름",13
"296","당신",13
"297","덕분",13
"298","딱이",13
"299","말투",13
"300","매력",13
"301","문자",13
"302","ㅅㅂ",13
"303","새벽",13
"304","손절",13
"305","스토리",13
"306","안해",13
"307","여성",13
"308","오해",13
"309","인팁",13
"310","자존",13
"311","장점",13
"312","정반대",13
"313","정치",13
"314","주고",13
"315","집단",13
"316","취향",13
"317","30",12
"318","게임",12
"319","구분",12
"320","당황",12
"321","생일",12
"322","서로",12
"323","술자리",12
"324","애정",12
"325","엣팁",12
"326","운동",12
"327","이기적",12
"328","인사",12
"329","인지",12
"330","ㅈㄱ",12
"331","적응",12
"332","주라",12
"333","주말",12
"334","준비",12
"335","중이",12
"336","직장",12
"337","집착",12
"338","타유형",12
"339","텐션",12
"340","평가",12
"341","강요",11
"342","갤에",11
"343","기간",11
"344","남자애",11
"345","내향",11
"346","대충",11
"347","대학",11
"348","발전",11
"349","본적",11
"350","사고",11
"351","아빠",11
"352","엔프제",11
"353","엠비티아이",11
"354","오지랖",11
"355","은근",11
"356","잇프",11
"357","자랑",11
"358","정신",11
"359","조사",11
"360","주위",11
"361","직업",11
"362","특정",11
"363","가면",10
"364","감각",10
"365","결론",10
"366","구들",10
"367","노보컬",10
"368","대체",10
"369","동성",10
"370","드립",10
"371","라도",10
"372","번째",10
"373","번호",10
"374","보컬",10
"375","사교적",10
"376","설문",10
"377","소통",10
"378","수준",10
"379","실적",10
"380","실제",10
"381","쓰레기",10
"382","안하",10
"383","엣프제인",10
"384","의식",10
"385","장난",10
"386","저녁",10
"387","저번",10
"388","주기",10
"389","주딱이",10
"390","지랄",10
"391","착각",10
"392","최악",10
"393","캐릭터",10
"394","커플",10
"395","특집",10
"396","판단",10
"397","편안",10
"398","평판",10
"399","포기",10
"400","표정",10
"401","피곤",10
"402","현생",10
"403","현실적",10
"404","확인",10
"405","12",9
"406","가능성",9
"407","감정적",9
"408","계획적",9
"409","고생",9
"410","공감능력",9
"411","공통점",9
"412","과거",9
"413","관찰",9
"414","남녀",9
"415","내일",9
"416","눈물",9
"417","다음날",9
"418","라면",9
"419","리더",9
