"","word","freq"
"1","엣프피",259
"2","엣프",232
"3","사람",199
"4","친구",122
"5","생각",119
"6","내가",98
"7","여자",78
"8","남자",76
"9","연락",75
"10","연애",73
"11","유형",71
"12","자기",55
"13","얘기",49
"14","사랑",46
"15","성격",45
"16","있음",44
"17","이거",43
"18","정도",39
"19","느낌",38
"20","진짜",37
"21","특징",36
"22","본인",35
"23","시간",35
"24","하나",34
"25","관심",33
"26","마음",33
"27","관계",32
"28","표현",32
"29","호감",32
"30","상대",31
"31","우리",30
"32","질문",30
"33","하다",29
"34","남친",28
"35","때문",28
"36","여기",28
"37","원래",28
"38","이야기",27
"39","이유",27
"40","혼자",27
"41","무엇",26
"42","이상",26
"43","나도",25
"44","ㄹㅇ",25
"45","미안",25
"46","상황",25
"47","10",24
"48","대화",24
"49","주변",24
"50","공감",23
"51","이성",23
"52","고민",22
"53","매력",22
"54","전화",22
"55","한번",22
"56","행동",22
"57","거임",21
"58","하루",21
"59","검사",20
"60","ㅇㅇ",20
"61","오늘",20
"62","이해",20
"63","짝사랑",20
"64","분위기",19
"65","읽씹",19
"66","하면",19
"67","답장",18
"68","약속",18
"69","엔프피",18
"70","엣프피들",18
"71","이랑",18
"72","잇프피",18
"73","처음",18
"74","행복",18
"75","기분",17
"76","외향",17
"77","이것",17
"78","경우",16
"79","고백",16
"80","그것",16
"81","노력",16
"82","배려",16
"83","부탁",16
"84","상대방",16
"85","성향",16
"86","인간",16
"87","차이",16
"88","결혼",15
"89","공부",15
"90","나한",15
"91","누구",15
"92","사이",15
"93","상처",15
"94","새끼",15
"95","스타",15
"96","실적",15
"97","엣팁",15
"98","여자친구",15
"99","인생",15
"100","인터넷",15
"101","자체",15
"102","지금",15
"103","진심",15
"104","걱정",14
"105","관련",14
"106","나한테",14
"107","동안",14
"108","문제",14
"109","사실",14
"110","소리",14
"111","신경",14
"112","완전",14
"113","요즘",14
"114","잇프",14
"115","적극적",14
"116","중요",14
"117","감정",13
"118","궁합",13
"119","등등",13
"120","부담",13
"121","부분",13
"122","스트레스",13
"123","어디",13
"124","우울",13
"125","자신",13
"126","평소",13
"127","한데",13
"128","12",12
"129","거리",12
"130","거지",12
"131","관리",12
"132","기억",12
"133","능력",12
"134","도움",12
"135","머리",12
"136","모습",12
"137","보고",12
"138","안녕",12
"139","안됨",12
"140","인간관계",12
"141","자유",12
"142","조언",12
"143","현실적",12
"144","계획",11
"145","노래",11
"146","미안하다",11
"147","사진",11
"148","선호",11
"149","시발",11
"150","얼마",11
"151","엣프피녀",11
"152","엣픞",11
"153","연예인",11
"154","영화",11
"155","이래",11
"156","제일",11
"157","지가",11
"158","취미",11
"159","칭찬",11
"160","현실",11
"161","11",10
"162","가족",10
"163","게임",10
"164","계속",10
"165","그거",10
"166","그때",10
"167","나중",10
"168","너희",10
"169","댓글",10
"170","데이트",10
"171","바람",10
"172","반대",10
"173","방법",10
"174","ㅅㅂ",10
"175","선물",10
"176","스타일",10
"177","씹프피",10
"178","아이",10
"179","야구",10
"180","연인",10
"181","외모",10
"182","은근",10
"183","자주",10
"184","장난",10
"185","조아",10
"186","최고",10
"187","최근",10
"188","13",9
"189","16",9
"190","17",9
"191","거기",9
"192","결국",9
"193","기준",9
"194","다정",9
"195","만큼",9
"196","병신",9
"197","보통",9
"198","본적",9
"199","상담",9
"200","세상",9
"201","순위",9
"202","애교",9
"203","애인",9
"204","얼굴",9
"205","여친",9
"206","입장",9
"207","잇프제",9
"208","재미",9
"209","절대",9
"210","주제",9
"211","지인",9
"212","참고",9
"213","필요",9
"214","1년",8
"215","20",8
"216","가능",8
"217","거절",8
"218","경험",8
"219","구들",8
"220","금사식",8
"221","긍정적",8
"222","눈치",8
"223","다음",8
"224","대부분",8
"225","라도",8
"226","리액션",8
"227","말투",8
"228","사식",8
"229","사회적",8
"230","소개팅",8
"231","순간",8
"232","어색",8
"233","엄마",8
"234","엔팁",8
"235","연상",8
"236","이미지",8
"237","이제",8
"238","인스타",8
"239","인프피",8
"240","조금",8
"241","조심",8
"242","즉흥적",8
"243","추천",8
"244","텐션",8
"245","포기",8
"246","프피",8
"247","회사",8
"248","가요",7
"249","개인",7
"250","거짓말",7
"251","나이",7
"252","남사친",7
"253","내향",7
"254","니어",7
"255","대답",7
"256","드립",7
"257","만약",7
"258","모임",7
"259","몰입",7
"260","미래",7
"261","사친",7
"262","상태",7
"263","수도",7
"264","수준",7
"265","술자리",7
"266","스토리",7
"267","시작",7
"268","씹프",7
"269","ㅇㅈ",7
"270","안읽씹",7
"271","엣픕",7
"272","예전",7
"273","오빠",7
"274","왜케",7
"275","의미",7
"276","이번",7
"277","이후",7
"278","자리",7
"279","정보",7
"280","정신",7
"281","주의",7
"282","중독",7
"283","중이",7
"284","칼답",7
"285","테스트",7
"286","편견",7
"287","피인",7
"288","학교",7
"289","현재",7
"290","100",6
"291","14",6
"292","15",6
"293","24",6
"294","27",6
"295","30",6
"296","가기",6
"297","개념",6
"298","결론",6
"299","고함",6
"300","구속",6
"301","금사빠",6
"302","내면",6
"303","누군가",6
"304","당황",6
"305","대학",6
"306","동생",6
"307","또라이",6
"308","매력적",6
"309","무시",6
"310","미련",6
"311","반응",6
"312","부족",6
"313","사과",6
"314","사빠",6
"315","사소",6
"316","설명",6
"317","심리",6
"318","안하",6
"319","안해",6
"320","어제",6
"321","언니",6
"322","엣프피인",6
"323","여성",6
"324","연락안",6
"325","영상",6
"326","오해",6
"327","완벽",6
"328","외적",6
"329","위치",6
"330","유튜브",6
"331","음악",6
"332","의외",6
"333","이벤트",6
"334","이상형",6
"335","인기",6
"336","적도",6
"337","제가",6
"338","존중",6
"339","직설적",6
"340","직진",6
"341","질투",6
"342","차원",6
"343","튜브",6
"344","판단",6
"345","프로",6
"346","피임",6
"347","해결",6
"348","확신",6
"349","19",5
"350","23",5
"351","가능성",5
"352","가벼운",5
"353","가슴",5
"354","가지",5
"355","간섭",5
"356","감정적",5
"357","개월",5
"358","개인적",5
"359","갤러리",5
"360","갤에",5
"361","건강",5
"362","그날",5
"363","기본적",5
"364","기질",5
"365","나름",5
"366","남성",5
"367","남자친구",5
"368","내용",5
"369","내일",5
"370","누나",5
"371","니들",5
"372","다양",5
"373","단순",5
"374","대로",5
"375","대신",5
"376","디시",5
"377","디엠",5
"378","리드",5
"379","만난",5
"380","만남",5
"381","말야",5
"382","매니저",5
"383","면도",5
"384","모두",5
"385","무리",5
"386","반복",5
"387","보임",5
"388","부모님",5
"389","불만",5
"390","불안",5
"391","사교성",5
"392","상상",5
"393","생활",5
"394","서로",5
"395","성도착",5
"396","손절",5
"397","수록",5
"398","스스로",5
"399","실수",5
"400","씨발",5
"401","아무",5
"402","아무것",5
"403","안정적",5
"404","애정",5
"405","어장",5
"406","엣프제",5
"407","엣프피남",5
"408","여유",5
"409","여자애",5
"410","우정",5
"411","웃음",5
"412","유형임",5
"413","음란",5
"414","의사",5
"415","이기적",5
"416","이성적",5
"417","이성친구",5
"418","일주일",5
"419","잇티",5
"420","잇팁",5
"421","ㅈㄱ",5
"422","ㅈㅅ",5
"423","장문",5
"424","저번",5
"425","적임",5
"426","전여",5
"427","정리",5
"428","존재",5
"429","종일",5
"430","중요시",5
"431","집착",5
"432","취향",5
"433","크리스마스",5
"434","특유",5
"435","티키",5
"436","플러팅",5
"437","하루종일",5
"438","하자",5
"439","한명",5
"440","할거",5
"441","허락",5
"442","현생",5
"443","혐오",5
"444","호응",5
"445","확인",5
"446","18",4
"447","1번",4
"448","2022",4
"449","21",4
"450","22",4
"451","2번",4
"452","4차원",4
"453","감당",4
"454","개그",4
"455","개념글",4
"456","개소리",4
"457","객관적",4
"458","갤러",4
"459","결정",4
"460","계산",4
"461","공감능력",4
"462","공통점",4
"463","관종",4
"464","구라",4
"465","국가",4
"466","국가요원",4
"467","군대",4
"468","그램",4
"469","금지",4
"470","기간",4
"471","기대",4
"472","꼰대",4
"473","나무",4
"474","노무",4
"475","노잼",4
"476","놀이",4
"477","단둘",4
"478","단점",4
"479","답변",4
"480","동기",4
"481","동족",4
"482","디시콘",4
"483","로그",4
"484","링크",4
"485","마음속",4
"486","마지막",4
"487","만족",4
"488","망상",4
"489","메이커",4
"490","며칠",4
"491","멸망",4
"492","모든",4
"493","번째",4
"494","불건강",4
"495","사주",4
"496","사회생활",4
"497","사회성",4
"498","삭제",4
"499","선생님",4
"500","설문",4
"501","성공",4
