"","word","freq"
"1","사람",463
"2","생각",368
"3","엣티",348
"4","내가",283
"5","자기",265
"6","엣티제",262
"7","친구",244
"8","여자",221
"9","남자",201
"10","유형",200
"11","시간",157
"12","연락",152
"13","성격",132
"14","남친",125
"15","정도",125
"16","본인",117
"17","연애",114
"18","있음",107
"19","관심",102
"20","주변",102
"21","얘기",100
"22","하나",97
"23","이해",96
"24","이거",93
"25","여기",91
"26","이것",88
"27","마음",87
"28","우리",87
"29","나도",83
"30","느낌",83
"31","이유",83
"32","감정",82
"33","새끼",78
"34","공감",76
"35","기분",76
"36","질문",76
"37","행동",76
"38","때문",75
"39","진짜",73
"40","엣티제들",71
"41","하다",70
"42","인간",68
"43","한번",68
"44","무엇",67
"45","이상",67
"46","표현",67
"47","상황",66
"48","관계",65
"49","문제",65
"50","지금",65
"51","회사",64
"52","대화",63
"53","처음",63
"54","ㅇㅇ",62
"55","요즘",62
"56","원래",62
"57","인생",62
"58","상대",60
"59","능력",59
"60","소리",59
"61","호감",59
"62","고민",58
"63","사랑",57
"64","오늘",57
"65","혼자",57
"66","잔소리",56
"67","특징",55
"68","이야기",53
"69","사실",52
"70","공부",51
"71","노력",51
"72","부분",50
"73","계획",49
"74","어디",49
"75","병신",48
"76","사이",48
"77","사회",48
"78","상대방",48
"79","이성",48
"80","경우",47
"81","너희",47
"82","엄마",47
"83","자신",47
"84","모습",46
"85","하면",46
"86","결혼",45
"87","전화",45
"88","자체",44
"89","평소",44
"90","상사",42
"91","성향",42
"92","이랑",42
"93","거지",41
"94","스타일",41
"95","약속",41
"96","중요",41
"97","검사",40
"98","나이",40
"99","직장",40
"100","필요",40
"101","결국",39
"102","관리",39
"103","스트레스",39
"104","신경",39
"105","나한",38
"106","세상",38
"107","진심",38
"108","현실",38
"109","거리",37
"110","거임",36
"111","답장",36
"112","데이트",36
"113","의견",36
"114","10",35
"115","경험",35
"116","걱정",34
"117","계속",34
"118","니들",34
"119","머리",34
"120","보고",34
"121","순간",34
"122","의미",34
"123","조언",34
"124","나한테",33
"125","미안",33
"126","영화",33
"127","안녕",32
"128","절대",32
"129","하루",32
"130","그것",31
"131","아빠",31
"132","나중",30
"133","아이",30
"134","이상형",30
"135","거기",29
"136","그거",29
"137","남자친구",29
"138","동안",29
"139","무시",29
"140","여자친구",29
"141","여친",29
"142","인정",29
"143","인프피",29
"144","입장",29
"145","잘못",29
"146","제가",29
"147","결과",28
"148","다음",28
"149","말투",28
"150","부족",28
"151","ㅅㅂ",28
"152","생활",28
"153","선물",28
"154","지랄",28
"155","직원",28
"156","행복",28
"157","현실적",28
"158","가족",27
"159","나름",27
"160","분위기",27
"161","ㅈㄱ",27
"162","장난",27
"163","전부",27
"164","정신",27
"165","존경",27
"166","최근",27
"167","프피",27
"168","누구",26
"169","도움",26
"170","설명",26
"171","실적",26
"172","ㅇㅈ",26
"173","애인",26
"174","완벽",26
"175","이래",26
"176","잇팁",26
"177","주고",26
"178","참고",26
"179","최고",26
"180","피곤",26
"181","하면서",26
"182","가지",25
"183","관련",25
"184","기억",25
"185","눈치",25
"186","ㄹㅇ",25
"187","방법",25
"188","이번",25
"189","이성적",25
"190","제일",25
"191","차이",25
"192","칭찬",25
"193","판단",25
"194","20",24
"195","갤러리",24
"196","건강",24
"197","대답",24
"198","만큼",24
"199","보통",24
"200","부모님",24
"201","사업",24
"202","성공",24
"203","애정",24
"204","예전",24
"205","인터넷",24
"206","30",23
"207","고집",23
"208","반대",23
"209","보임",23
"210","부탁",23
"211","사진",23
"212","스타",23
"213","얼굴",23
"214","인사",23
"215","조심",23
"216","가능",22
"217","감정적",22
"218","기본",22
"219","반박",22
"220","불건강",22
"221","사고",22
"222","수준",22
"223","어제",22
"224","연인",22
"225","외모",22
"226","이미지",22
"227","조금",22
"228","지인",22
"229","퇴근",22
"230","해결",22
"231","개월",21
"232","계산",21
"233","그때",21
"234","기준",21
"235","논리",21
"236","사과",21
"237","사회생활",21
"238","상처",21
"239","상태",21
"240","실수",21
"241","예의",21
"242","이제",21
"243","적극적",21
"244","주장",21
"245","짜증",21
"246","책임감",21
"247","나라",20
"248","등등",20
"249","미래",20
"250","반응",20
"251","부담",20
"252","시발",20
"253","안해",20
"254","얼마",20
"255","엠비티아이",20
"256","운동",20
"257","정리",20
"258","지가",20
"259","결론",19
"260","고백",19
"261","댓글",19
"262","동료",19
"263","부모",19
"264","아침",19
"265","알바",19
"266","애교",19
"267","엔팁",19
"268","일주일",19
"269","자랑",19
"270","자리",19
"271","자주",19
"272","주의",19
"273","파악",19
"274","한데",19
"275","할거",19
"276","구라",18
"277","궁합",18
"278","내용",18
"279","단점",18
"280","대부분",18
"281","망상",18
"282","시작",18
"283","애초",18
"284","엣티제랑",18
"285","완전",18
"286","인간관계",18
"287","자존심",18
"288","적인",18
"289","제랑",18
"290","준비",18
"291","가도",17
"292","개인적",17
"293","계획적",17
"294","마인드",17
"295","불편",17
