"","word","freq"
"1","엣팁",427
"2","사람",194
"3","생각",160
"4","내가",135
"5","여자",126
"6","연락",110
"7","남자",107
"8","친구",100
"9","자기",89
"10","성격",83
"11","남친",81
"12","연애",81
"13","새끼",79
"14","본인",72
"15","유형",70
"16","있음",61
"17","시간",58
"18","원래",53
"19","얘기",51
"20","정도",48
"21","관심",47
"22","이거",47
"23","느낌",46
"24","시발",46
"25","병신",45
"26","하나",44
"27","감정",43
"28","이것",42
"29","특징",42
"30","처음",41
"31","마음",40
"32","거임",39
"33","호감",39
"34","행동",38
"35","눈치",37
"36","혼자",37
"37","ㄹㅇ",36
"38","이유",36
"39","때문",35
"40","사랑",35
"41","ㅇㅇ",35
"42","이해",35
"43","전화",35
"44","ㅅㅂ",34
"45","상대",33
"46","공감",32
"47","나도",32
"48","소리",32
"49","상황",31
"50","여기",31
"51","이상",31
"52","엣팁녀",30
"53","이랑",30
"54","하다",30
"55","기분",29
"56","인프피",29
"57","자체",29
"58","표현",29
"59","니들",28
"60","인생",28
"61","한번",28
"62","거지",27
"63","검사",27
"64","하루",27
"65","10",26
"66","능력",26
"67","외모",26
"68","잇팁",26
"69","주변",26
"70","절대",25
"71","지금",25
"72","진짜",25
"73","질문",25
"74","바람",24
"75","이상형",24
"76","장난",24
"77","하면",24
"78","건강",23
"79","대화",23
"80","무엇",23
"81","어디",23
"82","인간",23
"83","보고",22
"84","엣팁들",22
"85","평소",22
"86","프피",22
"87","경우",21
"88","동안",21
"89","매력",21
"90","모습",21
"91","미안",21
"92","사이",21
"93","이야기",21
"94","그것",20
"95","문제",20
"96","불건강",20
"97","신경",20
"98","제일",20
"99","기준",19
"100","사실",19
"101","상태",19
"102","성향",19
"103","씨발",19
"104","애인",19
"105","플러팅",19
"106","가능",18
"107","거리",18
"108","고민",18
"109","나한",18
"110","순간",18
"111","씹프피",18
"112","얼굴",18
"113","엣팁남",18
"114","여친",18
"115","오늘",18
"116","요즘",18
"117","잘못",18
"118","지랄",18
"119","타입",18
"120","현실",18
"121","공부",17
"122","나한테",17
"123","마라",17
"124","보임",17
"125","스타",17
"126","아이",17
"127","약속",17
"128","이성",17
"129","진심",17
"130","관계",16
"131","누구",16
"132","답장",16
"133","말투",16
"134","미래",16
"135","반응",16
"136","상대방",16
"137","심리",16
"138","우리",16
"139","읽씹",16
"140","정리",16
"141","최고",16
"142","필요",16
"143","경험",15
"144","나중",15
"145","망상",15
"146","분위기",15
"147","사회화",15
"148","상처",15
"149","섹스",15
"150","양아치",15
"151","자랑",15
"152","자리",15
"153","자존",15
"154","직설적",15
"155","초반",15
"156","하면서",15
"157","가지",14
"158","감정적",14
"159","결혼",14
"160","계속",14
"161","나이",14
"162","댓글",14
"163","사과",14
"164","안해",14
"165","여자애",14
"166","이래",14
"167","20",13
"168","결과",13
"169","내고",13
"170","노력",13
"171","누나",13
"172","대부분",13
"173","사회성",13
"174","스타일",13
"175","쓰레기",13
"176","ㅇㅈ",13
"177","안됨",13
"178","애교",13
"179","얼마",13
"180","엣프",13
"181","운동",13
"182","지가",13
"183","학교",13
"184","관련",12
"185","기억",12
"186","나름",12
"187","머리",12
"188","방법",12
"189","세상",12
"190","손절",12
"191","스트레스",12
"192","애초",12
"193","어제",12
"194","엣프피",12
"195","외적",12
"196","원나잇",12
"197","유튜브",12
"198","인정",12
"199","자신",12
"200","튜브",12
"201","감성",11
"202","게임",11
"203","그거",11
"204","그때",11
"205","남자친구",11
"206","너희",11
"207","노래",11
"208","단점",11
"209","대가리",11
"210","막말",11
"211","며칠",11
"212","무시",11
"213","배려",11
"214","보통",11
"215","생활",11
"216","시작",11
"217","실적",11
"218","씹프",11
"219","엣팁남친",11
"220","여자친구",11
"221","의미",11
"222","이번",11
"223","이별",11
"224","자존심",11
"225","정신",11
"226","조금",11
"227","짜증",11
"228","거기",10
"229","결론",10
"230","대답",10
"231","도움",10
"232","뒤끝",10
"233","마인드",10
"234","몰입",10
"235","사회",10
"236","선물",10
"237","설명",10
"238","소심",10
"239","수도",10
"240","아무",10
"241","아무것",10
"242","엠비티아이",10
"243","연인",10
"244","일주일",10
"245","재미",10
"246","전남친",10
"247","주고",10
"248","주의",10
"249","중요",10
"250","직장",10
"251","집착",10
"252","참고",10
"253","판단",10
"254","한데",10
"255","할거",10
"256","회사",10
"257","16",9
"258","30",9
"259","개인적",9
"260","게이",9
"261","관리",9
"262","나잇",9
"263","내용",9
"264","농담",9
"265","다음",9
"266","단순",9
"267","마지막",9
"268","미련",9
"269","본적",9
"270","부담",9
"271","부분",9
"272","사고",9
"273","사진",9
"274","사회생활",9
"275","서로",9
"276","수준",9
"277","시비",9
"278","싸가지",9
"279","안읽씹",9
"280","엄마",9
"281","엔팁",9
"282","엔프피",9
"283","엣팁녀들",9
"284","엣팁여자",9
"285","엣팁으",9
"286","영혼",9
"287","옛날",9
"288","이제",9
"289","인지",9
"290","장점",9
"291","저번",9
"292","정치",9
"293","지적",9
"294","차단",9
"295","차이",9
"296","테스트",9
"297","편임",9
"298","포기",9
"299","하자",9
"300","허세",9
"301","혐오",9
"302","확인",9
"303","11",8
"304","12",8
"305","가능성",8
"306","가스",8
"307","가스라이팅",8
"308","감성적",8
"309","갤러리",8
"310","거랑",8
"311","걱정",8
"312","결국",8
"313","계획",8
"314","고백",8
"315","공감능력",8
"316","급식",8
"317","논리",8
"318","동생",8
"319","라도",8
"320","라이팅",8
"321","ㅂㅅ",8
"322","새벽",8
"323","은근",8
"324","잇프피",8
"325","ㅈㄱ",8
"326","자신감",8
"327","지인",8
"328","질투",8
"329","추천",8
"330","텐션",8
"331","특유",8
"332","편견",8
"333","평생",8
"334","포함",8
"335","프리",8
"336","피곤",8
"337","필터링",8
"338","하단",8
"339","행복",8
"340","현실적",8
"341","확률",8
"342","환승",8
"343","후회",8
"344","19",7
