"","word","freq"
"1","사람",377
"2","생각",229
"3","인프피",204
"4","프피",180
"5","내가",164
"6","친구",122
"7","성격",108
"8","자기",108
"9","우울",83
"10","하나",68
"11","여기",63
"12","인생",63
"13","오늘",61
"14","혼자",61
"15","공부",58
"16","얘기",58
"17","나도",56
"18","기분",55
"19","유형",55
"20","마음",53
"21","사랑",53
"22","느낌",52
"23","무엇",52
"24","이것",51
"25","있음",51
"26","이거",50
"27","행복",50
"28","검사",49
"29","이상",48
"30","이유",48
"31","망상",47
"32","세상",46
"33","ㅇㅇ",46
"34","자신",46
"35","정도",46
"36","지금",46
"37","병신",44
"38","요즘",43
"39","인간",43
"40","처음",42
"41","때문",41
"42","관심",40
"43","남자",40
"44","여자",40
"45","본인",39
"46","거지",38
"47","관계",38
"48","하다",38
"49","감정",37
"50","사실",37
"51","우리",37
"52","시간",36
"53","진짜",36
"54","노력",35
"55","우울증",35
"56","소리",34
"57","행동",34
"58","새끼",33
"59","문제",32
"60","학교",32
"61","갤러리",31
"62","공감",31
"63","어디",31
"64","이해",31
"65","현실",31
"66","게임",30
"67","혐오",30
"68","엄마",29
"69","자체",29
"70","머리",28
"71","인프피들",28
"72","추천",28
"73","테스트",28
"74","상처",27
"75","생활",27
"76","주변",27
"77","하루",27
"78","그것",26
"79","노래",26
"80","ㄹㅇ",26
"81","연애",26
"82","한번",26
"83","시발",25
"84","아이",25
"85","보고",24
"86","원래",24
"87","하면",24
"88","걱정",23
"89","상담",23
"90","계속",22
"91","고민",22
"92","그때",22
"93","능력",22
"94","모습",22
"95","사회",22
"96","성향",22
"97","시험",22
"98","인터넷",22
"99","가능",21
"100","가족",21
"101","거임",21
"102","결국",21
"103","내일",21
"104","사진",21
"105","알바",21
"106","영화",21
"107","자존",21
"108","예전",20
"109","왕따",20
"110","이랑",20
"111","특징",20
"112","필요",20
"113","경우",19
"114","상황",19
"115","외모",19
"116","조금",19
"117","존재",19
"118","중요",19
"119","회피",19
"120","10",18
"121","너희",18
"122","대학",18
"123","대화",18
"124","박사",18
"125","불안",18
"126","얼굴",18
"127","위로",18
"128","일본",18
"129","결과",17
"130","순간",17
"131","신경",17
"132","엔프피",17
"133","연락",17
"134","평소",17
"135","환경",17
"136","가지",16
"137","건강",16
"138","나이",16
"139","동안",16
"140","스트레스",16
"141","애인",16
"142","엔팁",16
"143","이야기",16
"144","정신",16
"145","크리스마스",16
"146","학원",16
"147","가정",15
"148","감성",15
"149","계획",15
"150","노박사",15
"151","니어",15
"152","부분",15
"153","ㅅㅂ",15
"154","상상",15
"155","설명",15
"156","스스로",15
"157","심리",15
"158","아침",15
"159","외향",15
"160","이래",15
"161","차이",15
"162","그거",14
"163","그램",14
"164","누구",14
"165","댓글",14
"166","만약",14
"167","무시",14
"168","빙고",14
"169","사이",14
"170","시작",14
"171","쓰레기",14
"172","어제",14
"173","연민",14
"174","운동",14
"175","이번",14
"176","이제",14
"177","질문",14
"178","회사",14
"179","20",13
"180","남친",13
"181","내년",13
"182","내향",13
"183","대부분",13
"184","도움",13
"185","무기력",13
"186","방법",13
"187","분위기",13
"188","상대",13
"189","상태",13
"190","스타일",13
"191","시절",13
"192","안녕",13
"193","영어",13
"194","이상형",13
"195","절대",13
"196","지랄",13
"197","집착",13
"198","거기",12
"199","과학",12
"200","극복",12
"201","기억",12
"202","나한",12
"203","눈물",12
"204","니들",12
"205","다음",12
"206","동생",12
"207","본적",12
"208","사고",12
"209","성적",12
"210","ㅇㅅㅇ",12
"211","아무것",12
"212","완전",12
"213","의지",12
"214","주의",12
"215","포기",12
"216","학기",12
"217","할거",12
"218","100",11
"219","경험",11
"220","공감능력",11
"221","과제",11
"222","나중",11
"223","내면",11
"224","내용",11
"225","부정",11
"226","새벽",11
"227","선택",11
"228","소심",11
"229","애착",11
"230","여행",11
"231","연말",11
"232","옛날",11
"233","의미",11
"234","이후",11
"235","인간관계",11
"236","인정",11
"237","자리",11
"238","잘못",11
"239","장점",11
"240","전화",11
"241","직장",11
"242","집중",11
"243","최고",11
"244","취미",11
"245","칭찬",11
"246","탈출",11
"247","평생",11
"248","표현",11
"249","하면서",11
"250","가치",10
"251","개인적",10
"252","공포",10
"253","관련",10
"254","나름",10
"255","누군가",10
"256","눈치",10
"257","동기",10
"258","미안",10
"259","병원",10
"260","부담",10
"261","부정적",10
"262","신발",10
"263","씨발",10
"264","아무",10
"265","아빠",10
"266","애초",10
"267","요새",10
"268","음악",10
"269","의식",10
"270","이젠",10
"271","일상",10
"272","제일",10
"273","주제",10
"274","직업",10
"275","타인",10
"276","피곤",10
"277","흥미",10
"278","12",9
"279","갤에",9
"280","나한테",9
"281","동족",9
"282","디씨",9
"283","마라",9
"284","마지막",9
"285","만큼",9
"286","반복",9
"287","보통",9
"288","부탁",9
"289","상대방",9
"290","손절",9
"291","실패",9
"292","연예인",9
"293","이성",9
"294","자신감",9
"295","저녁",9
"296","적응",9
"297","조언",9
"298","지구",9
"299","진심",9
"300","짝사랑",9
"301","취향",9
"302","치료",9
"303","치킨",9
"304","판단",9
"305","겨울",8
"306","결론",8
"307","구들",8
"308","그림",8
"309","기준",8
"310","나라",8
"311","내고",8
"312","내성적",8
"313","대신",8
"314","라면",8
"315","모두",8
"316","모든",8
"317","목표",8
"318","반응",8
"319","방식",8
"320","비교",8
"321","서로",8
"322","성공",8
"323","성욕",8
"324","성인",8
"325","소름",8
"326","시기",8
"327","시선",8
"328","신기",8
"329","실수",8
"330","심리학",8
"331","안하",8
"332","여자애",8
"333","올해",8
"334","왜케",8
"335","요리",8
"336","이것저것",8
"337","인격",8
"338","인프",8
"339","자기애",8
"340","작가",8
"341","잡생각",8
"342","장난",8
"343","장애",8
"344","재미",8
"345","전공",8
"346","정리",8
"347","정신과",8
"348","정신병",8
"349","제대",8
"350","졸업",8
"351","카페",8
"352","타입",8
"353","트라",8
"354","트위터",8
"355","특이",8
"356","패션",8
"357","프피특",8
"358","한국",8
"359","50",7
"360","가야",7
"361","개념",7
"362","걔네",7
"363","결혼",7
"364","경향",7
"365","과정",7
"366","급식",7
"367","긍정적",7
"368","기도",7
"369","노잼",7
"370","단어",7
"371","담배",7
"372","답장",7
"373","대로",7
"374","대체",7
"375","도서관",7
"376","동족혐오",7
"377","말야",7
"378","모임",7
"379","ㅂㅅ",7
"380","발전",7
"381","번째",7
"382","부모님",7
"383","불건강",7
"384","불편",7
"385","사회생활",7
"386","성격검사",7
"387","성격유형",7
"388","애니어그램",7
"389","에너지",7
"390","영향",7
"391","예술",7
"392","완벽",7
"393","우마",7
"394","은근",7
"395","의견",7
"396","이기적",7
"397","이름",7
"398","일수",7
"399","일어",7
"400","자랑",7
"401","자의식",7
"402","전부",7
"403","지가",7
"404","집안",7
"405","차단",7
"406","착각",7
"407","최근",7
"408","트라우마",7
"409","특별",7
"410","특성",7
"411","패딩",7
"412","편안",7
"413","평가",7
"414","피자",7
"415","하드",7
"416","하자",7
"417","학년",7
"418","한데",7
"419","한명",7
"420","해결",7
"421","활동",7
"422","16",6
"423","4번",6
"424","감각",6
"425","감이",6
"426","감정적",6
"427","강박",6
"428","갤러",6
"429","거랑",6
"430","검색",6
"431","결정",6
"432","고백",6
"433","고통",6
"434","공포형",6
"435","군대",6
"436","극단적",6
"437","기질",6
"438","깨달음",6
"439","나약",6
"440","누나",6
"441","대학원",6
"442","도태",6
"443","동네",6
"444","동물",6
"445","디시",6
"446","마찬가지",6
"447","멸망",6
"448","몰입",6
"449","무리",6
"450","무의식",6
"451","무한",6
"452","믿음",6
"453","바닥",6
"454","반대",6
"455","번호",6
"456","부모",6
"457","부족",6
"458","분석",6
"459","사회적",6
"460","서울",6
"461","세계",6
"462","소설",6
"463","수학",6
"464","시대",6
"465","실제",6
"466","싸움",6
"467","약속",6
"468","언어",6
"469","연습",6
"470","연인",6
"471","열정",6
"472","영상",6
"473","오후",6
"474","욕심",6
"475","우울감",6
"476","유지",6
"477","음식",6
"478","의심",6
"479","인거",6
"480","인지",6
"481","임상",6
"482","자아",6
"483","자연",6
"484","자유",6
"485","자주",6
"486","정확",6
"487","종강",6
"488","주라",6
