"","word","freq"
"1","사람",4003
"2","생각",3114
"3","자기",1408
"4","내가",1404
"5","유형",1146
"6","여자",1029
"7","친구",954
"8","인간",937
"9","있음",926
"10","이유",903
"11","새끼",803
"12","티제",793
"13","정도",786
"14","하나",771
"15","여기",740
"16","때문",737
"17","이것",718
"18","본인",695
"19","이상",692
"20","이해",671
"21","한국",667
"22","자신",645
"23","남자",632
"24","시간",630
"25","사회",597
"26","얘기",587
"27","성격",585
"28","문제",582
"29","하다",574
"30","관계",563
"31","인티",556
"32","무엇",554
"33","지금",552
"34","감정",543
"35","느낌",539
"36","인생",520
"37","자체",513
"38","병신",512
"39","거임",501
"40","우리",486
"41","공부",485
"42","그것",479
"43","연애",472
"44","경우",460
"45","지능",458
"46","이거",453
"47","세상",441
"48","사실",440
"49","관심",436
"50","제가",436
"51","필요",436
"52","진짜",429
"53","거지",419
"54","소리",412
"55","행동",407
"56","능력",401
"57","상황",399
"58","주변",397
"59","현실",388
"60","중요",386
"61","나라",384
"62","성향",384
"63","혼자",378
"64","대화",377
"65","마음",366
"66","요즘",364
"67","결국",358
"68","공감",358
"69","기분",355
"70","ㅇㅇ",352
"71","논리",347
"72","머리",345
"73","나도",341
"74","특징",339
"75","가능",337
"76","결혼",337
"77","상대",335
"78","주의",327
"79","하면",325
"80","검사",323
"81","사랑",322
"82","대부분",320
"83","의미",316
"84","존재",315
"85","사고",306
"86","차이",306
"87","어디",305
"88","수준",302
"89","외모",294
"90","기준",292
"91","부분",290
"92","노력",289
"93","의견",288
"94","10",287
"95","가지",287
"96","결과",286
"97","설명",285
"98","인티제",285
"99","인터넷",280
"100","처음",280
"101","티제가",279
"102","부모",278
"103","판단",278
"104","경험",273
"105","학교",271
"106","나이",269
"107","20",268
"108","니들",268
"109","아이",268
"110","정신",268
"111","인간관계",267
"112","스스로",264
"113","시작",263
"114","갤러리",261
"115","연락",261
"116","누구",260
"117","백신",259
"118","인정",258
"119","오늘",256
"120","방법",253
"121","생활",250
"122","게임",247
"123","모습",247
"124","질문",247
"125","타인",247
"126","한번",244
"127","혐오",244
"128","한국인",241
"129","계획",240
"130","관련",240
"131","내용",238
"132","이성",237
"133","표현",236
"134","지랄",235
"135","ㄹㅇ",234
"136","이야기",232
"137","가치",230
"138","무시",230
"139","거기",228
"140","사이",227
"141","애초",225
"142","원래",225
"143","여성",223
"144","신경",221
"145","학벌",217
"146","개인",215
"147","완장",212
"148","입장",212
"149","절대",212
"150","자유",211
"151","고민",209
"152","감정적",208
"153","시발",208
"154","주장",207
"155","행복",207
"156","개인적",206
"157","집단",206
"158","보고",204
"159","시대",204
"160","환경",204
"161","만큼",203
"162","행위",202
"163","사회적",199
"164","거리",198
"165","건강",197
"166","문화",197
"167","반대",196
"168","세계",196
"169","스트레스",196
"170","일본",196
"171","관리",195
"172","부족",194
"173","상대방",194
"174","가족",193
"175","그거",193
"176","분위기",193
"177","지식",193
"178","논리적",192
"179","결론",191
"180","사회성",190
"181","이랑",190
"182","과정",186
"183","정치",186
"184","제일",185
"185","잘못",184
"186","하루",182
"187","심리",180
"188","기능",177
"189","해결",177
"190","상태",176
"191","추천",176
"192","의식",175
"193","주제",175
"194","30",174
"195","평소",174
"196","계속",173
"197","국가",172
"198","너희",172
"199","보통",172
"200","방식",169
"201","눈치",168
"202","동안",168
"203","이미지",168
"204","하면서",168
"205","운동",167
"206","평가",167
"207","도움",166
"208","사회생활",165
"209","대학",164
"210","반응",163
"211","순간",163
"212","100",162
"213","교육",161
"214","동물",161
"215","설거지",161
"216","예전",161
"217","직장",161
"218","지적",160
"219","토론",160
"220","회사",160
"221","다음",159
"222","이성적",159
"223","지가",159
"224","근거",158
"225","인지",158
"226","영화",157
"227","집착",157
"228","차단",157
"229","이번",154
"230","나름",153
"231","댓글",153
"232","얼굴",153
"233","등등",152
"234","반박",152
"235","적인",151
"236","미래",150
"237","성적",149
"238","시절",149
"239","누군가",148
"240","선택",148
"241","개념",147
"242","만약",147
"243","이후",146
"244","나중",145
"245","단어",144
"246","성공",144
"247","엄마",144
"248","정리",144
"249","테스트",144
"250","과학",143
"251","기억",142
"252","실제",142
"253","직업",142
"254","개소리",141
"255","분야",141
"256","인식",140
"257","제인",139
"258","가능성",138
"259","전부",138
"260","취급",137
"261","호감",137
"262","객관적",136
"263","모두",136
"264","분석",136
"265","자연",136
"266","조금",136
"267","종교",136
"268","과거",135
"269","발전",135
"270","지지",134
"271","ㅅㅂ",133
"272","안됨",133
"273","자식",133
"274","착각",133
"275","대가리",131
"276","아래",131
"277","미국",129
"278","열등감",128
"279","조선",128
"280","진심",128
"281","평생",128
"282","비판",127
"283","이제",127
"284","확률",127
"285","최고",126
"286","모든",125
"287","목표",125
"288","영향",125
"289","자리",125
"290","목적",124
"291","섹스",124
"292","재미",124
"293","정보",124
"294","중국",124
"295","구분",123
"296","부정",123
"297","옛날",123
"298","자존",123
"299","패스",123
"300","피해",123
"301","걱정",122
"302","보임",122
"303","의심",122
"304","통제",122
"305","튜브",122
"306","기본",121
"307","부모님",121
"308","조건",121
"309","갤에",120
"310","서로",120
"311","가정",119
"312","가치관",119
"313","불건강",119
"314","불편",119
"315","유지",119
"316","고통",118
"317","사상",118
"318","철학",118
"319","합리적",118
"320","활동",118
"321","몰입",117
"322","주식",117
"323","현재",117
"324","마라",116
"325","만족",116
"326","이재명",116
"327","최근",116
"328","그때",115
"329","공격",114
"330","망상",114
"331","싸움",114
"332","코로나",114
"333","이득",113
"334","이래",113
"335","감성",112
"336","사용",111
"337","인류",111
"338","완벽",110
"339","대체",109
"340","디시",109
"341","완전",109
"342","의지",109
"343","특성",109
"344","강요",108
"345","욕구",108
"346","군대",107
"347","권력",107
"348","기본적",107
"349","남성",107
"350","대상",107
"351","스타일",107
"352","쓰레기",107
"353","프로",107
"354","자랑",106
"355","비율",105
"356","상상",105
"357","20대",104
"358","갈등",104
"359","나한",104
"360","라도",104
"361","부정적",104
"362","유튜브",104
"363","참고",104
"364","추구",104
"365","대로",103
"366","수록",103
"367","엔프피",103
"368","특정",103
"369","매력",102
"370","수도",102
"371","아들",102
