"","word","freq"
"1","사람",603
"2","생각",520
"3","새끼",336
"4","내가",251
"5","성격",216
"6","자기",202
"7","병신",193
"8","ㅇㅇ",171
"9","친구",167
"10","유형",164
"11","여기",159
"12","인팁",151
"13","이유",149
"14","있음",148
"15","하나",148
"16","본인",144
"17","때문",143
"18","인간",131
"19","정도",130
"20","자신",128
"21","지능",125
"22","ㄹㅇ",121
"23","여자",121
"24","시발",117
"25","이거",117
"26","이해",113
"27","시간",112
"28","이상",110
"29","진짜",110
"30","공감",108
"31","이것",108
"32","혼자",108
"33","능력",107
"34","지금",105
"35","문제",104
"36","테스트",101
"37","인생",100
"38","하다",100
"39","무엇",97
"40","나도",96
"41","연애",95
"42","관심",94
"43","오늘",90
"44","사실",88
"45","검사",87
"46","느낌",87
"47","사회",87
"48","성향",85
"49","세상",84
"50","거지",83
"51","공부",82
"52","얘기",82
"53","저능아",82
"54","특징",79
"55","감정",78
"56","소리",77
"57","행동",75
"58","경우",74
"59","논리적",74
"60","기분",73
"61","머리",70
"62","섹스",70
"63","학교",69
"64","상황",68
"65","그것",66
"66","니들",66
"67","자체",66
"68","존재",66
"69","댓글",65
"70","아이큐",65
"71","우리",65
"72","남자",64
"73","논리",64
"74","누구",64
"75","노력",63
"76","사회성",63
"77","차이",63
"78","관계",62
"79","마음",62
"80","결국",60
"81","갤러리",58
"82","결과",56
"83","대화",55
"84","어디",55
"85","필요",55
"86","거임",54
"87","사고",54
"88","사랑",54
"89","요즘",54
"90","정신",54
"91","현실",54
"92","생활",53
"93","노래",52
"94","대부분",52
"95","ㅅㅂ",52
"96","인터넷",52
"97","지랄",52
"98","하면",52
"99","주변",51
"100","설명",50
"101","수준",49
"102","10",48
"103","부분",48
"104","씨발",48
"105","원래",48
"106","의미",48
"107","보고",47
"108","추천",47
"109","행복",47
"110","아이",44
"111","이야기",44
"112","반박",42
"113","가능",41
"114","거리",41
"115","공감능력",41
"116","나이",41
"117","시절",41
"118","심리",41
"119","경험",40
"120","대가리",40
"121","스트레스",40
"122","100",39
"123","타인",39
"124","판단",39
"125","고민",38
"126","그거",38
"127","애초",38
"128","인정",38
"129","정치",38
"130","하루",38
"131","한번",38
"132","223.39",37
"133","가짜",37
"134","만큼",37
"135","씹팁",37
"136","중요",37
"137","지가",37
"138","시작",36
"139","처음",36
"140","혐오",36
"141","분석",35
"142","이랑",35
"143","인간관계",35
"144","표현",35
"145","기억",34
"146","너희",34
"147","쓰레기",34
"148","엔팁",34
"149","영화",34
"150","특성",34
"151","하면서",34
"152","기준",33
"153","디시",33
"154","분위기",33
"155","운동",33
"156","팁특",33
"157","가지",32
"158","감성",32
"159","그로",32
"160","사진",32
"161","주의",32
"162","평균",32
"163","미안",31
"164","사이",31
"165","상대",31
"166","스스로",31
"167","연락",31
"168","외모",31
"169","절대",31
"170","제일",31
"171","주제",31
"172","천재",31
"173","20",30
"174","거기",30
"175","관련",30
"176","모습",30
"177","본적",30
"178","사회생활",30
"179","상대방",30
"180","입장",30
"181","직업",30
"182","진심",30
"183","한국",30
"184","개인",29
"185","나라",29
"186","나름",29
"187","디씨",29
"188","반대",29
"189","방법",29
"190","상태",29
"191","성적",29
"192","순간",29
"193","이후",29
"194","정신병자",29
"195","평가",29
"196","가치",28
"197","게임",28
"198","군대",28
"199","내용",28
"200","내향",28
"201","다음",28
"202","대학",28
"203","동안",28
"204","자살",28
"205","잘못",28
"206","프피",28
"207","관리",27
"208","보통",27
"209","사회적",27
"210","실제",27
"211","이성",27
"212","정리",27
"213","정보",27
"214","집단",27
"215","평생",27
"216","그때",26
"217","부족",26
"218","성공",26
"219","안녕",26
"220","얼굴",26
"221","적인",26
"222","주장",26
"223","지식",26
"224","지적",26
"225","튜브",26
"226","파악",26
"227","가면",25
"228","개소리",25
"229","결혼",25
"230","고통",25
"231","과정",25
"232","과학",25
"233","눈치",25
"234","무시",25
"235","상상",25
"236","아무것",25
"237","완벽",25
"238","의식",25
"239","이미지",25
"240","착각",25
"241","특이",25
"242","흥미",25
"243","갤에",24
"244","근거",24
"245","마라",24
"246","만약",24
"247","불편",24
"248","ㅇㅈ",24
"249","아무",24
"250","우울",24
"251","유튜브",24
"252","의견",24
"253","자랑",24
"254","취급",24
"255","타입",24
"256","평소",24
"257","포함",24
"258","확률",24
"259","환경",24
"260","객관적",23
"261","고백",23
"262","공격",23
"263","단어",23
"264","반응",23
"265","분야",23
"266","사건",23
"267","사상",23
"268","영상",23
"269","인프피",23
"270","재능",23
"271","재미",23
"272","좆병신",23
"273","참고",23
"274","학창",23
"275","가족",22
"276","개인적",22
"277","계획",22
"278","드립",22
"279","모든",22
"280","외향",22
"281","이성적",22
"282","자존",22
"283","조건",22
"284","취향",22
"285","피해자",22
"286","한데",22
"287","가능성",21
"288","개념",21
"289","결론",21
"290","경향",21
"291","계속",21
"292","고등",21
"293","누군가",21
"294","단순",21
"295","망상",21
"296","보임",21
"297","세계",21
"298","아침",21
"299","음악",21
"300","자유",21
"301","종교",21
"302","지지",21
"303","특별",21
"304","펭수",21
"305","그림",20
"306","기안",20
"307","도태",20
"308","목표",20
"309","방구석",20
"310","부류",20
"311","비율",20
"312","선택",20
"313","수학",20
"314","순수",20
"315","엄마",20
"316","열등감",20
"317","우월",20
"318","이래",20
"319","이론",20
"320","이름",20
"321","자리",20
"322","자연",20
"323","정상",20
"324","질문",20
"325","집착",20
"326","철학",20
"327","12",19
"328","감정적",19
"329","고등학교",19
"330","나중",19
"331","대로",19
"332","동물",19
"333","맹신",19
"334","분탕",19
"335","예전",19
"336","옛날",19
"337","완전",19
"338","우울증",19
"339","원숭이",19
"340","이상형",19
"341","저능아새끼",19
"342","정의",19
"343","코로나",19
"344","학창시절",19
"345","한남",19
"346","도움",18
"347","동기",18
"348","모순",18
"349","ㅂㅅ",18
"350","반복",18
"351","벌레",18
"352","부적응",18
"353","성욕",18
"354","수록",18
"355","싸움",18
"356","애미",18
"357","인증",18
"358","조금",18
"359","조언",18
"360","최고",18
"361","최근",18
"362","패턴",18
"363","포기",18
"364","건강",17
"365","게이",17
"366","그램",17
"367","기본",17
"368","냄새",17
"369","논쟁",17
"370","ㄷㄷ",17
"371","드라마",17
"372","모두",17
"373","몰입",17
"374","방식",17
"375","부모",17
"376","불가능",17
"377","비판",17
"378","서로",17
"379","소설",17
"380","시도",17
"381","신경",17
"382","안됨",17
"383","연구",17
"384","유사",17
"385","유지",17
"386","의심",17
"387","의지",17
"388","자부심",17
"389","적응",17
"390","정작",17
"391","특유",17
