"","word","freq"
"1","잇프피",640
"2","사람",595
"3","생각",434
"4","친구",383
"5","내가",279
"6","성격",244
"7","자기",161
"8","유형",155
"9","시간",131
"10","얘기",131
"11","이거",120
"12","있음",120
"13","하나",120
"14","연애",113
"15","정도",112
"16","혼자",112
"17","남자",106
"18","연락",100
"19","느낌",97
"20","진짜",96
"21","특징",96
"22","공부",95
"23","본인",94
"24","ㄹㅇ",91
"25","여기",91
"26","나도",90
"27","이것",90
"28","마음",89
"29","오늘",83
"30","검사",81
"31","기분",81
"32","여자",78
"33","하다",77
"34","지금",76
"35","테스트",76
"36","때문",73
"37","공감",72
"38","성향",72
"39","너희",71
"40","무엇",70
"41","이상",70
"42","관계",69
"43","ㅇㅇ",69
"44","요즘",69
"45","주변",68
"46","소리",67
"47","스트레스",67
"48","한번",65
"49","감정",63
"50","인생",61
"51","이유",59
"52","고민",57
"53","행동",57
"54","처음",56
"55","10",55
"56","눈치",55
"57","신경",55
"58","잇프",55
"59","관심",53
"60","상대",53
"61","우리",53
"62","상대방",52
"63","경우",50
"64","잇프피들",50
"65","전화",49
"66","하루",49
"67","원래",48
"68","절대",48
"69","가족",47
"70","상황",47
"71","세상",47
"72","엄마",47
"73","이랑",47
"74","하면",47
"75","결국",46
"76","어디",46
"77","학교",46
"78","결과",45
"79","계획",45
"80","알바",45
"81","이해",45
"82","인간",44
"83","영화",43
"84","이야기",43
"85","행복",43
"86","대화",42
"87","자신",42
"88","자존",42
"89","걱정",41
"90","생활",41
"91","사랑",40
"92","자체",40
"93","나중",39
"94","누구",39
"95","시험",39
"96","약속",39
"97","거지",38
"98","스타일",38
"99","안녕",38
"100","표현",38
"101","대부분",37
"102","동안",37
"103","미안",37
"104","사이",37
"105","질문",37
"106","남친",36
"107","상처",36
"108","순간",36
"109","아이",36
"110","필요",36
"111","거리",35
"112","거절",35
"113","튜브",35
"114","그것",34
"115","문제",34
"116","배려",34
"117","거임",33
"118","머리",33
"119","사실",33
"120","유튜브",33
"121","인간관계",33
"122","평소",33
"123","갤러리",32
"124","계속",32
"125","댓글",32
"126","우울",32
"127","진심",32
"128","게임",31
"129","궁합",31
"130","노래",31
"131","완전",31
"132","이성",31
"133","인프피",31
"134","기억",30
"135","부분",30
"136","분위기",30
"137","은근",30
"138","의견",30
"139","부담",29
"140","ㅅㅂ",29
"141","새끼",29
"142","ㅈㄱ",29
"143","취미",29
"144","피곤",29
