"","word","freq"
"1","사람",1819
"2","생각",1462
"3","친구",961
"4","잇티",901
"5","내가",851
"6","자기",594
"7","시간",514
"8","잇티제",489
"9","성격",466
"10","있음",456
"11","여자",444
"12","연락",442
"13","얘기",430
"14","정도",428
"15","유형",418
"16","연애",368
"17","남자",366
"18","본인",344
"19","하나",333
"20","느낌",312
"21","마음",307
"22","하다",299
"23","감정",293
"24","관심",290
"25","혼자",283
"26","공감",279
"27","이거",270
"28","관계",268
"29","여기",268
"30","때문",267
"31","무엇",263
"32","이것",261
"33","이상",246
"34","행동",245
"35","이해",241
"36","주변",238
"37","처음",233
"38","공부",232
"39","이유",229
"40","지금",226
"41","계획",223
"42","상대",221
"43","나도",220
"44","진짜",220
"45","기분",217
"46","상황",217
"47","대화",212
"48","경우",209
"49","약속",208
"50","인간",208
"51","문제",207
"52","성향",206
"53","제가",205
"54","호감",204
"55","한번",203
"56","검사",202
"57","표현",199
"58","우리",198
"59","원래",193
"60","요즘",188
"61","노력",186
"62","이야기",180
"63","고민",179
"64","소리",179
"65","인생",177
"66","이성",175
"67","거지",172
"68","질문",171
"69","잇티제가",169
"70","ㅇㅇ",166
"71","특징",166
"72","사이",165
"73","오늘",165
"74","자신",165
"75","스트레스",162
"76","필요",162
"77","평소",161
"78","하루",157
"79","하면",157
"80","학교",157
"81","새끼",154
"82","사랑",150
"83","자체",150
"84","부분",148
"85","10",146
"86","그것",146
"87","남친",145
"88","너희",143
"89","생활",143
"90","어디",142
"91","가족",135
"92","모습",134
"93","신경",134
"94","거임",131
"95","ㄹㅇ",129
"96","부담",129
"97","절대",129
"98","사회",127
"99","중요",127
"100","능력",126
"101","이랑",126
"102","전화",126
"103","누구",121
"104","상대방",121
"105","사실",120
"106","손절",120
"107","동안",119
"108","보고",119
"109","의미",118
"110","거리",114
"111","정리",114
"112","미안",113
"113","답장",111
"114","직장",111
"115","결과",108
"116","결국",105
"117","인간관계",105
"118","제일",104
"119","차이",104
"120","세상",103
"121","나이",102
"122","머리",101
"123","회사",100
"124","나한",99
"125","게임",98
"126","반응",98
"127","이성적",98
"128","걱정",97
"129","나중",97
"130","대부분",96
"131","행복",96
"132","선물",95
"133","얼굴",95
"134","거기",94
"135","계속",94
"136","도움",94
"137","보통",94
"138","20",93
"139","최근",92
"140","피곤",92
"141","기준",91
"142","그거",90
"143","현실",90
"144","기억",89
"145","나한테",88
"146","주의",88
"147","시작",87
"148","고백",86
"149","나름",86
"150","조언",86
"151","진심",86
"152","해결",86
"153","경험",85
"154","방법",85
"155","가지",84
"156","개인적",84
"157","결혼",84
"158","다음",84
"159","아이",84
"160","한데",84
"161","가능",83
"162","상담",83
"163","애인",83
"164","조금",83
"165","댓글",82
"166","등등",82
"167","불편",82
"168","이래",82
"169","준비",82
"170","테스트",82
"171","대답",81
"172","엔프피",81
"173","영화",81
"174","그때",80
"175","분위기",80
"176","상태",80
"177","실적",80
"178","예의",79
"179","현실적",79
"180","갤러리",78
"181","니들",78
"182","안녕",78
"183","엄마",77
"184","정신",77
"185","감정적",76
"186","씹프피",75
"187","의견",75
