"","word","freq"
"1","잇팁",474
"2","사람",304
"3","생각",258
"4","친구",199
"5","내가",168
"6","새끼",116
"7","인프피",107
"8","여자",105
"9","유형",104
"10","ㄹㅇ",103
"11","성격",96
"12","공부",95
"13","공감",94
"14","자기",87
"15","있음",84
"16","이거",82
"17","여기",79
"18","정도",79
"19","프피",77
"20","ㅇㅇ",74
"21","얘기",74
"22","이상",70
"23","시간",69
"24","검사",62
"25","하나",62
"26","혼자",62
"27","연애",60
"28","남자",59
"29","특징",58
"30","이해",57
"31","나도",54
"32","시발",53
"33","학교",53
"34","본인",52
"35","연락",49
"36","관심",48
"37","테스트",48
"38","이유",47
"39","감정",46
"40","느낌",46
"41","니들",45
"42","때문",45
"43","병신",45
"44","ㅅㅂ",45
"45","씹프피",45
"46","상황",44
"47","씹프",44
"48","기분",42
"49","하다",42
"50","노력",41
"51","소리",41
"52","오늘",41
"53","요즘",41
"54","무엇",40
"55","인생",40
"56","진짜",40
"57","대화",39
"58","시험",39
"59","원래",39
"60","지금",39
"61","지랄",39
"62","한번",38
"63","우리",37
"64","세상",36
"65","차이",35
"66","이것",34
"67","절대",34
"68","마음",33
"69","주변",32
"70","게임",31
"71","경우",31
"72","너희",31
"73","벼락",31
"74","아이",31
"75","어디",31
"76","인간",31
"77","행동",30
"78","능력",29
"79","분석",29
"80","하면",29
"81","성향",28
"82","엄마",28
"83","자신",28
"84","결과",27
"85","고민",27
"86","상대방",27
"87","자체",27
"88","하루",27
"89","거지",26
"90","과제",26
"91","관계",26
"92","문제",26
"93","불건강",26
"94","신경",26
"95","영화",26
"96","10",25
"97","갤러리",25
"98","상대",25
"99","추천",25
"100","폐쇄",25
"101","현실",25
"102","가능",24
"103","계획",24
"104","댓글",24
"105","사회",24
"106","이랑",24
"107","지가",24
"108","필요",24
"109","보고",23
"110","사랑",23
"111","노래",22
"112","눈치",22
"113","대학",22
"114","중요",22
"115","페미",22
"116","20",21
"117","가족",21
"118","거임",21
"119","공감능력",21
"120","동안",21
"121","말투",21
"122","미안",21
"123","스트레스",21
"124","관련",20
"125","꼰대",20
"126","우울",20
"127","전화",20
"128","차단",20
"129","처음",20
"130","동생",19
"131","분위기",19
"132","안됨",19
"133","알바",19
"134","남초",18
"135","내용",18
"136","내일",18
"137","대부분",18
"138","머리",18
"139","생활",18
"140","여초",18
"141","예전",18
"142","회사",18
"143","결국",17
"144","급식",17
"145","나한",17
"146","남친",17
"147","누구",17
"148","디시",17
"149","비추",17
"150","사이",17
"151","손절",17
"152","스타일",17
"153","시작",17
"154","인터넷",17
"155","정신",17
"156","제일",17
"157","직업",17
