"","num","title","content"
"1",2001,"자 수업시작한다","(지이이이이이잉...) "
"2",2002,"본래 나는 특별해서 인팁이었는데 mbti 알고 난 후로 인팁이라 특별해짐","인팁이니까 일부러 특이한 행동하고 의식하게 됐다.. "
"3",2003,"변할 수 없는 것에 미련갖지 말자","지능은 타고나는 거야. 왠만하면 바뀔 수 없다고. 저지능으로 타고난 것에 아무리 징징대봤자 지능은 변하지 않아. 니가 해야할 건 무엇이 주어졌냐에 대한 징징거림이 아닌 주어진 것을 어떻게 활용할 것인가에 대한 가능성의 모색이겠지. 또한 모든 것을 지능이란 획일된 척도로 환원시켜 사람의 가치를 판단할 수도 없어. 사람마다 타고난 기능은 모두 다르거든. 비단 사람 뿐만이 아닌 다른 동물들을 보더라도 인간보다 지능은 떨어지지만 다른 발달된 기능이 있기에 이들을 지능을 척도로 까내리는건 별 의미가 없어. 가령 강아지 같은 경우는 지능을 제외한 후각 청각 운동신경 같은 모든 신체 감각적인 부분에서 인간보다 앞서거든. 지능은 별 의미가 없어. 그걸 근거로 논문을 쓰거나 자신의 한계를 알기 위한 목적이 아니면 말이지. 그런 무의한 수치에 신경쓸 바에 유산소 운동을 하거나 공부를 해. 그게 그나마 뇌건강에 좋으니까. <U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0><U+00A0>"
"4",2004,"iq 웩슬러 멘사 섹스 자지 보지같은건 뭐 기관가서 돈내고보는거냐?","ㅇㅇ? "
"5",2005,"iq낮으면 그림 못그리냐?","시발 진짜 내 그림실력은 저주받았다 "
"6",2006,"뉴비인데 어떤 아이피를 피해야 함?","조심해야 할 아이피 알려줘"
"7",2007,"오 돌고래다","심리상담사: 돌고래는 진짜가 아니에요, 돌고래는 당신을 해칠수 없어요 "
"8",2008,"5유로짜리 아이큐 테스트 해봄","막상 해보니깐 돈 아깝네 ㅡㅡ 괜히 했다/"
"9",2011,"INTP중에 나르시시즘 없는 사람있음?","있음?"
"10",2012,"미친놈이랑 저능아들한테 점령당한 갤","인팁없는 인팁갤통탄할 노릇"
"11",2013,"INTP중에 남을 진심으로 존중 존경하는 사람 있음?","있음?"
"12",2014,"INTP중에 속마음을 100% 솔직하게 오픈하고 사랑해본적 있음?","있음?"
"13",2015,"왜 하필 그들은 타 성향갤에 오는 걸까","꼭 인팁갤이여야만 했을까돌머가리 페미충들은 n번방대첩때문이라고 하자근데 ㄹㅇ저능아들은 왜 하필 이곳에서몸비틀고 있는 거지"
"14",2016,"INTP중에 생각없는 멍멍이가 되고 싶기도 한적 있음?","있움?"
"15",2017,"INTP님들 가장 행복했을때가 언제임?","어떨때 가장 행복해?짜릿할정도로 행복하거나미친듯이 설레이게 행복하거나소소하게 행복 평온한 상태나뭐 그런 경험있다면<U+00A0>언제였어?앞으로의 인생을 어떻게 살고싶어?"
"16",2018,"너네 에너지드링크 왜안마심?","니고임? "
"17",2019,"저능한게 문제가 아니라","심보가 문제임 그 대가리로 악의를 갖고 분탕치려는 의도딱 죽지 않을만큼만 존나 패고 싶다얘넨 그냥 매가 약이야망상병 환자 새끼도 마찬가지임사회 쓰레기들이런 정신병자들은 인팁한테 뭐 끌리는 거라도 있는 건가근성 하나는 인정해줘야함"
"18",2020,"지금 정신병자들 담당일진 배정해준다","45.64나머지 인붕이들은 다 손떼"
"19",2021,"모든걸 다 알고 살라는게 아니라","아무것도 모르지 말란거지 "
"20",2023,"간다",""
"21",2031,"이거 찐따유형임?","나 찐따야? 시발"
"22",2032,"우울증은 전두엽 기능 저하 등 신체적 문제라는데","그렇담 힘들고 우울한 일들을 겪어서 뇌기능이 저하되고 우울증에 걸리는 걸까, 아님 뇌기능이 먼저 저하돼서 그냥 사소한 일도 우울하게 느껴지는 걸까? "
"23",2033,"인팁들은 본인의 떨어지는 사회성을 자꾸 합리화함 ","텐션이 존나 떨어져서 좃노잼이거나 말을 어버버하거나 단어선택이 진부하다던가 자기방어가 심하다던가  ㅋㅋㅋㅋㅋ<U+00A0><U+00A0>그냥 씹 노잼이라 같이 안놀아주는건데그게 ㅋㅋ 지가 고 지능자여서 안놀아주는걸로 암ㅋㅋㅋㅋ합리화하는 꼬라지가 페미들이 남혐하는 방식이랑 똑같음 ㅋㅋㅋㅋ 지들이 무슨 아스퍼거 혹은 서번트증후군이라도 걸려서 좆찐따된줄 착각하고 있음 ㅋㅋ병신들"
"24",2034,"INTP중에 사랑을 해본적 있음?","서로 이득이 맞아서 하는 거래나 장사같은 사랑 연애가 아니라인간적인 정이 느껴지는<U+00A0>영화에 나올법한 사랑말이야근데 그전에 그런 사랑이 실존함.??"
"25",2035,"와시발 존나게 좆같이 좆될뻔했다","화장실에서 폰 떨어뜨렸는데 변기 오른쪽 왼쪽 팅팅 맞고 땅에 떨어짐 "
"26",2036,"여기 지금 진짜 인붕이들 몇이나 되냐?",""
"27",2037,"와 개꼴린다","ㄹㅇ "
"28",2038,"혹시 나같은 인붕이 있냐","내 결과는 n이긴 한데 "
"29",2039,"""너 자신을 알라""","""네 전 인팁임"" "
