"","num","title","content"
"1",2002,"잇붕이들 안녕","n수생 잇붕이야 반가웡ㅇ "
"2",2003,"와이프랑 했는데 둘다 ISFP나왔다","어리둥절"
"3",2004,"오 뭔가 방금 잇프피랑 어울리는 단어 찾음","하라구로?인데 꺼무위키에 나온 예시 정도로 심하지는 않고 하라구로 순한맛? 정도 되는 것 같음"
"4",2005,"내가 만약 트루먼쇼 속 주인공이라면","아마 나름 만족하면서 살았을지도 모름ㄹㅇㅋㅋ"
"5",2006,"과제 늦게 내본 사람있냐","진짜 왜살지...이 시간이 되면 어떻게든 제출 했을거라고 믿은 과거의 나를 매우 친다..."
"6",2007,"잇프피들 조커 보고 공감많이함?","내 절친이 잇프피인데 조커프사 일년째  "
"7",2008,"나만 그런건지 모르겠는데","별로 안친한 사람이나 초면인 사람이 나한테 차갑게 대하거나 약간 띠껍게 하면 맘 속으로 개쌍욕 박다가도 좀만 친절하게 해주면 바로 그사람 되게 착하고 좋은 사람이라고 생각하게 됨.....이런 성격 너무 사이코 같아서 고치고 싶은데 어떻게 하면 고칠 수 있을까ㅠㅠ"
"8",2009,"뉴비입니당 안녕하세요....","나무위키 읽고 죄다 나랑 해당되는거여서 소름돋았음..."
"9",2011,"요즘 너무 깊게 생각 안하려고 노력중","나혼자 백번 결론 내려봐야 결국엔 상대방하고 대화로 해결되는게 많더라"
"10",2012,"내향형 외향형 보통 몇대몇뜸?","난 두번해봣는데 둘다 5:5임<U+00A0>"
"11",2013,"난 정돈되어있어야 마음놓이는데 나만그러냐","난 내물건 어질러져있거나 누가 막 건드리고 그러면 흉악한 분노가 머리끝까지올라와서 "
"12",2014,"강박증 있음","뭐든지 1번만 확인하면 될걸 6번을 확인함속에 불안함 같은게 있는건가 왜 이런지 모르겠어"
"13",2015,"금학기 3.8 ","생각보다 잘나와서 존나 한숨돌림.."
"14",2016,"나 고1때 ISFP였는데","근데 24살먹고 다시해보니까 ENTJ나왔는데 이게 가능해? ㅋㅋㅋㅋㅋㅋ"
"15",2018,"너네 진로 적성이 어느쪽임 현재 직업이나","잇프피인데 n s 비율이 45 55 정도임 "
"16",2019,"가수나 배우가 진로인 사람있니","예술계통이나 "
"17",2020,"intp 성격 어떠냐","극혐이냐?"
"18",2021,"좋아하는 사람한테 철벽침 ㅜ","오히려 같은 공간에 있는<U+00A0>"
"19",2022,"잇프피남자 너무 답답해요ㅠ","잇프피 남자가 나 좋아한다면서 선톡을 거의 안함..답장도 가끔 몇시간 늦음 원래 핸드폰을 잘 안본다나..뭔가 나에게 확신을 주는 적극적인 행동이 없음. 내가 삐져서 장난으로 말걸지말라고 한적 있는데(카톡으로) 내가 말걸때까지 진짜 말안걸었음...잇프피 남자 너무 마음도 모르겠고 너무 어려워ㅠㅠ+잇프피는 어케 꼬셔야해..?+아그리고 징징대거나 귀찮게하는 여자 별로야..?걍 간섭안하는게 좋아?"
"20",2023,"잇프피가 좋아하면","도망다녀?나 잇프피 잇팁 둘다 나오는데나는 도망다닌다 .. 걔만 보면 얼굴 뜨거워져 ㅋㅋ"
"21",2024,"너넨 나중에 뭐가 되고싶음?","난 꿈이라는게 되게 나중에 뭐가 되고 싶다. 라는 꿈은 없지만,적어도 이런 사람은 되고 싶다 라는 꿈은 있거든.근데 그게 너무 내면에 치중에 되있다는거.내가 말하는 뭐가 되고 싶다 라는건<U+00A0>""대기업에 들어가서 임원이 되고싶다.""""사업을 해서 돈을 왕창 벌고 싶다""<U+00A0>""의사가 되고싶다""<U+00A0>""국회의원이 되고싶다""""운전기사 고용해서 롤스로이스를 타고싶다""이런꿈은 없는거 같아.되게 내 자신에게 쑥스럽고 내가 감히? 라는 생각을 먼저 하게됨.그 남자들의 뭐랄까...허세 뽕이 너무 없음.니들은 나중에 뭐가 되고싶다 라고 주변인들에게 말하고 다닐만큼의 꿈이 있어?"
"22",2025,"우리같은 성격유형은 일단 뭘 해보는게 좋을까 아무거나?","무언가를 시작하기전에 망설이는시간이 너무 긴거같아 "
"23",2026,"너네 S 얼마나 뜸","몇달전엔 53 59 막 이랬는데 최근에 한건 8:2로 뜸  "
"24",2027,"이거나만그러냐","돈 한 2~3천원 빌려주고나면 뭔가 작은액수는 갚으라고 말하기 뭔가좀그래서 먼저 갚을때까진 아무말안하는데 나만그런가..."
"25",2028,"너네 진짜 생각 다른데 맞장구 칠 수 있음?","상대방 의견에 동의 안하면서 맞장구치는 거 가능해?  "
"26",2029,"그림 그리는 거 좋아하는 친구들아","너네는 주로 어떤 그림을 그려??  "
"27",2030,"잇프피 남친 생기면","같이 집에서 영화보면서 투닥투닥 꽁냥꽁냥 거리면서 지내고 싶다 ㅋㅋ근데 연애하기 귀찮은게 함저ㅇ..."
"28",2031,"EXTX 너무 부러움","본인 ISFP고 엄마 E(I)NTP고 친구 ENTJ인데 이 유형들이 너무 부러움약간 부탁을 거절할때도 별로 안미안한거 같고 늘 당당한거같음그게 잘못됏단게 아니라 나는 거절을 너무못해서ㅋㅋ 블랙카우 그자체라 ㄹㅇ 그런성격 갖고싶음 개부럽난 거절하면 쟤가 나 싫어하겟다는 생각이 드는데 정작 내가 부탁하고 거절당하면 아 괜한거 부탁했나? 이생각 드는거보면 거절해도 되는걸까 아님 내가 흑우일까게다가 사기도 절대 안당할거같음 본인이 치면 쳤지솔직히 나지만 사기 개잘당할거같음 어떤 사람이 뭐라하면서 이거 안하시면 안돼요 하고 겁주면 아 네 해주세요 이러니까물건살때도 요구 많이 못하고ㅋㅋㅋㅋ진짜 EXTX로 살아보고싶다 안들어줘도 되는 부탁인거 알면서 죄책감이 듦"
"29",2032,"시험 5일 남았는데 오늘 공부 처음했다","7시간 함<U+00A0>"
"30",2033,"배우하고싶은데","이 유형이랑 맞는거같아? "
"31",2034,"과거일 잊는법좀 알려줘","과거에 안좋았던 기억 계속 나서 생활이힘들어"
"32",2035,"오늘 처음 이 갤러리 와봤는데","너무 재밌음ㅋㅋㅋㅋㅋ 다 내 얘기같아.. "
"33",2036,"같이 일할때 한숨쉬는 사람들 너무싫지않냐","출근하자마자 에휴..거리고 뭐 일할때마다 한숨쉬고 잘안되면 아씨.. 말끝마다 씨가 붙는 사람들 진짜 같이 일하기 너무 싫다ㅠㅠ<U+00A0>"
"34",2038,"유튜브보다 알아낸건데","ISFP가 전세계적으로 3.2%밖에 안되네 제일 적음우리나라에선 6%로 거의 중위권 정도 근데 비율 차이가 얼마안나"
"35",2039,"도착하기 몇분전에 약속취소하는사람 ","학원에서 선생골라서 약속잡아서 개별상담하고 맘에들면 학원다닐지<U+00A0> 결정하는건데<U+00A0>"
"36",2040,"T중에 그나마 젤 착한성격이 ISTP야???","ㅈㄱㄴ"
"37",2041,"너네도 가족들 중재자역할 해?","가족들 싸운다싶으면 중재자역할은 결국 내몫이 되버림.다들 자기의견이 강해서그런가 말다툼이 자주 일어나는데분위기 이상하다싶으면 그순간을 내가 못버텨서 괜히 껴서 엉뚱한 소리하거나 중재하게 되는거같아.난 언쟁이 될만한걸 최소한으로 만드는 편이라 잘없고...그래서 이미 싸우고나서 하소연도 들어주고 중재역할도 부탁하고그냥 싸우거나 싸운뒤 분위기가 답답해서 내가 나서게되는듯너네는 어때?"
"38",2042,"가족이랑 떨어져있고 싶어서 ","원랜 3명이서사는데<U+00A0>"
"39",2043,"잇프피도 드디어 유튜브 떴다","잇프피가 mbti 관심도에 비해 영상이 진짜 없는 편인데 (그냥 특징 읽기가 대부분 ㅠ) 이런거 나왔다 다른 유형들 이런 기분이었군 ㅋㅋㅋ "
"40",2044,"isfp랑 esfp는 조합 어떰 ?","친한 친구가 esfp인데 나는 잘맞는거같은데 "
"41",2045,"도로주행 또 떨어졌어","가장 어려운 코스를 2번 연속으로 봤어. 1/16의 확률인데 너무 억울하다난 진짜 운전 하면 안 되는 거 같애돈도 아깝고... 역대급으로 자살 마렵네"
"42",2046,"isfp 나왔는데 이거 찐특맞노 ㅋㅋ","본인 특 "
"43",2049,"욜로족 대부분 mbti 뭘까??","ㅈㄱㄴ"
"44",2050,"말싸움할 때 못 말하는거 많지않냐","난 논리적이지않아서 말도 못하지만내가 생각하고 있는거 그대로 말하면 상처줄까봐 잘 못 말하겠어 필터링 탈탈탈탈 그리고 내가 잘 못한게 조금이라도 있으면 지적을 잘 못하겠음 ㅇㅏㅏㅏㅏ글고 나 잘못한거 있으면 바로 인정하는 편이라 사과 못하는 사람 진짜 싫어 사과에 왜 자존심을 거냐 갑자기 개빡친다 "
"45",2051,"충전조차 귀찮다","한 3프로되면 꽂아야지"
"46",2052,"esfj 너무 멋있어","제일 동경해 "
