"","word","freq"
"1","영화",104015
"2","최고",21768
"3","생각",15790
"4","스토리",13055
"5","평점",12454
"6","기대",12201
"7","시간",10853
"8","사람",10086
"9","감독",9763
"10","우주",8579
"11","재미",8519
"12","내용",8299
"13","10",7214
"14","처음",6905
"15","정도",6522
"16","마지막",6247
"17","이해",6245
"18","결말",6088
"19","인간",5812
"20","감동",5675
"21","느낌",5530
"22","이것",5208
"23","연기",5128
"24","대박",5121
"25","진짜",5020
"26","완전",4928
"27","작품",4762
"28","액션",4672
"29","우리",4595
"30","장면",4492
"31","10점",4419
"32","이상",4405
"33","배우",4259
"34","한국",4185
"35","인생",4145
"36","명작",4065
"37","몰입",3920
"38","하나",3870
"39","알바",3830
"40","이거",3781
"41","볼만",3359
"42","무엇",3240
"43","실망",3168
"44","내가",3150
"45","추천",3115
"46","보고",3103
"47","부분",3089
"48","영상",3088
"49","영화관",3021
"50","준호",2996
"51","표현",2979
"52","상상력",2946
"53","극장",2883
"54","영화중",2785
"55","긴장감",2781
"56","하다",2744
"57","이야기",2743
"58","외계인",2739
"59","후회",2691
"60","전개",2636
"61","소재",2612
"62","경이",2609
"63","1점",2560
"64","중간",2531
"65","영상미",2489
"66","소름",2486
"67","나라",2444
"68","여운",2431
"69","때문",2392
"70","자체",2352
"71","연출",2334
"72","강추",2323
"73","주인공",2288
"74","지구",2275
"75","스텔라",2264
"76","인터",2263
"77","만큼",2260
"78","반전",2258
"79","수준",2254
"80","의미",2251
"81","부족",2249
"82","봉준호",2188
"83","메세지",2157
"84","스릴",2139
"85","지금",2117
"86","오랜만",2115
"87","타임",2113
"88","최악",2105
"89","쓰레기",2103
"90","초반",2087
"91","흥미",2079
"92","인터스텔라",2078
"93","나름",2075
"94","우리나라",2072
"95","필요",2059
"96","그래픽",2035
"97","개인적",2007
"98","동안",2006
"99","허무",2005
"100","열차",1988
"101","시리즈",1982
"102","동원",1977
"103","사랑",1962
"104","재밋",1927
"105","인류",1839
"106","아이맥스",1833
"107","완벽",1827
"108","잔인",1819
"109","3시간",1809
"110","스케일",1800
"111","엔딩",1760
"112","올해",1754
"113","한국영화",1747
"114","기분",1716
"115","미래",1709
"116","개봉",1708
"117","한번",1658
"118","집중",1636
"119","감동적",1621
"120","대작",1579
"121","관객",1576
"122","강동원",1556
"123","진심",1556
"124","상상",1552
"125","아바",1544
"126","2편",1531
"127","과학",1525
"128","눈물",1515
"129","후속",1482
"130","기억",1474
"131","있음",1466
"132","간만",1464
"133","볼거리",1463
"134","다음",1451
"135","가족",1448
"136","시작",1446
"137","평가",1446
"138","신선",1431
"139","고수",1412
"140","이후",1407
"141","마음",1391
"142","점수",1380
"143","프로메테우스",1358
"144","유치",1350
"145","친구",1350
"146","이유",1347
"147","설국",1323
"148","메시지",1316
"149","오늘",1298
"150","만점",1289
"151","세계",1284
"152","에이",1265
"153","긴장",1254
"154","관람",1236
"155","데이",1231
"156","천재",1227
"157","수작",1212
"158","감사",1199
"159","걸작",1187
"160","개연성",1185
"161","세상",1183
"162","비티",1182
"163","장르",1178
"164","주제",1177
"165","머리",1148
"166","일리",1133
"167","만족",1130
"168","설국열차",1130
"169","설정",1118
"170","조금",1114
"171","호불호",1112
"172","배경",1111
"173","가슴",1107
"174","예고편",1102
"175","구성",1100
"176","그것",1096
"177","억지",1087
"178","모습",1085
"179","아쉬움",1083
"180","여자",1072
"181","프로",1064
"182","어디",1060
"183","감정",1047
"184","존재",1046
"185","감탄",1039
"186","단순",1038
"187","현실",1038
"188","가지",1017
"189","설명",1015
"190","8점",1010
"191","사회",1010
"192","시대",1007
"193","스파이",988
"194","100",986
"195","연기력",985
"196","에이리언",983
"197","소리",975
"198","흥행",974
"199","충격",966
"200","사실",965
"201","거지",964
"202","로봇",961
"203","전체적",961
"204","20",958
"205","주고",952
"206","원작",948
"207","버그",946
"208","어이",940
"209","크리",936
"210","결국",934
"211","일리언",927
"212","2시간",919
"213","대사",917
"214","미국",915
"215","러닝",913
"216","장난",905
"217","예상",898
"218","순간",897
"219","캐릭터",896
"220","차원",894
"221","한마디",894
"222","공간",888
"223","아이",886
"224","공포",884
"225","남자",883
"226","이론",882
"227","스토퍼",878
"228","9점",873
"229","역대",867
"230","트랜스",862
"231","크리스토퍼",859
"232","시나리오",855
"233","후반부",848
"234","강호",839
"235","음악",836
"236","자신",832
"237","트랜스포머",832
"238","포머",832
"239","7점",825
"240","속편",820
"241","전율",819
"242","화면",817
"243","기대안",816
"244","최근",816
"245","아이언",813
"246","30",811
"247","전쟁",808
"248","1편",806
"249","영화보고",806
"250","중반",804
"251","후반",804
"252","마무리",803
"253","이하",801
"254","상영",800
"255","이번",797
"256","교훈",794
"257","마라",791
"258","정말",788
"259","이터",787
"260","효과",782
"261","가능",781
"262","드라마",777
"263","취향",777
"264","보세",774
"265","화려",774
"266","데이빗",773
"267","요소",771
"268","철학적",770
"269","네이버",769
"270","러닝타임",768
"271","전달",767
"272","기차",763
"273","전작",763
"274","약간",761
"275","15",758
"276","안보",757
"277","인생영화",754
"278","포스터",752
"279","요즘",749
"280","우주영화",747
"281","번째",743
"282","에일",742
"283","판타지",741
"284","블록버스터",739
"285","신비",739
"286","오락",732
"287","스릴러",731
"288","나도",724
"289","우드",723
"290","보기",721
"291","중간중간",720
"292","비교",718
"293","과학적",716
"294","블랙홀",714
"295","송강호",708
"296","매트릭스",707
"297","제임스",706
"298","얘기",702
"299","문제",701
"300","발전",693
"301","가치",686
"302","괴물",686
"303","탄생",682
"304","분위기",679
"305","이정",679
"306","우스",673
"307","혼자",672
"308","공감",671
"309","이건",671
"310","보시",670
"311","실적",663
"312","인셉션",662
"313","철학",659
"314","피트",658
"315","외국",656
"316","매력",655
"317","상황",653
"318","거리",652
"319","박수",649
