"","word","freq"
"1","영화",12753
"2","연기",2016
"3","생각",1907
"4","최고",1870
"5","우리",1825
"6","감동",1742
"7","사람",1488
"8","눈물",1369
"9","감사",1355
"10","배우",1248
"11","평점",1216
"12","가슴",1091
"13","감동적",939
"14","힐링",933
"15","마음",926
"16","나라",808
"17","지금",742
"18","민국",722
"19","대한",718
"20","대한민국",711
"21","아버지",711
"22","시대",685
"23","가족",663
"24","국민",625
"25","한국",625
"26","인생",621
"27","시간",613
"28","10",599
"29","역사",590
"30","처음",585
"31","강호",578
"32","재미",554
"33","추천",551
"34","장면",530
"35","부모님",518
"36","마지막",514
"37","이야기",492
"38","우리나라",468
"39","진짜",467
"40","스토리",465
"41","세대",451
"42","이것",448
"43","느낌",445
"44","사랑",439
"45","감독",438
"46","정민",436
"47","내용",435
"48","송강호",413
"49","현실",389
"50","대통령",382
"51","주의",376
"52","명작",371
"53","여운",370
"54","민주",368
"55","10점",362
"56","정도",361
"57","노무현",356
"58","보고",354
"59","기억",349
"60","무엇",349
"61","기대",346
"62","하나",340
"63","작품",335
"64","연기력",332
"65","오랜만",330
"66","민주주의",327
"67","한번",322
"68","세상",317
"69","희생",316
"70","황정민",315
"71","이해",314
"72","시절",313
"73","기분",307
"74","오늘",305
"75","평론가",305
"76","우리말",303
"77","때문",297
"78","행복",289
"79","엄마",283
"80","이상",283
"81","강추",281
"82","모습",275
"83","공감",274
"84","내가",274
"85","웃음",274
"86","몰입",269
"87","연출",269
"88","억지",265
"89","필요",257
"90","자체",254
"91","친구",254
"92","사실",249
"93","존경",242
"94","올해",241
"95","모두",237
"96","일베충",237
"97","대박",234
"98","변호인",234
"99","감정",230
"100","표현",230
"101","할아버지",230
"102","관객",227
"103","국가",225
"104","요즘",225
"105","광주",223
"106","편안",223
"107","영화관",222
"108","그분",220
"109","엔딩",216
"110","당시",214
"111","개봉",213
"112","아이",211
"113","모든",210
"114","한국영화",208
"115","부분",207
"116","소름",206
"117","시골",206
"118","의미",206
"119","영화중",204
"120","이거",204
"121","남자",203
"122","실화",203
"123","진심",202
"124","테러",202
"125","하다",202
"126","완전",200
"127","인간",198
"128","일본",197
"129","이유",193
"130","전두환",192
"131","한글",192
"132","자신",189
"133","쓰레기",187
"134","주신",186
"135","자연",184
"136","중함",182
"137","그때",179
"138","사회",179
"139","음식",179
"140","당신",178
"141","극장",176
"142","완벽",175
"143","시장",173
"144","힐링영화",172
"145","유해",171
"146","중간",170
"147","진실",170
"148","천만",170
"149","노력",169
"150","상황",168
"151","민주화",167
"152","1점",165
"153","원작",165
"154","국제",164
"155","일베",161
"156","주인공",161
"157","동안",159
"158","누구",158
"159","후회",157
"160","택시",156
"161","대사",154
"162","고생",153
"163","과거",152
"164","관람",152
"165","현재",149
"166","국제시장",147
"167","평가",147
"168","감성",145
"169","만큼",145
"170","요리",145
"171","간만",142
"172","소재",142
"173","아빠",142
"174","알바",142
"175","레스트",141
"176","실제",141
"177","인물",139
"178","어머니",138
"179","20",136
"180","조승",136
"181","소리",134
"182","얘기",133
"183","인생영화",133
"184","개인적",132
"185","덕분",132
"186","나도",130
"187","미화",129
"188","아들",129
"189","정치",129
"190","권력",127
"191","불편",127
"192","운동",127
"193","1987",126
"194","사건",126
"195","진정",126
"196","할머니",126
"197","혼자",123
"198","정치적",122
"199","준호",121
"200","30",120
"201","위로",120
"202","최근",120
"203","슬픔",119
"204","여자",119
"205","나이",118
"206","빨갱이",118
"207","수준",118
"208","그것",116
"209","새끼",116
"210","아픔",116
"211","영화보고",116
"212","전개",116
"213","전도",116
"214","순간",114
"215","시민",114
"216","운전사",114
"217","기자",111
"218","신파",111
"219","별점",109
"220","시작",107
"221","정신",107
"222","계상",106
"223","배경",106
"224","현대사",105
"225","크레딧",104
"226","김태",103
"227","정의",103
"228","결말",102
"229","반성",102
"230","박수",100
"231","보시",100
"232","택시운전사",100
"233","자유",99
"234","봉준호",98
"235","동원",97
"236","생활",97
"237","여기",97
"238","흥행",97
"239","조금",96
"240","중간중간",96
"241","한국인",96
"242","수작",95
"243","있음",94
"244","집중",94
"245","포레스트",94
"246","미소",93
"247","부족",93
"248","하정",93
"249","100",92
"250","영상",92
"251","영상미",92
"252","자랑",92
"253","가치",91
"254","실적",91
"255","울림",91
"256","자극적",91
"257","주고",91
"258","현실적",91
"259","김태리",90
"260","윤계상",90
"261","이후",90
"262","주권",90
"263","김혜자",89
"264","만점",89
"265","보기",89
"266","어디",89
"267","정권",89
"268","분노",88
"269","추억",88
"270","음악",87
"271","화가",87
"272","용기",86
"273","자리",86
"274","자식",86
"275","네이버",85
"276","누군가",85
"277","대사관",85
"278","드라마",85
"279","볼만",84
"280","역사적",84
"281","시사회",83
"282","한지",83
"283","사계절",82
"284","요소",82
"285","존재",82
"286","일상",81
"287","자기",81
"288","제가",81
"289","중요",81
"290","캐릭터",81
"291","머리",80
"292","안녕",80
"293","학생",80
"294","미안",79
"295","강동원",78
"296","거지",78
"297","순수",78
"298","어른",78
"299","5.18",76
"300","분위기",76
"301","송강호씨",76
"302","얼굴",76
"303","점수",76
"304","조작",76
"305","최악",76
"306","나의",75
"307","다행",75
"308","댓글",75
"309","마라",75
"310","영애",75
"311","결국",74
"312","배우분",74
"313","전도연",74
"314","전쟁",74
"315","제대",74
"316","조승우",74
"317","공부",72
"318","독재",72
"319","부모",72
"320","어르신",72
"321","검프",71
"322","교훈",71
"323","노무현대통령",71
"324","목숨",71
"325","옛날",71
"326","청춘",71
"327","하정우",71
"328","구성",70
"329","감탄",69
"330","바탕",69
"331","역할",69
"332","이름",69
"333","초반",69
"334","설정",68
"335","엔딩크레딧",68
"336","역대",68
"337","한번쯤",68
"338","년대",67
"339","희망",67
"340","세요",66
"341","실망",66
"342","조조",66
"343","캐스팅",66
"344","계절",65
"345","충이",65
"346","문제",64
"347","민족",64
"348","상영",64
"349","선생님",64
"350","저희",64
"351","출연",64
"352","평생",64
"353","귀농",63
"354","니들",63
"355","다큐",63
"356","리얼",63
"357","리틀",63
"358","만족",63
"359","이번",63
"360","풍경",63
"361","하늘",63
"362","가장",62
"363","개연성",62
"364","계기",62
"365","벌레",62
"366","변호사",62
"367","시나리오",62
"368","감성팔",61
"369","바보",61
"370","이제",61
"371","한지민",61
"372","농촌",60
"373","선택",60
"374","한편",60
"375","계속",59
"376","근래",59
"377","시기",59
"378","영화속",59
"379","정치색",59
"380","티비",59
"381","독립",58
"382","보세",58
"383","재밋",58
"384","주연",58
"385","학교",58
"386","번째",57
"387","보시길",57
"388","여러분",57
"389","주변",57
"390","타임",57
"391","경험",56
"392","고통",56
"393","관심",56
"394","그날",56
"395","미래",56
"396","왜곡",56
"397","제일",56
"398","하루",56
"399","20대",55
"400","다음",55
"401","좌파",55
"402","주제",55
"403","해지",55
"404","1000",54
"405","교육",54
"406","일제",54
"407","정말",54
"408","정부",54
"409","제목",54
"410","평점테러",54
"411","9점",53
"412","겨울",53
"413","반복",53
"414","사용",53
"415","선물",53
"416","세끼",53
"417","연기자",53
"418","2시간",52
"419","고문",52
"420","과정",52
"421","말모이",52
"422","바람",52
"423","발전",52
"424","비교",52
"425","삼시",52
"426","잔인",52
"427","절대",52
"428","고민",51
"429","라도",51
"430","보수",51
"431","불륜",51
"432","열사",51
"433","오랫만",51
"434","코미디",51
"435","김윤",50
"436","무시",50
"437","신파극",50
"438","아침",50
"439","완성도",50
"440","이한열",50
"441","주인",50
"442","한마디",50
"443","가능",49
"444","세월",49
"445","언어",49
"446","가지",48
"447","꿀잼",48
"448","남편",48
"449","스크린",48
"450","자씨",48
"451","하나하나",48
"452","거리",47
"453","오열",47
"454","이산가족",47
"455","ㅉㅉ",47
"456","코믹",47
"457","휴식",47
"458","1987년",46
"459","나중",46
"460","베충이",46
"461","복수",46
"462","사상",46
"463","삼시세끼",46
"464","열연",46
"465","초원",46
"466","40",45
"467","개인",45
"468","거기",45
"469","도시",45
"470","디테일",45
"471","명품",45
"472","살인",45
"473","선동",45
"474","소장",45
"475","송강",45
"476","아무것",45
"477","중반",45
"478","평론",45
"479","행동",45
"480","걱정",44
"481","고향",44
"482","라니",44
"483","리뷰",44
"484","반전",44
"485","예매",44
"486","예전",44
"487","이래",44
"488","캡틴",44
"489","포기",44
"490","효주",44
"491","가정",43
"492","겠다",43
"493","마약",43
"494","말자",43
"495","매력",43
"496","부산",43
"497","선배",43
"498","억지감동",43
"499","진이",43
"500","치유",43
"501","코드",43
"502","폭력",43
"503","표정",43
"504","후반부",43
"505","80",42
"506","감상",42
"507","단어",42
"508","동시",42
"509","박정희",42
"510","사실적",42
"511","서울",42
"512","설명",42
"513","세계",42
"514","수가",42
"515","아름",42
"516","인정",42
"517","일본판",42
"518","장난",42
"519","적인",42
"520","전문가",42
"521","진영",42
"522","특별",42
"523","항쟁",42
"524","나름",41
"525","만세",41
"526","멜로",41
"527","상식",41
"528","신분",41
"529","유머",41
"530","자극",41
"531","포인트",41
"532","흐름",41
"533","10년",40
"534","굿굿",40
"535","어이",40
"536","이분",40
"537","인권",40
"538","2013",39
"539","대신",39
"540","말로",39
"541","보세요",39
"542","송강호님",39
"543","언론",39
"544","울음",39
"545","전체적",39
"546","젊은이",39
"547","콧물",39
"548","판타지",39
"549","폭풍",39
"550","헌법",39
"551","황정민씨",39
"552","2017",38
"553","30년",38
"554","단순",38
"555","도로",38
"556","마음속",38
"557","한참",38
"558","금자씨",37
"559","메세지",37
"560","민주화운동",37
"561","아저씨",37
"562","안보",37
"563","애국심",37
"564","역대급",37
"565","연출력",37
"566","영웅",37
"567","영화임",37
"568","원래",37
"569","이념",37
"570","임시",37
"571","잘못",37
"572","막장",36
"573","만이",36
"574","박찬",36
"575","보신",36
"576","사전",36
"577","수고",36
"578","유일",36
"579","직업",36
"580","평화",36
"581","한국영화중",36
"582","걸작",35
"583","고수",35
"584","그동안",35
"585","기대안",35
"586","기회",35
"587","깨알",35
"588","네티즌",35
"589","노잼",35
"590","도원",35
"591","리메이크",35
"592","묘사",35
"593","비판",35
"594","서진",35
"595","선조",35
"596","실감",35
"597","아무",35
"598","인상적",35
"599","제작",35
"600","조연",35
"601","치열",35
"602","화면",35
"603","50",34
"604","8점",34
"605","강요",34
"606","걸음",34
"607","계란",34
"608","냄새",34
"609","노래",34
"610","대작",34
"611","먹방",34
"612","범죄자",34
"613","비밀",34
"614","심야",34
"615","압권",34
"616","이건",34
"617","이랑",34
"618","일품",34
"619","진보",34
"620","청년",34
"621","퇴사",34
"622","후손",34
"623","15",33
"624","7점",33
"625","검색",33
"626","그리움",33
"627","기사",33
"628","너희",33
"629","년도",33
"630","돈주고",33
"631","동성애",33
"632","마무리",33
"633","바위",33
"634","별점테러",33
"635","블랙",33
"636","사이",33
"637","의식",33
"638","지도",33
"639","학년",33
"640","현실성",33
"641","2013년",32
"642","가요",32
"643","공무원",32
"644","과장",32
"645","군함",32
"646","근현대사",32
"647","기도",32
"648","기생충",32
"649","대학생",32
"650","리틀포레스트",32
"651","무언가",32
