"","word","freq"
"1","영화",52893
"2","사랑",11880
"3","최고",10558
"4","감동",6034
"5","생각",5160
"6","인생",4886
"7","사람",4781
"8","연기",4058
"9","여운",3860
"10","마지막",3430
"11","가슴",3381
"12","스토리",3381
"13","처음",3189
"14","음악",3180
"15","눈물",3148
"16","감동적",3128
"17","시간",3003
"18","배우",2960
"19","마음",2947
"20","평점",2902
"21","10",2785
"22","명작",2774
"23","공감",2728
"24","장면",2716
"25","로맨스",2527
"26","기억",2510
"27","이야기",2510
"28","남자",2440
"29","멜로",2371
"30","기대",2368
"31","느낌",2355
"32","내용",2282
"33","첫사랑",2170
"34","여자",2157
"35","노래",2070
"36","재미",2028
"37","감정",2000
"38","행복",1893
"39","진짜",1791
"40","예진",1752
"41","지금",1748
"42","연애",1729
"43","인생영화",1728
"44","정도",1630
"45","이해",1606
"46","원작",1601
"47","주인공",1599
"48","내가",1594
"49","완전",1557
"50","이것",1557
"51","하나",1540
"52","추천",1492
"53","손예진",1445
"54","우리",1444
"55","추억",1379
"56","오랜만",1377
"57","표현",1341
"58","작품",1309
"59","보고",1293
"60","결말",1269
"61","로맨틱",1233
"62","기분",1222
"63","영상미",1197
"64","영상",1196
"65","완벽",1195
"66","이상",1179
"67","한국",1174
"68","부분",1163
"69","시절",1158
"70","무엇",1147
"71","10점",1145
"72","친구",1125
"73","순수",1094
"74","이거",1080
"75","감독",1048
"76","실적",1041
"77","현실적",1036
"78","크리스마스",1026
"79","연출",1024
"80","감성",1021
"81","대박",1013
"82","파리",1007
"83","한번",1006
"84","때문",997
"85","코미디",997
"86","강추",979
"87","영화관",965
"88","20",961
"89","대사",954
"90","후회",951
"91","눈빛",938
"92","영화중",907
"93","현실",899
"94","배경",897
"95","자체",882
"96","개츠비",875
"97","엔딩",870
"98","모습",869
"99","몰입",865
"100","하다",865
"101","매력",852
"102","오늘",838
"103","연인",822
"104","순간",820
"105","필요",817
"106","나이",811
"107","분위기",809
"108","러브",808
"109","중간",784
"110","나도",765
"111","만큼",764
"112","극장",744
"113","번째",738
"114","소설",703
"115","볼만",700
"116","감사",658
"117","누구",644
"118","멜로영화",644
"119","개봉",638
"120","개인적",632
"121","그녀",622
"122","그때",622
"123","동안",619
"124","사랑이야기",614
"125","과거",611
"126","이유",609
"127","아름",604
"128","일본",595
"129","미소",594
"130","웃음",594
"131","유치",583
"132","전개",581
"133","카프리",576
"134","진심",567
"135","클래식",565
"136","소재",561
"137","시대",561
"138","전지현",549
"139","자신",545
"140","초반",545
"141","재밋",542
"142","매력적",533
"143","연기력",533
"144","이별",529
"145","전지",528
"146","여주",524
"147","부족",523
"148","얘기",521
"149","결국",516
"150","시작",516
"151","재개봉",511
"152","디카프리오",494
"153","의미",486
"154","여행",485
"155","겨울",482
"156","혼자",481
"157","나라",473
"158","실망",473
"159","가족",462
"160","타임",461
"161","나름",459
"162","커플",454
"163","세상",452
"164","판타지",451
"165","남녀",450
"166","모두",449
"167","현재",445
"168","피아노",444
"169","있음",437
"170","그것",433
"171","나의",433
"172","소름",433
"173","진정",433
"174","하루",432
"175","간만",429
"176","캐롤",428
"177","1점",421
"178","억지",421
"179","서로",417
"180","이후",410
"181","운명",407
"182","결혼",403
"183","교훈",403
"184","100",396
"185","드라마",395
"186","데이지",391
"187","프리",391
"188","하나하나",387
"189","머리",384
"190","디카",383
"191","구성",381
"192","만점",381
"193","요즘",379
"194","영화보고",377
"195","옛날",377
"196","개론",376
"197","누군가",376
"198","정우",375
"199","조금",374
"200","슬픔",369
"201","캐릭터",365
"202","사랑이",364
"203","수지",362
"204","경험",359
"205","캐스팅",359
"206","평생",354
"207","예전",353
"208","로맨스영화",352
"209","평론가",347
"210","반전",340
"211","여자친구",338
"212","평가",336
"213","음악도",335
"214","정말",335
"215","우리나라",334
"216","집중",330
"217","당시",329
"218","코믹",329
"219","만족",328
"220","조승",328
"221","인간",321
"222","10번",318
"223","건축학",318
"224","얼굴",317
"225","생애",316
"226","30",310
"227","보기",310
"228","어디",310
"229","사실",309
"230","낭만",307
"231","상황",306
"232","적인",304
"233","한국영화",304
"234","요소",303
"235","편견",303
"236","뱀파이어",302
"237","에드워드",302
"238","한번쯤",302
"239","인물",301
"240","뮤지컬",300
"241","남주",299
"242","최근",299
"243","건축학개론",298
"244","소지섭",298
"245","중간중간",298
"246","한편",298
"247","여주인공",297
"248","제목",297
"249","모든",293
"250","올해",292
"251","예술",291
"252","그랜트",290
"253","장르",289
"254","관객",285
"255","소리",283
"256","나중",280
"257","타이",280
"258","당신",279
"259","최악",279
"260","코메디",279
"261","후반부",279
"262","힐링",278
"263","이제",277
"264","점수",277
"265","사이",276
"266","상상",275
"267","중함",270
"268","아버지",268
"269","알바",268
"270","취향",268
"271","해피엔딩",268
"272","년대",267
"273","아름다움",267
"274","자연",267
"275","화려",267
"276","소장",266
"277","아쉬움",266
"278","거지",264
"279","10년",262
"280","선택",262
"281","오의",262
"282","제일",261
"283","화면",261
"284","후반",261
"285","가지",260
"286","신선",259
"287","유명",259
"288","이번",259
"289","청춘",259
"290","9점",256
"291","비교",255
"292","이민기",255
"293","색감",250
"294","자기",249
"295","관람",247
"296","특별",246
"297","학교",246
"298","아이",245
"299","케이트",245
"300","20대",244
"301","수준",243
"302","로버츠",241
"303","캐리",240
"304","노력",239
"305","여배우",239
"306","존재",239
"307","지섭",237
"308","풍경",236
"309","계속",235
"310","조승우",235
"311","다음",234
"312","제가",233
"313","주연",233
"314","쓰레기",232
"315","일상",232
"316","흥미",230
"317","거리",229
"318","대화",229
"319","단순",227
"320","반복",227
"321","새벽",227
"322","약간",227
"323","지현",227
"324","액션",226
"325","로맨틱코미디",225
"326","만남",225
"327","나이틀",224
"328","수작",224
"329","타이타닉",224
"330","내생",223
"331","가치",222
"332","남친",222
"333","엄마",222
"334","중요",222
"335","스타일",221
"336","오만",221
"337","외모",221
"338","위대",221
"339","한마디",220
"340","관계",216
"341","남자친구",215
"342","소녀",215
"343","여기",215
"344","동성애",214
"345","수록",214
"346","원스",214
"347","티비",214
"348","과정",212
"349","전체적",212
"350","랜드",209
"351","표정",209
"352","안보",208
"353","가인",207
"354","디카프리오의",207
"355","레터",207
"356","가을",206
"357","감상",206
"358","중반",206
"359","키스",205
"360","3번",204
"361","고백",204
"362","자극",204
"363","우연",202
"364","러브레터",201
"365","설명",200
"366","성형",199
"367","시간여행",199
"368","시리즈",199
"369","김민희",198
"370","심장",196
"371","주고",196
"372","개연성",194
"373","드로",194
"374","환상",194
"375","8점",192
"376","용기",192
"377","조화",192
"378","15",191
"379","남자주인공",191
"380","제대",191
"381","고전",190
"382","로즈",190
"383","기자",189
"384","다운",189
"385","러브스토리",189
"386","미국",189
"387","보시",189
"388","영국",189
"389","태현",189
"390","아시",188
"391","행동",188
"392","네이버",187
"393","리메이크",187
"394","비밀",187
"395","영화속",187
"396","20년",186
"397","독특",186
"398","2번",185
"399","인상적",185
"400","인연",185
"401","주제",185
"402","편지",185
"403","굿굿",184
"404","동화",184
"405","목소리",184
"406","상영",183
"407","여성",183
"408","휴그랜트",183
"409","고민",182
"410","설정",182
"411","영원",182
"412","원래",182
"413","이하",181
"414","라라랜드",180
