"","word","freq"
"1","영화",10932
"2","액션",3748
"3","연기",3485
"4","최고",2582
"5","배우",1810
"6","동석",1761
"7","계상",1483
"8","시간",1468
"9","스토리",1388
"10","기대",1359
"11","생각",1343
"12","평점",1242
"13","윤계상",1240
"14","마동석",1129
"15","진짜",1054
"16","재미",1015
"17","사람",1012
"18","한국",852
"19","지창",838
"20","처음",779
"21","대박",777
"22","완전",764
"23","10",732
"24","내용",730
"25","정도",707
"26","이것",688
"27","장면",684
"28","잔인",660
"29","유아",623
"30","감독",617
"31","이상",569
"32","시리즈",539
"33","몰입",538
"34","강추",520
"35","하드",516
"36","추천",515
"37","다이",505
"38","브루스",498
"39","하나",495
"40","꿀잼",490
"41","느낌",489
"42","명작",484
"43","연기력",480
"44","마지막",464
"45","마블",463
"46","스릴",438
"47","통쾌",430
"48","범죄",426
"49","오랜만",424
"50","친구",424
"51","우리",413
"52","인생",409
"53","코믹",406
"54","액션영화",400
"55","알바",397
"56","다이하드",393
"57","윌리스",391
"58","보고",385
"59","중간",385
"60","10점",375
"61","간만",368
"62","조연",368
"63","이거",366
"64","웃음",364
"65","도시",360
"66","한국영화",351
"67","영화중",347
"68","작품",337
"69","전개",336
"70","소재",333
"71","소름",331
"72","볼만",325
"73","감동",324
"74","정민",324
"75","아저씨",319
"76","연출",314
"77","부분",313
"78","후회",305
"79","나라",303
"80","캐릭터",301
"81","경찰",300
"82","클레인",297
"83","긴장감",295
"84","유치",289
"85","악역",288
"86","올해",286
"87","지금",286
"88","주인공",283
"89","진심",283
"90","오락",280
"91","재밋",278
"92","황정민",270
"93","신선",265
"94","오늘",265
"95","내가",264
"96","때문",264
"97","이해",262
"98","최근",262
"99","스트레스",259
"100","대사",255
"101","무엇",254
"102","영화관",252
"103","남자",249
"104","타임",249
"105","개봉",246
"106","하다",244
"107","현실",244
"108","완벽",241
"109","기분",239
"110","맥클레인",239
"111","실망",237
"112","한번",236
"113","있음",235
"114","자체",234
"115","극장",228
"116","조작",225
"117","중간중간",225
"118","1점",224
"119","조선족",224
"120","만큼",223
"121","수준",223
"122","주연",223
"123","여자",217
"124","우리나라",216
"125","크루즈",216
"126","개인적",213
"127","최악",211
"128","관객",210
"129","기대안",207
"130","긴장",206
"131","스파이",205
"132","시작",195
"133","조폭",195
"134","사이다",192
"135","김래원",190
"136","이번",189
"137","필요",187
"138","억지",186
"139","20",184
"140","2시간",182
"141","오락영화",182
"142","동안",181
"143","개연성",179
"144","범죄도시",178
"145","요즘",178
"146","역대",177
"147","이야기",175
"148","쓰레기",174
"149","표현",173
"150","개그",171
"151","반전",171
"152","하늘",171
"153","코미디",170
"154","마음",167
"155","형님",167
"156","개꿀",166
"157","나름",166
"158","장난",165
"159","매력",164
"160","나이",163
"161","초반",163
"162","결말",161
"163","액션씬",161
"164","이후",160
"165","존잼",157
"166","기대이상",156
"167","요소",155
"168","미션",154
"169","링타임",153
"170","집중",153
"171","흥행",153
"172","가족",152
"173","아이",152
"174","형사",149
"175","마블리",147
"176","베테랑",147
"177","게임",146
"178","만점",145
"179","오성",145
"180","브루스윌리스",143
"181","신세계",143
"182","장르",143
"183","머리",142
"184","유머",142
"185","모두",139
"186","모습",139
"187","평론가",139
"188","시사회",138
"189","리얼",137
"190","개꿀잼",136
"191","주고",135
"192","강하늘",134
"193","사랑",134
"194","가슴",131
"195","얼굴",131
"196","유아인",131
"197","기억",129
"198","세상",129
"199","관람",127
