"","word","freq"
"1","영화",54248
"2","감동",10541
"3","최고",10414
"4","연기",7722
"5","생각",6011
"6","재미",5326
"7","배우",4036
"8","감동적",4015
"9","사람",3933
"10","사랑",3729
"11","스토리",3683
"12","기대",3554
"13","평점",3492
"14","인생",3074
"15","코미디",3056
"16","마지막",2915
"17","웃음",2772
"18","캐리",2704
"19","10",2665
"20","내용",2493
"21","가족",2488
"22","눈물",2429
"23","마음",2393
"24","처음",2383
"25","시간",2328
"26","완전",2278
"27","진짜",2237
"28","한국",2157
"29","추천",2150
"30","우리",2034
"31","짐캐리",2018
"32","이것",2001
"33","오랜만",1973
"34","대박",1928
"35","정도",1925
"36","느낌",1882
"37","장면",1841
"38","강추",1829
"39","행복",1823
"40","노래",1806
"41","기분",1688
"42","가슴",1604
"43","감독",1575
"44","이야기",1537
"45","하나",1536
"46","명작",1524
"47","10점",1523
"48","코믹",1501
"49","현실",1459
"50","음악",1449
"51","이상",1442
"52","작품",1420
"53","억지",1356
"54","이거",1332
"55","내가",1289
"56","지금",1241
"57","여자",1211
"58","볼만",1204
"59","무엇",1197
"60","보고",1195
"61","여운",1185
"62","교훈",1171
"63","이해",1170
"64","기억",1141
"65","연기력",1113
"66","부분",1092
"67","친구",1090
"68","파리",1084
"69","남자",1067
"70","주인공",1066
"71","유해",1061
"72","간만",1054
"73","영화중",1049
"74","공감",1042
"75","후회",1038
"76","매력",1031
"77","유치",1025
"78","결말",1015
"79","재밋",1002
"80","엄정",995
"81","한번",976
"82","나라",966
"83","이병",966
"84","때문",917
"85","로맨틱",908
"86","한국영화",902
"87","중간",891
"88","연출",877
"89","류승",871
"90","소재",869
"91","모습",868
"92","필요",850
"93","관객",844
"94","영화관",840
"95","세상",812
"96","하다",809
"97","자체",797
"98","힐링",785
"99","우리나라",769
"100","이즈",766
"101","완벽",762
"102","아이",761
"103","극장",739
"104","정민",739
"105","엄마",724
"106","누구",722
"107","나도",717
"108","몰입",705
"109","전개",704
"110","오늘",685
"111","표현",668
"112","자신",667
"113","천만",662
"114","실적",658
"115","캐릭터",654
"116","진심",651
"117","요즘",642
"118","수준",639
"119","대사",636
"120","감정",634
"121","있음",634
"122","요리",629
"123","개봉",623
"124","만점",618
"125","추억",610
"126","인생영화",609
"127","모두",607
"128","실망",602
"129","승헌",601
"130","드라마",596
"131","만큼",592
"132","트루먼",583
"133","반전",579
"134","타임",579
"135","코메디",578
"136","인간",575
"137","부족",568
"138","시대",566
"139","로맨스",563
"140","현실적",562
"141","흥행",557
"142","미소",556
"143","뮤지컬",552
"144","알바",551
"145","의미",549
"146","전지현",549
"147","나름",546
"148","하늘",546
"149","시절",545
"150","펭귄",542
"151","이유",533
"152","전지",531
"153","소름",527
"154","감사",526
"155","애니메이션",525
"156","개인적",522
"157","엔딩",521
"158","김수로",514
"159","나이",505
"160","그녀",503
"161","영상",499
"162","동안",489
"163","송승헌",488
"164","인도",488
"165","20",484
"166","가족영화",477
"167","기대안",476
"168","그것",475
"169","초반",469
"170","올해",463
"171","유머",461
"172","매력적",456
"173","멜로",452
"174","코드",450
"175","1점",442
"176","최근",442
"177","9점",441
"178","배경",439
"179","과거",435
"180","설정",435
"181","어디",433
"182","독특",431
"183","감성",423
"184","만족",423
"185","개그",410
"186","블랙",407
"187","학교",407
"188","현재",406
"189","상황",404
"190","진정",404
"191","사회",403
"192","교육",402
"193","분위기",402
"194","어른",402
"195","신선",399
"196","당신",398
"197","요소",393
"198","로렌스",391
"199","100",390
"200","번째",390
"201","황정민",387
"202","미국",384
"203","구성",383
"204","장르",383
"205","김하늘",382
"206","동원",382
"207","소리",382
"208","조금",382
"209","결국",378
"210","박정민",376
"211","이후",375
"212","순간",365
"213","꿀잼",362
"214","음식",361
"215","정말",361
"216","풍자",359
"217","보기",357
"218","순수",357
"219","성기",356
"220","중간중간",349
"221","혼자",346
"222","시작",344
"223","흥미",340
"224","동화",338
"225","니퍼",337
"226","자연",337
"227","평론가",334
"228","주연",331
"229","얘기",328
"230","부모님",327
"231","영화보고",326
"232","한편",326
"233","수작",325
"234","버그",322
"235","박중훈",314
"236","관람",313
"237","사실",313
"238","프랑스",312
"239","피아노",312
"240","우정",311
"241","점수",310
"242","최악",310
"243","아바",309
"244","거지",308
"245","상상",308
"246","웃기",308
"247","박정",305
"248","주제",305
"249","티비",305
"250","약간",304
"251","편안",304
"252","적인",301
"253","성공",300
"254","기대이상",299
"255","가지",296
"256","쓰레기",296
"257","집중",294
"258","마무리",293
"259","단순",292
"260","메세지",292
"261","오랫만",290
"262","조연",290
"263","영상미",288
"264","아빠",287
"265","예술",287
"266","중요",286
"267","예상",285
"268","평가",285
"269","자기",283
"270","선택",282
"271","나중",281
"272","인물",280
"273","한번쯤",279
"274","상상력",278
"275","톰행크스",277
"276","문제",276
"277","연애",276
"278","한마디",276
"279","모든",275
"280","치유",275
"281","캐스팅",275
"282","8점",274
"283","정재",272
"284","링타임",271
"285","운명",271
"286","인도영화",269
"287","강동원",268
"288","시나리오",267
"289","특유",266
"290","민국",265
"291","나의",260
"292","써니",260
"293","이번",260
"294","주고",259
"295","대한",258
"296","개연성",256
"297","스타일",256
"298","가치",255
"299","보세",255
"300","슬픔",254
"301","장진",254
"302","후반",254
"303","가능",252
"304","굿굿",251
"305","전체적",251
"306","희망",251
"307","대한민국",249
"308","전형적",249
"309","낭만",248
"310","비판",245
"311","존재",245
"312","아쉬움",244
"313","액션",244
"314","여행",244
"315","옛날",242
"316","재밋어",242
"317","블랙코미디",241
"318","후반부",241
"319","얼굴",240
"320","30",239
"321","류승룡",239
"322","취향",239
"323","예전",237
"324","안보",236
"325","노력",235
"326","당시",235
"327","제목",233
"328","해피엔딩",233
"329","머리",232
"330","선생님",232
"331","조화",232
"332","크스",232
"333","정재영",230
"334","박수",229
"335","표정",228
"336","제가",227
"337","포인트",227
"338","년대",226
"339","진이",226
"340","누군가",225
"341","지현",225
"342","로버트",224
"343","부담",223
"344","근래",221
"345","메시지",221
"346","인턴",221
"347","음악도",220
"348","네이버",219
"349","버드맨",219
"350","역할",218
"351","인상적",218
"352","정치",218
"353","이하",217
"354","쵝오",216
"355","학생",216
"356","신파",215
"357","중함",215
"358","긍정적",214
"359","로맨틱코미디",213
"360","그때",212
"361","제일",212
"362","마이클",211
"363","아름",211
"364","정신",211
"365","진영",211
"366","실제",210
"367","진실",209
"368","아들",208
"369","동시",207
"370","만이",207
"371","지도",207
"372","2시간",204
"373","스타",204
"374","인정",204
"375","역대",203
"376","판타지",203
"377","현실성",203
"378","실화",202
"379","연기자",202
"380","일상",202
"381","고민",201
"382","여기",201
"383","이름",201
"384","거리",200
"385","덕분",200
"386","계속",199
"387","미래",199
"388","과정",198
"389","안성기",198
"390","다음",197
"391","사이",197
"392","제대",197
"393","라니",196
"394","로그",196
"395","별점",196
"396","긍정",193
"397","이랑",193
"398","태현",193
"399","패딩",193
"400","7점",192
"401","장난",192
"402","전문가",192
"403","보시",191
"404","영화속",191
"405","1600",190
"406","선물",190
"407","어이",190
"408","지구",190
"409","감탄",189
"410","결혼",189
"411","성형",189
"412","거기",188
"413","멜리에",187
"414","우드",186
"415","장진감독",186
"416","10번",184
"417","감상",183
"418","남편",183
"419","즐거움",183
"420","언니",182
"421","하나하나",181
"422","다운",180
"423","색감",180
"424","세계",180
"425","재밋고",180
"426","상영",179
"427","주변",179
"428","최고임",179
"429","어머니",178
"430","예고편",178
"431","환상",178
"432","코미디영화",177
"433","식상",176
"434","비현",175
"435","기도",174
"436","세요",174
"437","아버지",174
"438","얼간이",174
"439","영화임",173
"440","중반",173
"441","생애",172
"442","줄거리",172
"443","패딩턴",172
"444","한데",172
"445","와우",171
"446","차태현",171
"447","촬영",171
"448","예스",170
"449","특별",170
"450","할머니",170
"451","걸작",169
"452","비현실적",169
"453","경험",167
"454","관계",167
"455","소장",167
"456","안성",167
"457","이제",167
"458","각본",166
"459","시사회",166
"460","외모",166
"461","크리스마스",166
"462","3번",165
"463","도로",165
"464","상처",165
"465","세대",165
"466","배꼽",164
"467","재밋게",163
"468","시기",162
"469","우연",162
"470","자극",161
"471","대작",160
"472","아저씨",160
"473","화면",160
"474","깨알",159
"475","수가",159
"476","원래",159
"477","열정",158
"478","여정",157
