,content,,,,,,,,,,,,,
1,이 영화가 요즘엔 만들어졌다면 이 정도의 느낌을 줬을까? 물론 감독에 따라 달라지겠지만,,,,,,,,,,,,,
2,대단하다...매일같이 열심이 하지 않았던 나..난 무언가를 위해 이정도로 노력한적이 있었던가난....처음부터 내가 최선으로 시작할수 있는것부터다시 시작해보겠다 이런 영화를 보여준 감독과 배우들에게감사한다.,,,,,,,,,,,,,
3,"자연적으로 태어난 빈센트 자신과 달리 인간의 유전자조작으로 우성인만을갖고 태어난 동생과 수영시합을 했다. 빈센트가 이기자 믿을수없다며 화를내던 동생에게 그가 했던 말은 나를 돌아보게한다. ""난 되돌아갈 힘을 남겨두지...",,,,,,,,,,,,,
4,모든 것이 평가되고 수치화되는 시대에 '인간'을 다시 전면에 세운 영화.,,,,,,,,,,,,,
5,몸은 열성인자로 가득했지만,,,,,,,,,,,,,
6,어떻게 1900년대 영화들이 요즘 영화보다 스토리들이 더 획기적일까,,,,,,,,,,,,,
7,진짜 감히 최고라고 칭할수있는영화다 몇번을봐도 감동이남는영화,,,,,,,,,,,,,
8,부적격자와 적격자의 기준은 무엇일까..,,,,,,,,,,,,,
9,재롬 머로우 마지막에 은메달이 금메달로 변해가는거에서 캬...,,,,,,,,,,,,,
10,97년도 영화... 와... 진짜 장난 아니다,,,,,,,,,,,,,
11,명작은 심플하면서도 심오하다.,,,,,,,,,,,,,
12,평점이 10점까지뿐이란게 아쉬울뿐이다.. 인간의 존엄성과 한계를 느끼는 최고의 영화,,,,,,,,,,,,,
13,주드로의 희생에 대하여 왜 아무도 말하지 않는가,,,,,,,,,,,,,
14,불가능은 노력하지 않은 자의 변명이다.,,,,,,,,,,,,,
15,마지막에 눈물날뻔...,,,,,,,,,,,,,
16,꿈이 있는 사람이라면 꼭 봐야하는 영화,,,,,,,,,,,,,
17,우주선 놓치겠어 빈센트... 정말 눈물이 나는 대사다...지극히 열성유전자인 나에게는...죽지 못해 살아가고 있는 나에게는...,,,,,,,,,,,,,
18,검시관도 이미 알고 있었지만 빈센트가 열성인 자신의 아들에게는 희망이었기에...,,,,,,,,,,,,,
19,여운이 너무나도 강렬했던 영화 요즘은 이런영화가 안나오는게 슬프다,,,,,,,,,,,,,
20,노력하는자가 우성이다,,,,,,,,,,,,,
21,세상에 정해진 것은 없다.,,,,,,,,,,,,,
22,설명못할정도로 좋은영화다...,,,,,,,,,,,,,
