,content,,,,,,,,,,,,,
6001,특이한 소재,,,,,,,,,,,,,
6002,오줌 몇번 샀는지 모르겠다 끝내준다,,,,,,,,,,,,,
6003,웬만큼 영화 볼 줄 아는 사람이면 10점을 주고도 남을 것이다,,,,,,,,,,,,,
6004,최고의 우주체험.. 최고의 3D 영화,,,,,,,,,,,,,
6005,제가 물리학과라 어지간한 sf 영화보면서 감흥이 안나는데 이거는 보면서 눈물이 나려하네요...진짜 살면서 이런 연출에서 오는 감동 주는 영화는 처음이지 싶습니다 꼭! 꼮! 꼮ㄲ!! 챙겨보세요,,,,,,,,,,,,,
6006,지금 까지 본 영화중에 top3 안에 들어갈만한 영화인듯 정말 재밌게 봤습니다.,,,,,,,,,,,,,
6007,이런걸영화관에서봐야지,,,,,,,,,,,,,
6008,꼭  보면 좋은 영화  ? ??,,,,,,,,,,,,,
6009,정말 최고의 영화였다... 시간 가는 줄 모르고 보다가 끝나고 멍.... 우주여행을 하고 온 느낌이랄까... 지구의 아름다움과 우주의 무서움을 느끼게 해준 영화. 최고의 작품..!!!,,,,,,,,,,,,,
6010,영화관에서만 봐야할 영화는 따로 있다. 이것.,,,,,,,,,,,,,
6011,꼭!!!3D로보세욧^^시간가는줄모르게멋진우주체험했습니다~~~☆★☆,,,,,,,,,,,,,
6012,손에 땀을 쥐며 본 영화.4d 18000원이 아깝지 않다.,,,,,,,,,,,,,
6013,미안하다. 내가 디지털로 봐서 그런가 별 감흥 없더라,,,,,,,,,,,,,
6014,극찬받을만한 영화 집으로 돌아가는길에 지구에게 감사하게 되는 그런영화,,,,,,,,,,,,,
6015,오랜만에 영화같은영화 한편봤단느낌이였습니다..,,,,,,,,,,,,,
6016,3D로 봤는데 진짜 재밌었다. 중력의 중요성을 느낌,,,,,,,,,,,,,
6017,개인적으로 그래비티를 보고난 후 당연시 생각해왔던 그 모든것들이 감사한마음으로 다르게 느껴지기 시작한 기적같은영화. 집으로돌아오는길 남편의 차안에서 보이는 밝은 달을보며 갑자기 심장이 요동쳤다.. 정말 무서울정도로 ...,,,,,,,,,,,,,
6018,꼭 봐야 할 영화 ! 여태 본 sf 영화 중 단연컨대 최고입니다.,,,,,,,,,,,,,
6019,삶에서 부유하게 정체성을 잃고 힘든 영혼들을 위한 작은 달램을 담은 영화. 영상미와 흡입력이 상당함..보면서 훌쩍거리게 되는 건 왜일까?,,,,,,,,,,,,,
6020,이건 그냥 보면 안다. '걸작'이다.,,,,,,,,,,,,,
6021,이정도면 충분히 볼 만 하다.,,,,,,,,,,,,,
6022,도저히 만들수 없는 영화를 만들어낸 감독은 천재! 90분이 9분 같았던 몰입도 강한 영화!,,,,,,,,,,,,,
6023,최고의 영화 장면하나하나가 쩔고.. 산드라블록의 명연기도 좋았음 조지클루니는 좀 일찍 사라져서 아쉬웠지만 멋진 연기 굿,,,,,,,,,,,,,
6024,우주라는 공간을 섬세하면서도 탁월하게 표현한 영화. 배경과 음악이 어우러져 주인공의 난관 극복 과정에 더욱 몰입하게 만든다.,,,,,,,,,,,,,
6025,팝콘먹을시간이없는영화.,,,,,,,,,,,,,
6026,영상미,,,,,,,,,,,,,
6027,최근 몇년간 본 영화중에 최고!이정도 몰입감을 주는 영화는 진짜로 오랫만인것 같다.IMAX 3D로 봤는데 파편 날아올때 너무 몰입해서 나도 모르게 피했다.;,,,,,,,,,,,,,
