,content,,,,,,,,,,,,,,,,,
1,이런내용너무좋아ㅋㅋㅋ,,,,,,,,,,,,,,,,,
2,괜찮은데...왜이렇게 저평가되는지는 의문점,,,,,,,,,,,,,,,,,
3,다들 지루하다고 했는데...난 재미있었다...현재 사회가 맞는건지 5개의 분파로 나뉘어져 자기 역할에만 뭍혀 평생살아가는게 맞는건인지...생각하게 한 영화....,,,,,,,,,,,,,,,,,
4,남,,,,,,,,,,,,,,,,,
5,잼슴ㅋㅋㅋ남주가 개남자답고 개머싯듬간만에 설렘,,,,,,,,,,,,,,,,,
6,다음시리즈를 기대하고있음,,,,,,,,,,,,,,,,,
7,재밌다 ㅋㅋ 초반 설명때 긴장풀면 나중에 멘붕,,,,,,,,,,,,,,,,,
8,헤라클레스랑 동급 평점이라니 내눈이 문제가 있나 헝거게임 보다 잼있던데 마무리가 허술하긴 해도 내용전개가 흥미로움,,,,,,,,,,,,,,,,,
9,오늘 부로 테오 제임스 팬 됐습니다 영화 볼땐 누군지도 몰랐는데 완전 짱!!!,,,,,,,,,,,,,,,,,
10,맹목적으로 살아가는 삶에 의문을 품고 진정한 '자기 자신' 을 찾아나설 것을 주문하는 영화입니다. 잘 생기고 이쁜 배우들 외에도 정말 사회적으로 함포돼있는 내용들이 많기 때문에 맥락과 깊이를 중시하는 ...,,,,,,,,,,,,,,,,,
11,재밌다. 남주도넘멋있고,,,,,,,,,,,,,,,,,
12,소재도 괜찮고 남주도 멋있고! 간만에 재밌는 영화 본듯~기분좋은긴장감을주는영화였다,,,,,,,,,,,,,,,,,
13,시사회로 보고 왔는데 이 영화의 원작이 왜 '다음세대의 혁신' 인지 알거같다 헝거게임을 잇는 새로운 4부작 프랜차이즈로서 최선의 출발,,,,,,,,,,,,,,,,,
14,이영화 지금 미국에서 압도적으로 인기 끌고있습니다 저도봤는데 역시실망시키지 않더군요 재미는 확실합니다,,,,,,,,,,,,,,,,,
15,존잼... 포존 멋ㅠㅜ첨부터다ㅏ잼잇다ㅠㅠㅠ반햇늠 개잼핵잼케잼,,,,,,,,,,,,,,,,,
16,남주와 여주의 케미가 환상적이다. '헝거게임'에선 그 점이 아주 아쉬웠는데,,,,,,,,,,,,,,,,,
17,역시 서밋 판타지는 최고ㅎㅎ 트와일라잇,,,,,,,,,,,,,,,,,
18,완전 재미있어요...감동과재미와액션까지 너무좋아요..완전 추천합니다,,,,,,,,,,,,,,,,,
19,처음에는솔직히재미없을줄알았다 근데 재밌고감동도들어가있고달달한로맨스도포함되어있어서 시간가는줄모르고봤다 너무재미있었다,,,,,,,,,,,,,,,,,
20,음 생각 보다 재미있네요.시간 가는줄 몰랐어요 ㅅㅅ,,,,,,,,,,,,,,,,,
21,재밌었는데...!계속보고싶다,,,,,,,,,,,,,,,,,
22,허술한 점이야 있지만 재밌게 봤습니다! 필수 요소는 다 집어넣었더군요 ㅎㅎ,,,,,,,,,,,,,,,,,
23,저도 테오제임스의 매력에 푹 빠짐.. 이거 원 영화 볼때마다 남주한테 빠져서 큰일이네요ㅜ..,,,,,,,,,,,,,,,,,
24,나혼자죽을순 없다 !꼭봐라!!!,,,,,,,,,,,,,,,,,
25,꿀잼입니다완전재밌스요잉ㅋㅋㅇ,,,,,,,,,,,,,,,,,
26,오늘 아침 조조로 보고 왔네요... 시작부터 끝까지 긴장을 늦출 수 없는 영화...,,,,,,,,,,,,,,,,,
