,content
1,속이 뒤집어지는 느낌. 인간이 이렇게 잔인했나
2,진짜 천재적인 영화가 이런거네 상대적 저예산으로 이정도의 퀄리티를 뽑아내다니..진짜 대박이다
3,우리가 상상하는 혐오스런 외계인은 사실 우리가 아닐까?
4,개인적으로 SF 좋아하지만 이렇게 현실적이면서 감동도 있고 여운도 있는 영화는 처음 봤다. 명화임
5,말이 필요없다. 인간의 이기적인 내면을 꾸밈없이 드러낸다. 입에 촉수달린 징그러운 외계인에 감정이입이 되다니.. 오히려외계인이 더 순수하고 귀엽게 보이기까지 한다.
6,장미꽃 만들땐 진짜 짠했는데 후속작안나오나
7,그들에게는 인간이 외계인이다.
8,왜이걸이제본거지..초반에좀 지루한데 보면볼수록 많은생각을하게해주는 영화. 정말잘만들었음ㅋ
9,크리스토퍼가 자신의 아들에게 우리가 이사갈곳은 여기라며 팜플렛을 보여주는장면에서 형용할수없는 만감이 교차했다
10,삼년 넘었자나 감독 OOO야 도라와
11,이런 류의 영화 싫어하는데 추천받고 봤는데 최고임.
12,아들외계인이 너무귀여워요
13,제가본 sf영화중에 1순위로 꼽고싶은 영화. 솔직히 영화관에서 본것도아니었고 그냥 시간남아서 다운받아본영환데 정말 다보고 여운이 일주일간 영화. 사회에 남기는 메세지나 스토리나 연기나 어디하나 빼놓을수없는 수작.
14,인간의 탈을 쓴 외계인
15,ㅎ 외계인 영화 많이봤지만 스토리가 아주 새로움ㅎ 잘만들었다 근데 결말이ㅜㅜ넘 슬픔.. 후속나와서 크리스토퍼가돌아왔으면좋겠다
16,외계인 편을 들면서 본 영화는 처음이다..도가니 이후로 이렇게 해피엔딩을 바라며 본영화도 오랜만이고...속편 제작 착수했다는데 솔직히 난 외계인편..
17,삼촌 운전하는거 안보여?
18,인간적이다 라는 말이 정작 인간보다 외계인에게 어울렸다.
19,3년이  훨씬  지났는데  왜  안오냐  크리스토퍼  얘기가  다르잖아  임마
20,개재밌고 개잘만듬;;
21,꼭 보세요 숨어있는 수작입니다.
22,지구는 인간의 소유물이 아니다. 인간은 도대체 어디까지 더 잔인해질 것인가. 나와 다름은 틀림이라 하는 인간들.
23,이 영화에서 나오는 인간들은 악마같이 보였음.
24,벌레같이 생긴 외계인이 징그러움.  근데 영화 후반부엔 인간이 징그러움. 크리스토퍼야
25,이거 평점 9점이상은 되야지;
26,어느  순간은 인간을 증오하고 어느 순간은 외계인을 증오했다. 하나의 캐릭터에 여러 감정을 쏟아 부은건 이번이 처음이다. 정말 환상적인 영화. SF의 거장이라는 단어가 부족할 만큼 대단한 영화다.
27,수도없이 많은걸 생각하게하지만 마지막 꽃이너무 찡하다 ㅠㅠ
28,말이 필요없다 단순히 오락영화가 아니다 꼭 보시길
29,오래전에 본영화지 요즘암만 외계인영화 나와도 이거 못따라간다각본이 얼마나중요한지 깨닫게된다
30,영화 보면서 눈물흘린거 참 오랜만이었습니다. SF영화라기엔 너무나 현실적으로 인간의 추악함을 보여주었죠. 진짜 벌레같은 건 사람이 아닐까.
31,영화에도 로또가 있다. 아무생각 없이 봤다가 생각을 안겨준 영화.
32,인종차별에 대한 감독의 SF적 시점변환
33,비열하고잔인하던한남자가 외계인이되는과정을겪으면서 외계인들의 시점에서 인간을 바라보다.그리고
34,정말 sf 영화만 골라서 보는 매니아 입니다. 월드워 등등..대부분의 sf 영화들이 뭔가 2플 부족함이 있었는데 이 작품은 정말 사회에 주는 메시지 긴장감 등등..수작입니다. 얼른 2편이 제작이 되었으면 하네요.
35,어떻게 표현할 방법이 없다. 이 영화를 단순히 SF라고 분류해버리기엔 너무 대단한 많은 이야기를 담고 있다.
36,기가막힌 영화! 정말 이 영화를 만든 사람은 천재. 마지막까지 한 시도 눈을 뗄 수 없다. 컬트영화라면 컬트영화일 수도 있고
37,외계인군대 쳐들어와서 꼭복수하길 ㅋㅋ
38,다보고 외계인한테 미안했다.
39,오래전에 보고 얼마전에 또봤는데 아 정말 여운이 많이 남는 영화다.. 내가본 영화 중 다섯손가락안에드는 영화고 외계인 영화중에서는 두말할거도없이 최고... 이거만든 감독은 천재가틀림없다.. 대박흥행히지 못한게 신기하...
40,한동안 여운이 가시지않음
41,자신이 SF를 좋아하고 기존에 있던 모든 면모를 바꿔줄 영화를 보고싶다면 꼭 추천함. 지금도 내 인생최고의 영화로 생각하고있고. 진짜 어떻게 이런생각을 했는지 감탄할 정도의 영화. 그저 때려부시고 하는 영화찾는다면 ...
42,지금 대체 몇년동안 꽃만 만들고 있는 거냐? 나와라 진짜.. 너무 재밌게 봤다ㅠㅠㅠ퓨ㅠㅠㅠ
43,나는 이게 평점가지고 알바하는 줄 알았지. 근데 이거 존.나 수작이더라고. 닥치고 봐라.
44,3년 지났다... 언제 구하러 오냐...
45,진짜 천재적인 영화...ㅇㅇ
46,영화보고 나니 새우가 다르게 보임.... 마지막 장면...ㅠ.ㅠ
47,3번을봐도 질리지않는 절대적영화 디스트릭트9 재밋었다 ㅋ
48,소름이 쫙 끼친다.....슬프다....
49,재미있었다. 생각도 많이하게되고
50,이런 명작을 몰라보는 인간들이 그냥 한심할뿐이다 진짜. 고민하고있다면 걍 보세요. 아주 살짝 잔인하지만 영화 끝날때까지 긴장감 최고인데다가 마지막에 진한 여운이남는 슬픈영화임
51,닐 블롬캠프를 아직 포기하지 못하는 이유
52,아니 시바 이거 평점 9점 그냥 넘어야한다고 아놔!!! 아 아바타 그 쓰래기년만 없었으면 이거 날리는 건데....내 인생 최고의 눈물영화 중 탑임.하루종일 울었음.진짜 짱구극장판9기랑 삐까친다.내 맘 바뀌기 전에 가...
53,현실적이고 추악해서 보이고 싶지 않은 인간의 본성을 외계인의 눈을 통해서 표현하는 방식이 정말 기가 막히다. 두려움과 멸시
54,별 기대없이 본 영화였는데 너무 심각하게 여운이 남아서 당황스럽기까지 하다. 흔한 외계인 영화를 생각할 수 없는 엄청난 스토리의 영화인듯. 인간의 잔혹성을 적나라하게 보여주는 것 같다. 현재 저 일을 우리가 동물들에...
55,인류의 고향이자 대륙의 시작인 아프리카라는 공간을 선택한 것
56,진정 상상초월하는 영화
57,사람은 절대 그상황이 되어보지 않고서는 그 입장을 절대 이해하지도..이해 하려고도 하지 않는다.
58,"생각없이 우연히 접한영화. 한마디로표현 ""대~박!"""
59,아기외계인 귀엽고 똘똘하다ㅋㅋㅋ
60,sf영화 보면서 외계인이 불쌍하게 느껴지기는 처음.. 역사로 봤을 때부터 원래 인간은 잔인하긴 했지만
61,인간이 터져 죽는 것이 통쾌하게 여겨지게 만든 영화는 이게 처음이다. (인간의 부정적인 면을 부각시켜 감정몰입이 잘 되었다는 뜻일 뿐 다른의도는없음)
62,대애박
63,한 인간을 희생시켜서라도 외계 무기를 갖고 싶다는 강대국과 인간들의 끝없는 욕심과 인간과 비슷한 지능을 가진 타종족에 대한 적대감과 이기심을 잘 표현했다. 같은 해에 나온 아바타보다는 이게 백배천배 진리이자 현실적인...
64,크리스토퍼! 대체 언제까지 기다려야 하는거야! 3년이면 돌아온댔잖아!
65,b급영환줄알았더니 훌륭하다
66,장미꽃 만들 때 짠함 ㅠㅠ 말을하면 말 좀  들어줍시다.
67,이 정도로 잘 짜여진 영화는 오랜만이였다 굿!
68,3년후에 반드시 온다며...12년을 기다리고 있다.
69,외계인을 다룬 영화 중 이렇게 완성도가 높은 영화는 처음봄
70,신선하다
71,SF의 혁신. 전혀 이질감 없으며 피부로 와닿는 몰입력 최고의 영화
72,디스트릭트9  후속작 기다림  11년동안
73,3년뒤에 온댔잖아 왜안와ㅠ
74,인간은 언제봐도 참 잔인하다
75,처음부터 충격적이지만 마지막이 제일 강하다. 여운이 훅 하고 온다.
76,막상 집가니 등따시고 잠오는 외계인 부자ㅋㅋㅋㅋ
77,지금 Tv영화채널에서 디스트릭트 9가 나오길래잠깐 보다가 내용은 몰라도 뭔가 감동과 여운이 남네요.외계인 부자가 애틋해보이고
78,샬토 코플리는 이영화를 위해 태어난 배우다. 그 누구도 이역을 소화해 내지 못할것같다. 10점 만점에 100점!
79,어떻게 이영화가 2009년도 작품인가요ㅠㅡㅠ최근 영화인줄알았음. 헐ㅡ대박이네요.그냥 집에서 채널돌리다 본영화.정말정말 너무 재미있게봤어요ㅡ후속작 나왔으면 정말 좋겠네요.여운이 많이남는 영화이기도하고 이영화를 봤다는게...
80,이 배은망덕한 외계노무 자식아!!!!  3년뒤에 돌아온다더니 지금 10년이 넘었어!!!
81,4년전 시사회에서 보고 개봉 후 또보고 또보고 했던 영화
82,인간과 외계인의 역지사지.
83,내가 본 SF중에서는 최고다. 비주얼도 정교하고 스토리도 있고 감동도 있고 여운도 남긴다..
84,그냥 보세요 이제야 전문가들 평점은 쓰레기란걸 깨닫네요
85,이게 볼만한정도밖에 안되면 대체 니들은 얼마나ㅋㅋㅋㅋ눈이높은거냐 한 20년후에서 살다가오셨냐ㅋㅋ
86,주인공: 펔!펔!펔! 이건 불법이야!!!
87,외계인영화중최고!기발한설정과기발한전개
88,무슨말이 더 필요한가
89,말이필요없다
90,3년뒤에온다더니 10년이지났다 ㅜㅜ
91,2009년도 영화를 19년에 봤는데과연 그간 이만한 수작이 몇편이나 있었지..기억이없다. 아마 2029년에봐도 충분히 손색이없다 명작 수작 ! 왜 이제서야 봤는가 ㅠ
92,10년이 지났다 대체 후속작은 언제 오나요 ㅜㅜ
93,저도 SF 환장하는 사람 중 한사람인데외계인 관련해서 나온 영화중에 제일 재밌음.평점안쓰고 맨날 눈팅했는데 이 영화는 진짜 줘야해
