,content
1,마지막 엔딩은 참 충격적이다
2,흑형 도대체 뭔생각으로 쭈꾸미 다리에 달고 들어왔냐? 유일한 의문점이다 ㅡ . ㅡ
3,밑에 흑형이 다리에 외계인 달고 왜들어 왔냐 하시는데 다리에 감각이 없으니 다리에 붙어있는줄도 모르고 온거죠
4,와씨 보고나와서 내가 생존한기분
5,돈내고 셀프고문당한 기분
6,외계생물 흡착력이.... 주차 방지 스티커인줄...
7,생명체가 생명체를 다 죽이는 영화.영화보는 내내
8,요약: 한 분이 똥을 싸셨는데 뒷사람들 똥치우다 다 망함
9,인간을 향한 조롱. 염세적인 결말
10,한 연구원의 쓸데없는 부성애로 모두가 망하는 영화
11,마지막에 설마.. 설마.. 했는데...설마 였다... 소름
12,켈빈: 산소저아~~~~
13,이런 영화의 공식들 그대로 따라갑니다. 민폐캐릭부터 찜찜한 결말까지.. 하지만 그럼에도불구하고 재밌습니다. 긴장감도 만땅이구요. 주인공의 러브라인도 없고 화성생명체에 초점이 잘 맞춰졌습니다. 쿠키는 없습니다 ㅎ
14,휴... 너 정말....
15,여자 마지막에 소리지르는게 너무 절망적이였음
16,오늘부터 문어 안먹을꺼야..
17,발암 3대장 흑형 니혼진 어부
18,실제 화성에 이런 생명체가 살고 있을 것 같은 기분
19,오랜만에 손에 땀을 쥘 정도로 긴장하면서 본 영화였어요
20,외계 생명이 우리의 친구가 아니라면 찾아올 비극
21,아니 아무리 하반신 장애인이라도 지 다리에 대왕쭈꾸미 붙어있는걸 모른다는 게 말이냐 보는 내내 발암.. 지가 뭘 했다고 창공으로 올려달래 ㅡ.ㅡ
22,실험쥐 지못미...▶◀ 마지막까지 맑은 눈망울을 굴리던 흰 쥐를 잊을 수 없다. 그가 예정된 비극적 운명을 맞이하는 순간 모든 관객이 손으로 입을 감싸고 눈을 질끈 감을 정도였으니까!
23,배경이 한국이였다면.. 초장가져와 초장!!
24,모든 진화는 필요로하는것만 생기는데 얘는 모든몸에서 먹을수있고 볼수있다고 나오는데 나중에 대가리가 생긴다 굳이 필요없는 대가리가 왜생기냐
25,..스릴 ...쩔어.... 귀막고 봣어얔ㅋㅋㅋ
