,content
1,침대에서 개구리는 왜? 눌러? 개구리 눌러서 10점^^
2,조셉고든레빗의 연기력
3,마지막 조셉고든레빗의 결정은 너무 인상깊었고 
4,비교적 흔한 타임머신과 윤회 소재를 청부살인 시스템과엮은 게 신선. 빠른 전개로 몰입도도 좋았음. 솔직히 시간가는줄 몰랐음.
5,아 개명화다 진심..... 개쩐다 결말
6,두 소재를 잘 버무리지 못한 점은 있다. 하지만 이정도면 나름 반전도 있고 재미도 있다. 8.5점은 되야 할듯한 영화다 .
7,평점이 와이리 낮노. 8.5 이상은 할듯.
8,영화를 보고 별 생각이 없었는데 히틀러가 사실은 화가 지망생이었다는 얘기를 듣고 느끼는 바가 많았다
9,죽지말고 자기 팔을 쐈으면 됐는데 ㅠㅠ 그럼 해피엔딩이잖아 ㅠㅠ
10,극장가서 두번봤었어요~이해안가던 부분도.흘려버린 부분도 두번째에선 좀 더 캐치 할수있어서 좋았습니다.개인적으로 참 인간스러운 부분이많은 작품으로 직접들보고 판단하셨으면 싶네요
11,평점 만점이 아깝지 않다. 이런 영화가 나올 수 있는 할리우드가 부러울 뿐이다...
12,재밌었ㄷ
13,유년시절의 가정환경이 인격형성에 미치는 영향을 단적으로 보여주는 영화.
14,"많은 타임루프SF를 봐왔지만 이 영화는 특히 인상적이다. ""나는 보았다. 아들을 위해 죽는 엄마"
15,자세히 기억은 안나지만 꽤 재밌었던 영화.
16,진짜 재밌게 잘봤어요. 한 가지 의문점이 있다면 처음 조가 살아온 인생은 정상적으로 미래의 자신을 닫고 금괴로 30년동안 잘 살아간 삶이었는데 왜 레인메이커가 등장했냐는거요. 레인메이커는 미래의 죠가 탈출해서 소년의...
17,언제봐도 재미지다 루퍼 ㅋㅋ 출연진구성도 구성지고~ 애기도연기력 갑ㅋㅋ 진심잘하고 재밌음~ 심심해서다시봤는데 다시봐도 소오름 꾸르잼 ㅋ
18,개봉했을때 평중에 나비효과 비슷하대서 영화관에서 봤을땐 이게 왜?? 하면서 에이 거품이네. 했는데 1년지나서 다시 봐보니 느낌이 또 다르네용. 영화관에서 이해를 못했던게 정리되면서 새삼스레 되새겨볼 점도 발견함..ㅋ...
19,우리아이가 달라졌어요
