,content,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
1,완벽에 가까운 정말 훌륭한 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,전무후무할 최고의 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,가상현실이 배경인 영화에 어쩜 이렇게 현실을 잘반영했을까....영화가 재미없는 분들은 제발 다시 보세요,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,오랜만에 영화채널 재방송으로 틀어주길래 다시보고온 영화. 역시 명작은 명작인듯 싶다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20세기의 종막과 21세기의 서막을 알린 기념비적 동화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,진짜 지금 2013년 인데 지금까지도 최고로 잘 만든 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,뭔 말이 필요하냐 99년인가 2000년도에 이영화 극장에서 본 사람들은 충격과 공포였다 연출+스토리+메시지+액션+연기+배경등등 뭐하나 빠지는게 있냐? 이영화 나올당시 지구적인 충격과 공포였다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,영화적 재미와 SF영화로서의 가치,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,세상에서 가장 훌륭한 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,이 영화를 평가한다는 자체가 우습다......그냥 미친영화...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,모든 영화는 매트릭스 이전과 이후로 나뉜다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,내 인생 최고의 영화를 꼽으로면 당연지사 이놈이다!  1편!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,살아잇을때보게되어 영광이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,sf장르중 아직 매트릭스에 견줄 영화는 없다고봄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,이게 진정 90년대 영화란 말인가..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,전무후무한 완벽한 영화. 이 말이 과하다면 사실로 이렇게 말해야겠다. 내가 죽을 때까지 두고두고 계속 볼 시리즈. 아직 못 봤거나,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,반지의제왕과 매트릭스는 지금봐도 재밌다 100번봐도 재밌다 다른영화는 별로.... 이 두영화가 세계 최고다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,매트릭스시리즈의 최고는 역시 1편,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,세상을 보는 눈을 확 트이게 해주는 영화. 극의 후반으로 갈수록 소름이 돋았다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,이 영화 한 번 보고 모든 걸 이해하면 진짜 괴물인정이다. 20번을 넘게 보고 대사까지 외우고 있지만 볼 때마다 새로운 사실을 알아간다는 게 충격적이다. 3편까지 나왔지만 정말 완벽하게 스토리가 연결된다. 옥에 티가...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,역시 세기말의  역작. 십수년이 지난 지금  다시 보아도  감탄스럽다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16년전꺼면 촌스럽거나 할만한데도. 이작품은 전혀 안그래~ 대사하나하나가 예술임. 톱니바퀴 돌아가듯. SF영화는 매트릭스 이전과 이후로 나뉘는게 맞다고 본다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,무엇을 상상하던 그 이상을 보게 될것이다' 이 말이 매트릭스 홍보영상에 처음 나온 말인데 저 말이 너무 멋져 매트릭스를 접하게됐지 어떻게 스토리면 스토리 액션이면 액션 이렇게 지리게 만들수 있는지 아...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,난해하다. 인생을 살아가면서 계속 보고 또 봐야할 것 같다. 하지만 위대한 영화라는 것임에는 틀림없다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2015년에 봐도 최고다..,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,sf물에서의 가장 완벽한영화라면 매트릭스를 말하겠다.보면서 경악할정도로 완벽하다.바로 15년이지난 지금에봐도.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,액션은 당연히 갑이고 그 액션을 뛰어 넘는 스토리가 있는 영화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,16년전인데 이정도면 대단한거지.. 수준이 아니라지금 나와도 대단한 수작 수준의 괴물급 대작.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,몇번을 다시본 영화 이것이 영화죠 ㅋㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,이 영화보다 나은 영화는 없다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,영화를 보고 내가 사는 세상을 의심했다,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,이 감독들은 이 한 편에 자신의 모든 힘을 다 쏟아부은 것 같다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
