,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,연기 못 하는 순으로 죽어줘서 얼마나 고맙던지...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,이런게 솔찍히 더 리얼하지 않냐 외계인이 무슨 아무 목적도 없이 왔다는데 먹을거 구하는거 만큼 확실한 목적이 어딧냐 글고 저런애들 오면 솔찍히 우리 개발릴듯 난 만약에 외계인이 온다면 저렇게 될것 같아거 더 현실성있...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,후속편이 기대되는 작품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,이게 현실적이지 수억광년날아온 외계인을 달나라도 못가는 우리가 무슨수로 이겨?ㅎㅎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,이 영화와 비슷한 비용으로 제작된 영화중에선 7광구가 있지. 100억이라는 초저예산으로 이정도 비주얼을 뽑았다는건 혁신이라고 볼 수 있다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,외계인 침공 영화중에 이게 제일 볼만하구만 뭘 ㅋㅋ 평점 왤캐 낮아후속편도 나온다는데,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,여러분 이영화는 제작비가 천만달러 밖에 안들었습니다 한마디로 디워보다 적게 들여서 만들었다는거죠 심형래가 저렇게 만들었다면 여러분은 대한민국 만세를 외첬을껍니다ㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SF를 좋아하는 저의 입장으로선 100점 주고 싶네요.오블리비언,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,나만 재밌게 본건가? 반인반외계인으로 변한 주인공의 다음 활약이 지금까지 궁금하다. 제발 2부좀  만들어주길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,평점이 지나치게 낮네... 개인적인 점수는8점. 주인공들이 도망다니기만 하는 것도 사실이지만 그게 정상 아닌가; 부숴도 다시 자동복구되는 무지막지한 외계인들 앞에서 무언가를 혁신적으로 한다는 자체가 이상할 것 같은데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,생각보다 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SF영화 좋아하는입장에서 별점 만점...평점이 너무 낮아서 어이없다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,남자 주인공이 빛을 워낙 많이 쬐다 보니 내성이 생겨서 조종에 저항할 수 있게 됬다. 3부작 정도의 스토리의 도입부라고 생각하면 굉장히 잘 만든거다. 후속작이 나와 스토리가 이어진다면 평점은 훨씬 올라갈 것이다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,마지막에서 완전 대박이던데...전 나름 괜찮은 영화다라고 생각해요후속편이 기대되는걸요!빨리 나와라!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,평점에속아서 지금봤지만  괜찮은영화몰입도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,개인적으로 CG는 정말화려하고 눈요기거리가 많았음. 허나 화려한 CG하나로 영화를 만들기엔 무리수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,외계인영화 덕후로서 이렇게 맘에든 영화는 첨봄. 지금까지 본 외계인영화는 초반에는 짱짱이지만 후반에는 그냥 미군짱짱맨한테 개발리는게 일상이지만 이건 아님 얘네들은 함선에 핵을 맞았는데도 순식간에 복원을 함 여러모로 ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,외계인나오는 영화중에 재미있는데.. 평점이 왜이리 낮지? 보는내내 긴장감있고 스릴있게볼수있다. CG 도 훌륭하고.. 재밌었음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,재밋기만한데... 평점왤케낮음 이게현실이지 맨날 미국만세영화들만봐서 다들 정작좋은영화를알아보지를못하는구만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,흑형이 죽을 타이밍이란걸 직감적으로 느꼈지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6점대라 ~ 흠 이정도 평점을 받을 영화는 아니라고 본다.  외계인 침공에외계인이 오는데 내가 외계인이 아니고서 이유를 어찌 알까? 1인칭 시점이 강한 영화라 더 볼만한것 같다 다만 마지막이 좀 아쉬웠지만 3부작으로...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,초반에 존나게 지루하다 후반에 갑자기 볼만 해지니 끝. . 초중반을 좀 다듬었으면 좋았으려만. .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
