,content,,,,,,,,,,,,
1,제작비가 200억 정도면 우리나라도 이정도는 만들수있다를 보여준거같음. 스토리를 떠나서 이정도 수준이면 개인적으론 상당히 만족스럽긴함,,,,,,,,,,,,
2,스토리는 좀 아쉽고 그래픽은 별100개 주고싶네여 한국영화 역대급 cg임. 그리고 꽃님이 귀여워,,,,,,,,,,,,
3,새로운 시도에 첫 발걸음을 완벽하게 밟았다. 조금 아쉬운 건 스토리일 뿐....외국SF영화에서 받았던 그 느낌을 한국 영화에서도 받을 줄이야!!,,,,,,,,,,,,
4,업동이 목소리 정말 잘고른듯.,,,,,,,,,,,,
5,영화관에서 봤더라면 스케일이 좋았을듯  단지 영상미는 좋은데 스토리가 빈약해요 대본좀 다른분하고 같이 써봐요,,,,,,,,,,,,
6,어디서 본 내용이 떠오르고 신선함은 없었지만,,,,,,,,,,,,
7,그래픽은 우수하나 실제 촬영분 믹스가 아쉬움.. 그래도 한국에서 이정도 수준의 SF 영화면 엄청난 발전은 분명함,,,,,,,,,,,,
8,"영화 시작부터 마지막까지 ""오 자본!""하며 감탄했습니다.다만 여타 유명한 공상과학 영화들을 생각해보자면",,,,,,,,,,,,
9,스토리는 중간 그래픽은 최상. 기대안했는데 가볍게 보기 좋네요 킬링타임으로,,,,,,,,,,,,
10,CG는 화려하고 멋진데....대사나 연기? 연출? 들이 너무 촌스럽다.... 오글거리고... 중국감성 느낌도 나고... 90년대 2000년대에 머물러 있는것 같음....,,,,,,,,,,,,
11,자꾸 스토리를 떠나서 그래픽좋다고 평점 높게주는데 도대체 영화에 스토리를 왜떠나는거야? 한국관객들 수준이 이모양이니까 이런영화가 자꾸 나오지;;  그냥 딱 헬적화된 sf 영화고 신파 개역겨운데 뭐가 좋다는거야,,,,,,,,,,,,
12,cg는 되게 잘 만들었음 근데 뭐 스토리나 결국 한국식 신파나 보기 싫었음 아무 내용 없는 속 빈 영화,,,,,,,,,,,,
13,CG빼고는 볼게없는 망작. 허세가득한 연기,,,,,,,,,,,,
14,인내력 시험의장오그라드는 연출력과 어설픔,,,,,,,,,,,,
15,기생충이 좋았던건 시나리오와 한국 특유의 신파가 없었기 때문. 뻔한 클리셰도 없었고 각 캐릭터의 정서를 시각적으로나 연기로 잘 살렸었다. 하지만 승리호는 시각적 볼거리에 초점이 쏠리고 정작 스토리는 빈약하기 그지없다...,,,,,,,,,,,,
