,content,,,,,,,,,,,,,,,,,,,,
1,진짜 아이언맨은 1부터봐야 진리다.. 1안보고 보통 어벤져스때 아이언맨처음본사람 많은데 진짜 아무것도모른상태로 1보면 진짜 개재미짐..,,,,,,,,,,,,,,,,,,,,
2,마블 시네마틱스가 이렇게 커질 수 있었던건 오로지 아이언맨 덕분,,,,,,,,,,,,,,,,,,,,
3,잘 만들었고 재미있다. 히어로가 성인군자가 아닌 것이 불쾌할 수도 있지만,,,,,,,,,,,,,,,,,,,,
4,이 영화는 전설의 시작? 이라고 보면 맞겠다. 2012년 한해를 강타했었던 히어로 블록버스터 어벤져스의 초석 이라 할 수 있다. 마블 성장의 기반을 다질 수 있었던 것도 아이언맨 덕뿐. 히어로 영화의 수작,,,,,,,,,,,,,,,,,,,,
5,기존 히어로물을 다 싹 갈아엎고 히어로물계의 한획을 긋는 작품.,,,,,,,,,,,,,,,,,,,,
6,"동굴에서 자신이 만든 무기때문에 생명이 위태로울때 목숨을 지켜준건 돈이 아닌 선량한 사람의 목숨이였습니다. ""당신의 인생을 낭비하지 마세요.."" 잉센의 희생으로 생명의 가치를 깨닫고 전투로봇을 넘어서 ...",,,,,,,,,,,,,,,,,,,,
7,근데 이게 처음엔 반신반의하고 만든 영화라는 것,,,,,,,,,,,,,,,,,,,,
8,전설의시작,,,,,,,,,,,,,,,,,,,,
9,개성 강한 히어로의 탄생. 착하기만한 다른 히어로들과 달리 불량스러운게 신선하고 재밌다. 어벤져스에서 절대 없어선 안 될 최고 캐릭터.,,,,,,,,,,,,,,,,,,,,
10,재밌네요,,,,,,,,,,,,,,,,,,,,
11,진짜 마블이든 디씨든 히어로물 중에서 제일 재밌는걸 뽑으라고 하면 진짜 아이언맨이 진리다.,,,,,,,,,,,,,,,,,,,,
12,아이언맨 3000만큼 사랑해,,,,,,,,,,,,,,,,,,,,
13,재미있다,,,,,,,,,,,,,,,,,,,,
14,마블히어로 중 가장 멋있고 유머있는 케릭터.  개인적으로 1편이 가장 몰입도가 높았음.,,,,,,,,,,,,,,,,,,,,
15,토니에게 따뜻한 가슴이 있다는 증거 ㅠㅠ,,,,,,,,,,,,,,,,,,,,
16,재개봉해라. 로버트 다우니 주니어의 전성기를 보고 싶어하는 분들을 위해서라도 아이언맨1의 짜릿함을 위해서라도  극장가서 보지 못한 사람들을 위해서라도...,,,,,,,,,,,,,,,,,,,,
17,도데체 몇번을 다시 봤는지 모를정도..,,,,,,,,,,,,,,,,,,,,
18,거만하고 제멋대로인 주인공이지만,,,,,,,,,,,,,,,,,,,,
