,content,,,,,,,,,,,
1,없는것을 찾느라 있는것을 보지못했다,,,,,,,,,,,
2,부탁드립니다.한국 영화계의 발전을 위해 영화사 관계자 분들평점 조작하지마세요,,,,,,,,,,,
3,그래비티 +  인터스텔라  =  애드 아스트라  지루하다는 분들 극한직업이 인생영화시죠?,,,,,,,,,,,
4,막상 보니 우주는 단지 배경일 뿐.. 이건 남자의 드라마.,,,,,,,,,,,
5,지금까지 봐온 브래드피트 연기 중 최고임 ㅠㅠ 우주영화 좋아하시는 분들이라면 꼭 보시길,,,,,,,,,,,
6,인터스텔라,,,,,,,,,,,
7,사랑해야 할 것들은 저 멀리 있지 않고 내 눈 앞에 있다.,,,,,,,,,,,
8,같은 9천원이 아니다 영화별 가격 차등제가 필요,,,,,,,,,,,
9,한국영화는 유치하기에 그지없다,,,,,,,,,,,
10,노인네 똥고집은 우주에서도 꺾을수 없구나 싶었다.,,,,,,,,,,,
11,미지의 세계 속 물음에 대한 답을 찾기 위해 모든 것을 등지고 고독과 함께 개척 할 것인가 아니면 눈 앞에 있는 주변을 바라 볼 것인가. 인간의 내면은 우주보다 깊다,,,,,,,,,,,
12,지금 개판상태인 추석  한국영화 다 합친  것보다 훨씬 재밌네,,,,,,,,,,,
13,피트의 연기에 슬픔과 경이로움을 동시에 느꼈다. 이번에도 기대를 저버리지 않는 명품 연기에 찬사를 보내고 싶다,,,,,,,,,,,
14,로이의 아버지는 끝내 찾지 못했지만 로이는 찾아냈다.,,,,,,,,,,,
15,공허한 느낌이 강하다 우주영화의 강한 여운을 느끼고 싶다면 추천.,,,,,,,,,,,
16,극장에서 나온지 1시간,,,,,,,,,,,
17,빵형 이정도면 상하나 줘야할듯..,,,,,,,,,,,
18,11점 주고 싶다. 영화속 브래드 피트는 아버지의 모습이자. 곧 자신의 모습이였다.  영화보고 여운남는거 좋아하는 사람들 강추..,,,,,,,,,,,
19,이 영화를 봐야 하는 3가지 이유1. 단순한 우주 SF영화를 벗어나 인간의 심리를 압축한 새로운 장르2. 브래드 피트의 내면을 연기하는 연기력3. 말해 뭐해 잘생긴 브래드 피트의 외모,,,,,,,,,,,
20,조조로 보고왔는데 인터스텔라+그래비티+휴머니티 합쳤다고 보시면됩니다. 정확하게는 인터스텔라의 드라마틱+그래비티의 우주의 어둠+인간과 우주사이 SF 좋아하시는분들은 꼭 보세요,,,,,,,,,,,
21,우주처럼 조용한영화..먹던 나쵸 소리도 크게 들려서 먹지못했다...,,,,,,,,,,,
22,개인적으로는 인터스텔라,,,,,,,,,,,
23,다큐? 같은 영화인데 배우의 감정선이 너무 좋음. 영화 마스 같은 재난 영화류는 아니여서 그런걸 기대했던 분들은 불호 일수도 있음,,,,,,,,,,,
24,이거 평점 낮게주는 사람들은 이영화를 제대로 이해하지 못한거이다. 이영화는 그 넓은 우주에서 한 사람이 느끼는 감정선을 폭넓게 보여준다는거에서 다른 우주영화와 차별점을둔다. 적절한 sf요소들은 이영화의 지루함을 해소...,,,,,,,,,,,
25,조조로 봤다. 인터스텔라 같은 우주 영화가 아니라 그래비티 같은 영화라고 생각하고 가서 그런지 긴 여정 동안 혼자  가는 그 길이 참 외로워 보였고 도착했을 때의 주인공  감정이 짠했다.  아이맥스로 봤다면 여운이 ...,,,,,,,,,,,
26,또 한 번의 위대한 우주영화 탄생,,,,,,,,,,,
27,뭘 기대하고 봤길래 이렇게 욕을하지? 나름 묵직하면서도 잔잔한 울림이 있던데..,,,,,,,,,,,
28,그래비티를 봤을때 충격을 받았다면 이 영화는 패닉이다.,,,,,,,,,,,
29,해왕성에서 잘살고 있는 아버지 찾아가서 영원히 보내드리는 영화,,,,,,,,,,,
30,우주 공간에서 혼자가 되었을 때 미치지 않고 버틴다는게 쉽지 않을 것 같다. 그 점이 현실적으로 다가왔고 브래드 피트의 내면 연기가 돋보였던 것 같다.,,,,,,,,,,,
31,잘 만든 영홥니다. 상업적인영화 좋아하시는분들은 지루해하실지도 모릅니다. 한편의 소설을 그대로 영화화한 느낌이 들더군요. 그렇기 때문에 감정선에 각색이나 편집이 많이 안들어가서 영화가 루즈할지도 모릅니다.,,,,,,,,,,,
32,막 액션 이런 느낌보다는,,,,,,,,,,,
33,브래드피트 인생연기인듯! 감정을 절제하고 눈빛으로 표현하는 연기가 대단했다ㅜㅜ,,,,,,,,,,,
34,그래비티 + 인터스텔라라는 노양심 평점이 맨위에있어서 나처럼 낚이는사람들 많을거같다 그냥 배경만 그래비티와 인터스텔라와 같은 우주일뿐이지 사실상 우주판 워낭소리라고생각하는게 더 공감될듯 제발 그저 빵형나오고 우주배경...,,,,,,,,,,,
35,감독이 뭘 말하고싶은지는 클리셰를 통해서든 뭐든 아주 잘알겠는데 그걸 굳이 sf장르로,,,,,,,,,,,
36,개꿀잠자다가 원숭이나올때만 잠깐 깸 ㅋㅋ,,,,,,,,,,,
37,방금 심야로 보고왔습니다. 여운이 많이 남네요.늦은 시간이라 다른 관객들도 없어서 영화의 잔잔한 분위기와 매우 잘 어울렸고 정말 감명 깊었어요. 무엇보다 브래드 피트 연기가 역대급으로 좋았네요.,,,,,,,,,,,
38,보이지 않는 꿈을 쫒는것도 좋치만내 옆의 사랑하는 사람을 챙기세요.누군가에겐 당신이 잡히지 않는 꿈일수도 있어요.,,,,,,,,,,,
39,불면증이 있으신 분들께 강력추천드립니다. 큰효과음도 거의없고 분위기도 잔잔하고 아주 좋습니다.,,,,,,,,,,,
40,"- 광활한 우주 속에서 내 안의 소우주로의   ""submit"" -",,,,,,,,,,,
41,진짜 단순하게..고집강하고..정신병걸린 아빠때문에 지구 ㅈ망할뻔 했는데 뜬금없이 침팬치?나오고...방패로 돌맹이 막고.... 돌아와서 급 교훈 마무리임... 중간중간에 잠 진짜 많이옴,,,,,,,,,,,
42,브래드피트가 보여주는 섬세한 내면연기....! 빵아저씨 혼자서 완성시킨 영화,,,,,,,,,,,
43,Zzzz...zzz,,,,,,,,,,,
44,킨텍스 메가박스9월 20일 11시50분영화 보면서 봉지과자 부스럭거리면서 드신부부진짜 그러지마세요 진짜 민폐에요,,,,,,,,,,,
45,평론가들이 좋아할스타일,,,,,,,,,,,
46,보는 내내 평온하다. 내 심박수가 80을 넘은 적이 없다.,,,,,,,,,,,
47,별 기대 안하고 봐도 재미 없었습니다 내용도 지루하고 정말 어이 없는 씬들도 많았어요 특히 마지막에 사람이 철판 하나로 해왕성 고리 통과하고 폭탄 터지는거로 지구 가는거...해왕성 고리가 그렇게 얇나요?ㅋ 우주선은 ...,,,,,,,,,,,
48,정말 좋았어요. 상업적인 히로물 영화는 아니고요 현실적인 부분을 이야기하는 영화였고 주위에 추천하고 싶은 그런 영화였어요.,,,,,,,,,,,
49,아빠찾아 삼만리...,,,,,,,,,,,
50,우 주 최 강 노 잼 . 인간은 자고로 달,,,,,,,,,,,
51,우주 배경으로 한 영화는 거의 다 챙겨본 거 같은데 우주를 배경으로 또 다른 느낌을 받았다. 묵직했고 철학적이어서 생각이 많아짐. 여운이 오래 가는 대사가 많아서 였던 듯. 확실히 오락물은 아니지만. 개인적으로 올 ...,,,,,,,,,,,
52,두 민폐 부자의 이야기.,,,,,,,,,,,
53,대놓고 우주영화 이런 느낌이 아닌,,,,,,,,,,,
54,스펙타클하거나 화려한 영화는 아니지만,,,,,,,,,,,
55,갈때는 4개월 올때는 잠 한숨  으응??,,,,,,,,,,,
