,content,,,,,,,,,
1,가스가 부족해 테란에게 초반러시 갔다가 실패후 50년동안 기방하던 저그가 야마토포에 역관광당해 멸종했다,,,,,,,,,
2,평점알바에 속지 마세요 정말 잘만든 영화였습니다 유치하기쉬운장면도 멋있게 잘 나왔구요 특히 주인공의 명석함과 현명함에는 어른 남자가 보기에도 반할정도였습니다 거기에 철학적인 메시지도 담긴 최고의 영화였어요 철학알러지...,,,,,,,,,
3,난 완전 재밋었는데 평점 왜이런지... 엄청재밋음  추천추천~~,,,,,,,,,
4,단순히 외계인 쳐부수는 그런 영화가 아님. 마지막에 주인공 아이의 눈에서 흐르는 눈물을 보며  이 시대에 만연한 폭력과 그것을 마치 당연시 받아들이는 우리어른들의 모습들을 뒤돌아보고 한번쯤 생각하게 만드는영화.,,,,,,,,,
5,전 무지 몰입돼서 재미있게 봤네요. 이건 그저 단순한 sf액션오락 영화가 아니었네요!! 그걸 기대하신 분은 아쉽겠지만 블록버스터 나름의 볼거리도 많고 영화도 짜임새 있는데요. 원작도 궁금해집니다. 발상도 독특하고....,,,,,,,,,
6,정말 재밌었는데,,,,,,,,,
7,액션신들을 기대하면 실망을 하겠지만 이건 SF액션영화가 아니라 SF영화라는거^^,,,,,,,,,
8,평점이 왜이렇게 낮음????,,,,,,,,,
9,좋은 소설을 가져다 매직키드 마수리로 만듬,,,,,,,,,
10,알면 사랑한다죽이기 위해서도 알아야 하지만협상과 공존 그리고 사랑하기 위해서도 알아가야 한다 꼭 외게인 이 아니어도 지금 현대 사회에서 인간들이 동물에게 대하는 태도를 고쳐야 한다는 교훈을 주는 영화이다,,,,,,,,,
11,인간 수천만을 죽인 외계 생물체 소탕하고 뭐? 한생물을 멸종시켜? 이게 오로라 공주냐 암세포도 살아있는생물인데 ?탄탄한스토리래서 봤더니 실망,,,,,,,,,
12,원작이 얼마나 대단한지는 모르지만 중2병 걸린 주인공과 버럭흑형,,,,,,,,,
13,12세이상  관람불가를 했어야지  돈아까워돌거네,,,,,,,,,
14,개미집찾아주는 영화냐? 영화보다 멘탈나가긴 처음이네,,,,,,,,,
15,재밌네요. 스토리도 좋고 배우들 연기도 좋습니다. 볼꺼리도 있고요. 우리나라 사람들이 SF나 판타지,,,,,,,,,
16,주인공 완전 시스콤+위선자+팔랑귀. 수많은 사람들이 죽었는데 개미만 불쌍하데,,,,,,,,,
17,...전쟁 언제 하나... 하고 졸라 기다렸더니... 끝났대..,,,,,,,,,
18,영화 자체가 늘어지는 부분도 없고 구성도 잘 짜여있고 좋았음,,,,,,,,,
19,보면 볼수록 빠져드는 뭔가가 있음..,,,,,,,,,
20,아사 버터필드 97년생인데도 되게 매력있더라 감정연기도 훌륭했고,,,,,,,,,
21,알바생들에게 한방 당한 영화.  최근 몇년간 본 영화중 최고 수작 중의 하나.,,,,,,,,,
22,진짜 사람들 너무 한다,,,,,,,,,
23,엔더의 게임의 소설을 보고 반한 사람들에게 엄청난 모욕감을 주었다. 소설의 1/3도 못 표현 한거 같다. 왜 12세로 만들었냐. 그 심리 인과관계 중요한 이야기 다 잘라먹고 어휴 정말. 차라리 2부작으로 만들던지. ...,,,,,,,,,
24,기존 SF영화와는 사뭇 다른 느낌.. 정교하게 잘 만들어진 컴퓨터 그래픽 같은 느낌입니다.,,,,,,,,,
25,친구들이랑 심야로 봤는데 3D나 4D로 더 보고 싶음!! 와... 나 이거 오래 기다렸는데 존나 캐재미나서  CG 그래픽 영상 음악 연기 전부최고!! 이거 평점 왜케 낮음? 그 많은 이야기들을 이렇게 압축시켜서 영...,,,,,,,,,
26,한 8점대 영화라고 본다. 평점이 낮게 나와서 평점 조절로 10점 ㅋ  감독이 전하고자 하는  철학이 있는 영화를 좋아하고  거기에 심리적 갈등을 다룬 영화를 좋아라 해서 감동적이게 봤다.,,,,,,,,,
27,나는 개인적으로 이 소설을 읽고 본 영화평을 남기자면 이영화 또한 철학적의미가 담겨있는작품이다. 서로의 폭력의 예방차원으로 정당화 할 수 있는가라는 의미를 담고 있다고 생각이 든다. 이소설이 나온 시대는 냉전시대 한...,,,,,,,,,
28,아이들의 훈련과정과 주인공의 갈등을 잘 그려낸듯. 결말까지 전개도 나쁘지 않았습니다,,,,,,,,,
29,ㅋㅋ이 정도면 진짜 훌륭한 영화인거 같다 그래픽은 예술이였음..,,,,,,,,,
30,조금생각 해보면 존나 소름돋는 영화 ㅇㅇ 그저 천재인 '어린아이'가 세운,,,,,,,,,
31,나이 먹으니까 이런 영화가 왜케 재밌는,,,,,,,,,
32,난 재밌게 봤다 이런자들은 알바라도 불려야하나? 훈련과정이 참재미있었다 원작이 어떤지는 몰라도 남주인공의 매력이 상당하다 목소리 좋고 예상했던 모의테스트가 아닌 진짜 전. 어린아이적 감성이라고 점수를 노답으로 주지는...,,,,,,,,,
33,감동과 재미는 물론이고 따뜻한 메시지까지 준 엔더스 게임,,,,,,,,,
34,평점 왜이리 낮은지 모르겠다 집에서 노트북들고 침대위에서 봤는데 스킵 한번도 안했다 그래픽도 이만하면 볼만하고 스토리도 흔치않는,,,,,,,,,
35,소설3번정도 읽은 사람이지만 두시간짜리 영화로선 이정도도 선방한게 아닌가 생각됩니다.  제대로 표현할려면 드라마가 적당한 정도의 분량이고 대사중에 이어지는 내용의 소설 제목이 다 표현되서 재미있었습니다. speake...,,,,,,,,,
36,연기력인정합니다 .. ..,,,,,,,,,
37,아들이랑 같이봤는데 아들 반응이 정말ㅎㅎ 두시간 상영시간이 지루하지 않을 정도로 집중해서 봤네요,,,,,,,,,
38,꿀잼인데? 솔직히  1점 줄 거리는 아니라고 본다. 그리고 1점 준 사람들의 리뷰 대부분이 원색적인 비난이라고 볼때.... 음... 영화는 내기준 7~8점대인데 1점준 사람이랑 개인적으로 재밌게 봐서 9점 준다. 진...,,,,,,,,,
39,난 기대안하고 봐서 그런지 완전잼있다 내용이야기하는애들은 다른영화사 직원이냐 최소한 영화결말 내용은 이야기하지마라 최소한 난 영화보는중에는 잼있었다,,,,,,,,,
40,전반부터 시간가는줄 모르고봄 ㅋㅋ,,,,,,,,,
41,음 초반엔 좀 지루한감도 있었는데 중간부터 점점 재밌어짐ㅎㅎ,,,,,,,,,
42,이런소재를 생각했다는게 놀랍다. 우리나라는 죽어도못따라온다. 평점테러한새끼들은 그냥 영화보지말기를,,,,,,,,,
43,알바도 이정도면 사기죄다.,,,,,,,,,
44,여러분 꼭 보세요. 보시고 저와 같은 기분을 느끼셔야죠?,,,,,,,,,
45,비주얼과 스케일은 진짜 장난아니다..,,,,,,,,,
46,내 기준으로는 흠잡을 곳 없다,,,,,,,,,
47,요약 : 개미 박멸 세스코,,,,,,,,,
48,와 진짜 알바라는게 있긴하네. 유료 시사회 보고 왔는데 우뢰매를 2013년도에 만들면 딱 이정도. 그냥 초딩들 지구 지키는 애들영화. 그나마 액션 장면은 볼만할까 싶었는데 단 5분뿐; 훈련 3~4번 하고 연합함대 사...,,,,,,,,,
49,첨엔 걍 재미없을줄알고 안보려다가 봣는데 진짜 완벽합니다 너무 재밋고 흥미진진한 영화 입니다 추천!! bbbb,,,,,,,,,
50,난 말하겠는데 이영화는 최소한 1점짜리 영화는 아니다. 특수효과 범벅에  내용도 감동도 없고 액션만 가득한 트랜스포머의 낮은 평점이 모르고 여기에 써진것 같다.,,,,,,,,,
51,앤더가 왜 될성부른 나무인진 모르겠고 엔딩이 뜬금포지만,,,,,,,,,
52,평점이 왜 쓰레기지? 난 재미있게 봤는데.,,,,,,,,,
53,대사가 훌륭해서 찾아봤더니 역시 소설원작이네요. 단순히 전쟁하는 SF는 아니고 폭력의 양면성에 대한 철학적 고민이 있네요. 적을 이해하게 되면 사랑하게된다.. 소설 읽어봐야겠어요^^,,,,,,,,,
54,어린시절 개미굴을 짓밟아 본 사람은 알지. 그리고 그 일로 죄책감에 시달려 본 사람은 이해할 수 있을 거야.,,,,,,,,,
55,오늘 두 아들과 보고 왔는데 애들이 재밌다구 난리네요ㅋㅋ,,,,,,,,,
56,예고편이 본편보다 재미있을 수 있다는 새로운 관점을 알게 해 준 영화. 스토리는 포기했다 치더라도 심지어 영상미 조차 찾아볼 수 없었다. 마지막 반전에 어이없음을 넘어 허탈함마저 느꼈다. 마지막까지 기대하면서 봤는데...,,,,,,,,,
57,이 영화를 이해하지 못하는 사람들은 그야말로 동물의 시각에서 벗어나지 못한 1차원적인 사람들이다.,,,,,,,,,
58,평점 1점 준놈들은 그냥 트랜스 포머 같은거나 보세요..  초딩들이 초딩아닌척 하고 있네..,,,,,,,,,
59,보고나서 정말 남는게없습니다 영화내내 초딩주인공이학교다니는거보다가끝남 전쟁은도대체언제하나생각만하다끝난영화,,,,,,,,,
60,SF 정말 안좋아합니다   아이보여준다고  틀었는데 굉장히 매력있네요  아이들영화라고는 하지만..내가 너무잘봤어요....두번째보니 오히려 더  내용이  잘들어오네요..엔더의  현명함과 리더쉽  따뜻한마음까지..정말 ...,,,,,,,,,
61,되게 짜임새 있는 스토리다. 주인공이 마지막에 멸종시킨 종족을 살리는 쪽으로 돌아서는 모습은 그가 '소년병'이기 때문일거다. 아직 때묻지 않은 나이어서 더욱 군대 내에서 고뇌하고,,,,,,,,,
62,어린애 영환 줄 알고 봤다가 감동과 고찰을 하고 나왔다.,,,,,,,,,
63,생각보다 재미있었고 볼거리도 많아서 좋았음!!,,,,,,,,,
64,이영화를 단순히 SF영화라고 생각한다면 당신은 초딩입니다 결말이 다소 심심하지만 이 아이가 사령관으로 성장하는 내용을 이해한다면 당신이 인생을 어떻게 살아야할지 보일 것입니다 아울러 현재 미쿡의 모습을 풍자한 영화이...,,,,,,,,,
65,오늘 아이하고 가볍게볼 요량으로 관람했는데,,,,,,,,,
66,그럭저럭볼만 하던데 왜이렇게 악플이 심하지??,,,,,,,,,
67,스케일은 큰데 애들 장난 같음. 차라리 2부작으로 나누어서 만들었으면 훨씬 좋았을 듯... 세계관은 특이했는데...,,,,,,,,,
68,아이들이던 어른들이던 모두 재밌게 볼 수 있는 영화인거 같아요~~,,,,,,,,,
69,엄마랑 아침에 할거 없어서 보러 갔다왔는데 엄마도 막 재밌다구 하시더라구용 저두 너무 재밌게 봤구!,,,,,,,,,
70,마지막 장면에 여운이 남아 잠을 이루지 못했다. 인구가 많아지고 서로의 자원이 고갈되면 전쟁이 시작된다는 점에서 미국과 중국의 대립이 떠오르더라 그리고 적을 이기기위해 알게되면 적을 사랑하게 된다는 대사에서 무력과 ...,,,,,,,,,
71,앨케 부정적이야들 재밋기만한데ㅡㅡ,,,,,,,,,
72,ㅋ난 진짜 화장실도 안가고 푹 빠져서 봤음,,,,,,,,,
73,탄탄한 스토리는 물론이고 아바타와 트랜스포머의 제자진들까지 정말 볼만하다!,,,,,,,,,
74,좋은영화입니다 평점은 무시하셔도됩니다,,,,,,,,,
75,주인공이 흔한 용기있고 순박한 소년이 아니라 냉철하게 상황을 분석할 줄 알고,,,,,,,,,
76,꼭 보세요 진짜 명작입니다,,,,,,,,,
77,보기드문 훌륭한 SF 수작이다. 리더쉽의 기본을 알려주는 영화 !,,,,,,,,,
78,진짜 한심한 댓글들많네 뭐 대부분 무식하거나 알바들이겠지만,,,,,,,,,
79,넘넘 잼나게봤어요!ㅋㅋㅋ스ㅋㅔ일 대박임,,,,,,,,,
80,기대안하고 봣는데 보는내내 소름,,,,,,,,,
81,영화중에 아주 재미있었던 영화!2화가 나올까?,,,,,,,,,
82,알바들 풀었네. 난 재미만 있더라.,,,,,,,,,
83,재밌었다 2가 나올것같은 앤딩,,,,,,,,,
84,영화가 되게 늘어지는 부분도 없이 잘 짜여져 있고 흥미롭게 재밌었어용,,,,,,,,,
85,엔더가 점점 크고 성장하는 모습을 보는것도 하나의 재미,,,,,,,,,
86,끝까지 재밌었고 눈을 뗄 수가 없었습니다,,,,,,,,,
87,아이맥스로 봤는데 진짜 짱임ㅋㅋ나중에 또 볼거임,,,,,,,,,
88,스토리 전개도 너무 억지스러웠고.. 결말도 어이없고.. 엉터리,,,,,,,,,
89,지루하다..완젼 비추비추,,,,,,,,,
90,아오...돈주고본 영화중에 최악임어린이성장영화.,,,,,,,,,
91,크 단순 sf액션블록버스터 영화가 아니라 많은 것을 생각할 수 있는 영화에요!! 정말 잘 만들었습니다!!!,,,,,,,,,
92,영화자체만으로 평가한다면 요즘 양산형 영화들 보다 100배는 낫다. 킬링 타임용으로 보기 좋고 영화를 본 후 여러 생각을 하게 만든다,,,,,,,,,
93,같은 영화 두 번 보진 않는데 이 영화는 하이라이트만 세 번 보고 책도 샀습니다. 어린 나이에도 불구하고 흡입력 있는 연기를 펼친 에이사와 좋은 대본이 이룬 시너지가 좋았던 영화였습니다.,,,,,,,,,
94,개잼있음 ㄹㅇ임 믿고보셈 2나오면 좋겠다 갠적으로,,,,,,,,,
95,볼만하다 8점 정도는 될듯,,,,,,,,,
96,보물같은 영화 왜케 평점이 낮냐? 꼭 보세요,,,,,,,,,
97,평점이 높은건 높고 낮은건 엄청 낮아서 어떤지 되게 궁금했는데 난 되게 재밌었는데!!?!? 원작도 무지 궁금해지는 영화고 몰입하기도 좋았음!!!,,,,,,,,,
98,아이가 좀 더 크면 꼭 같이 보고 싶은 영화. 그리고 남자 주인공 매력 정말 철철...,,,,,,,,,
99,액션 스케일도 크고 웅장해서 개인적으로 정말 재밌게 봤다^^,,,,,,,,,
100,소설을 보진 않았지만 영화가 의미를 잘 전달하고 있는것 같고 설정도 괜찮은듯 합니다 하지만 소설 자체가 좀 저랑 안맞는듯,,,,,,,,,
101,신선했는데 28년전 소설?스타쉽트루퍼스 모티브가 이 소설인가?난 아무튼 재밌게 봄,,,,,,,,,
102,걍 볼만한디ㅋㅋㅋㅋ0,,,,,,,,,
103,난왤케 재밌게 봤지.. 주인공 심리상태도 그렇고 잼둔딩.. 결말이 좀 아니엇디만,,,,,,,,,
104,이거영화관에서안보고 다운받아봣는데 스토리도 괞찬은것 같은데 평점이쓰레기네 올해 본것 중에 젤 재밋는것같은데,,,,,,,,,
105,액션을 기대하고 보면 후회할만하지만전체적으로 보면 훌륭한 영화같음.긴시간 지루하지않았고 소리나 영상이 정말 훌륭했음...게임에 들어간기분,,,,,,,,,
106,평점이 왜 이렇게 낮나요? 진짜 재미있던데....,,,,,,,,,
107,1만원 주고 다운받아 10초넘기기 한번도안하고 봄. 평점이 낮은이유를 생각해보니 영화를 음미를 못한 사람들이 너무 많음. 중간중간 전개 요소와 주인공 심리변화를 생각않고 그냥 영화만 처다봐서 그런듯. 깊게 보면 전개...,,,,,,,,,
108,진짜 재밌는데 왜들그러지?,,,,,,,,,
109,완전재밌어!!!긍데 애들 불쌍함 ㅜㅜ,,,,,,,,,
110,그런데로 잘만든 영화. 1점줌 생퀴들은 영화가 내포한 뜻을 모른체 그냥 치고박는 영화를 원했던 모양,,,,,,,,,
111,좀 아쉽긴한데 원작이 80년대에 나왔다던데 이런 상상을했다는게 대박이긴하네요!,,,,,,,,,
112,이정도면 꽤 잘 만든 영화같다. 아역 배우들의 연기도 꽤 괜찮았다고 생각한다. 은밀하게 위대하게나 동창생같이 배우의 얼굴이 아닌 아역들의 연기력으로 승부했다고 생각한다. 소설도 읽어봤는데,,,,,,,,,
113,인류의 미래를 어깨에 짊어진 소년의 성장스토리 긴장감있게 잼있네요. 그래픽은 최근영화중 최곤데.... 멋지다 휴 막판에 엄청난 반전이었음 .ㅠㅠ 멋졍 연기끝장인데....,,,,,,,,,
114,킬링 타임용으론 좋은 영화. 다만 원작의 무게있는 철학적인 내용 전달이 산산히 날아간다.,,,,,,,,,
115,신선하고 유치하지않으면서 많은 생각을 들게하는 재미난 SF영화,,,,,,,,,
116,평점너무 낮다. 아는 만큼 보이는 법이다. 그냥 1점준애들은 트랜스포머 같은거나 봐라.,,,,,,,,,
117,몇번을 봐도 잼있는 영화,,,,,,,,,
118,영화를 모르는 사람들은 그냥 평가를 내리지 마세요...남한테 피해 주지 마세요 객관적인는 못하고 주관적인 생각만 듬뿍 담아서 평을 내리면 후에 이런 장르와 이 영화를 봤으면 좋아했을 사람들에게 영화를 보는데 선입견을...,,,,,,,,,
119,내용 이해도 못했으면서 다짜고짜 영화비추라니초딩영화? 초딩아닌사람들이 이해도못하고 초딩영화라니 ㅋㅋ,,,,,,,,,
120,1분도 지루할 틈이 없었다.. 스릴 넘치게 잘 만든 영화.. 심리묘사와 cg도 보통 이상.. 왜 1점 2점이 베댓인지 이해가 안가는 영화,,,,,,,,,
121,정서가 우리랑은 맞지 않는 영화라서 재미있었네요.,,,,,,,,,
122,베스트 평들이 왜이러지...난 재밌게 봤는데...,,,,,,,,,
123,12월에 예고편을 보고 이거다 봐야겠다는 마음이있었지만,,,,,,,,,
124,퍼스트 건담,,,,,,,,,
125,많은 얘기를 담기에 짧은 시간에도 좋은구성으로 스토리의 팽팽함을 놓치지않았고 우주를 담은 아름다운 화면으로 시각적 쾌감도 높였다. 아이들의 순수함과 전쟁의 잔혹성을 대비시킴으로서 감동도 높였다.,,,,,,,,,
126,비쥬얼은 볼만함...하지만 스토리가 아쉬움..짜임새가 부족하다는 느낌. 스토리간의 개연성이 떨어짐..고로 몰입이 어려움..,,,,,,,,,
127,전세계 베스트셀러를 기록한 소설을 영화화한 것이어서 그런지 스토리도 대단하네요,,,,,,,,,
128,연기 잘하네요. 내용도 알찹니다,,,,,,,,,
129,초중반 정말 잼나지만 후반에 급작스럽게 끝나는 듯한 허무함 ㅠㅠOST 사고 싶은 첫영화! 음악 짱짱!,,,,,,,,,
130,뭐랄까...허무한 감이 없지않아 있네요.,,,,,,,,,
131,기대가커서 그런가 재미없네요 영상미는 화려하지만 내용이 전반적으로 재미없네요,,,,,,,,,
132,4D2D로 봤는데 좀 돈아까웠음 의자몇번 움직이고 바람몇번 쐬는거에 5천원을 더내다니 ㅋㅋ 3D도 아니라서 의자 움직이는거가 실감도 안났고 화면도 너무 밝아서 관객들 다보여서 몰입이 안됬음그냥 3D로 보는거 추천. ...,,,,,,,,,
133,초반(엔더의성장일기)7점중반(엔더스게임)10점후반(부처님엔더)5점,,,,,,,,,
134,나만 그랬던걸까? 아.쉽.다...걍 원작 소설로 보는걸 강추합니다. 시간 많으면 조조,,,,,,,,,
135,난 소설보다 영화가 훨씬 재밌는거 같음,,,,,,,,,
136,한 40분잤는데 스토리 전부 이해할정도로 너무 단순하고 진짜 재미없음,,,,,,,,,
137,44년동안 영화보면서 침흘리며 잔적은 처음임잠못자는 분들 이영화꼭보세요,,,,,,,,,
138,2013년에 보나 2021년에 보나 덜떨어진 영화는 아니다. 항상 볼때마다 재밌게 봄,,,,,,,,,
139,이해할수록  평점이 점점 높아지는 영화.여운이 남는 대사들이 많은 영화계의 '어린왕자'명작은 아닐지라도 수작런닝타임 때문에 설명을 축약해버려서 아마 이해력이 높거나 세심하거나 하지 않은 대부분의 관람객...,,,,,,,,,
140,진짜 재밌는데요..개꿀잼임 시바!!!,,,,,,,,,
141,상당한 수작. 국장에서 못본게 안타까움,,,,,,,,,
142,솔직히 최고다~~~땡땡,,,,,,,,,
143,이정도 영화인줄 진짜몰랐다 거성 해리슨포드가 왜 애들영화에 나왔나했던 내가 한심,,,,,,,,,
144,하.. 개띵작..이건 어린이 영화가 아님...,,,,,,,,,
145,영화가 철학적이다. 평점이 이렇게 극과극으로 갈리는 영화도 없을듯~,,,,,,,,,
146,알바 되게 많네.. 이정도면 잘만든거지뭐 내 인생영화 top10에 들어가는 영화임,,,,,,,,,
147,많은 내용을 담기에는 부족한 시간일텐데 정말 흥미롭게 봤습니다ㅋㅋㅋㅋ진짜 1점주는 알바 믿지마세요!,,,,,,,,,
148,그냥 방에 누워서 OCN에서 틀어주는거 봤는데 정말 재밌게보고 기억에 남는영화.. 그래비티 와 이영화 평점 10점주러 로그인했습니다,,,,,,,,,
149,개지리게 소름돋앗다.  짱 잼썻음,,,,,,,,,
150,흥미롭네요. 생각해 보면 짜임새 없고 엉성해서 황당한 영화. 감독 역량 너무너무 딸리는 듯. 원작을 꼭 봐야겠단 생각이 듭니다. 영화는 원작을 모욕하는 수준일 것임이 분명함.,,,,,,,,,
151,내용없이 요란한 전쟁영화가 아니어서 좋았음 주인공의 명석한 모습에 내가 카타르시스를 느끼기도 하고 단순히 똑똑한 것만은 아니었기에 더 흥미로웠음 나같이 영화에 지루함을 쉽게 느끼는 사람도 충분히 재밌게 볼 매력을 잔...,,,,,,,,,
152,기대안하고 봤는데 스토리도 흥미롭고 철학적이며 전개도 빠름.시간가는줄 모름,,,,,,,,,
