,content,,,,,,,,,,,,,,,,
1,내 그새기 사고칠 줄 알았다.,,,,,,,,,,,,,,,,
2,야망로봇의 좌충우돌 성장드라마,,,,,,,,,,,,,,,,
3,데이빗의 본격 히드라 키우기,,,,,,,,,,,,,,,,
4,이게 어떻게15세냐? ㄷㄷ,,,,,,,,,,,,,,,,
5,15세인데 비해서 수위가 높았던 작품들이 최근에 라이프,,,,,,,,,,,,,,,,
6,이 영화의 교훈 : 인공지능은 개발하지 말자,,,,,,,,,,,,,,,,
7,기존에 알던 에이리언이 아닌,,,,,,,,,,,,,,,,
8,프로는 테란이 잡고 테란은 저그가 잡네요,,,,,,,,,,,,,,,,
9,에이리언보다 데이빗이 더 무섭 ㄷㄷ,,,,,,,,,,,,,,,,
10,재미없는건 아닌데 여러모로 아쉽다. 1탄 여주인공이 너무 불쌍함..ㅠㅠ 에일리언 2번낳고 시체전시용이라니..,,,,,,,,,,,,,,,,
11,영화보고나니 배와 등을 한동안 만지면서 집으로 돌아오는길에 이어플러그를 사고 싶었다.,,,,,,,,,,,,,,,,
12,프로메테우스 보신 분이면 내용 이해 다 되실 겁니다. 그리고 내용 이해 되면 멘탈 작살납니다.. 저 지금 완전 뿌셔뿌셔됐어요.. 사람들이 에일리언으로 보여요...,,,,,,,,,,,,,,,,
13,이영화 시사회에서 봤는데 15세는 진짜 말이 안된다. 그래도 엄청 재밌습니다.,,,,,,,,,,,,,,,,
14,본격 에이아이 사이코패스 공포물,,,,,,,,,,,,,,,,
15,다스베이더가 애들장난수준일정도의 최고의 악역이 탄생하였습니다...,,,,,,,,,,,,,,,,
16,창조론,,,,,,,,,,,,,,,,
17,순수함은 때로 가장 무서운 공포가 된다,,,,,,,,,,,,,,,,
18,데이빗은 프로메테우스때부터 개XX였음..,,,,,,,,,,,,,,,,
19,스콧 횽님 연세가 엄청나신데 이 정도 수작을....,,,,,,,,,,,,,,,,
20,마이클 패스벤더가 다한 영화,,,,,,,,,,,,,,,,
21,아무리 지구랑 비슷하다고 해도 어떤 박테리아나 바이러스가 있을지 당연히 모르는데 그냥 막 싸돌아다님? 지구에서조차 미개부족이 문명인과의 문남으로 전염병 창궐해서 거의 태반이 죽어나가는 판국에;;,,,,,,,,,,,,,,,,
22,극장에서 보는 내내 뒤에서는 팝콘을 깨짝깨작 씹어 먹고 앞자리에서는 중학생 남자애들이 단체로 똥방귀를 껴대서 2시간 내내 고문이었다. 데이빗의 마음을 이해할 수 있었다.,,,,,,,,,,,,,,,,
23,사랑과 의무,,,,,,,,,,,,,,,,
24,데이빗에게 일격을 당했지만 어찌어찌 살아남은 월터는 깊은 빡침을 느끼고 혼자남은 탈모인 행성에서 데이빗이 남겨둔 생명공학 자료를 이용,,,,,,,,,,,,,,,,
25,긴장감넘쳤다 ㅜㅠ 역시 리들리스콧..,,,,,,,,,,,,,,,,
26,영화 자체는 재미있게 볼 수 있다만 이게 왜 15세 관람가인지 이해가 안감... 생각없이 꼬맹이들 데려온 사람들도 있던데 대체 뭔 생각으로 청불 등급이 아닌지 모르겠다.,,,,,,,,,,,,,,,,
27,에이리언 특유의 폐쇄적 공포와 잔인함은 잘 살렸으나,,,,,,,,,,,,,,,,
28,옆에친구가 중간중간 경련일으켜서 놀람,,,,,,,,,,,,,,,,
