,content
1,볼때마다 가슴이 아리고 저리다. 그래서 같은 장면에서 매번우는지도 모른다. 모니카에겐 지나간 시간이지만 데이비드에겐 평생을 그리워한 시간...마지막 모니카옆에서 비로소 잠을 청하는  데이비드..말로 형용할수없는 슬픔...
2,2000년의 기다림 그리고 행복한 하루....
3,초등학생 그 아무것도 모르던 시절
4,다들마지막엔딩에서 김빠진다하지만.. 그런엔딩이있었기에 그나마 먹먹함을덜수있었다.일생동안사랑만갈구하다죽었다면 너무..
5,가슴아파서 두번 보기는 힘든 영화
6,테디가 마지막에 덩그라니 앉을때...
7,미친영화...극장에서 미친놈처럼 대성통곡하게 만든영화... 엄마의 단하루 사랑을 받기 위해서 몇천년을 기다린 아이의 이야기.. 피노키오 데이빗은 이미 사람이었다.. 열두번을 다시봐도  열두번을 울게 만드는 영화......
8,로봇에게 사랑은 너무 가혹하다...
9,오랜만에 떠올라서 다시 보고싶어진 영화. 늘 보고 또 봐도 다시 보고 싶은 영화. 개인적으로 헤일리 조엘 오스먼트가 출연한 영화는 다 좋아한다. 식스센스도 그렇고. 그러나 그에게 가장 잘 어울렸던 것은 역시 에이아이...
10,푸른요정을 바라보는 데이빗의 그 간절함이 묻어나는 눈빛을 잊을 수가 없다
11,이런게 명작이다
12,걸작이라는 단어가 전혀 아깝이 않은 영화. 할리 조엘 오스먼트의 연기는 과연 이것이 어린아이의 연기가 맞나 싶을 정도로 매 순간 소름이 돋을 정도.
13,몇번을 봐도 눈물이 나네요..
14,난 이런게 더여운남는다 여운따위 남지 않는 '7번방선물'이나 '타워' 등등 이런거 보면 눈물안나오고 감성팔이한다는느낌이강한데 이건 뭔가 여운남고 슬프다ㅠ이게 왜 걸작인지 알뜻함 억지로 눈...
15,9살때 보고 21살때 보고 언제봐도 참 대단한 영화
16,재개봉 해주시면 안되나요?
17,방들의 불이 하나씩 꺼지며 엄마와 영원히 잠드는 엔딩장면은 역대 영화중 최고의 감동적인 장면중 하나. 관객들에게 슬픔
18,이때까지 봤던것중에서 가장슬픈영화
