,content
1,오빠 쳐답답해 미치겠네...
2,전체적으로는 그럭저럭 괜찮았지만
3,이혼남의 인생이 얼마나 불쌍한지 알려주는 영화
4,미국 전역에 난리가 났다그랬는데 보스톤에 있던 아내 친정 식구들은 왜이렇게 깔끔한지 궁금하다.
5,평점 왤캐 낮음 외계인들이 똑똑한데 미생물은 왜 모르냐는 분들........ 그들의 행성에서 박테리아는 전혀 존재하지 않는데 그걸어떻게 압니까....... 아무리 인류가 똑똑해져도 외계 생명체에 대해서는 발견하기 전...
6,결말 이해 못하는 사람들은 뭐지? 지구 대기환경이 외계인과 맞지 않아서 죽은 건데. . .  제대로 맞서 싸우다 이긴다는게 더 말이 안되지 않나? 평점 8정도는 충분히 받을만한 영화다.
7,레이 애들 드럽게 성가시네 말도 안들어쳐먹고 도대체가 죽을지 모르는데 자기주장만 하고 ㅋㅋㅋㅋ
8,보고 또 볼 수 있는 영화.  과학적 결말이 더 맘에 듦.
9,지구 침공한 외계인보다 톰 크루즈 아들로 나온 애한테 총 갈기고 싶은거 빼면 괜찮은 영화... 개봉때 보고 지금 다시봐도  뭔가 부족하다고 느끼는건 마찬가지..
10,달에도 갈까 말까인데 우주 저편에서 함대까지 끌고온 외계인을 이길수 있을까.. 지금 인류가 과거 중세 르네상스 시대에 쳐들어간 꼴인데. 차라리 이런 결말이 훨씬 납득이 간다.
11,원래 9점 주려했는데 자식샣기들이 하나같이 맘에 안들어서 3점 깜
12,자식농사를 잘못함ㅡㅡ
13,탐 크루즈 아들놈 딸년 어그로 징글징글하다 진짜
14,뭐냐 아들새끼 싸우러간다더니 집에 제일먼저 와있네 ㅋ
15,저능아얘새끼모임 총한자루 없으면서 싸우러간다는 아들내미 내 손으로 죽여주고싶음
16,참고로 오길비 .. 그  삽파던놈이 바로  명작 쇼생크탈출의 주인공이다 ㄷ;ㄷ; 이제알았음 나도
17,딸은 어리다고해도 아들진짜 왜저러냐....집중하다가 산통깬다
18,결말이 왜 허무하다는지 모르겠다. 군인들이 외계인들과 한판 붙어 싸워서 이겼어야 진정 허무하지 않은 결말인가? 보는내내 긴장감 몰입도는 어느 영화와 견줘도 밀리지 않는다. 스토리와 연출도 최고의 영화
19,로비(아들) = 발암물질
20,입좀 다물어 레이첼....
21,트라이포드가 내뱉는 그 위압적인 기계음은 지금 봐도 소름돋게 만든다
22,진짜재밌음 톰크루즈하고 다코다패닝연기너무잘해서 보는맛이있음 근데오빠새끼존나짜증나서 1점깎음
23,good
24,초4학년때 정말 긴장하면서 본 영화가장 재밌게 본 SF 스릴러
25,오늘 OCN에서 또 해주길래 3번째보는건데도 시간가는줄 모르고 봄. 긴장감
26,미생물결말은 매우좋은결말인데 그걸풀어나가는 스필버그가 너무허졉하게 연출해놨다
27,외계인보다 딸과 아들과 지하실남자에게 더 빡찬영화
28,뒷부분이 갈수록.. 역시 자식들이 애먹인다더니 영화에서도 애먹이네요.
29,철없는 자식과의 전쟁인듯
30,딸노답 좀 조용히닥치고잇지겁나 소리지르면서
31,주인공이 평범한 사람인 게 마음에 든다. 군인이라거나 학자라거나 그런 대단한 사람들이 뭔가 해결책을 발견할 때까지 고기처럼 터져나가고 도망가다 죽고.. 정작 일반인들은 자기 가족 지키려고 극한 상황에 놓이는 게 다인...
32,상당한 수작
33,인간이 해낸 것은 결국 아무것도 없다.
34,이런게 왜 평점이이래 대작영화를
35,영화 30분만 더 길었으면 결말이 자연스러웠을텐데
36,내가 봤던 '가장 현실적인' SF 영화
37,얘들아....아빠말좀들어라...ㅎ ㅏ...^^
38,말도안되게 미군짱짱!! 해서 이기는것보다 결말이 더 마음에 듦
39,갑작스럽게 닥친 재앙에서 죽어나가는 사람들 아무런 대책도 없는 군인과 정부 그리고 딸을 지키기 위해 살인을 하고마는 주인공의 모습 결국 침략자를 굴복시킨것은 인간이 아니라 자연의 힘이 었다는것 이 영화는 심오하고 ...
40,케릭터 하나하나가 완벽하게 짜증
41,도대체 왜 이름이 우주전쟁인건지 진짜 이해가 안감
42,이게 벌써 8년이 넘은 작품이라니...극장에서 관람했던때가 엊그제 같은데...
43,볼때마다.느끼는거지만  아들딸자식이제일짜증나 ㅋㅋ뭔 이런 자식들이있니
44,아들 외계인하고 싸우겠다며 갈때 진짜 ㅋㅋㅋㅋ is김군도 아니고 자기 하나가 가면 뭐 큰 도움이 될거라고 생각하는건가 톰크루즈보고 자기들을 엄마한테 떠넘길거라느니 뭐라고 하면서 지는 동생생각 쥐뿔도안하고
45,탐 크루즈 아빠연기 잘 하네
46,다코타패닝 진심 한 대 패고싶음 소리 개질러대네 레알 자식들이 짐인 영화
47,인디펜던스데이같은 스타일을 좋아할 나이는 지났지.. 현실적으로 잘 연출했다. 밋밋하다고 느낄지 모르겠지만 꽤 매력적인 영화다.
48,과소평가된 수작
49,아주 좋습니다. 좋아하는 영화 중 하나입니다.
50,지금개봉해도 뒤떨어지지 않은 영화
51,외계 침략 영화중에선 손에꼽을 만한 수작.
52,레이첼인지 나발인지 존나 시끄럽네 소리 존내 질러 꽥 꽥대
53,"펑점 낮게 주는 사람들은 대체 뮐 바란거지. ""지구의 미생물에 대한 면역을 가지기 위해 많은 희생이 있었고"
54,수백만년동안 침공을 계획했다며.. 그말이 없으면 모를수도 있는건데
55,결말이 약간아쉽고아들이 어떻게 살아돌아왔는지에 대한설명이없어 아쉬웠지만전반적으로 너무재미있었다그리고 지구의주인은 인간이아니라는 교훈을 주는것이괜히 스티븐스필버그가 아니인것같다
56,정말 재밌는 영화이긴 한데 결말이 조금 아쉽지. 그래도 평점이 너무낮은듯 해서 10점
57,다 좋은데 주인공 딸
58,자식새끼들 내가 그상황이었으면 그냥 버리고 짼다. 레이첼 비명질러대는거 계속 보다보면 그냥 발암이 따로없음
59,스릴러로선 손색 없음. 8점은 충분히 받았을 영환데 안타까움.
60,중2병걸린 아들과 정신병 어린딸의  아빠 생고생시키기 대작전
61,외계인들보다 자식들이 더 무섭다
62,이게무슨우주전쟁이야자식들과의전쟁이지....
63,평점 왤케 낮냐 이렇게 긴장감쩌는영화가
64,외계인 침략 영화 중에 가장 마음에 드는 결말!!!
65,결말은 허무하지만 외계에 대한 설레임을 만듬과 동시에 그래픽이 아주 환상적이었다
66,결말이 다 망쳐놓은 영화.인류가 생겨나기 전부터 땅속에 있었다면서
67,외계인보다 아들과 딸이 더 싫은영화
68,열번을 봐도 재밌는 영화...티비에서 해주길래 지금도보고있음..
69,난 정말 재밌게본 영화
70,진짜 현실적으로 재밌게 그려놈 사람들 심리묘사도 하나하나잘되있고 .. 보는 시간내내 하나도 안지루했던거 같음
71,딱 이정도 평점이 적절한 것 같다 재밌지만 음...뭔가 허술한 느낌
72,평점에서 꼭 결말을 구체적으로 언급해야겠나...한심하고 이기적인 인간들.. 암튼 재미있었지만 아들새끼 조패버리고싶은 마음때문에 2점 뺌
73,애새끼들이 너무 발암이라 짜증유발.
74,영화속 주인공 딸이 훗날 브레이킹 던의 제인이 됬다는게 놀랍습니다
75,아 소리지르는 딸과 건방진 아들 때문에 거슬려서 미치겠는데.... 재미있네요..;;
