,content
1,수많은 SF영화를 봤지만
2,별10개도 부족한듯 1997년작인데 대단하다
3,인터스텔라보며 내내 이 영화 생각을 햇다 내용은 다르지만 콘택트를 본 나로선 인터스텔라보다 이영화가 더 훌륭하다고 생각한다.
4,엄청난 대작이다. 혼이 빠져나간 것처럼 보다가 돌아왔다.
5,얼마나 친절한 영화인가? 과학도 종교도 어느 한쪽이 진리라고 강요하지 않는다. 판단은 각자의 몫으로 남기는건 얼마나 교묘하고 영리한가. 생각과 판단은 각자 개인이 하는 것이지 영화감독이나 소설가가 강요하는 것은 아니...
6,칼 세이건과 로버트 저메키스가 바치는 무한한 미지의 세계에 대한 시.
7,밤에 보면 더욱 소름돋는 영화
8,진리는경험이어서가르칠수없다. 그것은지식이아니고존재하는것이다
9,원작소설 읽고 봤는데 영화 마지막에 검은 배경에 For Carl 나올때 지렸다...
10,"만약 우리뿐이라면, 엄청난공간의 낭비겠죠 이 한마디가 영화를되돌아보게한다"
11,그래비티를 보고 콘택트를 imax 3d나 4dx로 본다면 어떤 느낌일까란 생각이들었다.그 순간은 내가 시인이 될 수 있을꺼같다..
12,지금은 아마도 이 영화가 인터스텔라와 동일선상에 언급될것이다. 그러나 이 영화가 주는 우주관과 철학적 메세지의 깊이는 그 어떤 영상미로 꾸민다한들 넘어서기 힘들것이다. 인터스텔라를 보고 단 하나 고마웠던 점은 나에게...
13,무신론자로서 정말 흥미롭게 보았다. 신앙인을 확실하게 이해할 수 있게 되었다. 신앙와 신에 존재에 대한 이처럼 명쾌한 답은 누구에게도
14,제일 큰 대립관계인 유신론자
15,모든 진실이 항상 증명될 수 있는 것이 아니란 것을 다시금 각인했다. 아름다운 상상력이다.
16,인터스텔라를 본 후
17,당시 매튜 매커너히가 조디포스터를 무척이나 부러워했나보다. 이번에 우주여행한 소감어땠수?
18,과학적 증거를 가장 신봉하던 사람이 바로 그 논리로 역공당하는 아이러니.. 각본 잘 썼다..
19,인터스텔라를 보며 콘택트 생각이 많이 났다. 콘택트가 훨씬 더 잘 만든 영화라는 생각.
20,최근 그래비티를 보고 우주를 다룬 영화 역사상 가장 위대한 영화는 그래비티라고 단언했는데... 콘택트라는 이토록 훌륭한 영화가 또 있었다는 걸 몰랐네요... 하아
21,97년도 작품이라니...
22,초딩들 은 외계인 나와서 빵야빵야 안해서 실망한듯.. 정말 명작이라고 할수있음.
23,콘택트가 우주에 대한 호기심을 표현한 것이라면 인터스텔라는 그 호기심에 대한 해답을 표현한 것이라고 본다.. 둘 중에 무엇이 더 낫다는 비교는 이 두 명작에게는 실례가 될 뿐.
24,소름끼치도록 실제같은 요즘의 SF영화보다 몇배는 마음을 움직이는 대작이다. 진리를 추구하는것은 인류의 모든 사상을 초월하여 관통한다는 메세지가 이토록 섬세하고 간결할수 있을까
25,인터스텔라를 보자마자 생각났다. 그리고는 다시 보았다. 인터스텔라는 잊혀졌다..
26,어떤 명작의 모습이예요. 어떻게 표현해야 할지... 형연할 수가 없어요. 한편의 시야!  시인이 봤어야 했어요.
27,이건 영화라는 비쥬얼 텍스트로 쓴 하나의 시다.
28,많은사람들이 왜 만점을 주었는지
29,오늘 인터스텔라를  관람하고
30,정말 최고의 SF영화. 그리고 조디 포스터란 배우는...말이 필요없다.
31,이 영화가 각인된 사람은 인터스텔라가 조금 시시하게 느껴질수 있다..   왜냐면 이영화가 좀더 아름답고 경이롭다..
32,잠만
33,인터스텔라의 킵 쏜은 제작에 참여했을 뿐이지만 칼 세이건은 이 소설을 직접 썼다
34,SF를 좋아하는 사람으로서 내가 영화를 보고있는건지 주인공이 된건지마지막 5분은 모를정도!! 최고!!
35,진짜감동받았었던영화...우주영화중 최고봉임
36,아바타
37,EBS에서 보고 계신 분? 세기의 명화
38,오버 더 인터스텔라..
39,우주에 관해서 이렇게 아름답게 표현한 영화가 또 있었나 싶을정도로 너무 재밌게 잘봤네요. 90년대에제작한 영화인데도 불구하고 굉장히 몰입도가 좋았습니다. 웜홀통과할때는 무서운 느낌도 들었습니다.
40,칼 세이건을 가장 좋아하며
41,이 영화를 보지 않고 우주와 과학과 철학과 문학과 종교를 논하지 말라
42,내
43,EBS에서 보는 중이신 분? 콘택트
44,도저히 풀수없는 무한의 세계를 휴머니즘으로 접촉한다. 단연코 내 인생 최고의 영화
45,정말 감동적. 아이맥스3d나 4dx로 개봉할 순 없을까....조디 포스터의 경험을 그대로 해봤으면
46,칼세이건을 안다면 이영화를 안볼수가 없다. 그리고 그의 다른 책들도... 주말저녁 혼자 집에 있다면 권하고 싶다. 그러면 다음날 서점에 가서 그의 다른 책들도 찾게 될것이다.
47,잔잔하고 깊은 영화다운 영화 ㅠㅠ 아주  좋았어요..
48,태양이 4개인 행성나오네.. 20년가까이 지난 지금 태양이 2개 3개인 행성이 계속 발견되고 있습니다. 예언인가~ 신기하네요.
49,인터스텔라가 경이롭고 신비했다면 콘택트는 아름다웠다. 웜홀을 통해 간 그 아름다운 행성은 내가 꿈꾸는 행성 그대로 였다.
50,인터스텔라보다 훌륭한 영화
51,97년에 이런 작품을...
52,인터스텔라가 우주를 다룬 소설이라면
53,단순히 우주에 대한 열망만을 표현하지 않고
54,인터스텔라 보고 여운으로 찾아본 영화. 1997년 영화라곤 놀라우며 인터스텔라가 머리를 친다면 이 영화는 가슴을 친다. 인간이 얼마나 작은 존재인가 스스로 겸손해지는 영화 강력추천!!
55,그저 경이롭다는 말 밖엔.. 가슴이 벅차 오른다
56,7월19일 EBS에서 하는거 보고 오신분
57,인터스텔라가 과연 이 영화를 넘을수가 있을까??
58,내 인생의 보물같은 영화
59,이 영화도 시인이 봤어야 해...
60,인터스텔라 보고 나서  이 영화가 생각이 나서 다시 찾아 보았다. 벌써 몇 번째 보는 건지모르겠지만 놀라운 것은 아이맥스로 본 인터 스텔라 보다 모니터로 본 콘택트가 더 나를 떨리게 한다. 암튼 대단한 영화다.
61,진리에 대한 갈망
62,인터스텔라를 극장에서 봤지만 콘텍트만큼의 긴 여운은 느끼지못했다… 내가 본 최고의 우주sf는 여전히 콘텍트다
63,내가 뽑고 싶은 3대 명작 영화중 하나
64,오늘 인터스텔라를 보고나서
65,인터스텔라를 보고 와서는 머리속엔 이 영화가 맴돈다.. 97년 작품이라는게 놀라울 따름..
66,인터스텔라 나온다니까 다시보게되네요 명작이죠
67,현실적이기에 물리전공자 입장에서 더욱 와닿았던 작품. 환상적이다. 여운이 가시질 않는다.칼 세이건에게 박수를
68,For Carl.칼 세이건으로 시작해서 칼 세이건으로 끝난다.
69,97년에 제작된 영화가 인터스텔라를 뛰어넘네;
70,Thanks to Carl.
71,종교와 과학이 양립 가능하다는 것을 느끼게 해줌과 동시에 인간의 근본적 진리 추구에 대한 고민이 절실히 들어간 영화다.
72,확실히 조디포스터는 걸출한 대배우다.
73,인터스텔라는 대단하다고 느껴졌는데
74,콘택트 > 넘사벽 > 인터스텔라..
75,당신은 아버지를 사랑했소?그렇다면 그 사랑을 증명해 봐요.증명돼야 믿어지는 게 전부가 아님을 잘 설명한 영화.
76,Ebs에서 하길래 오랜만에 다시봤다 지금봐도 참 여러면에서 잘 만들었다 최근에본 인터스텔라가 조잡하게 느껴진다
77,이젠 제목만 들어도 눈물이 난다. 한명의 과학자가 지구를 떠나 우주여행을하는 장면은 평생 못잊을만한 장면이다
78,오래전 영화란게 믿기지 않을 정도로 명작
79,웜홀을 통해서 우주로 흘러들어갈때 그 명장면과 조디 포스터의 연기력은 잊을수 없을 뿐더러 이 영화가 97년도 영화라는게..너므너므...대단하다
80,10점도 모자람 이거 1997년꺼라는거알고 놀람 퀄리티미친퀄리티 진짜 재밌음 추천 죽기전에 한번 봐도 후회하지않음 진짜 재밌음
81,내 인생 최고의 영화였다.
82,인간의 호기심을 자극하는 우주에대한 감동적인 이야기.
83,2015년8월26일새벽. 지금까지 몇번째인지.. 앞으로 내 인생에 이 영화를 몇번을 더 보게될지는 모르겠지만
84,"내 생에 최고의 영화라고 말할 수 있다.""우주에 우리만 살고있다면 그것은 엄청난 공간의 낭비이다""극장에서 재개봉 했음 좋겠다..."
85,인터스텔라 주인공이 여기서도 나왔구나 . 아주 예전에 봤지만 다시 봐도 명작
86,인터스텔라에 실망하고
87,처음과 끝은 하나다... 과학적 체험의 극단을 설명할 수 없는 상황과 신을 설명할 수 없는 그것을 가장 비종교적인 입장의 사람을 통해 보여줌으로써 과학과 종교의 양쪽의 입장을 적절하게 대변하고 있습니다 이견의 여지는...
88,영화 본지 벌써 20년이 흐르다니..청년시절 보고 충격먹은 이후로 아직까지 이만한 영화가 없다. 그냥 경이롭다. 앞으로도 안나오겠지. 칼세이건은 이미 세상을 떠났으니까. 혹시라도 극장 재개봉한다면 꼭 다시 보고 싶다...
89,나이 먹고 살아갈 인생이 적어질수록
90,이런 영화는 머리나쁜놈들이보면 평점낮게주더라 낮게준넘들보면 꼭 말투도 한결같아
91,너무 아름답다ㅜㅜ...
92,너무나도 철학적이다. 우리는 과학적으로 입증된 세계에서 살고있지만 그것이 전부가 아니라는 것을 단언컨대 깨달아야 한다. 이상과 현실 어느하나 정답은 없지만 모든 분야에 있어서 '조화'가 필요하다 느껴진...
93,마지막에 조디포스터 청문회를 왜 하냐..? 그냥 다른 사람이 다시 기계들어가서 타보면 되잖어?? 기계 1회용이야..??
94,최고의 SF영화. 밑에 1점준놈은 똥이나 퍼먹어
95,20세기 최고의 SF영화.
96,미지에 대한 궁금함으로 가득찬 학자의 이야기. 자극적인 소재 없이도 멋진 SF영화를 만들수 있다는 것을 보여준다.
97,이 당시 때의 소재로는 상당히 획기적인듯. 스토리와 재미를 떠나서 과학 철학에 대해서 생각해보고 감동을 주는 영화.
98,짝통 2017 컨텍트.땜에... 이 영화가 더 빛난다...쭈꾸미 외계인도 없고..ufo도 안나오는 외계인 영화인데.. 외케 신비로운지.
99,인터스텔라와 상당히 비교될 듯. 과연 인터스텔라가 이 영화를 뛰어 넘을 수 있을지 궁금하다. 최고의 영화 중 하나!
100,백 투더 퓨처부터 가장 최근작인 얼라이드까지. 로버트 저메키스 감독의 영화에는 다른 곳에서 찾아볼 수 없는 '낭만'이 있다. 영화가 가지는 특성과 장점을 관객들에게 남다르게 어필하는 저메키스 감독. &...
101,매커너히는 17년후에 그렇게 우주로 가게 되는데. . .
102,우주를 사랑하는 사람으로써
103,SF 지만  많은 메세지가 있는영화. 우주
104,고등학교 시절 우연히 본 이영화. 가슴속 최고의 우주영화로 남았다
105,대사 하나하나가 아름답다
106,오늘 인터스텔라를 보고나서 아직 안본 친구들에게 반드시 추천한다 이걸 먼저 보고 인터스텔라를 보라 그리고 가능하다면 NGC 코스모스 전편을 보고 이걸보고 인터스텔라를 보라 상대성이론을 우둔하고 멍청한 나에게도 이해를...
107,최고야진짜!! 생각했던 미래에 대해 나의 삶의 대해 생각해 봤던 영화
108,최고의 명작중하나. 꼭봐야할영화
109,자신이 경험해 보지 않았다고해서 진실이 아닌것은 아니다. 라는 생각을 하게 되었습니다.
110,인터스텔라를 보면서 계속 콘택트 생각이 났는데 저는 콘택트가 더 취향이네요 너무 아름답고 소름돋는 영화였습니다
111,지금시대에봐도 놀라울만큼 멋진영화라고 생각합니다. 1997년도에도 이런 놀라운영화가 나오다니.. 존경스럽습니다. 많은것을 느끼게 하는 영화네요. 특히 웜홀을 통과하는 장면은 경이롭기까지합니다. 눈물이 핑..^^ 감독...
112,눈요기에 불과한 요즘의 가짜 SF들과 격을 달리한다. SF라는 장르에 갇어둘 수 없는 아주 독보적인 작품이며 인간의 지성과 과학적 치밀함이 절묘하게 조화를 이룬 작품은 오직 콘택트와 가타카뿐이다.
113,칼 세이건을 위하여 바칩니다.
114,인터스텔라보다 콘택트가 더 낫다 이런 어이없는 평가를 내리는게 우습네요.. 둘 다 정말 잘만든 수작인데.. 왜 굳이 두개를 비교해요. 무슨 인터스텔라가 콘택트 리메이크작인 줄 알겠네.. 아무튼 콘택트도 매우 재밌긴 ...
115,시인이 왔어야 해...내가 겪은 경험도.. 신도.. 보이지 않고
116,매튜매커너히는 이런 두 종류의 뜻깊은 영화에 20년차를 두고 출연하는 영광을 누렸구나. 20년 차이의 영화인데 어떤 기분 이었을까! 영화배우가 새삼 멋진 직업이네.
117,지금 다시 재개봉해도 손색없는 스토리초등학교때 어린이과학관에서 상영해서 봤는데너무 재밌어서 점심시간도 까먹고 본 적있음..ㅋ
118,최고의 평점을 적고 싶지만 글 재주가 없다. 그냥 내 영혼과도 같은 영화였다.
119,그치. 아빠를 사랑했지만 증명할 수는 없지. 우주도 그 무엇도 존재했지만 증명할 수가 없지. 그치만 사랑하지 않았다고 얘기할 수 있는가?  그 무엇이 아름다움이 존재하지 않는가?
120,경이로운 우주를 잘 표현했다
121,외계인하고 접촉한다길래 이뭐 병맛 영화인가했다.. 볼만한 영화는 다 봤다고 생각하는데 내 생에 최고 영화였다고 봐도 무방할정도로 최고였다.. 특히 마지막 잡음 부분에서 감탄을 금치못했다
122,이십.년이다   부족함이없다
123,우리가 외롭고 힘들때가 있나요?  하지만 우주속 외롭게 떠있는 창백한 푸른 점인 지구는 60억 인구를 품은채 공허한 우주를 떠돕니다. 외로워하지마세요. 당신은 우리는 혼자가 아닙니다.
124,전설이다.최고다..
125,정말 영화 다시안보고 SF영화와 우주영화는 정말 너무너무 싫어하는 저지만 이영화는 정말 몇번이고 다시보고 싶고 때때로 보고싶은영화입니다 진심명작!!!!
126,이성의 끝자락에서 감성을 찾아내는 역설의 아름다움
127,왠지 그게 생각나네요
128,대작이다.. 스토리
129,2019.06.16 EBS1 명작 다시 알아보게 해줘 고맙다.
130,평론가들조차 함부로 못건드는.영화
131,내 생애 최고의 SF 영화
132,솔직히 인터스텔라가 이영화를 배낀것이 아닌가 의문이 든다 아니라면 인터스텔라는 이영화의 후속작이다  매튜 맥커너히를 인터스텔라에 또 쓴걸보면 인터스텔라는 제목이 콘텍트2로 해야지 맞는다
133,"지루할줄 알았는데 아니네 사회적 정치적 이슈와 이권다툼속에 빛나는 조디포스터의 열연. ""잡신호가 18시간 녹화 됐다는거에요"" 짜릿.."
134,주인공이 우주선타고 아빠 만나러가는 과정
135,Sf우주관련영화중 최고인듯하다. 인터스텔라보다도 더 좋았다~~
136,완벽한 영화다!!! 1997년에 이런 영화를 만들었다니! 광대한 스케일과 탁월한 상상력
137,18시간 동안의 잡음 오졌다리
138,와우...  우주 SF 영화인데 왜이리 고전적이지 했는데 점점 빠져들게 되고 우주로 한 번 나갔다 온 기분이랄까? 우와... 인터스텔라에 결코 OOO 않는다. 전개가 정말 기가 막힌다. 우주는 잠시 나오느데 그 순간...
139,인간의 우주에 대한 로망을 시적으로 표현한다면 딱 이 영화!
140,제가 태어난 세기에 이 영화를
141,다른 사람은 어떻게 느낄 지 모르지만.. 적어도 내게는 인터스텔라 이상의 명작이였다.. 1997년에 어떻게 이런 영화를 만들었을까 ? 경외심뿐이다.
142,개인적으로 인터스텔라를.좋아하지않는데 이영화는 정말 반전이 대박이엇음 대박 소름돋는장면이잇음.근데결말이 먼가 내용이더잇을거같앗는데 끝낫음
143,진짜대작. 재개봉하면 바로보러간다
144,영화가 위대하다고 느껴지는 몇 개의 영화 중 하나. 과학자들의 삶이 너무 부럽다.
145,우주과학과  인간
146,미쳤다. 대단하다..
147,아름다운 우주영화~~멋진 여자배우 조디퍼스트ㅋㅋ잊을수없는영화~~몇번 봐도 잊을수없는 영화
148,열  번을 보고 스무 번을 봐도 놀랍다.
149,인터스텔라의 표본이된 영화 . 여전히 내 마음의 1위영화
150,97년도 작품이라고 하기에는 너무 경이롭다. 말 그대로 한편의 시
151,내평생 우주를 가볼순없겠지...하지만 이 영화를 본것만으로도 충분하다.
152,2번 보세요
153,인터스텔라를 보고 맥거너히작품이 생각나서 다시보니 또다른 재미가 있다.이 영화가 외계 발견의 시작이라면 인터스텔라는 탐사의 시작이라고 느낀다.
154,1997년에 무슨일이 일어났던게냐?? 왜 다시 이런영화를 못만드느냐??
155,"우주에 생명체가 우리뿐이라면 그것은 엄청난 공간낭비다"" 이 대사 하나만으로 내게 외계인이 있다고 확신시켜준 영화"
156,칼 세이건의 딸 사샤 세이건의 책 
