,content,,,,,,,
1,주인공은 달나라 가는데 사투를 벌이고 나는 꿈나라 갈까봐 사투를 벌인다,,,,,,,
2,퍼스트'맨을 생각하고 갔다가 퍼스트'맨'을 만나고 왔다. 그의 삶이 잔잔히 계속 맴돈다.,,,,,,,
3,상처 입은 한 인간이 가장 먼 곳까지 가서 아픔을 묻고 오는 이야기다.,,,,,,,
4,달착륙에 성공하고 환희 하는,,,,,,,
5,우주는 거들 뿐 상실에 대한 영화다,,,,,,,
6,와이프가 보자고해서갔는데 와이프 코고는소리가 극장에 울려퍼짐,,,,,,,
7,달처럼 생긴 지구가 기억에 남는다,,,,,,,
8,조조로 혼자 가서 보세요 소리 다 꺼지는 씬에서 제 숨소리만 들림 ㅋㅋ,,,,,,,
9,인터스텔라처럼 볼거리 및 미스테리나  에일리언  처럼 스릴있는 그런 영화 아님. 다큐멘터리 보는 시각으로 보셈,,,,,,,
10,인터스텔라나 마션처럼 흥미진진한 우주영화 기대하고 가면 지루할 수 있습니다,,,,,,,
11,라이언 고슬링 이번영화로 다시봤다..,,,,,,,
12,우주영화라기 보단 우주비행사의 내면에 관한 영화입니다. 그 점에 집중하셔서 보시면 더 좋을 거 같습니다.,,,,,,,
13,퍼스트에 의미가 누가 먼저 극장을 나가는 첫발을 디디느냐 뜻,,,,,,,
14,만오천원 내고 달나라 다녀옴 득템>ㅂ<,,,,,,,
15,많이.. 지루해요. 영화적 가치는 인정하지만.,,,,,,,
16,가지 못한 길에 대한 공포와 두려움을,,,,,,,
17,자고싶은사람 무조건보세요 잠 잘옵니당,,,,,,,
18,닐 암스트롱의 인생을 들여본 기분이다,,,,,,,
19,숨이 막혀온다... 꼭 아맥으로 봐라,,,,,,,
20,보고 나서 인터넷강의가 재밌다는 걸 느꼈습니다...,,,,,,,
21,그냥 대충 평 남기지말고 직접 본사람으로써 인터스텔라,,,,,,,
22,나만 잠온게 아니구나...ㅎ,,,,,,,
23,옆 옆에서 주무시던 아저씨 두고 온게 영 마음에 걸린다,,,,,,,
24,생각보다 훨씬 지루합니다 영화보면서 웬만하면 안자는데 중간중간 잘뻔했습니다 평점보고 봤다가 크게 후회했어요.. 거의대부분이 닐의 심리와 상황에 대해 보여주는데 솔직히 머리로는 이해되는데 마음은 전혀 와닿지않아요 근래...,,,,,,,
25,내 앞에 가장 빨리 나간 사람... 당신이 진정한 퍼스트맨입니다.,,,,,,,
26,음악영화의 거장이 sf영화의 거장으로,,,,,,,
27,군더더기 없는,,,,,,,
28,오랜만에 정말 괜찮은 영화.,,,,,,,
29,너무 지루하다. 푹 자고 맨정신으로 보고 왔는데도 지루하다. 그나마 마음에 들었던 건 라이언 고슬링과 클레어 포이의 연기 합...,,,,,,,
30,처음으로 영화보다 잠.  졸리고 지루하고. 물론 어려움이 있을때 상황을 잘표현한 부분은 인정할만 하지만 그래비티에서 이미 많이 나와서. 그닥 신선하지 못함.어거지로 감정부분을 끼워 맞추는데. 걍 별로임.,,,,,,,
31,졸음과 싸울분에게 추천함,,,,,,,
