,content,,,,,,,,,,,,,,,
1,옆으로 뛰라고!!!!,,,,,,,,,,,,,,,
2,밑에 기자평처럼로 언젠간 클래식이 될 영화다. 에일리언의 명성을 떨어뜨렸다 하는 사람들이 있는데  이 분이 에일리언 영화의 원조이다 !  아주 작은 디테일 하나하나까지 모든것이 보면 볼수록 완벽한 영화 ! 최고 !!...,,,,,,,,,,,,,,,
3,이런 엄청난 명작이 고작 7점대라니네이버 평점쟁이들 수준 보소,,,,,,,,,,,,,,,
4,일단 2편을 위한 인트로라 생각됨,,,,,,,,,,,,,,,
5,리들리스콧... 오래 사셔서 계속 계속 이런 영화 만들어주세요.,,,,,,,,,,,,,,,
6,이 영화 평점이 이렇게 안좋을수가... 난 속편이 너무 기다려지는데...,,,,,,,,,,,,,,,
7,무슨 철학적이랄까... 참 괜찮게 나온듯...,,,,,,,,,,,,,,,
8,궁금증과 흥미를 침묵으로 답한다.,,,,,,,,,,,,,,,
9,몰입도 스케일 긴장감 등 여러면에서도 뛰어나지만 인류의 기원에대한 심오한 느낌을 받게해준 영화. 인류의 기원에 대한 하나의가설을 영화로 본 느낌이다. 우리가 신이라고 믿는 존재가 우주 한편에 살고 있다는 느낌을 받게...,,,,,,,,,,,,,,,
10,평점 너무낮다. 그냥 에일리언 프리퀄로 보거나 내용자체를 이해를 못하는건가. 바이럴 영상까지 보고나면 진짜 낮은 평점 줄수가 없는데.,,,,,,,,,,,,,,,
11,SF와 호러장르로서 이보다 잘만들기는 힘들듯...특히 에일리언 중절씬은 매니아들 사이에서는 오래도록 회자될 장면이다,,,,,,,,,,,,,,,
12,엘리자베스 쇼의 생명력은 시고니위버를 능가함.,,,,,,,,,,,,,,,
13,영화라기보단 문학에 가까운데... 의외로 재밌기까지 함 ㅋ,,,,,,,,,,,,,,,
14,SF+에일리언 비긴즈+종교비판 영화 라는 점에서 분석해보고 음미할수록 훌륭한 영화라는걸 점점 알게됩니다. 종교나 철학적인 내용이 담긴 몇 안되는 명작 SF중 하나일거라 봅니다.,,,,,,,,,,,,,,,
15,명작이다 진짜 3번 봤음.,,,,,,,,,,,,,,,
16,압도적인 비주얼 가운데에서도 갈 길을 잃지 않는 노장의 저력.,,,,,,,,,,,,,,,
17,여주인공이 오나미닮아서 몰입하는데 자꾸방해되지만 최고,,,,,,,,,,,,,,,
18,평낮게 주는사람들 뭐냐... 이 잘만든 영화를,,,,,,,,,,,,,,,
19,애들아!! 왜 창조주는 신이든 뭐든 왜 그들이 도덕적이고 이상적일거라고 생각을하지?? 신이 창조했다쳐도 인간을 위해 우주를 창조했다고 생학하니?? 신이 은 그럴수있으니까 창조했고 그 뿐일거야!! 신이 인간을 사랑한다...,,,,,,,,,,,,,,,
20,별점을 수정한다. 다시 봤는데 이건 영화역사에 남을 걸작임이 분명하다.,,,,,,,,,,,,,,,
21,내가 평점같은거 잘안남기는데...한마디만할께요..평점에 낚이지마세요..근래 요몇년간 본영화중에 최고입니다.. 안보면 진심후회합니다,,,,,,,,,,,,,,,
22,개인적으로 난 참으로 재밌게 본 영화인데 ... 7점대라니 이 영화는 극과극으로 나뉜듯하군,,,,,,,,,,,,,,,
23,네티즌의 평점이 내 취향일거란 편견을 제대로 깨준 영화. 이렇게 기막힌 sf를 볼 기회가 살면서 몇번이나 될까? 정말 잠도 안오게 하네...,,,,,,,,,,,,,,,
24,진화된 담론과 격조있는 스펙터클. 프리퀄과 새로운 모험담을 아우르는 경지.,,,,,,,,,,,,,,,
25,우주에 대해 관심이 많은터라 보았는데 인류의기원을 찾아 우주로 간다는 설정이 좋네요. 철학도 담겨져 있고. 좋아요. 데이빗 연기도 마음에 들고. 마지막엔 인조인간16호인줄.. 테론도 역시여신님이고! 2탄 기대되네묘!...,,,,,,,,,,,,,,,
26,부산행보다 평점이 낮은건 그냥 관객이 미개한거임,,,,,,,,,,,,,,,
27,리들리스콧이 계속하게 하소서..,,,,,,,,,,,,,,,
28,리들리스콧 감독은 여전하다,,,,,,,,,,,,,,,
29,이 영화는 단순히 에일리언의 프리퀼이 아니죠.마지막에 주인공이 해답을 찾겠다고 우주선을 타고 떠나는 장면을보면서 2편이 나오겠네하고 기대감이 생기더군요.첫 숙주를 통해 태어난 에일리언은 에일리언1편을 상기 시키는감독...,,,,,,,,,,,,,,,
30,이건 만점이지,,,,,,,,,,,,,,,
31,역시 리들리스콧이었어,,,,,,,,,,,,,,,
32,국산쓰레기영화들이 8점이면 이건 18점 줘야함,,,,,,,,,,,,,,,
33,27번 보고 이해 했다. 이 영화는 노벨 문학상감이다.,,,,,,,,,,,,,,,
34,모르고보면 욕하고 알고 보면 엄지를 치켜드는 영화,,,,,,,,,,,,,,,
35,배트맨도 배트맨비긴즈만 나왔을때는 평점이 안좋았다. 훗날 재평가받을영화,,,,,,,,,,,,,,,
36,볼 당시엔 그렇지 않았었는데... 시간이 지날수록 생각이 난다. 상당히 흥미로운 주제이다. 여주인공 연기력도 굉장하다.,,,,,,,,,,,,,,,
37,의문으로 출발해,,,,,,,,,,,,,,,
38,80,,,,,,,,,,,,,,,
39,반드시 계속해서 시리즈로 나와야할 인류 명작다른 행성에 가서 외계 생명체와 만나 펼치는 공포 SF 스릴 그리고 액션 그리고 훌륭한 스토리 창의력과 상상력 알고자하는 욕망을 두근거림으로 채워주는 리틀리 스콧의 최신 명...,,,,,,,,,,,,,,,
40,진짜 멋지다. 자본력과 기술력 그리고 감독의 역량이 받쳐 주니 이런 시나리오의 영화가 가능 하겠.. 우리나라 충무로 역량으로는 꿈도 못꿀 영화다. 우울하네.. 그래도 영화는 최고!!!,,,,,,,,,,,,,,,
41,SF 계의 전설의 시리즈 - 에이리언,,,,,,,,,,,,,,,
