,content
1,흔한 공포영화라 생각했다...보는내내 헤어나올수가없었다...왜 평점이 7.6인지 이해가 안됨....
2,처음부터 끝까지 몰입도 좋다. 시간 가는줄 모른다. 평점 7.6은 말이 되지 않는 평점. 반전을 거듭하는 탄탄한 시나리오. 연기력. 공포. 모든것이 다 맞아떨어졌다.
3,그저 그런 공포영화인줄 알았는데..
4,진짜공포영화개시러하는데 유일하게여러번본영화..귀신없이무서운게진짜무서운거같네요 이거꼭보세요안본사람은 진짜보는내내긴장하고이건걍보면알수잇음..
5,영화관서 봄 잼없단 안무섭단 소리 못할듯.공포영화매니아인데 영화관서보다 무서워 죽을수도있다생각했음.어후 그때 생각함 아직도 지림
6,마지막에 녹취된 아이의 음성은 순간 소름을 돋게했다.
7,8점은 넘어야 할 영화
8,우리모두 평점을 높이자
9,당당히 공포영화 쪽에선 상위권에 들수있다고 자부한다 다만 감독편1408을 보길 바란다 일반 1408의 결말은 뭔가 오락성이 강하지만 감독편 1408의 여운은 장난이 아니게 깊다
10,공포영화중에 교과서인듯. 정말 신선한소재였고 보면볼수록 빠져드는영화였다. 기발한 상상력과 반전에 반전
11,재미쪙 ㅎ
12,말도 안되는 평점이다 9점은 넘어야 할 작품
13,놀래키는영화'가 아닌 진짜 신경이 곤두서는'무서운'영화다. 이렇게 무서운 영화 처음본다
14,딸 부여잡고 울 때 좀 슬프더라.ㅠㅠ
15,이거 보고 나이 38살에 요실금이 발병했다...
16,아..가끔가다 뒤에서 오함마로 찍으려하는 할망구나타날때마다 소름. 존나놀랐네;;;
17,귀신발딱발딱나오는공포영화는 당연아니다.. 이건 뭐랄까 깜짝놀라서소름돋는게아니라 그냥 상황들자체가 나를소름돋게만든다...
18,영화 몰입도도 그렇고 존 쿠삭의 연기도 소름 돋는데 평점이 의외로 낮네
19,액자의 파도가 덮칠 때 공포가 판타지로 바뀐다.
20,존쿠샥이 작은 호텔방안에서 펼치는 소름끼치는 원맨쇼
21,너무 공포스러웠다영화를 보는 내 자신이 미쳐버리는줄 알았다.
22,겁도 많으면서 왜 방에 들어가려고 했냐 주인공아...
23,7.6은 말도 안되는 평점 아직까지 생각나는 영화
24,바닷물 나오면서 부터가 에러.... 그전까지는 좋음.
25,잔인한 공포 영화라기 보다는 궁금증을 자극하는 그러한 영화임. 난 흥미롭게 잘 봤음.
26,보일러 수리공 왔을때 같이 나가지 빠져 나갈 수 있는 기회였는데 ㅋㅋㅋㅋ
27,오바하는 표현으로 '숨막히는  공포'가 아니라진짜  좁은공간에 옥죄는것같은  무서움에 포박된듯한느낌으로 내내 영화를 봤다.평점은 아무래도 끝까지 안본놈들이 매긴 점수인듯
28,진짜 보일러수리공 왔을때 같이 나갔어야 했다ㅋㅋㅋ
29,시쳇말로 지렸다. 역시 네이버 평점은 믿을게 못 되는군
30,연기력은 정말 좋았다 다만 극후반부가.. 음..
31,초중반까지는괜찬았는데 ㅠ 갈수록 이상함
32,참신한 소재 재밋다ㅋㅋ
33,스티븐 킹 원작 소설이 스토리를 탄탄한 작품으로 마들어 주고 있다. 맨 마지막 장면에 소설가가 자신이 녹음하는 녹음기를 아내와 함께 듣는 장면에서 소름이 돋았다.
34,체크아웃 하시겠습니까?
35,이런 명작이 '미스터고' '해치지않이' 랑 같은 7점대다 ㅋㅋ하여간 국뽕치사량 맞고 다 죽었으면 ㅋ
