,content
1,원작을보면 황정민이 왜 답답하게 행동했는지 알겠지
2,막판에 도저히 짜증이 밀려와서 결국 꺼버렸다 이건 남자주인공이 완전 바보호구 찐따로 나오는데  아무리 과거 자기동생 자살에 트라우마가 있다해도 어느정도  객관성이 있어야쥐
3,채격 큰 성인남성이 부엌칼 든 절름발이 여성이 무서워 소리지르면서 도망다니는 영화
4,괜찮긴한데 마지막 옥상씬에서 황정민이 소화기로 자체연막탄뿌려서 칼빵맞을때 솔직히 빵 터졌습니다
5,황정민 캐릭터 답답함
6,진짜 연기한 황정민만 아깝네여.
7,남주=찐따. 싸이코패스=인간. 사람 아무리 죽여도남주의 동정 드립쩔어. 아 더럽게 재미없네...마지막 옥상신은 정말 甲 난 무슨 동료가 죽는줄 알았네... 황정민 유선 데려다가... 이 무슨 ...!?!?
8,작위적인 연출을 위해서 억지로 밧줄을 끊지도않고 메달고다니고 칼로덤비는데 소화기를 뿌리는거보고있으니깐... 감독님...
9,볼만한데.....정말 끔찍했어요 ;;;; 유선..장난아니게 무섭다 ;;
10,제가 본 코미디 영화 중 최고였습니다 클레멘타인과 쌍벽을 이루는 명작이 아닐까싶네요 특히 옥상 소화기 씬은 전세계 코미디 영화 역사상 최고의 명장면이라고 생각합니다
11,정말 조마조마한 마음으로 봤네요.^^간만에 한국영화 잼나게 본듯.특히 내가 좋아하는 유선.연기 참 잘하는듯요.
12,극 초반은 그럭저럭 흥미로웠는데 후반부가 영~~ 애꾸 절름발이 여자 사이코한테 쫄아서 도망다니는 황정민보고 속 터져 죽는줄 알았슴..연출력이 딸려서 원작을 그닥 살리지 못한듯싶네여.. 공포감도 별루고.. 암튼 비추....
13,악의교전 작가  작품이라고 했는데
14,황정민이 이런 어설픈 영화에 출연했다니.....
15,소화기로 찍으면 되지 뿌려서 칼이나맞고 끝에가서는 거의막장수준 막장스릴러영ㅇ화 7점주려다 2점준다 2점도아깝다
16,1점도 아까운영화ㅡㅡ 쓰레기같은 경찰과 무적인 범인여자 마지막으로 제일엿같았던 주인공... 찌질하게 남자가 도망만다니고 또얼마나 멍청한지(여자계속살려줌ㅋㅋ).. 말도안되는설정 주인공 연기한 황정민이 아까운영화
17,싸이코패스를 소재로 해놓고 이렇게 긴장
18,연기자들마저 엉망이였다면 실망만햇을거 같다
19,정민형 왜 그러셨어요 .. 일생일대 옥의티
20,황정민이 제일 답답하다
21,말이필요없는 허접영화
22,마지막 결투씬은 정말 우껴서 몇번을 웃었는지 모르겠네 ㅋㅋ
23,초짜 감독 너무 표나는 영화다. 정말 시간 아까운영화 유선이불쌍해서 5점
24,유선누님은 최고였지만 나머지는 엉성.. 유선의 힘은 홍만을 능가한다
25,이거 코미디 영화임?  ....
26,아....장난치냐....예고편엔 왜 없는 내용을 집어넣은 거냐
27,아우
28,기시 유스케 원작 봤을꺼 아냐? 근데 어떻게 이렇게 만들지? 어이 없다
29,OOO.... 소재는 잘 가져왔고 시작도 잘했는데.. 연출이 영..ㅡㅡ
30,개인적으로 재밌게봄 ㅎㅎㅎ
31,긴장감이나 공포감이 아닌 불쾌감만 남는다
32,너무하네. 이것도 영화니?
33,오후3시마다 나타나는 아저씨 까지만 ...... 무서웠다. 내가 그냥 돈주고 싶었다. 그이후는 ...쩝
34,짜증나는 영화 잘 안보고 글 남깁니다
35,주인공의 사건에 대한 개연성 왜 그래야 하는지에 대한 개연성 없음 뭐야이게
36,공짜라서 봤는데 이건 완전 삼류영화자나? 황정민 OO 만드는 영화임
37,사이코패스라는 소재로 영화화한것은 좋았습니다. 중반까지 황정민의 범인을 잡아보려고 하는것까지도 좋았습니다 하지만 후반부에 범인과의 대면에서 남자주인공의 캐릭터 설정이 너무 비현실적이었습니다
38,원작에 비해 너무 떨어짐. 소설의 긴박함을 전혀 살리지 못했고 캐릭터를 연출하는 데 있어서 너무 작위적인 느낌... '그냥 그 자체로 무서운' 캐릭터를 너무 과장해서 표현하니 오히려 무서워하기 싫어짐....
39,"황정민의 행동이 왜 저랬는지 알고싶으면 소설을 먼저 읽고 오시길 그러면 ""아 소설에 비해 조금 부족하지만 최대한 소설의 내용을 담을려고 노력했구나"" 라는걸 알것이고 배우들의 캐릭터와 연기또한 이해가 될..."
40,싸이코 여자연기로서는 유선이 최고였다
41,책보다 못해도 너무못한 영화..그리고 이때 황정민님 연기실망.유선의 사이코패스 연기는 좋았다
42,허세 있으신분들이 너무 많으시네요. 무슨 여자라고 다 이길것처럼 말하시네 칼들고 있는데 여자 남자가 어딨습니까 님들 밤길에 뒤에서 칼들고 미친여자가 쫒아오면 전속력으로 도망갈거면서 말은 무슨;
43,이딴영화를 수작이라고 하는애들은 극중 절름발이 여자가 무서워 도망치는 황정민보다 더 답답한 인간이다...
44,소설은 읽지않고 봤었음. 충분히 재미있을수 있는 시나리오를 엉성히 풀어간 느낌. 내사랑 황정민과 이 역할은 에러였다.  둥둥 뜨는 느낌? 하긴 캐릭이 약했어.
45,소설가들이 자신의 작품을 영화화하는데 주저하는 이유
46,꼭보세요 개꿀잼~~ 짱짱
47,무서워요 보는내내 넘나무서움..
48,연기는 참 잘하지만 질질끌어서 짜증났다. 남자친구 있는데 욕해버렸다.
49,원작 읽고 너무재밌어서 기대하고영화봤는데... 영화를 너무 못만들었어요. 실망입니다.
50,유선은 괜찮았는데...황정민이 좀 찌질하게 나와서..ㅡㅡ;;;
51,황정민이 싸이코패스 같은데?
52,이 영화 평점이 왜 이리 낮은지 모르겠다. 심리적으로 정말 소름끼치게 하는 공포영화다. 물론 스토리라인이 매끄럽지 못한 부분이 있긴 한데 배우들 연기가 그걸 다 커버하더라. 정말 푹 빠져서 봤다. 무엇보다 그 망할 ...
53,원작이 어땠는지 모르겠는데... 도대체 그 대단한 일들을 어찌 여자 혼자 해내는 거냐?? 개연성이 없는 게 한두 가지가 아니다. 왜 남편들은 그렇게 순종을 했을까.
54,남자새기가 절름발이 여자하나를 제압못해서 도망가다니 이게 영화냐 ㅋ
55,배우들 속아서 출연했나요??...후반부로 갈수록 못봐주겠음...
