,content
1,고사2부터보고 이거봤는데 고사2에비하면 명작임ㅉ
2,2보다가 이거보니깐 왜케 재밌냐 ㅋㅋㅋㅋ
3,단서도 주지 않고 정답 가르쳐주는 이기적인 영화.
4,울나라 영화치곤 진짜 잘만든거
5,퀄리티 자체는 나쁜 편은 아니나 이범수 말곤 특별한 것도 없는 영화다.
6,시도는 좋았던 영화. 미흡한점이 있다.
7,부모들의 사랑을 느꼈지만 부모들의 무서움도 느꼈습니다
8,닥쳐 고사2의 비하면 국내판 쏘우라고 불러봐도 된다
9,개인적으로 마음에 드는 스토리로 긴장감을 조성하는데 자연스레 성공한 영화라고 생각합니다. 문제를 풀지 못하면 죽는다는 컨셉도 신선했구요. 상상에 맡기는 허무한 결말이 아닌 마지막까지 복수극이 벌어져서 긴장감을 계속 ...
10,시작부터 뭔가가 잇다는 상황을 보여주면서. 점점 뭣때문에 이시험이 시작되나 잘 밝혀주고 잇다 그리고 마지막 하이라이트..눈물이나왓다 이영화는 학업에 너무몰입하는 우리나라를 비판하는 영화라고 생각햇다
11,진짜 2보다는 이게 더 재밌음
12,현실성은 조금 떨어지지만... 예전 영화 치고 공포감은 상당하다. 그리고 이 배우들 그립다
13,이범수의 연기력과 스토리의 공간이동이 자연스러웠다.
14,지금보니까 손호준 짱짱맨..
15,그나마 반전이 있기에 볼만했는데  잔인해서 속 뒤집힐뻔 ㅡㅡ
16,5학년때극장가서봤는데친구랑6학년이라고뻥치고그때생각나네다시봐도마지막컵라면은참나ㅡㅡ
17,그냥 무섭기보다는 잔인한영화.
18,한국에서 이 정도 나온 것도 괜찮다. 다만 메세지와 공포에 좀 더 치중했어야 했는데
19,아주 재밌진 않았지만 평점이 낮아서 10점 준다. 7점대는 될 영화인데.
20,촛능으로 죽인거랑 세탁기에 돌려 죽이는 건 신선함ㅋㅋ
21,그냥 ㅅㅂ 공부하는데도 힘들텐데 왜 ㅈㄴ 피곤하게 하냐.
22,고사2를 봤더니 이게 갑자기 빛나보여..
23,도대체 죄없는 애들을 왜 죽이는데???의미없는 살육병 신같은 영화
24,재밌어재밌어ㅋㅋㅋㅋㅋㅋ 남규리랑 김범 쵝오임ㅋㅋㅋㅋㅋ
25,진짜 요즘 나오는 공포영화들보단 훨씬 무서움
26,2보다 훨씬 볼만하고 무섭다.
27,이유를 알 수 없는 무의미한 살육이 이어지다가 황당한 결말
28,그 아줌마는 왜 죄없는 다른 학생들까지 죽였던걸까.처음엔 진짜 귀신영화인 줄 알고 긴장빨다가나중엔 웬 귀신분장한 학부모의 터무니없는 복수극이었다는 거 알게 되니까 맥 빠짐.
29,무섭긴커녕 혐오스러워 으~~~~~~~~~
30,최근 공포영화보면 이거는 수작임
31,쏘우인줄...
32,볼만하지만 지나치게 조잡함..
