,content,,,,,,,,,,,,,
1,뚱땡이가 시를 아무리 잘써도 결국 완얼이다,,,,,,,,,,,,,
2,안경낀친구 이동휘인줄,,,,,,,,,,,,,
3,여러분 이 영화 촬영감독이 올드보이,,,,,,,,,,,,,
4,시X 맥도날드 다신안가!!,,,,,,,,,,,,,
5,몸도 주고 마음도 줬지만 결국 얼굴은 이길 수 없었던 뚱보로 인해 눈물 없인 볼 수 없었던 영화,,,,,,,,,,,,,
6,초반에 빵빵한 사운드와 괴기스러운 모습들에 공포감이 많았는데 후반에는 헛웃음이 나왔어요,,,,,,,,,,,,,
7,제일 소름돋는 장면시즌2가 나온다는점,,,,,,,,,,,,,
8,요약1. 집안에 불을 안켠다.2. 몇명안사는데 집이 너무 넓다.3. 모두의 두려움을 으쌰으쌰 무찔러 나가자! 뒤로 갈수록 어린이 성장드라마삘,,,,,,,,,,,,,
9,후,,,,,,,,,,,,,
10,영화볼때 삐에로땜에 너무 무서웠는데 다 보고나니까 아이들 외면하는 어른들 생각나서 한번더 소름끼침,,,,,,,,,,,,,
11,무시무시한 공포영화를 기대한다면 아쉽겠지만,,,,,,,,,,,,,
12,도대체 뭘 보여주고자하는지 절대 모르겠음 스토리 중구난방에 영화의 포커싱이 사방으로 찍혀있음 나중에는 그냥 어린이들이 한명 후두려패는 영화,,,,,,,,,,,,,
13,무지 애매하네...감독이 아예 개연성이든 전개든 상관없이 관람객 놀래키려고 만든건 알겠다. 별개 다 나오니까. 근데 왜 청춘물로 끝나는지 누가 이해좀 시켜줘라. 여자애 입술은 무슨 하이패스냐? 아무리 어려도 입술부터...,,,,,,,,,,,,,
14,굳굳안경낀애 이동휘랑 싱크 개쩜,,,,,,,,,,,,,
15,이거보고 삐에로 공포증이 사라졌습니다.,,,,,,,,,,,,,
16,무서운듯 하면서도 뭔가 짠한기분이 들고.. 기존에 공포영화와는 다른 그것이 있음.  아이들을 모른척 하는 어른들이 젤 무섭다. ㄷㄷ,,,,,,,,,,,,,
17,예고편에게 당햇다....,,,,,,,,,,,,,
18,개봉하기전에 트레일러영상을 정말 50번도 넘게 보며 기대했던 영화인데 실제로 영화관에 가서 보니 최근에 개봉했던 공포영화랑 비교해서 정말 유치하고 말도안되요 ㅠ.ㅜ 너무 기대하였는데 너무 재미없었어요ㅠ.ㅜ,,,,,,,,,,,,,
19,주제를 알수없는 영화입니다,,,,,,,,,,,,,
20,스토리가 약간 짤린 것 같지만 나름 괜찮습니다. 그리고 거의 마지막 장면에 삐에로 다굴하는게 나오는데 그거 좀 웃긴거 같아요 ㅋㅋ 몰입감은 그닥,,,,,,,,,,,,,
21,공포영화로 시작해서 코믹영화로 끝남ㅋㅋㅋㅋ,,,,,,,,,,,,,
22,댓글 알바 천지네 무섭다고 이게? 풍선공포증?구라들치네 공포 좋아하시는분들 실망하실겁니다정말 크게 실망하실거에요 안무서워요개그프로보는줄,,,,,,,,,,,,,
23,정신산만하고 후반부엔 그냥 노답이더라...유치함의 끝을 보여준듯 1월의 활활 타오르는 불씨??? 아오,,,,,,,,,,,,,
24,개인적으로 노잼이였다,,,,,,,,,,,,,
25,이게 왜 8점이냐 씹지뢰밟았다,,,,,,,,,,,,,
26,이딴 영화 돈주고보지마세요 공포영화가 아닌 코믹 ,,,,,,,,,,,,,
27,평점 높길레봣는데 여태 본 공포영화들중에 최악의영화임 2~30분 정도 집중하다가 가면갈수록 지루하고 하품하고 가만히앉아서 영화보기힘들었음 현실성도없고 키스하니까 깨고 가면갈수록 엄청 유치했음 마지막에 손긋고 의리다지...,,,,,,,,,,,,,
28,내 살다살다 이런 개그같은 영화 첨보네ㅋㅋㅋ예고에낚이고 평점에 낚였다^^광대가 춤출때 굳이 왜 저런장면을 넣었을까 했음 코미디ㅇㅈ,,,,,,,,,,,,,
29,코믹,,,,,,,,,,,,,
30,거의 떡잎마을방법대 중고딩판인데?,,,,,,,,,,,,,
31,OO들 댓글알바들 존나 열일한다 진짜ㅣ,,,,,,,,,,,,,
32,예고편:눈을 뗄 수 없는 긴장감. 새로운 공포가 온다! 실제내용:우리애들이 이렇게 공포를 극복했답니다~ 잘했죠^^?,,,,,,,,,,,,,
33,그것'보다 '그것이 알고싶다' 가 100배더재밌고 무섭고 알참,,,,,,,,,,,,,
34,조조로 혼자 보고왔다.. 생각보다 잔인하지만 놀라는 것  말고는 무서운걸 잘 모르겠다.. 스토리도 이해하기 힘든것투성이.. 어른들.. 광대가 나타난이유.. 그것..뭐지?,,,,,,,,,,,,,
35,절대로 보지 마라. 개 후회한다. 영화관에서 나올때 사람들 죄다 뭐 이딴 영화가 있냐 하면서 나왔다. 개연성은 밥 말아드셨고 80년대 미국 아동드라마 보는 기분. 무서우라고 나온장면 전혀 무섭지 않은데다 그 뒤에 애...,,,,,,,,,,,,,
36,영화 고생하셔서 만들었겠지만..진짜 냉정하게 저는...이때까지본 공포영화중에서는 가장재미없는거같네요 ... 하나도 무섭지도않고 그냥 아무생각없이 -_- 이표정으로 다봤습니다 ..,,,,,,,,,,,,,
37,무서운 포인트를 어디서 잡아야할지..기대를 많이했는데.,,,,,,,,,,,,,
38,우리아이들 너무용감했음 화이팅! 그리고 소피아릴리스 너무 이쁨...,,,,,,,,,,,,,
39,코믹영화에서 공포로 억지로 바꾼듯한 느낌  이거 왜이렇게 평점 높은지 아시는분?,,,,,,,,,,,,,
40,공포??ㅋㅋ 다같이 웃는 상황도 나온다.삐에로 공포증 완치 영화.,,,,,,,,,,,,,
41,베벌리 이쁨~무섭다기보다....그냥   깜짝 깜짝 놀래키는수준..,,,,,,,,,,,,,
42,애들 캐스팅을 참 잘했다 특히 앵경잽이 감초역활 수준급 연기에 헬조센이였으면 애쌖들 비명만 꽤액빼액댔을것 같은데 제이든리버허도 많이 컸네세인트빈센트가 엊그제 같은데ㅜㅜ,,,,,,,,,,,,,
43,엄청난 재미 공포 감동 ㄷㄷ,,,,,,,,,,,,,
44,예고편을 너뮤 잘만들고 광고를 하도많이해서 엄청기대함 그래서 영화초반에도 기대를하고봤는데 처음에는 호러물 갈수록 코미디...후반부에 정말 관객들 어이없어서 웃는 장면 너뮤많랏음...진짜 나가고싶엇는데 결말궁금해서참음...,,,,,,,,,,,,,
45,여러분 다구리에 장사 없습니다~~,,,,,,,,,,,,,
46,개실망  공포영화 좋아하는 사람으로는 너무아쉽네요 많이기다려온 영화인뎅 스토리,,,,,,,,,,,,,
47,매우 유치하고 무섭지도 않고 꼬맹이들이 광대 후두려 패는 영화^^ 개노잼,,,,,,,,,,,,,
48,정서상 광대가 그닥 무섭지도 않고,,,,,,,,,,,,,
49,왜0점이없지..? 평점 잘준사람들 나만당할수없다인가...? 갠취라고 이해하려해도 전혀 납득이안가는데 이게 극찬받고 좋다고? 정말 노이해,,,,,,,,,,,,,
50,아니 자전거 왤캐 떤지는겨,,,,,,,,,,,,,
51,기대를 많이하고봐서 그런진 모르겠지만 영화를 보고나니 뭘좋아할지몰라서 일단다준비해봤어 라는느낌이드네요 ㅋㅋㅋ재밌어요,,,,,,,,,,,,,
52,무섭고 재밌다는 사람들 다 초딩들? ㅋㅋㅋ진짜 핵노잼 이영화 돈주고 보는사람들 차라리 그 돈을 찢으셈..스토리좀 잘 짜지 ..아쉽다 진짜.,,,,,,,,,,,,,
53,점점 영화가 유치하고 진부해진다. 어디선가 많이 보던듯한 결말...,,,,,,,,,,,,,
54,정말 개연성 1도 없고 중구난방인 떡밥 뿌리기,,,,,,,,,,,,,
55,알바들인가...  심장이 반밖에없는건가..도통...무섭지않았어요,,,,,,,,,,,,,
56,내가 영화관 안나가고 끝까지 본게 대견스러움,,,,,,,,,,,,,
57,하 근래본 영중에 최악입니다,,,,,,,,,,,,,
58,진짜.. 내생에 재미없는 공포중 손가락에 꼽힐거같다.그렇게 기대하게 만들어놓고눈 겨우 이거라니....그 긴 두시간의 러닝타임이 무색하게 장면의 개연성이 떨어지는장면도 너무 많고,,,,,,,,,,,,,
59,이게 뭥미... 겁나 기대하고 있었는데..,,,,,,,,,,,,,
60,나는 분명히 공포 장르를 보러갔는데유머에 우정물 영웅서사까지 모든 장르를 맛보고왔다.기대한 것과는 다른 느낌으로 영화에 대한 만족감을 얻었음!리치라는 캐릭터가 제 역할을 아주 제대로 해준 영화ㅎㅎ,,,,,,,,,,,,,
