,content
1,엄마귀신....그리고 엄마귀신 나올때 들리는 소음..잊을수가없어요
2,한국공포영화중 몇안되는 수작인거같다. 장화홍련 기담 불신지옥
3,보고 또 봐도 늘 항상 우아하고 아름다우며 기괴하면서도 슬프고 사랑에 대한 공포를 과장되지도 미화되지도 않게 굉장히 세련되고 감각적이며 아련하면서도 몽환적이고 전혀 촌스럽지 않고 고급스럽고 정말 진짜 아름답고 매혹적...
4,오래전에 봐서 잘은 기억 안나지만 중반부에 나오는 엄마귀신은 아직도 생생하다.. 지금봐도 소름돋는다 진짜 레전드 ㄷㄷ
5,엄마귀신땜에 그날 진짜 죽는줄 알았다;;
6,평점 너무 짠거 아닌가? 요근래 나온 한국 공포 영화 중에 단연 으뜸이라고 본다. 특히 엄마 귀신 나왔던 편은 아직도 잊히지가 않는다. 왜색이 강하다고 하지만 그거야 일제시대가 배경이었으니 그런거고....나름 스토리...
7,짐까지본 공포영화중에 젤무서웠음..ㄷㄷㄷ 귀신방언은 진짜 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ 아으어어어억...기담본 이후로 한국공포안봄 ㄷㄷ
8,진짜재밌음 무섭고 기괴하고 슬프고 다들 연기도 잘하고
9,내 인생 공포영화중 최고.. 단순한 공포영화가 아닌 스토리 자체가 정말 좋다..  아름다운 공포란 말이 딱 어울린다. 무서운 장면들도 압권..
10,엄마귀신 처음보고 의자뒤로 자빠졋음..... 옛날에 ㅋㅋㅋㅋㅋ 무서워 ...ㅋㅋ
11,이런 수작을봤나.. 연출도 스탈리쉬하고 미술도 너무 좋고 특히 음악! 현대적 미디사운드 쓰지않고 전통클래식 악기로만 뽑아낸 따뜻하면서도 원초적인 소름돋는 사운드. 음악만으로도 10점만점. 음악감독 이름클릭하니 이 작...
12,처음봤을땐 깜짝 놀라는 장면이나 엄마귀신같은 장면이 전부였는데
13,이런영화가 8점을 못넘기다니...
14,옴니버스 3편중 2편까지는 뭐지하고있다가 3편에서 뭐든걸 다풀어냄 존잼
