,content
1,좀 뭉쳐다녀라.... 계속 따로다니면서 처맞네
2,무슨 영화가 숨 쉴 틈을 안주냐ㅡㅡ
3,불교인데 예수 그리스도 찾을 뻔 함
4,시작하고 들어갔는데 첫장면부터 정말 컴컴하고 무서워서 나 혼자 영화관 있는 줄 알고 기절할 뻔 했는데
5,불쌍한 프렌치 썸좀 타보려다가 먼꼴이여
6,무서워서 다시는 성당 못갈듯..
7,발락 이명박이랑 좀 안닮았나???
8,컨저링유니버스 수녀가제일무섭다
9,아진짜 겁나 무섭네. 하 친누나랑 보러갔는데 20년만에 누나 손 잡음 아
10,전작만큼 해주는 기본기는 있다
11,평론가들 평점은 믿을게 못된다... 예술로 포장한 외설OOO 김기덕 영화는 네티즌보다 훨씬 높게주고 우리가 재밌다고 하는 영화들은 말도안되게 낮게 준다... 그렇게 딴지걸면 우리보다 우위에 있어 보이냐??
12,전 영화관에서 보다가 기절할것 같았어요ㅠ 너무 무서웠어요
13,평식이형. 시덥잖게 센척하기는
14,핵노잼 무서운건 모르겠고  그냥 놀라는 부분만 있음
15,깜놀하는 포인트는 좋았으나 중반부까지 너무 예상되는 뻔한 스토리
16,1시간30분동안 롤러코스터 탄기분 ㄷㄷ
17,안무섭고 그냥그랬습니다
18,나 혼자사는데...앞으로 어떻게 살아가야 하나 ㅜ
19,신부가 첨부터 끝까지 트롤하는거 수녀가 영약빨고 빡캐리한다
20,9시30분에 댓글쓰는애들은 뭐냐 영화보다가 오줌싸러나온거냐?;
21,영화보고나오는사람 전부 재미없다는데 평점머지
22,알바아니고 진심 ㅈㄴ무서움
23,심리적 공포를 자아내던 전편들과 달리
24,프렌치가 제일 불쌍하다
25,신부 오로치마루한테 하루종일 당하네
26,그러니까 수녀원에 수녀들은 원래 없었던거쥬?
27,시사회로 미리 봣는데 기존 컨저링 유니버스 시리즈중에서 제일 공포감이 달라 기대 하셔도 좋아요! 그리고 이 시리즈는 컨저링
28,오늘보고왔는데 보지마세요. 제가 공포물 전혀못보고 겁많은데 많이 웃다 나왔습니다. 무섭냐고요?? 아니요 답답합니다 ㅋㅋ
29,영화를 보면서 스토리전개는 예상이 갔으나 전작들만큼 연출이 분위기를 잘 이어갔음. 돈주고 볼만했음 ㅎ
30,심장 약하신분들은 절대로보면안됩니다특히 4DX경우는말이죠발락 브금;
31,평식이형 이쯤되면 컨저링 유니버스 빌런인 듯..
32,사람 놀래키는영화 무서워죽을뻔ㄷㄷ
33,발락얼굴이 그렇게 반가울수가 없다 안 보이면 너무 무서워....
34,무슨 신부가 견습수녀보다 하는게 없냐 신부무쓸모.
35,하.. 컨저링에서 보여줬던 임팩트에 반도 못 따라 감
36,하늘의계신 우리아버지 아버지의이름이 거룩히 빛나시며 아버지의나라가 오시며 아버지의뜻이 하늘에서 와같이 땅에서도 이루어지소서 아멘.
37,이상하면 안가면 되는데 헬로우 하면서 들어가는건 여전한데 ㅋㅋㅋㅋ 좀 같이다녀라 진짜 개인플레이하면서 처맞고잇네 ㄷㄷ
38,공포영화를 이토록 탄탄한 스토리로 유니버스를 만들다니 대단하다ㄷㄷ
39,휴 전래 무섭자나
40,얼마나 긴장하면서 봤는지 스토리도 탄탄하고 마지막 엔딩도 좋았음
41,잘 자다 나왔습니다.  물에서 수녀귀신 올라올때 빵터졌다
42,강약없음..끝날때까지 강임ㅋㅋ겁없이 혼자 심야로 본걸 후회했음ㅠㅠ
43,신보다 샷건이 더 쌘거같은디?
44,수녀귀신 이명박 닮지 않았음?
45,난잘모르겠다... 무섭지도않고...
46,나만 안무서웟나..?ㅠㅠ
47,초반 20분제외 아침 낮 나머지 70분은 공포가 몰아침 밤
48,마지막에 반전이 있을 줄은 몰랐다
49,기가 막히게 예상되는 놀람의 타이밍
50,무서운거 잘보는 편인데도 눈 가리고 봤어요 수녀 귀신 너무 무서워요
51,수녀귀신도 무섭긴한데
52,수녀복이 이렇게 무섭기는 처음이네
53,너무 무섭고 어우 떨려 절대 보지마!!
54,진짜 별 3점이상 주는 사람들 미쳤냐? 마지막에 발락나올때 레알 코믹영화야
55,일단 보세요 무서운게 뭔지 알겁니다
56,컨저링 이어지는 부분에 소름돋았습니다.
57,꼬부기 물대포!!!!
58,근데 9시땡치자마자 댓글쓰는애들은 뭘보고 후기를쓰는거??7시영화?ㅋㅋ
59,앞으로 침 뱉으면서 살듯
60,옛날 엑소시스트 오멘 느낌난다... 분위기 살벌하네ㅎ
61,프렌치
62,무서워서 눈 다가리고 봄;; 썸남이랑 보면 썸남 바지적삼 적시는 걸 볼 수 있읍니다
63,갑툭튀 오졌다리 지렸다리
64,아베 마리아그라치아 쁠레나도미누스 떼꿈베네딕타 투 인 물리에리부스엗 베네딕뚜스 쁘룩뚜쓰 벤트리쓰벤트리스 뚜이 예수스싼타 마리아 마떼르 데이오라 쁘로 노비스 빼까또리부스눙크 엗 인 오라 몰띠스 노스뜨래아멘.
65,뭐가 무섭다는 건지 모르겠음.. 긴장하면서 남친이랑 봤는데 코미디인줄 알았음
66,별로 안무서움 엄마손잡고 교회가서 기도하면됨 근데 난 불교임
67,무서운게 아니구  지루하당 ㅜ
68,영화관에 사람꽉찾었는데 놀라는 사람 두사람 있음. 그것도 초반에만 놀라고 영화끝날때까지 참으로 조용하더라이다. 이거보고 무섭다시는분들 이 각박한 세상살이 안해본 순수한 영혼들이더이다. 오늘 8시 출근인데 눈뜨니 7시...
69,솔직히 1점 주는 니들이야말로 묭당
70,항상 공포영화 평론가 점수 와저럼? 지려서 쪽팔리나?
71,컨저링 시라즈 중 가장 최고임수녀귀신이 진짜 제일 무서워팝콘 던질뻔....
72,발락...생각만해도 무섭다
73,더넌은 일단 비주얼이 먹고들어감. 발락 나올때 그 부왕!!!! 하는 삐지엠 개간지.
74,주기도문 외우면서 봤다...
75,확실히 공포감은 상당함 공포영화로 즐기기엔 딱임
76,발락 시도때도 없이 얼굴 비춰주고 표정 변화도 다양해서 컨져링 때보다 귀여워진 것 같음
77,요즘 누가 놀래켜도 안놀래고 공포영화를 봐도 안놀래서 병걸렸나 걱정하고있었는데 어제 영화관에서 더넌을 보고 공포영화 잘보는 편인데도 한두번 깜짝깜짝 놀랐습니다.... 개인적으로는 컨저링 보다 무서웠음
