,content,,,,,,
1,2003년 영환데 지금 보고서 놀랄만한 반전이 아니지 당연히. 2003년 당시 봤으면 팬티에 오줌지리고 엄마랑 잘새키들이 10년이 지나서야 보고는 별로다그러네ㅋㅋㅋ,,,,,,
2,악몽의 기묘한 기분을 영화로 옮긴 듯한,,,,,,
3,피튀기는 장면 없이 분위기 만으로도 최고의 공포를 자아내는 영화,,,,,,
4,초반엔 코미디인가 했더니 갈수록 볼만하고 엔딩도 깔끔.,,,,,,
5,예산은 적게,,,,,,
6,와진짜 너무무섭다;;;,,,,,,
7,어두운 배경도 좋았고 뒤의 반전도 좋았고 심리적인 묘사도 괜찮았음,,,,,,
8,심리공포개쩐다 말로표현하기힘든 그 압박감..,,,,,,
9,햐...이거 봐라...진짜 공포영화 좋아하면 볼만하다~,,,,,,
10,고어영화 매니아인 내가 이딴 징그럽지도않은 영화를 보는내내 긴장하다니 ..슈발 ㅠ,,,,,,
11,해석 보니까 소름이 쫙 돋네...,,,,,,
12,극한의 공포속에서 인간의 정신적공포를 잘 담아냈다.,,,,,,
13,끝 장면을 보고 또 다시 봐서야 아! 의미를 깨달은 영화,,,,,,
14,심리공포좋다,,,,,,
15,이거는 공포는 아니고...  참 소재가 신선했다.,,,,,,
16,산만하지 않은 한정된 공간에서 블랙위트와 공포가 잘 버무려져 상당한 몰입감을 선사한다. 묘하게 무서운 수작..,,,,,,
17,개인적으로 본 공포영화중 최고 였습니다. 근데 리뷰보니깐 의견이 많이 나뉘네요.,,,,,,
18,저비용 고효율,,,,,,
19,기억에 남는 명작입니다.,,,,,,
20,진짜 기대안하고 봤는데... 잘만든 수작!,,,,,,
21,공포영화중 가장 무섭게 본 영화.,,,,,,
22,진심 밤에 혼자봐야 제맛인듯.. 진짜 쫄릿거리게 연출잘한거같음,,,,,,
23,zzㅋㅋㅋ밤에 혼자 불끄고 보라는 ㅋㅋ,,,,,,
24,이영화는 기묘하면서도 생각하면 생각할수록 무서운영화이다. 마지막에 약간의 반전은 흥미로웠다.,,,,,,
25,미스테리한 분위기 재미있는 영화,,,,,,
26,옛날에. 개봉전 컴터로. 기대안하고보다 두번 다시봤던영화. 극장개봉후. 극장가서또다시본영화.   아직까지. 내게최고로 기억에남는영화다,,,,,,
27,정말 잘만들었다. ㅎㅎ 재밌었다.,,,,,,
28,공포의 이면엔 슬픔이 있다.,,,,,,
29,화면에 보이는 장면을 있는 그대로가 아닌 속 뜻을 생각하며 본다면 이 영화를 진짜 재밌게(스릴러니까 혹은 무섭게) 볼 수 있을 것이다.. 간만에 적은 등장인물과 반복적인 배경에서 긴장감을 느낄 수 있어 좋았다.,,,,,,
30,이영화는 혼자서 헤드셋을끼고 볼륨을 높여서 불을끄고 봐야 제맛임...보는내내 긴장감 대박이였음..물론 몇년전에 본 영화라 지금보면 다를수있으나...내가본 공포영화중기억에 남는 몇 안되는 작품임..,,,,,,
31,잼있고 괜찮은 수작,,,,,,
32,끝없는 길처럼 계속 증폭되는 의문과 호기심,,,,,,
33,오~ 정말 김봉석 평론가 님 말대로 저예산 공포영화의 모범이 될만함. 스토리는 어찌보면 우리가 한여름밤에  모여서 무서운 얘기 돌아가면서할때 나올법한 얘기같은데,,,,,,
34,이  영화  본 후로는   다른 공포영화들이  시시해졌다내가 지금껏 본 영화중에  제일  무서웠음,,,,,,
35,공포영화 매니안데 오랜만에 스토리 괜찮고 쫄깃한영화 봤네요ㅋㅋㅋ재밌게봤습니다 인시디어스 에서 퇴마사로 나오시던 부인역여배우 열연 인상적이네요,,,,,,
36,나는왜 마지막에 목격자의 검은차에 마르콧이라는 여자를 태우는 장면이 왜 섬뜩하지..,,,,,,
37,잔인한 장면별로없이도 공포감줌  반전은 어느정도 예상가능  난 재밌게봤다  로라아줌마 연기 잘한다ㅋ,,,,,,
38,블랙 코미디와 호러 장르를 넘나들며 보는 사람의 혼을 탈탈 털어버리는 영화. 조금이나마 깨어있는 의식이 무의식 영역에 반영되는 과정을 소름끼치게 잘 표현한 것 같다. 영화가 끝나면 알 수 없는 꿈을 꾸고 일어난 뒤 ...,,,,,,
39,굿,,,,,,
40,비급영화에 약간 병맛이 나긴하지만..나름 분위기 있고 재밌었음..,,,,,,
41,무섭고,,,,,,
42,잔인한장면X 오로지 분위기로 공포를 자아냄그리고 마지막반전....과 교훈  이정도면 명작인데  평점 낚엿다는애들은 영화볼줄 모르는거임 잔인한거 보고싶으면 에얼리언 보셈,,,,,,
43,오래된 옛날 영화같은 어둡고 올드한 분위기만으로도 뭔가 으스스한데 보다 보면 정말로 더위따위는 까많게 잊을만큼 몰입도가 장난아니다.계속해서 긴장의 끈을 놓치지 않게 만들면서 서서히 조여드는 공포가 이전에 보지 못한 ...,,,,,,
44,진짜 내가 뽑는 최고의 공포영화중 하나..,,,,,,
45,결말을 예상했지만 긴장감은 영화끝까지 지속되게했다,,,,,,
46,영화를 이해해야 무섭다기보단 이 영화에 깊이빠져들어야 공포를 느끼는거 같다,,,,,,
