,content
1,영화보는 내내 미친 개 같은 빌어먹을 할망구 죽여버리고 싶더라
2,역시 샘 레이미. 하지만 죄없는 가엾은 여주인공에게 99분은 너무나도 가혹했다.
3,마지막만 빼놓고 다 맘에 드는영화.. 아니 노력한 은행원한테 왜 시비인지 차라리 점장한테 걸던가
4,남자친구랑 키스보다 할머니랑 키스하는게 더많아 ㅋㅋㅋ 할머니랑 키스 왜자꾸 시키는거야 ㅋㅋ
5,참신했다. 고어와 호러와 코미디의조합 역시 샘레이미!
6,방금 보고왔음.할머니 눈알 '뽕' 튀어나오는 장면에서 빵 터짐. ㅋㅋ(하도 황당해서...)진짜 재밌는 영화. 공포물 잘 못보는 사람도 이거는 잘 볼거라 생각됨.
7,보는내내여주불쌍해죽는줄ㅠㅠ뭔죄임?할망구죽여버려ㅡㅡ중간중간역겨운장면도잇지만B급호러치곤볼만햇음ㅋㅋ
8,6.99의 평점은 지나치게 낮다. 적어도 8점 이상의 영화. 역시 샘 레이미라는 감탄이 나오느 영화임.
9,재밌다. 유머와 스릴있고
10,샘레이미에게 극찬을ㅋㅋㅋ B급 영화의 면모를 보여준 영화. 당시 전문가에게 극찬을 받았다고 하던데 점수가 왜 이모양이지.. 난 가끔 생각나서 또 보기도 함 ㅋㅋㅋ우리나사 사람들 정서에는 안맞았나보군.
11,이 영화의 관전 포인트는 무서운데 웃긴 '뭇긴'에 있다. 대놓고 b급 정서 처발른 감독의 의도를 모르는 풋내기들은 엉성하다고 욕하겠지만. ㅋㅋㅋ
12,대출 거부 했을 뿐인데 ㅠ?ㅠ
13,막판에 악마부르는 의삭할때 흑인남자에게 빙의돼 춤추던 악마 ㅋㅋㅋㅋㅋ
14,할망구가 못됐음. 여자는 어느 날 갑자기 재수없게 돌맞은 개구리되고 스토리가 진부하지 않아 집중하고 본 호러영화
15,평점이 너무 낮다.. 최소 7.5점 이상
16,저희 엄마가 이거보다가 옥수수 태워먹으셨네요..옥수수태울만큼 재미있습니다!   공포영화 안보던 저한텐 딱 오싹할 정도..
17,평점에 충격먹었어요;;; B급 감성포텐터지는 공포여환데. 잘만든건데! 웃기고 무서운 영화가 쉽나요 어디
18,몇몇 장면들 진짜 더럽다ㅋㅋㅋㅋㅋ
19,어떤 부분은 호러인지 코메디인지 분간이 안갈정도로 황당한 장면들이 있었지만 재미도 측면에서 보자면 지루하지 않고 재미있었다. 결말의 반전도 쏠쏠
20,역대최고 호러물. 다시봐도 재밌다.  평점낮게준 사람들 은행원여자주인공이 지나치게 억울하고 불쌍해서 반발인듯. 그리고 영화 깜짝놀래키는 예측불허  투성인데 예측가능이란글에 실소.
