,content,,,,,,,,
1,초반부 신앙심 없는 목사의 돈벌이용 쇼맨십이 넬을 만난 후부터 진실한 퇴마의식으로 변화되는 과정은 다소 신선,,,,,,,,
2,2편보고나니까 1편이 갑자기 엄청 훌륭하게 보이는 이 느낌은 뭘까 ㅋㅋ,,,,,,,,
3,여주인공의 현란한 빙의 연기에 깊게 빠져들었습니다. 그러나 추리의 여지가 있는 반전도 아닌 요상망측한 끝맺음은 정말 아쉬웠습니다. 반전 직전까지 정말 기대했었는데...,,,,,,,,
4,전문가 평점 개무서워,,,,,,,,
5,전 되게 재미있게 봤습니다. 정말 잘 만든 영화 같아요.,,,,,,,,
6,이정도면 수작이다...,,,,,,,,
7,마지막 반전이 상상도 못 할 정도로 참신함,,,,,,,,
8,생각보다 재밌었음 여자애의 연기에 박수를,,,,,,,,
9,솔직히 공포보다는 반전과 신선함에 점수 주고싶음 대충본사람은 이해못하는게 당연,,,,,,,,
10,이런 형식은 처음 보는데  진짜인 줄 알고 봤더니 재미있네요. 끝까지 보게되요.,,,,,,,,
11,군대에서 별 기대감 없이 본 영화였는데,,,,,,,,
12,구리다.. 6.4점 정도........,,,,,,,,
13,라스트라서 천만다행입니다......,,,,,,,,
14,이거 완전 재밌게 봤던 기억이... 특히 마지막 장면은 아직도 뇌리에 선명함,,,,,,,,
15,초반부터 뿌렸던 떡밥도 깔끔하게 다 회수했고 전개며 연출이며 흥미진진하게 잘끌다가 마지막에 반전까지주고 이정도면 웰메이드지 재밌게봄 만족,,,,,,,,
16,후반부 긴장감 엄청 났는데 평점 왜 이리 낮나요 사탄의 존재로 신의 존재를 받아들이게 됐다는 중심 이야기가 인상 깊네요 넬 등 등장인물의 연기도 좋았고 페이크다큐 형식도 좋은 선택이었다고 보여요 결말도 정말 좋았습니...,,,,,,,,
17,허리 유연함,,,,,,,,
18,첨에는 진지하게 볼만하더니 마지막에 완전 황당무계함으로. 안무서움.,,,,,,,,
19,5점은 줄수있겠다.  무언가 그래도 영화에 넣을려고 노력한 흔적은 보이니까,,,,,,,,
20,케일럽이 잘생겨서 별점준거다 OO...,,,,,,,,
21,뒤로갈수록 납득이 안되는 영화,,,,,,,,
22,악마의씨 + 블레어윗치 짬뽕....,,,,,,,,
23,엑소시스트+블레어위치.,,,,,,,,
24,결말이 허무하고 카메라가 흔들리고 또 영화가 시끄러워,,,,,,,,
25,완벽한 공포....,,,,,,,,
26,이런 쓰레기 영화,,,,,,,,
27,제일 무서운건 악마도 뭣도 아닌 사람 .저예산틱한 화면이 단점.,,,,,,,,
28,시리즈의 라스트였어야 했다.,,,,,,,,
29,살다살다 평론가가 속 시원하게 말해주는건 처음이네,,,,,,,,
30,Btv에서 봤는데 돈 아깝다,,,,,,,,
31,개 좆 병맛 페이크물들,,,,,,,,
32,이게 last가 됐어야 했는데,,,,,,,,
33,연기봐라 엑소시즘을 연기하는 목사를 연기하는 클라스ㄷㄷ,,,,,,,,
34,엑소시즘과 파운드푸티지 장르의 결합을 나름 영리하게 접근한거 같다. 다만 현실성을 살리다보니 엑소시즘 영화에서 막상 엑소시즘이 묘사되는 장면이 짧은게 아쉽다. 결말에 대해 호불호 나뉘는듯 싶지만 개인적으로는 좋았다....,,,,,,,,
35,페이크 다큐라는걸 알지만 소녀의 빙의 연기와 실제같은 전개가 몰입도를 높여준다,,,,,,,,
36,엑소시즘이란 소재의 고리타분함을 재기있는 캐릭터와 장르적 기법으로 해소했다. 다만 마무리까지 끌고가는 힘이 다소 벅차보이는게 흠.,,,,,,,,
37,나름 재미잇엇지만 끝부분에 좀 황당햇다.처음에는 조금지루햇다결론은 처음과 결말부분 아니면 볼만햇다,,,,,,,,
38,인간의 욕심은 끝이없고 똑같은 실수를 반복한다. 결말보고 이거밖에 생각 안나더라. 또 급결말이라 똥싸고 떵안닦은기분. 전체적으로는 신선한데 결말만 똥임,,,,,,,,
39,엑소시즘 뜨느까 다 따라하네,,,,,,,,
40,그냥 궁금해서 한 번 봐 주는 정도 그 이상은 기대하지 말자 중간에 몇 번 중단하려는 유혹을 이겨야,,,,,,,,
41,마무리가 너무 순식간에 벌어져서 아쉬운 느낌이들지만 나름 짜임새 있는 구성이어서 잘봤다고 생각합니다아이리스? 이쁘던데…도끼질로 죽다니 이런 ㅠ,,,,,,,,
42,근데 이거 블레어 위치보단 재미있었음. 블레어 위치 재미있다는 사람 먼가여.... 걔들 떠드는 거랑 욕하는거 길찾고 그런거 밖에 안나옴. 차라리 이영화가 그나마 나아여 ㅋㅋ,,,,,,,,
43,기자/평론가 평점 4.44 지린다.. ;;,,,,,,,,
44,넬의 연기력은 좋았던것 같다. 하지만,,,,,,,,
45,나름 스릴있게 전개 되지만 공포부분이 많이 부족함,,,,,,,,
46,전개가 좀 신선 다큐같음,,,,,,,,
47,잔인한걸 많이봐서 그런가 아무렇지도 않네... 내가 비정상인가,,,,,,,,
48,너무나 비용을 아|끼려하지 않앗나....셍각이든다..,,,,,,,,
49,옛다! 6점  다큐가 싫다,,,,,,,,
50,개인적으로 블레어윗치 반도 안됨. 이거 뭐 반전도 기대 이하였음..  2를 기대해 볼께요..,,,,,,,,
51,ctrl + c,,,,,,,,
52,좋은 평을 들어서 보긴 봤는데.,,,,,,,,
53,몇배속으로 빨리돌려보지 않으면 나름 볼만하다,,,,,,,,
54,목사 너무 답답함 뭔 오지랖으로 그러는지... 보는내내 너무 답답해서 속터지는줄. 결말도 황당. 고양이 죽일때가 제일 무서웠네ㅋㅋ,,,,,,,,
55,페이크다큐 정말좋아하는데,,,,,,,,
56,진짜 기대하고 봤었는데 완전 실망이었음,,,,,,,,
57,음?! 뭔가 부족한 느낌..식상할거라 예상해서 그냥저냥 봤는데 공포감이나 긴장감이 너무 없어서 아쉽네.그점이라도 연출을 잘했음 식상하더라도 봐줄만 했을텐데ㅠㅠ마지막 반전 때문에 그나마 평점올림.,,,,,,,,
58,결말도 흥미롭고 긴장감 유발도 적당하다..,,,,,,,,
59,솔직히 지루했음,,,,,,,,
60,평점이 너무 아까움,,,,,,,,
61,주님을 믿는다면 사탄도 믿어야한다. 이말로 그럴듯하게 꾸며냈다.,,,,,,,,
62,그럴듯해서 봐줄랬는데 마지막 결말 보니 그냥 그럴듯하게 꾸며낸 영화네.,,,,,,,,
63,내가본b나 c급 영화만큼 재미없다 초반엔 졸앗고 후반에 재밋어지려던 장면도 허접한 악마가망침,,,,,,,,
64,자막제작자가 써놨듯이 막장임.,,,,,,,,
65,긴장감은 있지만 재미는 엄따...글구 난 이렇게 카메라 흔들면서 찍는거 싫어함,,,,,,,,
66,이제 시작이라고 생각할때쯤이 마지막이였다니... 어이가 없는건지 쩔어줬던건지..,,,,,,,,
67,그다지...,,,,,,,,
68,엑소시스트로 시작해 오멘으로 끝나는 주제의 일관성이 없는 3류영화..,,,,,,,,
69,엑소시즘 사후세계의 소스들이 얼마나 많은데 소스 활용을 개같이 했네,,,,,,,,
70,라스트 엑소시즘(X) 워스트 엑소시즘(O),,,,,,,,
71,공포영화치곤 조금 지루하네요..,,,,,,,,
72,페이크다큐치곤 평작정도? 수작도 망작도 아닌...,,,,,,,,
73,성의없는 결말만 조금 고쳤어도 어땠을까,,,,,,,,
74,왜 1위를 석권했는지 모르는 영화다;,,,,,,,,
75,은근하기는 하나...그게 전부임...,,,,,,,,
76,진짜오랫만에본 어설픈쓰래기 영화다!!!,,,,,,,,
77,은근히 공포감이 오는듯. 그다지 추천은쫌;,,,,,,,,
78,다큐마냥 실화보는것처럼 재밌게보긴했는데 마무리가영..그래서뭐어쨋단거지,,,,,,,,
79,초중반까지의 진행은 페이크 기법의 장점을 보여주지만 마무리가 엉성하다,,,,,,,,
80,영화의 내용이 상당히 무섭다,,,,,,,,
81,그냥 영화의 결말로는 충격적인데,,,,,,,,
82,솔찍히 이건 아니잖아 응?,,,,,,,,
83,내가 본 페이크 다큐중에 젤 후잡하다..최악...,,,,,,,,
84,ㅅㅂ 이것도 영화라고............,,,,,,,,
85,결말이 애매모호한것 빼곤 괜찮다,,,,,,,,
86,파라노말 액티비티의 흥행을노렷나..ㅡㅡ실망인데;;,,,,,,,,
87,반전은 봐줄만 하다. 하지만 페이크다큐라서 시종일관 더 않무서웠던 영화.,,,,,,,,
88,기대하고봤더니 실망이 크네요 ;,,,,,,,,
